human gene name,chimpanzee gene name
CCDC77,CCDC77
ABI3,ABI3
EMG1,EMG1
ADIPOQ,ADIPOQ
SCAF11,SCAF11
FIRRM,FIRRM
DUSP10,DUSP10
PDE12,PDE12
ZNF527,ZNF527
APPL2,APPL2
PITPNM3,PITPNM3
ALDH8A1,ALDH8A1
TRIM50,TRIM50
MLXIPL,MLXIPL
VASH1,VASH1
VSX1,VSX1
WNT16,WNT16
ZMYND12,ZMYND12
PACSIN2,PACSIN2
TMEM109,TMEM109
GAL3ST4,GAL3ST4
PLEKHB1,PLEKHB1
IVD,IVD
CUZD1,CUZD1
NOSIP,NOSIP
PNMA2,PNMA2
SLC35C1,SLC35C1
RNF8,RNF8
TRIM68,TRIM68
ZKSCAN4,ZKSCAN4
MTIF2,MTIF2
CCDC103,CCDC103
PIERCE2,PIERCE2
IL34,IL34
GLIPR1L1,GLIPR1L1
CHTF8,CHTF8
SPDL1,SPDL1
TAC3,TAC3
FSTL5,FSTL5
THNSL2,THNSL2
HAUS4,HAUS4
SSH2,SSH2
MMP20,MMP20
SLC36A2,SLC36A2
GPR83,GPR83
LARP4,LARP4
CCT4,CCT4
RGS12,RGS12
CLEC9A,CLEC9A
PHOSPHO2,PHOSPHO2
GSTO1,GSTO1
THOC1,THOC1
FCSK,FCSK
SLCO4A1,SLCO4A1
CAAP1,CAAP1
QPCT,QPCT
LRRK2,LRRK2
CC2D2A,CC2D2A
MICU1,MICU1
TLE3,TLE3
PUS3,PUS3
MAK16,MAK16
RAB11FIP5,RAB11FIP5
CAPRIN1,CAPRIN1
RNF17,RNF17
CTDP1,CTDP1
PXN,PXN
TTBK1,TTBK1
AVPR1A,AVPR1A
IFT74,IFT74
ST6GALNAC1,ST6GALNAC1
CCL16,CCL16
RPRML,RPRML
KRTCAP3,KRTCAP3
TMEM86A,TMEM86A
TP53INP1,TP53INP1
ZNF408,ZNF408
DLX4,DLX4
MYEF2,MYEF2
PXYLP1,PXYLP1
ZRANB3,ZRANB3
PTGS1,PTGS1
ZSCAN26,ZSCAN26
DSE,DSE
CHRNA9,CHRNA9
GABRR1,GABRR1
TECTA,TECTA
GPRASP2,GPRASP2
P2RY8,P2RY8
DNAH2,DNAH2
ZNF566,ZNF566
C4orf54,C4h4orf54
MS4A4A,MS4A4A
DIABLO,DIABLO
CHAF1A,CHAF1A
FGF3,FGF3
NKX2-8,NKX2-8
BTBD17,BTBD17
HSF5,HSF5
GPR20,GPR20
SKOR2,SKOR2
CAP2,CAP2
NARS2,NARS2
TRO,TRO
CAMSAP1,CAMSAP1
EEFSEC,EEFSEC
SMYD5,SMYD5
FGD6,FGD6
CCDC13,CCDC13
CDHR2,CDHR2
ATP11C,ATP11C
SPEGNB,SPEGNB
ESR1,ESR1
CCN3,CCN3
MCCD1,MCCD1
SHISA3,SHISA3
HMX3,HMX3
TRIP6,TRIP6
LRPAP1,LRPAP1
ID3,ID3
RNMT,RNMT
ZNF317,ZNF317
METTL25B,METTL25B
ERMAP,ERMAP
ASZ1,ASZ1
ZBTB39,ZBTB39
CHST10,CHST10
RFC3,RFC3
GPR32,GPR32
GPANK1,GPANK1
HOXB2,HOXB2
BTBD18,BTBD18
MARS2,MARS2
FBXO34,FBXO34
CLEC4A,CLEC4A
CBLC,CBLC
NEUROG1,NEUROG1
FBXO40,FBXO40
PON1,PON1
TGM7,TGM7
IGFLR1,IGFLR1
SPSB3,SPSB3
APLP1,APLP1
PPAN,PPAN
FBXO2,FBXO2
SLCO2B1,SLCO2B1
MTMR8,MTMR8
CFAP70,CFAP70
ASCL1,ASCL1
SPEF1,SPEF1
CD68,CD68
IFIT2,IFIT2
REP15,REP15
PJA2,PJA2
MYBPHL,MYBPHL
HMCES,HMCES
RIC8A,RIC8A
BCAR3,BCAR3
LRGUK,LRGUK
POF1B,POF1B
SENP2,SENP2
ZFYVE19,ZFYVE19
TIGD3,TIGD3
TMC4,TMC4
MRM1,MRM1
S1PR2,S1PR2
ASB15,ASB15
TAF1B,TAF1B
TRIM29,TRIM29
FAM83G,FAM83G
F8,F8
DCSTAMP,DCSTAMP
RGS18,RGS18
MPZL3,MPZL3
CD8A,CD8A
RGS9BP,RGS9BP
ZNF567,ZNF567
NUDT13,NUDT13
HSH2D,HSH2D
BOD1L1,BOD1L1
RXFP3,RXFP3
GBA3,GBA3
SEPTIN9,SEPTIN9
PLA2R1,PLA2R1
CEP63,CEP63
COQ6,COQ6
PAX4,PAX4
MYLK3,MYLK3
CHRNA5,CHRNA5
MOAP1,MOAP1
H2AP,H2AP
DTNBP1,DTNBP1
ABHD15,ABHD15
C4orf36,C4H4orf36
ROM1,ROM1
ZFP1,ZFP1
SH3BP1,SH3BP1
MEP1B,MEP1B
GABRR3,GABRR3
LONRF3,LONRF3
PLEK,PLEK
OGFOD2,OGFOD2
ACKR4,ACKR4
TGDS,TGDS
IZUMO1,IZUMO1
INHBE,INHBE
KLHL35,KLHL35
MAPK7,MAPK7
MAN1B1,MAN1B1
ZNF782,ZNF782
FRAT2,FRAT2
ZNF764,ZNF764
GALR1,GALR1
HARBI1,HARBI1
SLC10A1,SLC10A1
TANC1,TANC1
GPR156,GPR156
TSEN2,TSEN2
TTF2,TTF2
LCA5,LCA5
PI16,PI16
ZBTB44,ZBTB44
TMEM262,TMEM262
SPX,SPX
AKAP7,AKAP7
CARTPT,CARTPT
YOD1,YOD1
CD302,CD302
SST,SST
SLC10A2,SLC10A2
RSPH14,RSPH14
LYNX1,LYNX1
AKAP6,AKAP6
ATF7IP,ATF7IP
ZKSCAN7,ZKSCAN7
CATSPERG,CATSPERG
TRIL,TRIL
DCTN2,DCTN2
TICRR,TICRR
ABCA8,ABCA8
PDGFRA,PDGFRA
LRG1,LRG1
MTHFD2L,MTHFD2L
TMIGD3,TMIGD3
ZUP1,ZUP1
GRK4,GRK4
CNGB3,CNGB3
DZIP1,DZIP1
ARMC2,ARMC2
RASGRF1,RASGRF1
PLEKHG2,PLEKHG2
ZNF841,ZNF841
ABCA6,ABCA6
KREMEN2,KREMEN2
VIT,VIT
DTNB,DTNB
SLC22A23,SLC22A23
PTPDC1,PTPDC1
TBL3,TBL3
ROBO3,ROBO3
ORC2,ORC2
OPTN,OPTN
G6PC3,G6PC3
PRPH2,PRPH2
AP5Z1,AP5Z1
PEAR1,PEAR1
AGPAT1,AGPAT1
COIL,COIL
PHLDA1,PHLDA1
SLC39A12,SLC39A12
SLC28A3,SLC28A3
NUP205,NUP205
COL9A1,COL9A1
HNF4G,HNF4G
RIF1,RIF1
EBP,EBP
POLL,POLL
WRAP73,WRAP73
ZNF8,ZNF8
IRAK4,IRAK4
CCK,CCK
HOXA7,HOXA7
LRTM1,LRTM1
SSC4D,SSC4D
SCNM1,SCNM1
GPRC5D,GPRC5D
SLC27A5,SLC27A5
FANK1,FANK1
TSTD1,TSTD1
TMEM144,TMEM144
DOP1A,DOP1A
PTCD3,PTCD3
IL22RA1,IL22RA1
PPRC1,PPRC1
LTBP1,LTBP1
SEL1L2,SEL1L2
MBIP,MBIP
NID2,NID2
CACNA1D,CACNA1D
TMEM182,TMEM182
CCDC134,CCDC134
RHBG,RHBG
EBI3,EBI3
CLDN25,CLDN25
C1orf216,C1H1orf216
OSBP2,OSBP2
BOD1L2,BOD1L2
EXD1,EXD1
FUT2,FUT2
KIAA1217,KIAA1217
TTK,TTK
WDR81,WDR81
FASN,FASN
DDX60,DDX60
SEMA6D,SEMA6D
MYH4,MYH4
RRP8,RRP8
KCNA7,KCNA7
CLDN15,CLDN15
XCL1,XCL2
GALM,GALM
CMPK1,CMPK1
S100A9,S100A9
PTAFR,PTAFR
HS3ST4,HS3ST4
FUT7,FUT7
TCL1A,TCL1A
SLC29A2,SLC29A2
SLC17A7,SLC17A7
SECISBP2,SECISBP2
MYO5A,MYO5A
ITPKC,ITPKC
KIF20B,KIF20B
ZNF273,ZNF273
ANKS1A,ANKS1A
COLQ,COLQ
ROCK1,ROCK1
EPHX1,EPHX1
MR1,MR1
CHRNA7,CHRNA7
PRRC2A,PRRC2A
LYSMD1,LYSMD1
PPM1F,PPM1F
AK3,AK3
NAT8,NAT8
CDR2,CDR2
MSH3,MSH3
POLR1G,POLR1G
INSM2,INSM2
PHF1,PHF1
A2M,A2M
NID1,NID1
LCMT1,LCMT1
PTP4A2,PTP4A2
NSUN3,NSUN3
SLC51A,SLC51A
MANSC4,MANSC4
SRR,SRR
ICE1,ICE1
MPPE1,MPPE1
FGG,FGG
GPR39,GPR39
CCDC181,CCDC181
PRXL2C,PRXL2C
ARL6IP6,ARL6IP6
AUH,AUH
IGBP1,IGBP1
TMEM256,TMEM256
PRRG4,PRRG4
CD79A,CD79A
TAAR1,TAAR1
DNAJC30,DNAJC30
PATE2,PATE2
ANKRD33,ANKRD33
FNDC10,FNDC10
FAM222A,FAM222A
IQUB,IQUB
TFB2M,TFB2M
NCBP3,NCBP3
TLL2,TLL2
PTK6,PTK6
MMP19,MMP19
FBP1,FBP1
LIMD1,LIMD1
P2RY14,P2RY14
EXTL1,EXTL1
DNMBP,DNMBP
MCCC2,MCCC2
ZNF257,ZNF257
CCDC63,CCDC63
ERVMER34-1,ERVMER34-1
RBFOX2,RBFOX2
PSPH,PSPH
CHRNA10,CHRNA10
CFAP61,CFAP61
LAMB2,LAMB2
GPR65,GPR65
MTARC1,MTARC1
CSNK1A1L,CSNK1A1L
ADRA2B,ADRA2B
CCDC186,CCDC186
RMND1,RMND1
WDR35,WDR35
SLC38A9,SLC38A9
ABCG8,ABCG8
TP53I13,TP53I13
VPS13C,VPS13C
SYNGAP1,SYNGAP1
GPR82,GPR82
DKK4,DKK4
CCDC43,CCDC43
INPP5K,INPP5K
CRP,CRP
TBC1D21,TBC1D21
NDFIP2,NDFIP2
ACKR1,ACKR1
MRPL53,MRPL53
GP5,GP5
MIR497,MIR497
TIMP4,TIMP4
FNDC9,FNDC9
SLC43A1,SLC43A1
ACTN2,ACTN2
ATP6V0A1,ATP6V0A1
SLCO1A2,SLCO1A2
MTARC2,MTARC2
PEG10,PEG10
FANCC,FANCC
MEN1,MEN1
HIF3A,HIF3A
GRIN3A,GRIN3A
FGFBP2,FGFBP2
SLC26A4,SLC26A4
NFIX,NFIX
SNAPC2,SNAPC2
PSTPIP2,PSTPIP2
XRCC4,XRCC4
PANK4,PANK4
VWA1,VWA1
ATAD2,ATAD2
TOP3A,TOP3A
ABCA4,ABCA4
TAF1D,TAF1D
ZC2HC1B,ZC2HC1B
MOCOS,MOCOS
ZNF714,ZNF714
XAGE3,XAGE3
NKX3-2,NKX3-2
HCRTR2,HCRTR2
BEX5,BEX5
GSTA2,GSTA2
ACOT12,ACOT12
PIGS,PIGS
GPR146,GPR146
C11orf42,C11H11orf42
SEMA7A,SEMA7A
GIMAP8,GIMAP8
IFT70B,IFT70B
ZNF426,ZNF426
CHST9,CHST9
HOXA3,HOXA3
ZNF713,ZNF713
CPM,CPM
ESYT3,ESYT3
ENOSF1,ENOSF1
FBXL18,FBXL18
MARCKS,MARCKS
MRPL44,MRPL44
OPTC,OPTC
SP100,SP100
SLC22A12,SLC22A12
SDF2L1,SDF2L1
DNMT3L,DNMT3L
SALL1,SALL1
FASTKD3,FASTKD3
IL12RB1,IL12RB1
PARVG,PARVG
CTSS,CTSS
SPON2,SPON2
CSTPP1,CSTPP1
SH3RF3,SH3RF3
ARMT1,ARMT1
ZNF485,ZNF485
COL26A1,COL26A1
P2RX6,P2RX6
ZNF470,ZNF470
SLC22A4,SLC22A4
CLCC1,CLCC1
HELQ,HELQ
CAMSAP2,CAMSAP2
DGCR6L,DGCR6L
CNTD1,CNTD1
ATG10,ATG10
SCTR,SCTR
PVALB,PVALB
TUSC2,TUSC2
WFDC1,WFDC1
FAM170A,FAM170A
FFAR2,FFAR2
CNOT2,CNOT2
TMEM132D,TMEM132D
AFAP1L1,AFAP1L1
PTGFRN,PTGFRN
KIF14,KIF14
GTF2E1,GTF2E1
TTLL9,TTLL9
ZNF621,ZNF621
MMP17,MMP17
ATMIN,ATMIN
CRYZ,CRYZ
SDSL,SDSL
PTGR1,PTGR1
PLSCR4,PLSCR4
SLC28A2,SLC28A2
WFIKKN1,WFIKKN1
WRAP53,WRAP53
ZMYM3,ZMYM3
TMEM232,TMEM232
ALG3,ALG3
CIDEB,CIDEB
IPCEF1,IPCEF1
DDN,DDN
DDX10,DDX10
ECH1,ECH1
RNF175,RNF175
LRRC43,LRRC43
SDS,SDS
GNRHR,GNRHR
OTOGL,OTOGL
FJX1,FJX1
ERAL1,ERAL1
ZNF154,ZNF154
ICE2,ICE2
KIAA0232,KIAA0232
PKP4,PKP4
CPA5,CPA5
AOC3,AOC3
GSTM4,GSTM4
OCM,OCM
CXCL13,CXCL13
OR6A2,OR6A2
C1orf198,C1H1orf198
ZNF101,ZNF101
KPTN,KPTN
PPP1R1C,PPP1R1C
FREM1,FREM1
XPO7,XPO7
DMXL1,DMXL1
HDAC4,HDAC4
CHADL,CHADL
PATL2,PATL2
CBFA2T3,CBFA2T3
ANKUB1,ANKUB1
OSMR,OSMR
ACTL7A,ACTL7A
RTL1,RTL1
OLFML2A,OLFML2A
GOLGA2,GOLGA2
ACRBP,ACRBP
ZNF280B,ZNF280B
TECPR2,TECPR2
C22orf23,C22H22orf23
CLDN9,CLDN9
FAM83A,FAM83A
HOXB7,HOXB7
LAMC2,LAMC2
HSPG2,HSPG2
MAS1,MAS1
ACP5,ACP5
RNPEP,RNPEP
DIPK2B,DIPK2B
ALG13,ALG13
FAM20A,FAM20A
NECTIN2,NECTIN2
RICTOR,RICTOR
STAT1,STAT1
PAG1,PAG1
ZNF519,ZNF519
DDX43,DDX43
CPXM2,CPXM2
CXorf51B,CXHXorf51B
POLR3K,POLR3K
ECM1,ECM1
KRT73,KRT73
ZNF829,ZNF829
SLC4A5,SLC4A5
SLC39A6,SLC39A6
MANSC1,MANSC1
GAL3ST3,GAL3ST3
ELK4,ELK4
CTSF,CTSF
PPARGC1A,PPARGC1A
MRPS35,MRPS35
PEX7,PEX7
LGALS4,LGALS4
KLF14,KLF14
CFAP99,CFAP99
OR51S1,OR51S1
ATOSB,ATOSB
ZKSCAN3,ZKSCAN3
CWF19L1,CWF19L1
ZNF425,ZNF425
MYBL1,MYBL1
PPEF2,PPEF2
TEKT2,TEKT2
RELT,RELT
DDX24,DDX24
TTLL12,TTLL12
MYADM,MYADM
RNF113B,RNF113B
PBK,PBK
USP53,USP53
FANCE,FANCE
FAM83H,FAM83H
CCDC142,CCDC142
RENBP,RENBP
MREG,MREG
SEMA3B,SEMA3B
ISLR,ISLR
ERVV-2,ERVV-2
TOR2A,TOR2A
NCAPD3,NCAPD3
LRRC46,LRRC46
GCNT1,GCNT1
ZAR1L,ZAR1L
EEF1AKMT1,EEF1AKMT1
PRDX5,PRDX5
TMEM213,TMEM213
DNAAF6,DNAAF6
PTCH1,PTCH1
TAF5,TAF5
ZNF341,ZNF341
CRACDL,CRACDL
ARHGAP24,ARHGAP24
DNAH9,DNAH9
GP2,GP2
AGFG2,AGFG2
PRSS36,PRSS36
GSAP,GSAP
FAM83C,FAM83C
SLC25A19,SLC25A19
HOXA4,HOXA4
DUOXA2,DUOXA2
PCK2,PCK2
DGKK,DGKK
ZNF484,ZNF484
SLF2,SLF2
SLC38A10,SLC38A10
ATG2B,ATG2B
NIBAN2,NIBAN2
CACNG8,CACNG8
ARAP2,ARAP2
H1-10,H1-10
ZSCAN29,ZSCAN29
KCTD18,KCTD18
EGLN1,EGLN1
STARD5,STARD5
NICN1,NICN1
FAM181B,FAM181B
GALNT15,GALNT15
ADAMTS14,ADAMTS14
SGCB,SGCB
SHPK,SHPK
OR7A5,OR7A5
PRDM16,PRDM16
SNX21,SNX21
ANKRD10,ANKRD10
C3orf20,C3H3orf20
SCRN2,SCRN2
HEG1,HEG1
CYP4F22,CYP4F22
MEI1,MEI1
WDFY4,WDFY4
GDF10,GDF10
MED24,MED24
ZMYND15,ZMYND15
HIGD2A,HIGD2A
FNDC11,FNDC11
CMC1,CMC1
MAGEA8,MAGEA8
SENP8,SENP8
FUT4,FUT4
AVPR1B,AVPR1B
MIR143,ptr-mir-143
OR4D5,OR4D5
COX16,COX16
MRPL48,MRPL48
DERA,DERA
ROPN1,ROPN1
ZNF700,ZNF700
TECPR1,TECPR1
TRMT61B,TRMT61B
NOP9,NOP9
ENPP5,ENPP5
TOPAZ1,TOPAZ1
CPB2,CPB2
SMPD2,SMPD2
GHRHR,GHRHR
CRAMP1,CRAMP1
TMPRSS11E,TMPRSS11E
RASEF,RASEF
DRC1,DRC1
LTV1,LTV1
RDH16,RDH16
C16orf86,C16H16orf86
KLHL31,KLHL31
ANKDD1B,ANKDD1B
ZNF236,ZNF236
SIKE1,SIKE1
RHOF,RHOF
TAF11,TAF11
RILPL2,RILPL2
RNF111,RNF111
OR52E8,OR52E8
MMRN2,MMRN2
POLE2,POLE2
MYCBP2,MYCBP2
C7,C7
ASPM,ASPM
GTF2B,GTF2B
NUDT6,NUDT6
YIPF2,YIPF2
ZNF792,ZNF792
AKR1B10,AKR1B10
AKR1B1,AKR1B1
NRIP1,NRIP1
OMD,OMD
MBTPS2,MBTPS2
NCF2,NCF2
BTN1A1,BTN1A1
FUS,FUS
SPAG16,SPAG16
CCDC62,CCDC62
ADAMTS4,ADAMTS4
ARHGEF15,ARHGEF15
SLITRK6,SLITRK6
ITIH6,ITIH6
RHBDD1,RHBDD1
CYP4V2,CYP4V2
NDUFB2,NDUFB2
NGDN,NGDN
SCARNA2,SCARNA2
OR2V2,OR2V2
TKT,TKT
SMARCA4,SMARCA4
TAS1R2,TAS1R2
MZF1,MZF1
TMEM94,TMEM94
EFCAB7,EFCAB7
CENPC,CENPC
CPA1,CPA1
ITGAM,ITGAM
SH3D19,SH3D19
CPSF7,CPSF7
OR2Z1,OR2Z1
DUSP2,DUSP2
SERTAD2,SERTAD2
FAHD2A,FAHD2A
ZNF528,ZNF528
SIAE,SIAE
EARS2,EARS2
GPX8,GPX8
FGF21,FGF21
GMNN,GMNN
ZNF805,ZNF805
ZNF454,ZNF454
GSR,GSR
TYMS,TYMS
ZSCAN20,ZSCAN20
CBLIF,CBLIF
LOX,LOX
D2HGDH,D2HGDH
CGNL1,CGNL1
TIGD6,TIGD6
EML4,EML4
GCKR,GCKR
IRAK2,IRAK2
TNRC18,TNRC18
VPS39,VPS39
OR2L13,OR2L13
OR10K2,OR10K2
S100A14,S100A14
CREB3L2,CREB3L2
CAPSL,CAPSL
CYP4F8,CYP4F8
TSR3,TSR3
OR4F6,OR4F6
OR4F15,OR4F15
TEX13B,TEX13B
RPUSD1,RPUSD1
ACTL9,ACTL9
SNORD13D,SNORD13D
FGF6,FGF6
CIAPIN1,CIAPIN1
CYP4F3,CYP4F3
SNORD9,SNORD9
PKD2L2,PKD2L2
FDXACB1,FDXACB1
FIBP,FIBP
ZNF638,ZNF638
ZC3H12C,ZC3H12C
TCP11L2,TCP11L2
CREB3L1,CREB3L1
ACAD8,ACAD8
NHLRC2,NHLRC2
CELSR3,CELSR3
OR2A5,OR2A5
OR4S2,OR4S2
OR5AN1,OR5AN1
CCDC17,CCDC17
OR2M4,OR2M4
TREML1,TREML1
ZDHHC13,ZDHHC13
HNRNPA0,HNRNPA0
PI4KB,PI4KB
SARS2,SARS2
DCTN4,DCTN4
MCCC1,MCCC1
CD3E,CD3E
TDRD5,TDRD5
VSIG8,VSIG8
TM2D1,TM2D1
WWOX,WWOX
CHRND,CHRND
NTAN1,NTAN1
VCF1,VCF1
LRRCC1,LRRCC1
DDX59,DDX59
MYO3B,MYO3B
FLNB,FLNB
S100A16,S100A16
TAS2R8,TAS2R8
NOB1,NOB1
FGF4,FGF4
OR1A1,OR1A1
TIMM10B,TIMM10B
MRPL58,MRPL58
BLVRB,BLVRB
EBPL,EBPL
FAM8A1,FAM8A1
PFAS,PFAS
AOX1,AOX1
FRAS1,FRAS1
TGM5,TGM5
OCSTAMP,OCSTAMP
UBE3A,UBE3A
CRACD,CRACD
CHST5,CHST5
ZNF266,ZNF266
OR5K1,OR5K1
RRAD,RRAD
OR8D1,OR8D1
KRT82,KRT82
TSNARE1,TSNARE1
FBLN2,FBLN2
TAGLN,TAGLN
HEBP2,HEBP2
ZNF653,ZNF653
LBR,LBR
GAPVD1,GAPVD1
PGAP1,PGAP1
RSPH6A,RSPH6A
HYDIN,HYDIN
SCN11A,SCN11A
ANKRD55,ANKRD55
COL28A1,COL28A1
FAM120AOS,FAM120AOS
CYFIP2,CYFIP2
SIM1,SIM1
ADA2,ADA2
PAOX,PAOX
LIG1,LIG1
RAB44,RAB44
AP4M1,AP4M1
MRPL57,MRPL57
FRMD7,FRMD7
PAXX,PAXX
IGSF22,IGSF22
SARDH,SARDH
DUXA,DUXA
MIR133A2,ptr-mir-133a-2
SDCCAG8,SDCCAG8
ZSCAN12,ZSCAN12
ZNF320,ZNF320
HSPA14,HSPA14
USP35,USP35
FRMPD1,FRMPD1
METTL15,METTL15
AADACL4,AADACL4
KIF6,KIF6
USP45,USP45
ZNF174,ZNF174
IRAK1,IRAK1
USP44,USP44
TNKS1BP1,TNKS1BP1
FAN1,FAN1
GIGYF2,GIGYF2
TEX52,TEX52
ANKRD23,ANKRD23
SPATA4,SPATA4
DSG2,DSG2
BICDL2,BICDL2
AIRIM,AIRIM
SERPINA5,SERPINA5
STAP2,STAP2
TFPI,TFPI
TDP1,TDP1
SLC25A34,SLC25A34
GDI1,GDI1
LRRIQ1,LRRIQ1
SAG,SAG
MED12L,MED12L
AXDND1,AXDND1
ENTHD1,ENTHD1
KIRREL2,KIRREL2
ATXN7L3,ATXN7L3
ESYT1,ESYT1
RAD21L1,SNPH
CDCA7L,CDCA7L
GDF9,GDF9
PUSL1,PUSL1
CFAP141,CFAP141
SLC26A11,SLC26A11
COMMD10,COMMD10
RGS16,RGS16
METTL22,METTL22
SUSD6,SUSD6
TMEM223,TMEM223
MEDAG,MEDAG
SLC66A3,SLC66A3
GPR143,GPR143
BLK,BLK
C4orf51,C4H4orf51
SLC25A51,SLC25A51
ABCD4,ABCD4
PHC3,PHC3
BIRC6,BIRC6
CROCC,CROCC
NRG2,NRG2
ZNF596,ZNF596
SIRPA,SIRPA
TMEM175,TMEM175
MFSD2B,MFSD2B
PIGW,PIGW
PRDM10,PRDM10
BLOC1S3,BLOC1S3
IDO1,IDO1
ALKBH4,ALKBH4
PLBD1,PLBD1
ACE2,ACE2
AFF2,AFF2
AK9,AK9
SCRIB,SCRIB
CCDC188,CCDC188
CIMIP2C,C2AH2orf70
BMP8B,BMP8B
FAM221B,FAM221B
TRAP1,TRAP1
CAPN8,CAPN8
PARD3B,PARD3B
CYP2J2,CYP2J2
CARD14,CARD14
GP1BA,GP1BA
THSD7B,THSD7B
TIPIN,TIPIN
CFAP161,CFAP161
SCO1,SCO1
VRTN,VRTN
DEPDC5,DEPDC5
CDH23,CDH23
ZGRF1,ZGRF1
LYPD3,LYPD3
ECM2,ECM2
DEFA6,DEFA6
CTNND2,CTNND2
LMOD1,LMOD1
PTGIS,PTGIS
SWT1,SWT1
SURF1,SURF1
RNF149,RNF149
SPN,SPN
BGLAP,BGLAP
CLEC20A,CLEC20A
VSTM5,VSTM5
CNTF,CNTF
MED22,MED22
CD38,CD38
MS4A5,MS4A5
LHFPL7,LHFPL7
CADPS2,CADPS2
DACH2,DACH2
AFM,AFM
ARHGEF5,ARHGEF5
CALM1,CALM1
MYPOP,MYPOP
PDSS2,PDSS2
TAS2R4,TAS2R4
RGN,RGN
STEAP3,STEAP3
MYOT,MYOT
TRIM22,TRIM22
AMZ1,AMZ1
AURKAIP1,AURKAIP1
SRBD1,SRBD1
B4GALT1,B4GALT1
COMMD2,COMMD2
WDR27,WDR27
ING4,ING4
MED6,MED6
THG1L,THG1L
DSC1,DSC1
PRR32,PRR32
BMP2,BMP2
FLT3,FLT3
F2RL1,F2RL1
TOR3A,TOR3A
ZNF768,ZNF768
KIAA0408,KIAA0408
DOCK1,DOCK1
NLRP9,NLRP9
ZC3H6,ZC3H6
SPO11,SPO11
ENDOG,ENDOG
PIGC,PIGC
RTN4IP1,RTN4IP1
MIR342,ptr-mir-342
TTI1,TTI1
GPR84,GPR84
KRTDAP,KRTDAP
NUFIP1,NUFIP1
DNAH6,DNAH6
COMMD9,COMMD9
MS4A1,MS4A1
LEUTX,LEUTX
PSMC3,PSMC3
TXNRD3,TXNRD3
ZNF284,ZNF284
PALB2,PALB2
EPB41L3,EPB41L3
NAF1,NAF1
A1CF,A1CF
CAGE1,CAGE1
MRPS31,MRPS31
URB1,URB1
MYO7A,MYO7A
LMLN,LMLN
CHRNE,CHRNE
MLYCD,MLYCD
ADGRV1,ADGRV1
C11orf87,C11H11orf87
GFRAL,GFRAL
CD164,CD164
SHISA4,SHISA4
JAML,JAML
COL9A2,COL9A2
DNAJB4,DNAJB4
IPO4,IPO4
SDR42E1,SDR42E1
XXYLT1,XXYLT1
NAPEPLD,NAPEPLD
DENND6B,DENND6B
CRTAM,CRTAM
SHANK1,SHANK1
HIVEP3,HIVEP3
RFX1,RFX1
GRIA2,GRIA2
C5orf34,C5H5orf34
USP47,USP47
CCL13,CCL13
CSTB,CSTB
ARL11,ARL11
MT-ND4L,MT-ND4L
TC2N,TC2N
NELFA,NELFA
CCL19,CCL19
MIR514A1,MIR514-1
CERS6,CERS6
FREY1,FREY1
FAM53C,FAM53C
CXCL10,CXCL10
S100A2,S100A2
LRRC38,LRRC38
PANX3,PANX3
TEKT3,TEKT3
CCDC149,CCDC149
LIPE,LIPE
DPH2,DPH2
NTN5,NTN5
PRKAG3,PRKAG3
SUSD2,SUSD2
CDC42EP1,CDC42EP1
ZNF407,ZNF407
FOXRED2,FOXRED2
LRP5,LRP5
ATP7B,ATP7B
TCERG1L,TCERG1L
ACSM3,ACSM3
CLHC1,CLHC1
NIFK,NIFK
NUS1,NUS1
EPRS1,EPRS1
GOLGB1,GOLGB1
KCNJ11,KCNJ11
PYCARD,PYCARD
RD3,RD3
N4BP2L1,N4BP2L1
PLEKHH1,PLEKHH1
MINPP1,MINPP1
C1RL,C1RL
HNMT,HNMT
DECR2,DECR2
ZNF677,ZNF677
CD163L1,CD163L1
PIWIL2,PIWIL2
MPHOSPH10,MPHOSPH10
UTS2R,UTS2R
OXTR,OXTR
TREH,TREH
PRORP,PRORP
STKLD1,STKLD1
MAST4,MAST4
IGSF10,IGSF10
DZANK1,DZANK1
GAREM2,GAREM2
NANOS1,NANOS1
CBX8,CBX8
HCLS1,HCLS1
USP16,USP16
FOXP4,FOXP4
DEFA4,DEFA4
ZNF845,ZNF845
HIGD1C,HIGD1C
EXOSC7,EXOSC7
RGR,RGR
SPINK8,SPINK8
SPINK14,SPINK14
TAS2R16,TAS2R16
IL18BP,IL18BP
CCDC167,CCDC167
BTBD19,BTBD19
BPHL,BPHL
DNAJC28,DNAJC28
MIR651,ptr-mir-651
MRPS11,MRPS11
VWF,VWF
TIMM22,TIMM22
ART5,ART5
SMAGP,SMAGP
SLC66A1,SLC66A1
PGC,PGC
ATXN7L3B,ATXN7L3B
MTPAP,MTPAP
LYG1,LYG1
NPY,NPY
ANGPTL5,ANGPTL5
ARMC3,ARMC3
CHPF,CHPF
PARP15,PARP15
DHX58,DHX58
SLC15A3,SLC15A3
ENTPD6,ENTPD6
MYL1,MYL1
GALR2,GALR2
TCERG1,TCERG1
ACSM4,ACSM4
MAP3K13,MAP3K13
DZIP3,DZIP3
ALOX15B,ALOX15B
VPS45,VPS45
PERP,PERP
RHBDD3,RHBDD3
ASCL2,ASCL2
MSGN1,MSGN1
C11orf91,CD59
ANXA2R,ANXA2R
MFRP,MFRP
ZFP28,ZFP28
MBD4,MBD4
VDAC1,VDAC1
