gorilla gene name,rhesus_macaque gene name
DPAGT1,DPAGT1
CERS3,CERS3
PPBP,PPBP
BCLAF3,BCLAF3
MAPK1IP1L,MAPK1IP1L
EXOC3L1,EXOC3L1
PUM2,PUM2
LRRC55,LRRC55
ARFIP2,ARFIP2
CNTROB,CNTROB
VHL,VHL
HYDIN,HYDIN
MAB21L4,MAB21L4
CNOT6L,CNOT6L
CHRM5,CHRM5
DCLRE1B,DCLRE1B
GCC2,GCC2
CCDC194,CCDC194
RSPO4,RSPO4
ALS2,ALS2
ANKRD22,ANKRD22
MIR1224,mml-mir-1224
MIR126,mml-mir-126
SNORD105,SNORD105
RAD23A,RAD23A
SYNE2,SYNE2
DPYSL2,DPYSL2
ANK2,ANK2
RAB41,RAB41
MYO18B,MYO18B
MAST2,MAST2
TBX6,TBX6
CD44,CD44
CMC1,CMC1
OR13C9,OR13C9
MRPS33,MRPS33
DTYMK,DTYMK
C10orf88,C9H10orf88
U2SURP,U2SURP
ZBTB3,ZBTB3
ACE2,ACE2
ECT2L,ECT2L
MRPS22,MRPS22
BICDL2,BICDL2
SRD5A2,SRD5A2
SLC4A9,SLC4A9
MKLN1,MKLN1
AVPR2,AVPR2
SKIC3,SKIC3
SCFD2,SCFD2
AASDH,AASDH
FRY,FRY
AMPD1,AMPD1
LONRF3,LONRF3
MINAR2,MINAR2
IGF2R,IGF2R
LHX3,LHX3
RS1,RS1
FAM83G,FAM83G
ZSWIM2,ZSWIM2
SIGLEC1,SIGLEC1
LRRC34,LRRC34
ZNF165,ZNF165
MCF2,MCF2
TXNDC16,TXNDC16
LENG1,LENG1
PGM3,PGM3
PLSCR3,PLSCR3
AQP9,AQP9
KNSTRN,KNSTRN
NUDT6,NUDT6
DENND2A,DENND2A
DAW1,DAW1
ZNF391,ZNF391
EPOP,EPOP
MED29,MED29
OPN5,OPN5
NOX3,NOX3
MDFIC2,MDFIC2
MPL,MPL
GAS2L3,GAS2L3
TNS4,TNS4
DGCR2,DGCR2
PRKCG,PRKCG
PBRM1,PBRM1
OTOG,OTOG
ggo-mir-454,mml-mir-454
TDRD9,TDRD9
RPS19BP1,RPS19BP1
POLR3F,POLR3F
QPCT,QPCT
ATP6V1F,ATP6V1F
AKIP1,AKIP1
PIGL,PIGL
CFAP90,CFAP90
RNU6ATAC6P,RNU6ATAC6P
RNASE4,RNASE4
USP36,USP36
EGFL7,EGFL7
CRLF1,CRLF1
TMEM245,TMEM245
RBM15,RBM15
OR4S2,OR4S2
PLCH2,PLCH2
DYRK3,DYRK3
PDAP1,PDAP1
ITGA9,ITGA9
THUMPD2,THUMPD2
GAPDHS,GAPDHS
ZC3H8,ZC3H8
SLC25A34,SLC25A34
CPPED1,CPPED1
OR5D14,OR5D14
CFAP65,CFAP65
CH25H,CH25H
BHLHE23,BHLHE23
DEDD,DEDD
SLC26A9,SLC26A9
CTNND2,CTNND2
WDR64,WDR64
MRPL35,MRPL35
TAGAP,TAGAP
PLAC8L1,PLAC8L1
GPRC5D,GPRC5D
CALCOCO2,CALCOCO2
RAD18,RAD18
NIT1,NIT1
ARHGEF19,ARHGEF19
OR10P1,OR10P1
ITGB4,ITGB4
TCIRG1,TCIRG1
TARS3,TARS3
LRIT3,LRIT3
GRAMD1B,GRAMD1B
SLC24A5,SLC24A5
TUBGCP4,TUBGCP4
MMP17,MMP17
TREH,TREH
GPRIN2,GPRIN2
NUP54,NUP54
PALMD,PALMD
F8,F8
SCMH1,SCMH1
MARCHF9,MARCHF9
OR6C1,OR6C1
ZNF75D,ZNF75D
ABHD15,ABHD15
YARS1,YARS1
FUS,TRIM72
SLC35D1,SLC35D1
SAMD9,SAMD9
TIA1,TIA1
ggo-mir-101,mml-mir-101-1
FAU,FAU
LRIT2,LRIT2
AGPS,AGPS
TSPYL5,TSPYL5
PI16,PI16
AFG3L2,AFG3L2
GRAMD1C,GRAMD1C
MYC,MYC
SULT1C4,SULT1C4
SLC36A4,SLC36A4
GDF9,GDF9
UGGT2,UGGT2
C9orf72,C9orf72
TIMM21,TIMM21
OR5W2,OR5W2
GAB1,GAB1
CIAO1,CIAO1
USP44,USP44
SAV1,SAV1
ZC3H12D,ZC3H12D
BAG5,BAG5
RBPJ,RBPJ
ARHGAP39,ARHGAP39
TSTD2,TSTD2
DDHD1,DDHD1
ZNF800,ZNF800
CC2D1B,CC2D1B
MCF2L,MCF2L
SHQ1,SHQ1
EGR2,EGR2
SLC25A47,SLC25A47
PARVA,PARVA
ZNF551,ZNF551
ZNF23,ZNF23
CBLL1,CBLL1
NUDT9,NUDT9
DENND2B,DENND2B
ARID3A,ARID3A
BDKRB2,BDKRB2
MACROD2,MACROD2
ZGPAT,ZGPAT
PAG1,PAG1
GLYATL3,GLYATL3
SPRY4,SPRY4
SPATA46,SPATA46
SSH3,SSH3
CEP250,CEP250
UFD1,UFD1
TRPM5,TRPM5
PRRG4,PRRG4
LEMD2,LEMD2
C3orf62,C2H3orf62
CCDC9B,CCDC9B
APOA1,APOA1
CNKSR3,CNKSR3
C3,C3
NEIL1,NEIL1
ACADSB,ACADSB
ANO1,ANO1
RABL6,RABL6
SLC5A6,SLC5A6
LYPD4,LYPD4
SIGLEC15,SIGLEC15
IP6K3,IP6K3
ARIH2,ARIH2
SPMIP1,SPMIP1
MAP3K10,MAP3K10
LGR4,LGR4
ZNF34,ZNF34
IBSP,IBSP
ADAMTS3,ADAMTS3
RPS9,RPS9
UCP1,UCP1
ANGPTL3,ANGPTL3
SMCO3,SMCO3
BORA,BORA
BARD1,BARD1
NDUFAF3,NDUFAF3
GGA3,GGA3
CMBL,CMBL
VAT1,VAT1
GMCL1,GMCL1
POMP,POMP
FNBP1,FNBP1
ACAA1,ACAA1
RTN1,RTN1
ATRIP,ATRIP
MAT2A,MAT2A
TRAF3IP2,TRAF3IP2
WWC2,WWC2
DZIP3,DZIP3
JMY,JMY
CCDC71,CCDC71
CACHD1,CACHD1
USH2A,USH2A
APOF,APOF
RARRES2,RARRES2
EXOC6,EXOC6
KRT32,KRT32
FMN1,FMN1
ZFP37,ZFP37
MSH3,MSH3
TSFM,TSFM
PYCR1,PYCR1
TMEM41B,TMEM41B
JADE2,JADE2
TPRKB,TPRKB
INHA,INHA
CMTM6,CMTM6
FTHL17,FTHL17
FAM174A,FAM174A
PSKH2,PSKH2
ZNF175,ZNF175
NR0B2,NR0B2
CDH17,CDH17
KCNE5,KCNE5
HBQ1,HBQ1
PSD2,PSD2
OC90,OC90
CEP350,CEP350
SAMD7,SAMD7
FBXO16,FBXO16
G6PC2,G6PC2
NISCH,NISCH
UGGT1,UGGT1
LY86,LY86
VWA7,VWA7
FOXP2,FOXP2
ADH6,ADH6
USPL1,USPL1
FBXO40,FBXO40
KCTD6,KCTD6
RPS6KB2,RPS6KB2
SLCO4A1,SLCO4A1
PPP6R3,PPP6R3
AFP,AFP
KPNA3,KPNA3
NTF3,NTF3
TTC32,TTC32
TM4SF4,TM4SF4
UAP1,UAP1
CP,CP
CHRD,CHRD
CACNA1E,CACNA1E
MC3R,MC3R
ARFGAP3,ARFGAP3
CLTRN,CLTRN
SRP68,SRP68
TBXA2R,TBXA2R
FXR2,FXR2
PIERCE2,PIERCE2
PALS2,PALS2
F11,F11
TRMT2B,TRMT2B
ASAP1,ASAP1
FAM217B,FAM217B
BFSP1,BFSP1
SLC11A2,SLC11A2
SYCP2,SYCP2
MRPL30,MRPL30
MAGEE2,MAGEE2
ITGA2B,ITGA2B
KCNRG,KCNRG
CIMIP2C,CIMIP2C
SYCP1,SYCP1
ZBTB42,ZBTB42
ZNF350,ZNF350
PADI1,PADI1
NLRC4,NLRC4
AQP8,AQP8
SAMD13,SAMD13
ADAR,ADAR
TECRL,TECRL
MEIOSIN,MEIOSIN
DNAI3,DNAI3
PGLYRP3,PGLYRP3
PTX3,PTX3
FRMPD2,FRMPD2
CAPN2,CAPN2
ZNF180,ZNF180
HYAL4,HYAL4
ACOT12,ACOT12
SSR2,SSR2
PER1,PER1
CD101,CD101
SLC27A3,SLC27A3
ggo-mir-29b-2,mml-mir-29b-2
ACOX1,ACOX1
KRT84,KRT84
CSKMT,CSKMT
CRTC2,CRTC2
PNMA3,PNMA3
MYT1,MYT1
IQCA1L,IQCA1L
ABHD5,ABHD5
RPS6KA3,RPS6KA3
C8orf90,C8orf90
VLDLR,VLDLR
CPNE6,CPNE6
SLC27A6,SLC27A6
EPS8,EPS8
SPRY1,SPRY1
CPA1,CPA1
LIPK,LIPK
GLS2,GLS2
KLKB1,KLKB1
PEX2,PEX2
ANPEP,ANPEP
ITGAL,ITGAL
XKR8,XKR8
ZNF682,ZNF682
ODF2,ODF2
ENPEP,ENPEP
SPAG4,SPAG4
TMEM179B,TMEM179B
MIR516A-2,mml-mir-516a-1
TMC6,TMC6
DYNLT5,DYNLT5
CA14,CA14
TMEM161A,TMEM161A
ZSCAN26,ZSCAN26
SNORD38A,SNORD38A
SLCO2B1,SLCO2B1
CST9,CST9
GGH,GGH
TMEM26,TMEM26
ARHGEF12,ARHGEF12
NFRKB,NFRKB
SASH1,SASH1
OR13G1,OR13G1
SI,SI
PIK3R5,PIK3R5
CHSY3,CHSY3
TBC1D8B,TBC1D8B
KRT81,KRT81
TTLL5,TTLL5
FAM120C,FAM120C
DNALI1,DNALI1
CHRNB4,CHRNB4
NDUFV1,NDUFV1
ACTL9,ACTL9
DDC,DDC
LCAT,LCAT
TNS2,TNS2
IL17RD,IL17RD
SDC4,SDC4
SMIM9,SMIM9
IL22RA1,IL22RA1
MARCHF2,MARCHF2
CPZ,CPZ
KIF7,KIF7
RNPEP,RNPEP
CDK5RAP3,CDK5RAP3
QSER1,QSER1
USP38,USP38
HELB,HELB
SERPINA7,SERPINA7
ZNF841,ZNF841
ATP6V1B2,ATP6V1B2
CROT,CROT
AHR,AHR
NDOR1,NDOR1
POLR2C,POLR2C
FNIP2,FNIP2
ANO6,ANO6
FAN1,FAN1
JAK2,JAK2
VWA3A,VWA3A
PGBD1,PGBD1
EXD1,EXD1
TGM7,TGM7
CCR8,CCR8
MORF4L1,MORF4L1
XRCC4,XRCC4
GPR161,GPR161
SPNS3,SPNS3
PTPRU,PTPRU
OR10A4,OR10A4
IL13RA1,IL13RA1
PELP1,PELP1
SCUBE1,SCUBE1
CACNA1H,CACNA1H
PEMT,PEMT
REP15,REP15
NUDT8,NUDT8
NALCN,NALCN
NLRP3,NLRP3
NFASC,NFASC
TEX52,TEX52
NLRC5,NLRC5
KLRK1,NKG2D
CFAP54,CFAP54
IGF2BP3,IGF2BP3
OR1E1,OR1E1
PPP1R8,STX12
PAFAH1B1,PAFAH1B1
PRSS36,PRSS36
IL1R1,IL1R1
PHLDB2,PHLDB2
ZNF334,ZNF334
MIR579,mml-mir-579
NUMB,NUMB
TRHDE,TRHDE
METTL18,METTL18
PPP1CC,PPP1CC
OPTN,OPTN
DROSHA,DROSHA
ZNF773,ZNF773
RAD21L1,RAD21L1
EFCAB3,EFCAB3
MOCOS,MOCOS
SLC26A11,SLC26A11
RPRD2,RPRD2
OGDHL,OGDHL
TSPYL1,TSPYL1
GALK2,GALK2
ZNF550,ZNF550
NUMA1,NUMA1
LRFN5,LRFN5
BEX1,BEX1
TTC39B,TTC39B
MYH7,MYH7
LEKR1,LEKR1
OR8B8,OR8B8
OR10K2,OR10K2
PIPOX,PIPOX
PDCD1LG2,PDCD1LG2
CFAP69,CFAP69
EPHB2,EPHB2
TFRC,TFRC
CCDC62,CCDC62
LYVE1,LYVE1
ZNF16,ZNF16
TIGD5,TIGD5
ZC4H2,ZC4H2
LRRC19,LRRC19
PABPC4L,PABPC4L
ZFP57,ZFP57
HYCC2,HYCC2
SRP72,SRP72
C1QB,C1QB
ZYG11A,ZYG11A
ST3GAL1,ST3GAL1
SLCO2A1,SLCO2A1
BOP1,BOP1
KCNQ3,KCNQ3
TMTC2,TMTC2
SPIB,SPIB
RAMP2,RAMP2
BCAN,BCAN
SALL3,SALL3
MUS81,MUS81
OGDH,OGDH
PIERCE1,PIERCE1
TGFBR1,TGFBR1
LTN1,LTN1
B3GALT9,B3GALT9
SOX15,SOX15
C8orf76,C8H8orf76
NR5A1,NR5A1
CARMIL2,CARMIL2
MED1,MED1
TCN2,TCN2
PPP4R4,PPP4R4
MIR651,mml-mir-651
EIF2AK1,EIF2AK1
C2orf74,C13H2orf74
HIP1,HIP1
PLEKHG1,PLEKHG1
TMEM175,TMEM175
HSD17B3,HSD17B3
SIRT4,SIRT4
CCDC33,CCDC33
C6orf163,C4H6orf163
DPYS,DPYS
CLDN2,CLDN2
ANGPT4,ANGPT4
ARHGEF28,ARHGEF28
ZKSCAN2,ZKSCAN2
CAMSAP1,CAMSAP1
SYNJ2,SYNJ2
CRYGD,CRYGD
ZSCAN31,ZSCAN31
SF3B1,SF3B1
HPS5,HPS5
AP4E1,AP4E1
MRPL37,MRPL37
SYCN,SYCN
C3orf38,C2H3orf38
ORC1,ORC1
DUOX1,DUOX1
GCSAML,GCSAML
TENM4,TENM4
WNK4,WNK4
MCIDAS,MCIDAS
RUVBL1,RUVBL1
ART1,ART1
IER5,IER5
ELMOD2,ELMOD2
CNFN,CNFN
UPF3A,UPF3A
TMPRSS15,TMPRSS15
CBX2,CBX2
SLC13A3,SLC13A3
DKK3,DKK3
LEFTY1,PYCR2
STAMBP,STAMBP
MCCC1,MCCC1
VSX1,VSX1
CDK15,CDK15
CCR5,CCR5
SMTNL2,SMTNL2
PMPCB,PMPCB
TEKTL1,TEKTL1
GPR33,GPR33
ZNF570,ZNF570
SCN11A,SCN11A
AK5,AK5
ZNF792,ZNF792
IL7,IL7
TMEM135,TMEM135
IGFBP6,IGFBP6
LRP11,LRP11
XRRA1,XRRA1
LDB2,LDB2
SYT12,SYT12
DYNC2I2,DYNC2I2
GATB,GATB
EPHX2,EPHX2
BAZ1B,BAZ1B
EML3,EML3
GARNL3,GARNL3
AEN,AEN
NFATC3,NFATC3
KANK4,KANK4
LRRC26,LRRC26
TOE1,TOE1
ZNF77,ZNF77
XXYLT1,XXYLT1
FHDC1,FHDC1
VPS37C,VPS37C
ASPA,ASPA
PIWIL3,PIWIL3
SUGP2,SUGP2
SLC39A4,SLC39A4
HADHA,HADHA
NDUFS8,NDUFS8
RRAD,RRAD
TMEM232,TMEM232
CREB3,CREB3
GCNT3,GCNT3
PTPN18,PTPN18
TTC13,TTC13
PRPS1L1,PRPS1L1
DOCK2,DOCK2
SNORA5B,SNORA5B
ANKRD44,ANKRD44
ZKSCAN7,ZKSCAN7
ZNRF3,ZNRF3
SNORD10,SNORD10
CBY2,CBY2
CIMIP2B,CIMIP2B
ARFGEF1,ARFGEF1
MIR562,mml-mir-562
IL26,IL26
SERPINF1,SERPINF1
ARL14EPL,ARL14EPL
C16orf74,C20H16orf74
TMEM132B,TMEM132B
SFMBT1,SFMBT1
PRKAR2A,PRKAR2A
LMTK3,LMTK3
CNGA1,CNGA1
REPS2,REPS2
P2RX7,P2RX7
CCDC13,CCDC13
DHX37,DHX37
STXBP5L,STXBP5L
AFDN,AFDN
GTPBP8,GTPBP8
MPG,MPG
ORC5,ORC5
STPG4,STPG4
ACVR1C,ACVR1C
ANKS6,ANKS6
MAN2C1,MAN2C1
DAGLB,DAGLB
FADD,FADD
ZFP41,ZFP41
DDX6,DDX6
FMO4,FMO4
RNF121,RNF121
FAM76A,FAM76A
EZH2,EZH2
CTSO,CTSO
SOWAHB,SOWAHB
CD36,CD36
SPA17,SPA17
CEP57L1,CEP57L1
POLB,POLB
WDR59,WDR59
GJA8,GJA8
TYRO3,TYRO3
SELP,SELP
ASIP,ASIP
ALPI,ALPI
SNORA20,SNORA20
FRMD5,FRMD5
AMZ1,AMZ1
AKAP3,AKAP3
TRAPPC14,TRAPPC14
LRRC9,LRRC9
ZNF574,ZNF574
AKR1E2,AKR1E2
OR2AT4,OR2AT4
NSMF,NSMF
TSHZ2,TSHZ2
NMUR2,NMUR2
LBX2,LBX2
RFC1,RFC1
GALNT5,GALNT5
MRPL32,MRPL32
PDCD2L,PDCD2L
NMT2,NMT2
CIROP,CIROP
AVEN,AVEN
SDE2,SDE2
DENND10,DENND10
SCAF11,SCAF11
TRPV4,TRPV4
VGLL2,VGLL2
FREM3,FREM3
ZBED1,ZBED1
OMD,OMD
IL17RA,IL17RA
MXRA5,MXRA5
IGHMBP2,IGHMBP2
AK2,AK2
EYA4,EYA4
GCM2,GCM2
ASTL,ASTL
PCDHB15,PCDHB15
GPANK1,GPANK1
EFS,EFS
C1QBP,C1QBP
ATXN7,ATXN7
ARL16,ARL16
CTBS,CTBS
MTX2,MTX2
DNAI1,DNAI1
MDM1,MDM1
PPP1R12B,PPP1R12B
NPLOC4,NPLOC4
OR4D5,OR4D5
FBLIM1,FBLIM1
CNTN4,CNTN4
DSN1,DSN1
RALGAPA2,RALGAPA2
AKAP4,AKAP4
FUZ,FUZ
KMT2B,KMT2B
NLRP14,NLRP14
DNMBP,DNMBP
TRIM55,TRIM55
DTD2,DTD2
SPAG17,SPAG17
HOMEZ,HOMEZ
OR2T27,OR2T27
RFTN1,RFTN1
ZFP91,ZFP91
DENND5B,DENND5B
IHO1,IHO1
KIF6,KIF6
DPPA2,DPPA2
PRRC1,PRRC1
MRPS7,MRPS7
TMEM247,TMEM247
ACP6,ACP6
TRIM44,TRIM44
WDR73,WDR73
TRIM38,TRIM38
ARMCX5,ARMCX5
TOR3A,TOR3A
SULT2B1,SULT2B1
BDH2,BDH2
ZSCAN22,ZSCAN22
MAMSTR,MAMSTR
MELK,MELK
AKAP5,AKAP5
ZNF416,ZNF416
CCDC196,CCDC196
RASSF10,RASSF10
FBXL6,FBXL6
CIAO3,CIAO3
TMEM89,TMEM89
LYPD5,LYPD5
WWTR1,WWTR1
MPDZ,MPDZ
SPATA19,SPATA19
LIMK1,LIMK1
ZBTB49,ZBTB49
ADAM12,ADAM12
CD80,CD80
TMEM108,TMEM108
MIR335,MIR335
GPLD1,GPLD1
ALG13,ALG13
LAMC3,LAMC3
PIH1D2,PIH1D2
ggo-mir-182,mml-mir-182
SLC28A2,SLC28A2
FSD2,FSD2
PDE1B,PDE1B
SELE,SELE
FHIT,FHIT
EVPL,EVPL
ANLN,ANLN
ADAM21,ADAM21
OSER1,OSER1
KCTD10,KCTD10
PIGK,PIGK
ADCY7,ADCY7
GBE1,GBE1
TMEM156,TMEM156
ACOD1,ACOD1
AADACL4,AADACL4
NDUFAF8,NDUFAF8
TRAV20,TRAV20
PDZD8,PDZD8
IQCK,IQCK
FOXM1,FOXM1
COQ4,COQ4
POLDIP3,POLDIP3
SPP1,SPP1
CALHM4,CALHM4
GALNT15,GALNT15
C8B,C8B
SCAI,SCAI
PCDHB6,PCDHB6
MCAM,MCAM
AASS,AASS
MPZL1,MPZL1
REST,REST
PNPLA7,PNPLA7
RNase_MRP,RNase_MRP
ZNF384,ZNF384
PHGDH,PHGDH
PRKAG1,PRKAG1
MRPL49,MRPL49
REG1A,REG1A
CD74,CD74
GNPAT,GNPAT
MOK,MOK
IFNGR1,IFNGR1
PGRMC2,PGRMC2
TMEM212,TMEM212
SNORA30,SNORA30
SNORA11C,SNORA11C
GTPBP10,GTPBP10
CELA1,CELA1
MYO19,MYO19
SGIP1,SGIP1
OGFOD2,OGFOD2
ANK1,ANK1
LRRC52,LRRC52
TTLL11,TTLL11
SERPINB1,SERPINB1
GAN,GAN
ADH5,ADH5
GCNT4,GCNT4
ggo-mir-136,mml-mir-136
EGFLAM,EGFLAM
FAM234A,FAM234A
S100A5,S100A5
TOR4A,TOR4A
PACS2,PACS2
SLCO5A1,SLCO5A1
ASH1L,ASH1L
GPSM1,GPSM1
OSBP2,OSBP2
C18orf54,C18H18orf54
FRMD3,FRMD3
EDDM3B,EDDM3B
ANO3,ANO3
ECE1,ECE1
ACAD10,ACAD10
RBM48,RBM48
SLC30A6,SLC30A6
ADAMTSL5,ADAMTSL5
TSPEAR,TSPEAR
ZSCAN32,ZSCAN32
RGS14,RGS14
FNDC11,FNDC11
CIBAR1,CIBAR1
TFDP2,TFDP2
C12orf56,C11H12orf56
ADAD1,ADAD1
TBPL2,TBPL2
ASPHD1,ASPHD1
GSG1L2,GSG1L2
NUDT7,NUDT7
TMPRSS11A,TMPRSS11A
TTLL13,TTLL13
VTCN1,VTCN1
COL6A6,COL6A6
YTHDF1,YTHDF1
ADAMTS20,ADAMTS20
PPP2R2D,PPP2R2D
ARID3C,ARID3C
CALR3,CALR3
MRPL51,MRPL51
GRM8,GRM8
TRAV38-1,TRAV38-1
CFAP161,CFAP161
ANKRD11,ANKRD11
GHDC,GHDC
CPED1,CPED1
PEAK1,PEAK1
PARS2,PARS2
CAAP1,CAAP1
CIMAP1C,CIMAP1C
KIAA0408,KIAA0408
TMIGD3,TMIGD3
DIP2A,DIP2A
PHOX2A,PHOX2A
CARD14,CARD14
IFT22,IFT22
SNORD101,SNORD101
PRAG1,PRAG1
ADGRB1,ADGRB1
RRP8,RRP8
IQCF5,IQCF5
OR2A12,OR2A12
KRT4,KRT4
MIR491,mml-mir-491
TIMELESS,TIMELESS
NUDT15,NUDT15
LRRC58,LRRC58
TMEM81,TMEM81
NCAN,NCAN
INPP5E,INPP5E
FBH1,FBH1
MYSM1,MYSM1
CKAP2,CKAP2
NOX1,NOX1
CDC20B,CDC20B
TGS1,TGS1
ZCCHC2,ZCCHC2
BSN,BSN
ZNF362,ZNF362
ALPK1,ALPK1
PARN,PARN
SORCS2,SORCS2
COX6A1,COX6A1
MIR592,MIR592
TDRD6,TDRD6
CAPRIN1,CAPRIN1
SPATA22,SPATA22
ZNF629,ZNF629
TMCC3,TMCC3
GTPBP4,GTPBP4
MMP19,MMP19
H2BC1,H2BC1
URB2,URB2
FAM229A,FAM229A
CCL28,CCL28
HDAC6,HDAC6
PLCL2,PLCL2
GMNN,GMNN
OSMR,OSMR
GTF2E2,GTF2E2
INSYN2B,INSYN2B
ABI2,ABI2
ARK2C,ARK2C
SNORA31B,SNORA31B
MIS18BP1,MIS18BP1
MIDN,MIDN
QARS1,QARS1
DALRD3,DALRD3
MAB21L3,MAB21L3
APBB1IP,APBB1IP
SERPINB7,SERPINB7
UBXN6,UBXN6
KPNA7,KPNA7
CEP97,CEP97
KIRREL3,KIRREL3
SIL1,SIL1
PHYKPL,PHYKPL
ATP5MC1,ATP5MC1
LRRC74A,LRRC74A
TLL2,TLL2
LRRC56,LRRC56
ECPAS,ECPAS
DUSP16,DUSP16
GBP3,GBP3
CDCP2,CDCP2
RTP2,RTP2
DRC3,DRC3
GPR37L1,GPR37L1
NAT1,NAT1
SLFNL1,SLFNL1
RERE,RERE
WWC1,WWC1
NR6A1,NR6A1
SMC1A,SMC1A
FGFBP1,FGFBP1
MPPE1,MPPE1
IL15,IL15
MRPL24,MRPL24
RNU6ATAC8P,RNU6ATAC8P
SCARNA17,SCARNA17
CENPP,CENPP
C3orf85,C2H3orf85
KLHL26,KLHL26
NEU4,NEU4
PPP3CC,PPP3CC
SPTA1,SPTA1
FANCM,FANCM
SUSD5,SUSD5
FTMT,FTMT
DCAF12L1,DCAF12L1
HIVEP1,HIVEP1
NLRP10,NLRP10
SLC12A5,SLC12A5
SEL1L3,SEL1L3
KCNT1,KCNT1
CSTF3,CSTF3
ADAM19,ADAM19
CHRNA4,CHRNA4
ZSCAN2,ZSCAN2
SKA3,SKA3
CSTPP1,CSTPP1
FAM161A,FAM161A
SLC40A1,SLC40A1
EID2B,EID2B
CCNA1,CCNA1
EYS,EYS
DST,DST
CYBRD1,CYBRD1
FBXO45,FBXO45
DGKK,DGKK
ZNF530,ZNF530
ACSL6,ACSL6
NRK,NRK
PEG3,PEG3
INCENP,INCENP
DNASE1,DNASE1
PLK3,PLK3
AKT1S1,AKT1S1
NET1,NET1
MAP4K4,MAP4K4
TRAV1-1,TRAV1-1
ZAR1L,ZAR1L
TRAV21,TRAV21
FGFR4,ZNF346
ULK1,ULK1
HRH2,HRH2
MNT,MNT
SERINC5,SERINC5
ARL11,ARL11
NMRK2,NMRK2
BBS10,BBS10
HNRNPK,HNRNPK
SNORD4B,SNORD4B
PRPF18,PRPF18
SAPCD1,SAPCD1
MRPS34,MRPS34
AMH,AMH
AHCTF1,AHCTF1
UBE3B,UBE3B
MAST4,MAST4
DPF1,DPF1
ZNF408,ZNF408
INAVA,INAVA
CFAP43,CFAP43
DNAAF9,DNAAF9
PCSK5,PCSK5
SLC25A28,SLC25A28
RFX1,RFX1
SNORD56B,SNORD56B
CDX4,CDX4
GJC3,GJC3
JCAD,JCAD
ZNF565,ZNF565
GOLGA2,GOLGA2
HPX,HPX
ZNF414,ZNF414
CEP170,CEP170
CTDSPL2,CTDSPL2
OR13F1,OR13F1
FAM120B,FAM120B
NDUFAF5,NDUFAF5
WIPI1,WIPI1
SIPA1L2,SIPA1L2
MEGF6,MEGF6
SAXO4,SAXO4
MAPK11,MAPK11
FAM83E,FAM83E
FAM186B,FAM186B
MOCS3,MOCS3
TMEM208,TMEM208
PLVAP,PLVAP
SNORD111B,SNORD111B
MRPL50,MRPL50
ATF7IP2,ATF7IP2
KDM7A,KDM7A
USO1,USO1
PKN1,PKN1
OGFOD1,OGFOD1
DEPP1,DEPP1
ZNF707,ZNF707
SLCO4C1,SLCO4C1
DRD2,DRD2
CYP1A1,CYP1A1
MED26,MED26
POLN,POLN
ALDH1L1,ALDH1L1
APOB,APOB
HTR3B,HTR3B
MX1,MX1
STAU1,STAU1
TWF1,TWF1
OR6P1,OR6P1
ENGASE,ENGASE
ZSCAN30,ZSCAN30
ALDH1A2,ALDH1A2
REXO4,REXO4
LAMP2,LAMP2
CYP3A43,CYP3A43
CCDC142,CCDC142
IL16,IL16
APCDD1L,APCDD1L
SENP5,SENP5
PLEKHG6,PLEKHG6
CYP4X1,CYP4X1
CD2,CD2
PHLPP2,PHLPP2
EFHC1,EFHC1
DNAJA4,DNAJA4
C22orf31,C10H22orf31
GXYLT2,GXYLT2
WDR13,WDR13
KPRP,KPRP
KIAA1328,KIAA1328
FHIP2B,FHIP2B
PMFBP1,PMFBP1
AKAP9,AKAP9
MICAL3,MICAL3
KAZN,KAZN
C4orf51,C5H4orf51
STIM2,STIM2
FGGY,FGGY
TTK,TTK
NDEL1,NDEL1
POGZ,POGZ
SNORD41,SNORD41
CERKL,CERKL
MYO1C,MYO1C
TUFM,TUFM
INF2,INF2
HMOX1,HMOX1
RC3H1,RC3H1
PLB1,PLB1
BMP8A,BMP8B
ZNF214,ZNF214
ggo-mir-125b-1,mml-mir-125b-1
OPTC,OPTC
CXorf58,CXHXorf58
IL23R,IL23R
TMIGD1,TMIGD1
CTSW,CTSW
PAPOLG,PAPOLG
ZNF470,ZNF470
BAG6,BAG6
HERC5,HERC5
SERTAD2,SERTAD2
CDC25B,CDC25B
OR52K1,OR52K1
OR1Q1,OR1Q1
GOT1L1,GOT1L1
NEPRO,NEPRO
GALNT2,GALNT2
NAGS,NAGS
IFNG,IFNG
ADH1A,ADH1A
CEP295,CEP295
TRABD2A,TRABD2A
KLHL31,KLHL31
SMARCD2,SMARCD2
MROH7,MROH7
KIAA0825,KIAA0825
FAM234B,FAM234B
TMEM187,TMEM187
CA1,CA1
BRCC3,BRCC3
HMGXB4,HMGXB4
CABLES2,CABLES2
PSMD10,PSMD10
CD93,CD93
TMEM150C,TMEM150C
SASH3,SASH3
CCNH,CCNH
RPS16,RPS16
TM9SF3,TM9SF3
BOLL,BOLL
DSCC1,DSCC1
SH3TC1,SH3TC1
ACTR2,ACTR2
CPOX,CPOX
RNASE7,RNASE7
AHI1,AHI1
HMMR,HMMR
MINK1,MINK1
CACNB3,CACNB3
WIPI2,WIPI2
LCORL,LCORL
SLC10A2,SLC10A2
ZNF446,ZNF446
GRIN2C,GRIN2C
C6,C6
