rhesus_macaque gene name,human gene name
PPP1R3D,PPP1R3D
ZNF432,ZNF432
MYBPC2,MYBPC2
MYOM2,MYOM2
PIGN,PIGN
ZCCHC7,ZCCHC7
PPP2R3A,PPP2R3A
USP42,USP42
RSKR,RSKR
SLC4A9,SLC4A9
ROCK2,ROCK2
KIF12,KIF12
TJP1,TJP1
NTN5,NTN5
SLC22A8,SLC22A8
GGT1,GGT1
POSTN,POSTN
NOP9,NOP9
ZFP90,ZFP90
MBNL3,MBNL3
GPR149,GPR149
RIBC1,RIBC1
TRMT12,TRMT12
SLC25A11,SLC25A11
ATF7IP,ATF7IP
ADAMTS12,ADAMTS12
ZNF467,ZNF467
CERCAM,CERCAM
DTX2,DTX2
LPIN3,LPIN3
SERPINE2,SERPINE2
INKA1,INKA1
TRIM69,TRIM69
ZPR1,ZPR1
IL21,IL21
TMEM109,TMEM109
PAG1,PAG1
LY86,LY86
PER2,PER2
SNORA1,SNORA1
HELLS,HELLS
BPIFB2,BPIFB2
SLC52A2,SLC52A2
TULP4,TULP4
KRT5,KRT5
CCDC71,CCDC71
KLF14,KLF14
AKR1C1,AKR1C3
ASAH2,ASAH2
ABCB4,ABCB4
FAM20A,FAM20A
TNFRSF11B,TNFRSF11B
SLC5A12,SLC5A12
TIGD1,TIGD1
INPPL1,INPPL1
ABL1,ABL1
GLI4,GLI4
NDUFS4,NDUFS4
LRIF1,LRIF1
SLC12A1,SLC12A1
FKBPL,FKBPL
SLC10A1,SLC10A1
ARHGEF28,ARHGEF28
SNORA15,SNORA15
MMP20,MMP20
LITAF,LITAF
PTPRU,PTPRU
SNX2,SNX2
RNF111,RNF111
USP53,USP53
ZNF593,ZNF593
MED6,MED6
SNORA52,SNORA52
ASNSD1,ASNSD1
ROS1,ROS1
PNLIPRP1,PNLIPRP1
BHLHE23,BHLHE23
SGSM1,SGSM1
ZNF226,ZNF226
TNFRSF1A,TNFRSF1A
ZNF133,ZNF133
ELAVL2,ELAVL2
N6AMT1,N6AMT1
AK9,AK9
ZSCAN20,ZSCAN20
BICDL2,BICDL2
ALDH16A1,ALDH16A1
MPHOSPH10,MPHOSPH10
ZDHHC1,ZDHHC1
KRT38,KRT38
MTBP,MTBP
HAO2,HAO2
MTHFD2L,MTHFD2L
CNTN4,CNTN4
DNAH10,DNAH10
SMC2,SMC2
CLDN8,CLDN8
NLRX1,NLRX1
NXPH4,NXPH4
ZC3H8,ZC3H8
DNAJA3,DNAJA3
MGARP,MGARP
CEBPZOS,CEBPZOS
mml-mir-147b,MIR147B
HSPA13,HSPA13
VHL,VHL
FAM156A,FAM156B
CD2AP,CD2AP
ABCA9,ABCA9
MSH3,MSH3
WDR76,WDR76
INSYN2A,INSYN2A
ADAMTSL4,ADAMTSL4
SNORA9B,SNORA9B
SNORA84,SNORA84
COPS8,COPS8
AP5M1,AP5M1
OGFOD3,OGFOD3
OR2S2,OR2S2
OR8K1,OR8K1
IGF2BP2,IGF2BP2
FMO4,FMO4
RALGAPA2,RALGAPA2
ANKRD23,ANKRD23
GRAP2,GRAP2
NUP98,NUP98
ATXN1L,ATXN1L
TCF19,TCF19
PTK6,PTK6
CYP2S1,CYP2S1
ZNF570,ZNF570
SREBF1,SREBF1
SELE,SELE
SPRTN,SPRTN
CSDE1,CSDE1
BACH1,BACH1
SPNS2,SPNS2
SDHD,SDHD
USB1,USB1
LYG2,LYG2
RGS13,RGS13
AGTRAP,AGTRAP
CINP,CINP
TCIM,TCIM
C6H5orf15,C5orf15
LSM7,LSM7
KIF13A,KIF13A
BLM,BLM
BZW1,BZW1
SEMA6C,SEMA6C
N4BP3,N4BP3
CSNK1D,CSNK1D
BRD10,BRD10
RNMT,RNMT
TENM4,TENM4
TMCO4,TMCO4
MGAT4C,MGAT4C
BMPR1B,BMPR1B
AMOTL1,AMOTL1
USP46,USP46
DDI1,DDI1
ACER1,ACER1
NKX2-8,NKX2-8
UTP20,UTP20
MTDH,MTDH
HK3,HK3
FUBP3,FUBP3
SMOX,SMOX
COP1,COP1
NAA15,NAA15
DSC3,DSC3
KDM4C,KDM4C
NEUROG1,NEUROG1
CREB3L4,CREB3L4
SNORD96,SNORD96A
DCAF4L2,DCAF4L2
MRPL50,MRPL50
MOV10L1,MOV10L1
PEX1,PEX1
LRP11,LRP11
ADPRM,ADPRM
TTC8,TTC8
STRIP1,STRIP1
SPAG16,SPAG16
NDUFAF3,NDUFAF3
ACIN1,ACIN1
NCAPD3,NCAPD3
TARS3,TARS3
PCLO,PCLO
CIMAP1D,CIMAP1D
ARHGEF16,ARHGEF16
TCAF2,TCAF2
POP1,POP1
VEGFC,VEGFC
CFAP221,CFAP221
SLF2,SLF2
FREM1,FREM1
CLCC1,CLCC1
TUBAL3,TUBAL3
CARS1,CARS1
PAPSS2,PAPSS2
DNAJC22,DNAJC22
ZNF793,ZNF793
SPEF1,SPEF1
UCK1,UCK1
PLTP,PLTP
TATDN2,TATDN2
PTGR3,PTGR3
CA13,CA13
ACADVL,ACADVL
FGD2,FGD2
SNORA38B,SNORA38B
SNORA24B,SNORA24B
SDR42E1,SDR42E1
MARCHF8,MARCHF8
TYK2,TYK2
HSF1,HSF1
FOXC2,FOXC2
GPRASP2,GPRASP2
PDCD1,PDCD1
DNAJB9,DNAJB9
MTA3,MTA3
BCAM,BCAM
DDRGK1,DDRGK1
TRIL,TRIL
PITPNM3,PITPNM3
TRMT10A,TRMT10A
ZNF106,ZNF106
PATJ,PATJ
ERAP1,ERAP1
GOLGB1,GOLGB1
RHOA,RHOA
FGF21,FGF21
EHMT2,EHMT2
ELP1,ELP1
ZNF599,ZNF599
RAG1,RAG1
LRRC18,LRRC18
HSD17B8,HSD17B8
RNF43,RNF43
SH3KBP1,SH3KBP1
BCLAF3,BCLAF3
DUS3L,DUS3L
INPP5B,INPP5B
SDR9C7,SDR9C7
STMN3,STMN3
DHRS7,DHRS7
TAAR1,TAAR1
RGL1,RGL1
UAP1,UAP1
ABHD13,ABHD13
CSNK1A1,CSNK1A1
TRDMT1,TRDMT1
CBLIF,CBLIF
BTBD10,BTBD10
NUFIP1,NUFIP1
HCK,HCK
CAPN8,CAPN8
NAP1L3,NAP1L3
CCDC120,CCDC120
TFAP2A,TFAP2A
EP400,EP400
CEBPZ,CEBPZ
SMIM1,SMIM1
IRAK1BP1,IRAK1BP1
SNORD9,SNORD9
GPHB5,GPHB5
SORT1,SORT1
RTTN,RTTN
NOP14,NOP14
MROH2B,MROH2B
TCEANC,TCEANC
ATXN2L,ATXN2L
CEP70,CEP70
CHRNE,CHRNE
SLC12A8,SLC12A8
ZSCAN23,ZSCAN23
MDH1,MDH1
RPP40,RPP40
ANAPC1,ANAPC1
GPR65,GPR65
C1H1orf115,C1orf115
OR2J3,OR2J3
VSIR,VSIR
ZNF526,ZNF526
SLAMF8,SLAMF8
COQ8B,COQ8B
GMPR2,GMPR2
KCNH6,KCNH6
SOCS7,SOCS7
APEX2,APEX2
KRCC1,KRCC1
SPRYD3,SPRYD3
TNF,TNF
PEX6,PEX6
TSPYL4,TSPYL4
IRF2,IRF2
TRADD,TRADD
FAM237A,FAM237A
SOX5,SOX5
LAMA3,LAMA3
ZNHIT3,ZNHIT3
STK24,STK24
GDF10,GDF10
MBIP,MBIP
TMEM212,TMEM212
PFN4,PFN4
FSHB,FSHB
ZSWIM3,ZSWIM3
TRPM6,TRPM6
SNORD81,SNORD81
GPR119,GPR119
SLCO1A2,SLCO1A2
TMEM132C,TMEM132C
QSOX1,QSOX1
ATP13A4,ATP13A4
SPAG1,SPAG1
TCEAL5,TCEAL5
G0S2,G0S2
TAF1A,TAF1A
ANKS1A,ANKS1A
DIAPH1,DIAPH1
HBA1,HBA1
STAT1,STAT1
NRDC,NRDC
ARHGAP24,ARHGAP24
EPHX3,EPHX3
TSPYL2,TSPYL2
USP9Y,USP9Y
APH1B,APH1B
RUNX3,RUNX3
MFSD4A,MFSD4A
TGFBRAP1,TGFBRAP1
ZNF14,ZNF14
mml-mir-1-1,MIR1-1
PPP1R27,PPP1R27
ASRGL1,ASRGL1
SNORD114-7,SNORD114-7
CYB561A3,CYB561A3
TFR2,TFR2
SPMIP4,SPMIP4
ADGB,ADGB
ZNF623,ZNF623
RTN4,RTN4
DOCK1,DOCK1
FILIP1,FILIP1
MMACHC,MMACHC
TICRR,TICRR
PLXNA3,PLXNA3
CCHCR1,CCHCR1
CTSL,CTSL
SLC23A3,SLC23A3
NIN,NIN
MRPL28,MRPL28
RNASET2,RNASET2
AKAP8,AKAP8
FAM114A1,FAM114A1
SLC38A8,SLC38A8
GAL3ST4,GAL3ST4
ZNF573,ZNF573
C2CD3,C2CD3
TMC7,TMC7
C19H19orf67,C19orf67
LIF,LIF
AMY2B,AMY2A
RIN3,RIN3
SYT15,SYT15B
TNFSF10,TNFSF10
PKD2L1,PKD2L1
C8orf90,C8orf90
FAM83A,FAM83A
FBXO30,FBXO30
AMER1,AMER1
ZNF213,ZNF213
HOXD4,HOXD4
ATP5F1E,ATP5F1E
ALOX12,ALOX12
DEFB116,DEFB116
GIP,GIP
PTPRB,PTPRB
UNC5A,UNC5A
FOXE3,FOXE3
GGT5,GGT5
SOX4,SOX4
STS,STS
ANO10,ANO10
PPFIA1,PPFIA1
CC2D1B,CC2D1B
THSD1,THSD1
C1H1orf216,C1orf216
ARNTL2,BMAL2
SNORD48,SNORD48
CCDC158,CCDC158
PRR19,PRR19
ADAM10,ADAM10
TEX52,TEX52
PEX26,PEX26
KIAA1191,KIAA1191
PRMT5,PRMT5
CYP27B1,CYP27B1
CCL28,CCL28
SLC8B1,SLC8B1
C1QTNF4,C1QTNF4
ACSL6,ACSL6
MYO15A,MYO15A
PON1,PON1
SH3GLB1,SH3GLB1
BPIFC,BPIFC
WDR31,WDR31
RABEP1,RABEP1
AS3MT,AS3MT
RASD2,RASD2
C8H8orf76,C8orf76
ATOH7,ATOH7
PRLR,PRLR
ABHD18,ABHD18
RUBCN,RUBCN
OTOA,OTOA
PTPN6,PTPN6
PLK3,PLK3
TSPAN11,TSPAN11
NPFFR1,NPFFR1
LACC1,LACC1
ZBTB40,ZBTB40
ZNF112,ZNF112
TGFB1I1,TGFB1I1
KRT35,KRT35
TXNL1,TXNL1
ABHD15,ABHD15
ZNF217,ZNF217
SH3D19,SH3D19
M1AP,M1AP
UTP18,UTP18
CEP85L,CEP85L
ACOX2,ACOX2
TRNP1,TRNP1
TGM6,TGM6
ZNF316,ZNF316
CRACR2A,CRACR2A
SPINT2,SPINT2
PIGL,PIGL
RNU6ATAC6P,RNU6ATAC6P
UQCC2,UQCC2
MFAP3L,MFAP3L
PCNX4,PCNX4
PHYKPL,PHYKPL
IL20RA,IL20RA
DGUOK,DGUOK
NYX,NYX
TUBD1,TUBD1
SHPK,SHPK
AGMAT,AGMAT
CASP4,CASP4
TIMELESS,TIMELESS
NT5C,NT5C
CIMIP2C,CIMIP2C
PRSS36,PRSS36
IDUA,IDUA
SCPEP1,SCPEP1
TXNDC9,TXNDC9
TRIM17,TRIM17
ENPP5,ENPP5
MYBPH,MYBPH
C21orf140,C21orf140
HDHD3,HDHD3
MPP3,MPP3
DSG2,DSG2
FAM89B,FAM89B
B3GNT7,B3GNT7
IPO13,IPO13
ADNP,ADNP
SLC5A1,SLC5A1
NPC1,NPC1
UBN1,UBN1
SYNE2,SYNE2
ATP12A,ATP12A
FCRLB,FCRLB
GTF3C6,GTF3C6
HSPB3,HSPB3
SNORD114-12,SNORD114-12
HSD17B13,HSD17B13
CRYGB,CRYGB
mml-mir-583,MIR583
CAVIN2,CAVIN2
ACKR4,ACKR4
COX5A,COX5A
CFAP68,CFAP68
SNORD114-4,SNORD114-4
SNORD114-11,SNORD114-11
GRPEL2,GRPEL2
IZUMO1R,IZUMO1R
KRT84,KRT84
OFD1,OFD1
DNAH3,DNAH3
MYH15,MYH15
PTK7,PTK7
SOAT2,SOAT2
FRS2,FRS2
CYP4B1,CYP4B1
PPARGC1B,PPARGC1B
SERPIND1,SERPIND1
NCAM2,NCAM2
USH2A,USH2A
EPRS1,EPRS1
PARN,PARN
ESPL1,ESPL1
ABT1,ABT1
TRPA1,TRPA1
REXO5,REXO5
ZNF646,ZNF646
N4BP2,N4BP2
ERI1,ERI1
RTL1,RTL1
ZNF595,ZNF595
BRDT,BRDT
SC5D,SC5D
CCS,CCS
FSCN3,FSCN3
REL,REL
DKK4,DKK4
GABPB2,GABPB2
FANCB,FANCB
SMPD2,SMPD2
BUB1B,BUB1B
ZNF862,ZNF862
KDM4B,KDM4B
SLC14A2,SLC14A2
SLC10A2,SLC10A2
JMJD6,JMJD6
KCNJ1,KCNJ1
LEF1,LEF1
MPO,MPO
TINAG,TINAG
TMC2,TMC2
OPN1SW,OPN1SW
FNBP1,FNBP1
TMEM255A,TMEM255A
DDX25,DDX25
WDR64,WDR64
TMEM183A,TMEM183A
PADI6,PADI6
RAB6A,RAB6A
RAPGEF6,RAPGEF6
GPX7,GPX7
KLHL35,KLHL35
MMP21,MMP21
SPATA16,SPATA16
CPED1,CPED1
PSIP1,PSIP1
LUZP1,LUZP1
SCLY,SCLY
TNKS1BP1,TNKS1BP1
EMILIN3,EMILIN3
C5H4orf54,C4orf54
TASP1,TASP1
TLCD1,TLCD1
PAPPA2,PAPPA2
ABI3BP,ABI3BP
NOX3,NOX3
TRAIP,TRAIP
SLC7A6OS,SLC7A6OS
FN3KRP,FN3KRP
SHROOM3,SHROOM3
HSBP1L1,HSBP1L1
RFK,RFK
ANO6,ANO6
COL24A1,COL24A1
C5,C5
SNORA80C,SNORA80C
OLFML2B,OLFML2B
CNPY4,CNPY4
MCM10,MCM10
PSRC1,PSRC1
SPC24,SPC24
NFIA,NFIA
SPEF2,SPEF2
ECT2L,ECT2L
KAT5,KAT5
TYSND1,TYSND1
RAD17,RAD17
MDFI,MDFI
TEN1,TEN1
ABCG1,ABCG1
ARHGEF17,ARHGEF17
TANGO6,TANGO6
HSDL2,HSDL2
TRIT1,TRIT1
RBMXL2,RBMXL2
DLG3,DLG3
LCT,LCT
TAF1B,TAF1B
CNOT6L,CNOT6L
RAI1,RAI1
UFD1,UFD1
BUD23,BUD23
COL4A4,COL4A4
SIT1,SIT1
RNASE4,RNASE4
ARMT1,ARMT1
ALX3,ALX3
CWF19L2,CWF19L2
HTT,HTT
DDOST,KIF17
GABRG2,GABRG2
DMRTC2,DMRTC2
ZFP28,ZFP28
TMEM247,TMEM247
AGER,AGER
WBP1,WBP1
RRP1B,RRP1B
COL26A1,COL26A1
CLDN3,CLDN3
ZNF540,ZNF540
DGCR6L,DGCR6L
SNORD99,SNORD99
IWS1,IWS1
ADCY6,ADCY6
GOLM1,GOLM1
TMT1B,TMT1B
ALG12,ALG12
APOA5,APOA5
HSPBAP1,HSPBAP1
UPP2,UPP2
POU1F1,POU1F1
SLC12A5,SLC12A5
RD3,RD3
DCAF12L1,DCAF12L1
DSG3,DSG3
MYOC,MYOC
ATN1,ATN1
C11H12orf50,C12orf50
ZNF131,ZNF131
GOLGA4,GOLGA4
EVPL,EVPL
GET4,GET4
SNORD101,SNORD101
HSD11B1,HSD11B1
NSUN7,NSUN7
TDRD5,TDRD5
ETV1,ETV1
PRCP,PRCP
LCORL,LCORL
DACH1,DACH1
CHD5,CHD5
DNM1L,DNM1L
ACBD4,ACBD4
PRRT2,PRRT2
DZANK1,DZANK1
SNORA25,SNORA25
TRAP1,TRAP1
ZZEF1,ZZEF1
SMAD7,SMAD7
KANK1,KANK1
ZNF165,ZNF165
C1GALT1C1L,C1GALT1C1L
GFM1,GFM1
TRAF3IP1,TRAF3IP1
ASPM,ASPM
NKTR,NKTR
ZBED2,ZBED2
SLC17A9,SLC17A9
RIOX1,RIOX1
SKA2,SKA2
PIERCE2,PIERCE2
PCSK5,PCSK5
FBH1,FBH1
MFGE8,MFGE8
ZNF536,ZNF536
ZNF274,ZNF274
GJB4,GJB4
CHRM5,CHRM5
ZNF615,ZNF615
GLIS3,GLIS3
MRPL14,MRPL14
BAALC,BAALC
GRTP1,GRTP1
AMZ2,AMZ2
SENP7,SENP7
CCDC81,CCDC81
STK38,STK38
PROS1,PROS1
SLC45A4,SLC45A4
ASCL2,ASCL2
SNX22,SNX22
TLR6,TLR6
METTL25,METTL25
C10H22orf23,C22orf23
FLI1,FLI1
RXRG,RXRG
YME1L1,YME1L1
UBA7,UBA7
PNP,PNP
BCHE,BCHE
NELFB,NELFB
OR2B3,OR2B3
TRUB1,TRUB1
TAMM41,TAMM41
TMEM245,TMEM245
GDPGP1,GDPGP1
PCDHB1,PCDHB1
NDRG3,NDRG3
GEMIN4,GEMIN4
COQ10B,COQ10B
TNS1,TNS1
TTC7B,TTC7B
SP1,SP1
ODAD2,ODAD2
DGKQ,DGKQ
GRAMD1B,GRAMD1B
OR6C2,OR6C2
TLR9,TLR9
HMOX1,HMOX1
SNORD49B,SNORD49B
CYB5D2,CYB5D2
SCARNA17,SCARNA17
CFLAR,CFLAR
MAJIN,MAJIN
OR52A1,OR52A1
SNORD27,SNORD27
SNORD114-1,SNORD114-1
KRTCAP3,KRTCAP3
MFSD2B,MFSD2B
HACD1,HACD1
mml-mir-577,MIR577
GNA13,GNA13
LRP2BP,LRP2BP
ITFG2,ITFG2
RNASEH2A,RNASEH2A
ZNF343,ZNF343
ATP10A,ATP10A
KRT40,KRT40
SUSD4,SUSD4
DGKK,DGKK
METRNL,METRNL
FAM13A,FAM13A
PEPD,PEPD
IL17RB,IL17RB
PDCL3,PDCL3
AOX1,AOX1
AP2A1,AP2A1
EDARADD,EDARADD
NDOR1,NDOR1
ACAP3,ACAP3
AASDH,AASDH
WDR20,WDR20
CYP8B1,CYP8B1
NARS2,NARS2
OR4D1,OR4D1
ZNF518B,ZNF518B
GDF2,GDF2
SCARNA3,SCARNA3
QPCT,QPCT
CRHR1,CRHR1
GRIN1,GRIN1
SLC24A5,SLC24A5
ABCB10,ABCB10
KLHL33,KLHL33
SETDB2,SETDB2
JUNB,JUNB
SHCBP1L,SHCBP1L
OGDHL,OGDHL
NUDT7,NUDT7
BORCS6,BORCS6
LRRN4CL,LRRN4CL
PLCH1,PLCH1
GPR146,GPR146
CCDC66,CCDC66
IRS2,IRS2
TBC1D2,TBC1D2
EPDR1,EPDR1
GPRC5D,GPRC5D
AFAP1L2,AFAP1L2
TLR2,TLR2
R3HCC1,R3HCC1
TNFSF13B,TNFSF13B
TRIM21,TRIM21
PPP1R3B,PPP1R3B
GPX3,GPX3
HOXB2,HOXB2
AQP8,AQP8
KIF14,KIF14
RIGI,RIGI
REG1B,REG1B
HFM1,HFM1
ARRDC2,ARRDC2
CENPE,CENPE
CDH3,CDH3
FAM181B,FAM181B
RDM1,RDM1
HBQ1,HBQ1
TVP23A,TVP23A
ZNF76,ZNF76
CEP19,CEP19
KIF20B,KIF20B
BMP8B,BMP8B
FNDC7,FNDC7
CACNA1H,CACNA1H
CCDC127,CCDC127
KRT37,KRT37
FAM187A,FAM187A
INSM2,INSM2
IFNA6,IFNA6
NBEAL1,NBEAL1
PTPDC1,PTPDC1
OR4N2,OR4N2
ABCA6,ABCA6
GON4L,GON4L
NUDT8,NUDT8
CSF1,CSF1
FANCD2,FANCD2
F13A1,F13A1
FKTN,FKTN
TERT,TERT
ZNF407,ZNF407
DTYMK,DTYMK
KRT20,KRT20
TEC,TEC
MCAM,MCAM
TYR,TYR
A4GALT,A4GALT
ANTXR2,ANTXR2
ZDHHC18,ZDHHC18
MST1R,MST1R
ZNF426,ZNF426
IRX4,IRX4
SDSL,SDSL
MYG1,MYG1
RPS6KA1,RPS6KA1
RASA1,RASA1
TBX6,TBX6
CACNB3,CACNB3
APTX,APTX
LIPK,LIPK
AGXT2,AGXT2
DNASE1L3,DNASE1L3
CEP128,CEP128
CCDC172,CCDC172
HAUS4,HAUS4
AARS2,AARS2
NEURL1,NEURL1
DNAI3,DNAI3
CRYBB3,CRYBB3
SLC28A3,SLC28A3
NPY4R,NPY4R2
C1H1orf74,C1orf74
SCARNA12,SCARNA12
CCNH,CCNH
SLC37A2,SLC37A2
KIF22,KIF22
NAGPA,NAGPA
GPR143,GPR143
ACTMAP,ACTMAP
ROM1,ROM1
PCDHB4,PCDHB4
FGB,FGB
DHX58,DHX58
RAB30,RAB30
TLCD3A,TLCD3A
BTBD18,BTBD18
ZNF677,ZNF677
LONP2,LONP2
ACAT2,ACAT2
CUZD1,CUZD1
SOWAHA,SOWAHA
ATG12,ATG12
SNORD82,SNORD82
AKIP1,AKIP1
TTF2,TTF2
HYKK,HYKK
ARSK,ARSK
FFAR4,FFAR4
APAF1,APAF1
VWCE,VWCE
HINT2,HINT2
TERB1,TERB1
LONRF2,LONRF2
LEPR,LEPR
TRAFD1,TRAFD1
CPA1,CPA1
ABCB5,ABCB5
DNAI2,DNAI2
KREMEN1,KREMEN1
DICER1,DICER1
ITGA3,ITGA3
RRAGB,RRAGB
CFAP20DC,CFAP20DC
TDRD1,TDRD1
ZIC5,ZIC5
TMEM221,TMEM221
SLC15A3,SLC15A3
SPMIP1,SPMIP1
STYXL2,STYXL2
EHBP1,EHBP1
RBL1,RBL1
OR6Y1,OR6Y1
CDH1,CDH1
IFT140,IFT140
H6PD,H6PD
PRR9,PRR9
MRPL3,MRPL3
REN,REN
SAMD11,SAMD11
CAPN12,CAPN12
LRRC2,LRRC2
ADCK2,ADCK2
SKA1,SKA1
FAIM2,FAIM2
TLR3,TLR3
GPRC6A,GPRC6A
TSHZ1,TSHZ1
FAM216B,FAM216B
CACNA1I,CACNA1I
GPR101,GPR101
ABCC10,ABCC10
PALD1,PALD1
KDM5D,KDM5D
GAS2L3,GAS2L3
DNAJC1,DNAJC1
MAP9,MAP9
LCA5L,LCA5L
PGAM4,PGAM4
TBX22,TBX22
PATL2,PATL2
CASP3,CASP3
ZWINT,ZWINT
MCM9,MCM9
SLC22A16,SLC22A16
BPNT2,BPNT2
BCL6,BCL6
LRIT1,LRIT1
BCAR3,BCAR3
TRIM72,FUS
TAS2R40,TAS2R40
NUDT18,NUDT18
FAM184B,FAM184B
DPP10,DPP10
NASP,NASP
TRAM1L1,TRAM1L1
RIC3,RIC3
MTRF1L,MTRF1L
CORO1B,CORO1B
SERPINB11,SERPINB11
DKC1,DKC1
GPR108,GPR108
CEP170,CEP170
EFCC1,EFCC1
MYH11,MYH11
MYRFL,MYRFL
TJP2,TJP2
GP1BB,GP1BB
FAXDC2,FAXDC2
IL18R1,IL18R1
MRLN,MRLN
NHEJ1,NHEJ1
CLEC12B,CLEC12B
HHIPL1,HHIPL1
CFAP418,CFAP418
CIMAP1B,CIMAP1B
CCK,CCK
CNKSR1,CNKSR1
GCM2,GCM2
S100A5,S100A5
CEACAM19,CEACAM19
mml-let-7i,MIRLET7I
mml-mir-491,MIR491
RSRC1,RSRC1
PTAR1,PTAR1
ITGB8,ITGB8
TUT1,TUT1
MINDY4,MINDY4
ARHGAP30,ARHGAP30
CEP85,CEP85
OR52N4,OR52N4
OR14J1,OR14J1
NKX1-2,NKX1-2
DPPA2,DPPA2
RBBP5,RBBP5
TMEM175,TMEM175
PIGW,PIGW
HYAL4,HYAL4
DENND4B,DENND4B
IL37,IL37
AVPR1B,AVPR1B
MRPL22,MRPL22
MVD,MVD
METTL24,METTL24
FTHL17,FTHL17
ERVFRD-1,ERVFRD-1
HMMR,HMMR
EXO1,EXO1
DBF4,DBF4
OR2W1,OR2W1
MAP3K5,MAP3K5
H2AZ2,H2AZ2
BOD1L1,BOD1L1
CNOT10,CNOT10
SLC3A1,SLC3A1
SRXN1,SRXN1
RADIL,RADIL
DNAJC28,DNAJC28
EPB41L2,EPB41L2
PPEF2,PPEF2
VSX1,VSX1
IGFBP6,IGFBP6
CLTCL1,CLTCL1
FAT1,FAT1
PNLIPRP3,PNLIPRP3
ISOC2,ISOC2
HAPLN2,HAPLN2
CHST4,CHST4
ATP8A2,ATP8A2
KLHL38,KLHL38
CENPV,CENPV
SULT2B1,SULT2B1
CDC45,CDC45
CCL5,CCL5
PDCD1LG2,PDCD1LG2
C20H16orf90,C16orf90
ACADSB,ACADSB
DIPK1C,DIPK1C
PQBP1,PQBP1
ITCH,ITCH
SHLD3,SHLD3
BCL2L12,BCL2L12
SLC5A4,SLC5A4
A2ML1,A2ML1
TDRD3,TDRD3
USP6NL,USP6NL
CST9,CST9
GGH,GGH
ZNF790,ZNF790
PSKH2,PSKH2
ZKSCAN4,ZKSCAN4
LEKR1,LEKR1
TRPM4,TRPM4
ADH6,ADH6
ZNF551,ZNF551
HYDIN,HYDIN
AQP9,AQP9
MPP2,MPP2
ADD1,ADD1
SDS,SDS
mml-mir-367,MIR367
CCDC179,CCDC179
PIERCE1,PIERCE1
CSTF2,CSTF2
FYN,FYN
SPATA46,SPATA46
TBX10,TBX10
RNF207,RNF207
TASOR,TASOR
SEPTIN2,SEPTIN2
SULT1E1,SULT1E1
ZNF804A,ZNF804A
EXOC3L1,EXOC3L1
MEP1A,MEP1A
PRRG4,PRRG4
CDCP1,CDCP1
EHHADH,EHHADH
AMELX,AMELX
STXBP4,STXBP4
IGSF21,IGSF21
COL1A2,COL1A2
MAST4,MAST4
OR12D3,OR12D3
OR5AP2,OR5AP2
GPR25,GPR25
ARHGAP31,ARHGAP31
SDR39U1,SDR39U1
TNFRSF13B,TNFRSF13B
DQX1,DQX1
FMNL1,FMNL1
TCIRG1,TCIRG1
FAM217B,FAM217B
FGFR2,FGFR2
PDHA1,PDHA1
UNC5CL,UNC5CL
ZNF529,ZNF529
CHRNB4,CHRNB4
MPRIP,MPRIP
CCM2,CCM2
SNORA14A,SNORA14A
CYB5RL,CYB5RL
ARHGEF37,ARHGEF37
SMCO3,SMCO3
OR6K3,OR6K3
INSL5,INSL5
PON2,PON2
KCNC4,KCNC4
OR4S2,OR4S2
EOGT,EOGT
SDCBP2,SDCBP2
UBE2Q1,UBE2Q1
EPHA2,EPHA2
SPG11,SPG11
EPHA8,EPHA8
TOE1,TOE1
LAMB4,LAMB4
NOXRED1,NOXRED1
WDR38,WDR38
OR2W3,OR2W3
ACVR2B,ACVR2B
ANGPTL3,ANGPTL3
RASEF,RASEF
SNED1,SNED1
ACOT12,ACOT12
KIAA1549L,KIAA1549L
MCUB,MCUB
CBY2,CBY2
FAR2,FAR2
CNGA3,CNGA3
RASGRP1,RASGRP1
IL22,IL22
CPSF4L,CPSF4L
MMP17,MMP17
REST,REST
ZSCAN22,ZSCAN22
LYPD4,LYPD4
AGRN,AGRN
BLOC1S3,BLOC1S3
ABHD16B,ABHD16B
DEFB123,DEFB123
C4orf52,SMIM20
ZYG11A,ZYG11A
F11,F11
CRB1,CRB1
FRMD7,FRMD7
SORD,SORD
RAB41,RAB41
ZNF276,ZNF276
ACSM4,ACSM4
C10H22orf31,C22orf31
ZNF883,ZNF883
EPOP,EPOP
SLC37A4,SLC37A4
OR6C74,OR6C74
HSD17B12,HSD17B12
FGL1,FGL1
GPR150,GPR150
DRP2,DRP2
TMEM26,TMEM26
MIB2,MIB2
PSTPIP2,PSTPIP2
DNHD1,DNHD1
LSG1,LSG1
TMEM39B,TMEM39B
IL10,IL10
ZFP69B,ZFP69B
PPP6R3,PPP6R3
ZUP1,ZUP1
PRKAG3,PRKAG3
ZNF175,ZNF175
SULT1C4,SULT1C4
TMEM200C,TMEM200C
OR2Y1,OR2Y1
THOP1,THOP1
SDR42E2,SDR42E2
ZBTB42,ZBTB42
DRD5,DRD5
PRF1,PRF1
TAS2R38,TAS2R38
CLTRN,CLTRN
BARD1,BARD1
SPACA9,SPACA9
C1QTNF9,C1QTNF9
NDUFAF6,NDUFAF6
SYTL5,SYTL5
C7H15orf39,C15orf39
NMRK2,NMRK2
C16H17orf75,C17orf75
BRAT1,BRAT1
CEP95,CEP95
