crab_eating_macaque gene name,mice gene name
NSDHL,Nsdhl
WDR64,Wdr64
CLGN,Clgn
CC2D1B,Cc2d1b
TMEM200B,Tmem200b
F9,F9
MDFIC2,Mdfic2
OR5W2,Or5w8
NCAM1,Ncam1
MIR152,Mir152
FAM169A,Fam169a
TK1,Tk1
HIP1,Hip1
FBRS,Fbrs
SNX5,Snx5
CRAT,Crat
TXNRD1,Txnrd1
PDCD11,Pdcd11
RAD9A,Rad9a
LRRC3C,Lrrc3c
SMIM45,Smim45
TJP2,Tjp2
AMDHD1,Amdhd1
OGFOD3,Ogfod3
MFAP5,Mfap5
MSH3,Msh3
SEC22C,Sec22c
MRPL48,Mrpl48
LYSMD3,Lysmd3
CPT1A,Cpt1a
GGCT,Ggct
NSUN6,Nsun6
NKX6-2,Nkx6-2
COX15,Cox15
MAEA,Maea
VSTM4,Vstm4
MBNL3,Mbnl3
C1orf35,2310033P09Rik
SVEP1,Svep1
SNORD10,Gm25835
OS9,Os9
SLC18B1,Slc18b1
HIGD1C,Higd1c
RAVER1,Raver1
ELP6,Elp6
GCA,Gca
TMEM179B,Tmem179b
SH3RF2,Sh3rf2
B3GAT3,B3gat3
ARIH2,Arih2
SSBP1,Ssbp1
TRIM44,Trim44
GTPBP10,Gtpbp10
MPP7,Mpp7
STAB1,Stab1
LIPG,Lipg
ZNF354B,Zfp354b
RMDN1,Rmdn1
COMMD1,Commd1
CTBS,Ctbs
UBXN11,Ubxn11
TOPORS,Topors
FUCA2,Fuca2
SLCO4C1,Slco4c1
TSHB,Tshb
HCFC2,Hcfc2
SMIM1,Smim1
RIC8A,Ric8a
GOLGA3,Golga3
HMOX1,Hmox1
ANKRD42,Ankrd42
PPOX,Ppox
BMPR1B,Bmpr1b
BFSP2,Bfsp2
ZKSCAN2,Zkscan2
SLC16A4,Slc16a4
CMTM7,Cmtm7
SLC38A8,Slc38a8
FOXN4,Foxn4
DLGAP2,Dlgap2
TDP1,Tdp1
ADGRV1,Adgrv1
PHLPP1,Phlpp1
MRTFA,Mrtfa
CC2D1A,Cc2d1a
OR1Q1,Or1q1
C3orf38,4930453N24Rik
ENPP5,Enpp5
FGD2,Fgd2
WRNIP1,Wrnip1
CELSR1,Celsr1
MED8,Med8
IGF2R,Igf2r
OR5D3P,Or5d3
LMOD3,Lmod3
GSG1L,Gsg1l
DPCD,Dpcd
SOX18,Sox18
TLX1,Tlx1
COX6B2,Cox6b2
SLC12A8,Slc12a8
EPHA8,Epha8
NICN1,Nicn1
TAF8,Taf8
JPH3,Jph3
PABIR2,Pabir2
RGS4,Rgs4
ENPP3,Enpp3
SON,Son
SPTA1,Spta1
PIDD1,Pidd1
OR9Q2,Or9q2
DNASE1L3,Dnase1l3
DCBLD2,Dcbld2
FIBP,Fibp
SLC26A2,Slc26a2
MIR183,Mir183
RAD17,Rad17
S100A10,S100a10
ZNF292,Zfp292
SLC5A6,Slc5a6
MYOC,Myoc
ZBTB24,Zbtb24
LRRCC1,Lrrcc1
SLC34A3,Slc34a3
SYTL3,Sytl3
POLG,Polg
CPA3,Cpa3
CPOX,Cpox
IFIH1,Ifih1
ABCG5,Abcg5
SPEN,Spen
SORBS2,Sorbs2
NAA30,Naa30
GAL3ST1,Gal3st1
UBA2,Uba2
LRRC71,Lrrc71
TMEM104,Tmem104
ZBTB3,Zbtb3
OR13F1,Or13f5
HOXB2,Hoxb2
TEKTL1,Tektl1
CCNA1,Ccna1
MARCHF1,Marchf1
ADGRG2,Adgrg2
TRAPPC5,Trappc5
TRUB1,Trub1
SINHCAF,Sinhcaf
CBX2,Cbx2
WNK3,Wnk3
RNF43,Rnf43
INPP5J,Inpp5j
OTOG,Otog
RMND1,Rmnd1
ARFGAP3,Arfgap3
FOXM1,Foxm1
CDC25A,Cdc25a
FAM131C,Fam131c
OR4B1,Or4b1c
SVIP,Svip
PTHLH,Pthlh
LACTBL1,Lactbl1
TTLL4,Ttll4
RFC2,Rfc2
F2,F2
ZGPAT,Zgpat
RRAS2,Rras2
LAMC2,Lamc2
TMOD3,Tmod3
MAD1L1,Mad1l1
AOC2,Aoc2
MRPS22,Mrps22
SLC4A1,Slc4a1
ATP10A,Atp10a
ATP5PO,Atp5po
PTPRB,Ptprb
HIGD1A,Higd1a
CRYBB1,Crybb1
TJAP1,Tjap1
CNTRL,Cntrl
KCTD18,Kctd18
ACOT12,Acot12
CS,Cs
PNLIPRP1,Pnliprp1
MFAP3L,Mfap3l
DNAJB2,Dnajb2
DLST,Dlst
SNORA71C,Gm23925
SLF1,Slf1
AFG2B,Afg2b
ARV1,Arv1
INVS,Invs
TENT5A,Tent5a
PLPP7,Plpp7
C21orf91,D16Ertd472e
NAGLU,Naglu
HAGH,Hagh
MGAT1,Mgat1
CHID1,Chid1
FSD2,Fsd2
MLXIPL,Mlxipl
DNTT,Dntt
TRIML1,Triml1
TMPRSS13,Tmprss13
GPR108,Gpr108
MTRF1L,Mtrf1l
PFN2,Pfn2
DAPL1,Dapl1
CLIP4,Clip4
INS,Ins2
MTMR6,Mtmr6
FANCI,Fanci
CCDC92,Ccdc92
LUZP1,Luzp1
CLDN23,Cldn23
VAMP2,Vamp2
MYRIP,Myrip
GIPR,Gipr
FGF3,Fgf3
ADRB2,Adrb2
HERC2,Herc2
TMEM161A,Tmem161a
TLR7,Tlr7
DGKQ,Dgkq
SLC15A2,Slc15a2
PNRC1,Pnrc1
OR51S1,Or51s1
CBX8,Cbx8
SDR42E1,Sdr42e1
TSEN54,Tsen54
TMEM17,Tmem17
EBNA1BP2,Ebna1bp2
ZNF507,Zfp507
DNAJC5,Dnajc5
DHODH,Dhodh
CDH1,Cdh1
JOSD1,Josd1
TMEM45B,Tmem45b
FRRS1L,Frrs1l
RASSF4,Rassf4
EFS,Efs
RDH8,Rdh8
NID1,Nid1
LCT,Lct
ZFP1,Zfp1
SLC44A3,Slc44a3
SLC1A1,Slc1a1
DEUP1,Deup1
PTK6,Ptk6
SLC9B2,Slc9b2
BMP3,Bmp3
OR5V1,Or5v1b
EMC4,Emc4
EFNB1,Efnb1
ADAMTS12,Adamts12
NCAPH2,Ncaph2
MLLT3,Mllt3
BCAT2,Bcat2
PALMD,Palmd
NDUFAF3,Ndufaf3
ROS1,Ros1
CIMIP7,BC048562
KRI1,Kri1
MTX2,Mtx2
CCSER2,Ccser2
MRM3,Mrm3
ITPRID2,Itprid2
LTBP2,Ltbp2
TRIM45,Trim45
M6PR,M6pr
SH3GL3,Sh3gl3
CDCP1,Cdcp1
MYRFL,Myrfl
TENT4A,Tent4a
MRPS18C,Mrps18c
CRH,Crh
SYT6,Syt6
KCNIP1,Kcnip1
SESN3,Sesn3
SFRP5,Sfrp5
MAN2A1,Man2a1
NDUFAF6,Ndufaf6
RLIG1,Rlig1
FOXRED2,Foxred2
SPRED1,Spred1
HEY1,Hey1
C19orf67,1700067K01Rik
EXOSC10,Exosc10
OTUD5,Otud5
NAPEPLD,Napepld
SHC4,Shc4
VWA5B2,Vwa5b2
TRIM35,Trim35
CRTC3,Crtc3
CDV3,Cdv3
LSS,Lss
RHOU,Rhou
MT-CO3,mt-Co3
PHF13,Phf13
LSM12,Lsm12
EGFL8,Egfl8
KIRREL2,Kirrel2
ANKRD11,Ankrd11
KIF17,Kif17
MTCL2,Mtcl2
USP44,Usp44
FEZ2,Fez2
DDX20,Ddx20
AADACL2,Aadacl2
GDF2,Gdf2
PLK4,Plk4
LAPTM4B,Laptm4b
GZF1,Gzf1
NR2E3,Nr2e3
CERK,Cerk
COL4A6,Col4a6
TPK1,Tpk1
ZNF276,Zfp276
GALNT6,Galnt6
IRF5,Irf5
ENGASE,Engase
TMEM230,Tmem230
AURKA,Aurka
SNORD37,Snord37
RPAP1,Rpap1
KCNG4,Kcng4
WDSUB1,Wdsub1
FAHD1,Fahd1
MS4A15,Ms4a15
PAPSS2,Papss2
MDFIC,Mdfic
GEMIN7,Gemin7
MIEF2,Mief2
IL11,Il11
UBE2T,Ube2t
UCN,Ucn
NPPA,Nppa
OR12D3,Or12d17
TM6SF2,Tm6sf2
GPR141,Gpr141
CCNJL,Ccnjl
SPG21,Spg21
PLD6,Pld6
SERINC4,Serinc4
AKAP4,Akap4
CHRNA4,Chrna4
BRWD1,Brwd1
ST8SIA5,St8sia5
GAK,Gak
FBXW4,Fbxw4
GK5,Gk5
CEP104,Cep104
FAM177A1,Fam177a2
CELA3A,Cela3b
PCDH12,Pcdh12
CARHSP1,Carhsp1
FBXL22,Fbxl22
OR5AN1,Or5an1c
NET1,Net1
PLAT,Plat
SLC39A14,Slc39a14
SPNS3,Spns3
COPS3,Cops3
SPTY2D1,Spty2d1
ARHGEF28,Arhgef28
TPD52L2,Tpd52l2
MTG2,Mtg2
MOBP,Mobp
MORN2,Morn2
FAM83F,Fam83f
ARSK,Arsk
ALS2CL,Als2cl
LSG1,Lsg1
DLGAP1,Dlgap1
MIR490,Mir490
ST6GAL1,St6gal1
RNF138,Rnf138
NPHS1,Nphs1
NOS2,Nos2
NUP58,Gm49336
FAAP24,Faap24
NUP210L,Nup210l
GUCY2D,Gucy2e
KIF11,Kif11
JDP2,Jdp2
TRIB1,Trib1
TYSND1,Tysnd1
MCL1,Mcl1
ATP11A,Atp11a
ACMSD,Acmsd
MOCS3,Mocs3
CEP350,Cep350
CMTR2,Cmtr2
DRC7,Drc7
VIPR1,Vipr1
R3HDML,R3hdml
THUMPD3,Thumpd3
MST1,Mst1
NOX3,Nox3
ZNHIT3,Znhit3
RIMBP2,Rimbp2
MMP13,Mmp13
SSPN,Sspn
HAX1,Hax1
NCOA7,Ncoa7
ARHGEF26,Arhgef26
MITD1,Mitd1
MICAL1,Mical1
COQ6,Coq6
HR,Hr
ATP1A4,Atp1a4
CASP7,Casp7
UCMA,Ucma
CCNE1,Ccne1
HM13,H13
PANK2,Pank2
NASP,Nasp
ACSBG1,Acsbg1
NR0B2,Nr0b2
FOLR1,Folr1
TRAF5,Traf5
DUOXA2,Duoxa2
ATP5PB,Atp5pb
MRPS5,Mrps5
TRIM69,Trim69
ERCC1,Ercc1
CUX2,Cux2
SLC30A2,Slc30a2
ADIPOQ,Adipoq
PALD1,Pald1
SNORC,Snorc
FADS1,Fads1
TMEM237,Tmem237
LMNB2,Lmnb2
MTIF2,Mtif2
RAB43,Rab43
FLT1,Flt1
ERC1,Erc1
UBOX5,Ubox5
OR6K6,Or6k6
CBLN1,Cbln1
RAB3IL1,Rab3il1
GPRC5B,Gprc5b
ENPP1,Enpp1
SIK2,Sik2
ARMC10,Armc10
FLVCR1,Flvcr1
DECR1,Decr1
ARMC9,Armc9
CCDC65,Ccdc65
AKAP8,Akap8
NDRG4,Ndrg4
ZC3H12A,Zc3h12a
RPUSD4,Rpusd4
CFAP263,Ccdc113
HSDL2,Hsdl2
NOD2,Nod2
TYK2,Tyk2
SSR2,Ssr2
CNGA3,Cnga3
CCSER1,Ccser1
CPPED1,Cpped1
PURG,Purg
CCDC186,Ccdc186
SLC4A1AP,Slc4a1ap
TCP11L2,Tcp11l2
RBP4,Rbp4
FDX2,Fdx2
RIPOR1,Ripor1
TM4SF19,Tm4sf19
RFTN2,Rftn2
ST7L,St7l
GRAMD1C,Gramd1c
ZKSCAN5,Zkscan5
CHPT1,Chpt1
ATMIN,Atmin
CHEK1,Chek1
KIF27,Kif27
CENPL,Cenpl
LYPD6B,Lypd6b
GDF10,Gdf10
OR52B6,Or52b6-ps1
SNORD28,Gm24453
HELT,Helt
CCNK,Ccnk
TRNAU1AP,Trnau1ap
CAPN10,Capn10
ADAMTS19,Adamts19
HSD11B1,Hsd11b1
FAM117A,Fam117a
CENPM,Cenpm
KLK9,Klk9
STK31,Stk31
EXOC3L1,Exoc3l
FMO4,Fmo4
TRPV2,Trpv2
TMEM38A,Tmem38a
ABCC3,Abcc3
EVPL,Evpl
AFTPH,Aftph
HYAL4,Hyal4
FEV,Fev
ATOX1,Atox1
CD63,Cd63
VEZT,Vezt
IZUMO4,Izumo4
CDON,Cdon
LRRC32,Lrrc32
LRAT,Lrat
VWA2,Vwa2
HPS5,Hps5
HGFAC,Hgfac
SPMIP11,Spmip11
E2F7,E2f7
EPDR1,Epdr1
LIN28B,Lin28b
ABCC10,Abcc10
WDR89,Wdr89
HYAL3,Hyal3
USP40,Usp40
CIMIP2A,Cimip2a
IDI1,Idi1
COLQ,Colq
C4orf33,D3Ertd751e
WDR12,Wdr12
BPTF,Bptf
UBXN2A,Ubxn2a
ZNF879,Zfp879
ARHGEF37,Arhgef37
AMPH,Amph
LPO,Lpo
ACSF2,Acsf2
SCG2,Scg2
CORIN,Corin
PRORP,Prorp
SPATA16,Spata16
ACKR3,Ackr3
IL16,Il16
VTI1A,Vti1a
GPR149,Gpr149
TSFM,Tsfm
TC2N,Tc2n
RGS11,Rgs11
MSGN1,Msgn1
THNSL2,Thnsl2
SNX7,Snx7
SLC3A1,Slc3a1
SYNPO2,Synpo2
KLB,Klb
KCNE4,Kcne4
KRT32,Krt32
SSUH2,Ssu2
SNORA71E,Gm25187
MYO1G,Myo1g
BPIFB3,Bpifb3
DNAAF11,Dnaaf11
TRMT12,Trmt12
TBC1D16,Tbc1d16
CHRAC1,Chrac1
SORBS1,Sorbs1
RSAD1,Rsad1
SNX29,Snx29
TRDMT1,Trdmt1
CIART,Ciart
EIF3K,Eif3k
PI4K2B,Pi4k2b
OBI1,Obi1
TNS3,Tns3
SF1,Sf1
SCYL3,Scyl3
PCP2,Pcp2
DUSP8,Dusp8
PCYOX1,Pcyox1
OR2D2,Or2d2
FAM83G,Fam83g
TALDO1,Taldo1
LRRC14,Lrrc14
LHCGR,Lhcgr
EREG,Ereg
ASXL2,Asxl2
SCNN1A,Scnn1a
FAM187A,Fam187a
BDKRB2,Bdkrb2
ARHGAP6,Arhgap6
FBXL17,Fbxl17
SMIM7,Smim7
RBMS3,Rbms3
SDF4,Sdf4
TRANK1,Trank1
PEX1,Pex1
SNX25,Snx25
UCP1,Ucp1
PHETA2,Pheta2
STYXL2,Styxl2
UNG,Ung
SERPINB8,Serpinb8
TAF4B,Taf4b
PGBD5,Pgbd5
LBR,Lbr
PARP2,Parp2
NICOL1,Nicol1
VDR,Vdr
DEFB123,Defb36
TTYH2,Ttyh2
ARMC5,Armc5
KCNE3,Kcne3
WFDC1,Wfdc1
CMKLR2,Cmklr2
CHRNA1,Chrna1
B3GNT4,B3gnt4
EPGN,Epgn
DAGLB,Daglb
RSAD2,Rsad2
CFTR,Cftr
TRIM16,Trim16
FAM13C,Fam13c
NDUFB9,Ndufb9
SLC2A5,Slc2a5
PIGB,Pigb
UACA,Uaca
AAR2,Aar2
SPATA9,Spata9
MROH2A,Mroh2a
FERD3L,Ferd3l
ACP3,Acp3
ARHGAP17,Arhgap17
ARHGAP36,Arhgap36
MOV10L1,Mov10l1
SUN2,Sun2
ADGRB1,Adgrb1
UBASH3A,Ubash3a
TRAIP,Traip
GCNT4,Gcnt4
KMO,Kmo
ANKUB1,Ankub1
OR52N4,Or52n20
ST3GAL3,St3gal3
ACOT9,Acot9
OR10A6,Or10a49
ORC3,Orc3
RNF207,Rnf207
H6PD,H6pd
DPP9,Dpp9
SLC25A33,Slc25a33
GATA1,Gata1
CLDN8,Cldn8
KIAA1191,4833439L19Rik
PLP2,Plp2
ACAD11,Acad11
RPAP3,Rpap3
RAD54B,Rad54b
PIK3R6,Pik3r6
SH3BGRL2,Sh3bgrl2
NDUFAF2,Ndufaf2
RRH,Rrh
SLC15A3,Slc15a3
JPH2,Jph2
TLR3,Tlr3
AVPI1,Avpi1
WDR72,Wdr72
USP39,Usp39
DHRS9,Dhrs9
MSANTD1,Msantd1
PCDHB14,Pcdhb20
MFSD4A,Mfsd4a
TRPA1,Trpa1
NUP62,Nup62
UNC93B1,Unc93b1
RHOT2,Rhot2
SIRT3,Sirt3
FAM114A2,Fam114a2
RCAN1,Rcan1
PSMG4,Psmg4
KHNYN,Khnyn
INTU,Intu
BTC,Btc
L3MBTL1,L3mbtl1
ATP13A2,Atp13a2
RABIF,Rabif
UGGT2,Uggt2
GPT2,Gpt2
MBOAT4,Mboat4
PHF3,Phf3
RRP36,Rrp36
REEP1,Reep1
URGCP,Urgcp
RBFOX2,Rbfox2
RANBP1,Ranbp1
DDC,Ddc
SKA2,Ska2
SLC27A6,Slc27a6
PON3,Pon3
KRT12,Krt12
TDRD3,Tdrd3
ABCB5,Abcb5
TENT5D,Tent5d
SYT16,Syt16
SLC13A3,Slc13a3
LMO1,Lmo1
MORC3,Morc3
HCLS1,Hcls1
ARHGAP20,Arhgap20
HIVEP3,Hivep3
ASPHD1,Asphd1
NTHL1,Nthl1
SLC25A38,Slc25a38
MMP21,Mmp21
CAVIN4,Cavin4
OR2Y1,Or2y1d
CYP1A1,Cyp1a1
SULT6B1,Sult6b1
QSER1,Qser1
HYKK,Hykk
MRPL3,Mrpl3
ITPRIP,Itprip
ZCCHC8,Zcchc8
SENP5,Senp5
SLC14A1,Slc14a1
LRCH1,Lrch1
SMAGP,Smagp
TOMM34,Tomm34
DYNC1LI1,Dync1li1
RNF169,Rnf169
DOK7,Dok7
CTNS,Ctns
WDPCP,Wdpcp
DAO,Dao
TANGO6,Tango6
VPS37B,Vps37b
PLPP1,Plpp1
SLC34A2,Slc34a2
SLC50A1,Slc50a1
SERINC3,Serinc3
LY6G6C,Ly6g6c
PSMB11,Psmb11
FAM174B,Fam174b
MUL1,Mul1
PALLD,Palld
LIPH,Liph
CLEC3B,Clec3b
NPTXR,Nptxr
TPX2,Tpx2
SPINDOC,Spindoc
MRPL52,Mrpl52
TIMM17A,Timm17a
TMEM30A,Tmem30a
OSBPL2,Osbpl2
KRT23,Krt23
ZNF202,Zfp202
TBXAS1,Tbxas1
CREBL2,Crebl2
SIGLEC15,Siglec15
GPR20,Gpr20
MORC4,Morc4
SLC38A11,Slc38a11
NRROS,Nrros
ARSB,Arsb
PABPC4L,Pabpc4l
ADAMTS16,Adamts16
AMER1,Amer1
RADX,Radx
TRAF3IP2,Traf3ip2
GAS6,Gas6
GPRC5D,Gprc5d
BNIP2,Bnip2
ASB18,Asb18
CAPRIN2,Caprin2
EPHX4,Ephx4
HLX,Hlx
SREBF1,Srebf1
BCDIN3D,Bcdin3d
RGR,Rgr
SVBP,Svbp
ARG2,Arg2
KRT20,Krt20
ARHGAP45,Arhgap45
VIP,Vip
TSPAN4,Tspan4
SPATA25,Spata25
COL4A3,Col4a3
BACH1,Bach1
LHPP,Lhpp
MRPS18A,Mrps18a
SNORD104,Snord104
TSTD2,Tstd2
ITIH5,Itih5
MCM3AP,Mcm3ap
BMP2,Bmp2
FUT2,Fut2
ST3GAL5,St3gal5
EIF4G3,Eif4g3
FAM3A,Fam3a
BBOF1,Bbof1
CA1,Car1
RGS5,Rgs5
ARPC2,Arpc2
UMAD1,Umad1
ABCA9,Abca9
VPS9D1,Vps9d1
APEX2,Apex2
ALDH3A2,Aldh3a2
MIR488,Mir488
KDM1B,Kdm1b
ZCCHC3,Zcchc3
TSEN34,Tsen34
SOX30,Sox30
CD164L2,Cd164l2
PNOC,Pnoc
HARS2,Hars2
PCNX2,Pcnx2
TRAPPC14,Trappc14
HOXD1,Hoxd1
ASB13,Asb13
HSD3B7,Hsd3b7
TTC1,Ttc1
PLCD3,Plcd3
CHCHD1,Chchd1
GAL3ST4,Gal3st4
SI,Sis
PNMA2,Pnma2
ACP1,Acp1
CELF4,Celf4
CCDC91,Ccdc91
PAPPA2,Pappa2
IGFBPL1,Igfbpl1
ZSCAN29,Zscan29
ICA1L,Ica1l
EPO,Epo
HTRA1,Htra1
DIO1,Dio1
SRSF10,Srsf10
FMO3,Fmo3
RBPMS2,Rbpms2
SLC26A3,Slc26a3
DHX58,Dhx58
CEP63,Cep63
ALKBH4,Alkbh4
ORC2,Orc2
PPP6R1,Ppp6r1
KRT40,Krt40
ALG2,Alg2
MYD88,Myd88
INKA2,Inka2
HPS1,Hps1
EPB41L5,Epb41l5
CALHM5,Calhm5
UFSP2,Ufsp2
FDFT1,Fdft1
RSPH1,Rsph1
HIBCH,Hibch
OR51F1,Or51f1
SEC31B,Sec31b
CCDC28A,Ccdc28a
PPP1R17,Ppp1r17
RNF25,Rnf25
RASSF7,Rassf7
NKPD1,Nkpd1
CCR2,Ccr2
GPLD1,Gpld1
WDR73,Wdr73
CD247,Cd247
OTOP1,Otop1
AGGF1,Aggf1
MPRIP,Mprip
NDUFB5,Ndufb5
COL4A4,Col4a4
ARL2,Arl2
HIGD2A,Higd2a
HACD2,Hacd2
CYB5RL,Cyb5rl
DHRS7,Dhrs7
FAM81B,Fam81b
CCNF,Ccnf
OTUB2,Otub2
DPY19L2,Dpy19l2
PRSS23,Prss23
CCDC81,Ccdc81
KCTD17,Kctd17
SYNC,Sync
CLDN15,Cldn15
NOSTRIN,Nostrin
MRPL50,Mrpl50
DCLRE1C,Dclre1c
WASHC3,Washc3
SH3BP1,Sh3bp1
TMEM106C,Tmem106c
SERPINH1,Serpinh1
NCMAP,Ncmap
EIF2D,Eif2d
NKTR,Nktr
S100A16,S100a16
ANKRD13A,Ankrd13a
MRS2,Mrs2
PDZK1,Pdzk1
NODAL,Nodal
VHL,Vhl
LMF1,Lmf1
SF3A2,Sf3a2
OPTN,Optn
PLBD1,Plbd1
MC1R,Mc1r
WRAP53,Wrap53
NCKIPSD,Nckipsd
ETFBKMT,Etfbkmt
NKD1,Nkd1
ALKBH2,Alkbh2
ADCY7,Adcy7
ARL13B,Arl13b
HLCS,Hlcs
PRRT2,Prrt2
XRCC2,Xrcc2
PER2,Per2
USP45,Usp45
ENPEP,Enpep
PDXDC1,Pdxdc1
ADRB3,Adrb3
ADAT1,Adat1
LAMA3,Lama3
DDX21,Ddx21
SEMA6B,Sema6b
TAF1A,Taf1a
PAWR,Pawr
TAF4,Taf4
SLC36A2,Slc36a2
RBM22,Rbm22
FPGS,Fpgs
C2orf69,1700066M21Rik
LSMEM2,Lsmem2
GDPGP1,Gdpgp1
GAPDHS,Gapdhs
CELF6,Celf6
STK26,Stk26
TNFSF13,Tnfsf13
EGR4,Egr4
TOM1,Tom1
PDGFRB,Pdgfrb
GPR15,Gpr15
ZFP2,Zfp2
KLK11,Klk11
GASK1B,Gask1b
GJA10,Gja10
GPR65,Gpr65
CDKN1A,Cdkn1a
FAM180A,Fam180a
GMNC,Gmnc
CRISPLD2,Crispld2
TRPM6,Trpm6
CTF1,Ctf1
GPR137,Gpr137
SUPT20H,Supt20
DUSP29,Dusp29
CYB5R3,Cyb5r3
BTBD19,Btbd19
NIN,Nin
CRIP1,Crip1
NME9,Nme9
MMAA,Mmaa
TDRD5,Tdrd5
SLC47A1,Slc47a1
ANKRD37,Ankrd37
CCDC138,Ccdc138
SCARB1,Scarb1
DTX2,Dtx2
NUDT1,Nudt1
MAL2,Mal2
ZNF454,Zfp454
SIX6,Six6
CCN6,Ccn6
FKBP15,Fkbp15
HAUS4,Haus4
SNAP23,Snap23
NFKBID,Nfkbid
SLC25A4,Slc25a4
GGT5,Ggt5
NMUR2,Nmur2
SLC17A4,Slc17a4
RAB2B,Rab2b
COX20,Cox20
PIRT,Pirt
CMTM8,Cmtm8
NKX3-2,Nkx3-2
ODAD4,Odad4
CDK2AP2,Cdk2ap2
MAPK1IP1L,Mapk1ip1l
NDUFAF1,Ndufaf1
POLR2K,Polr2k
ADAMTS8,Adamts8
CYBC1,Cybc1
BPIFB4,Bpifb4
NRN1L,Nrn1l
ABCC2,Abcc2
BUD23,Bud23
LACC1,Lacc1
RPL35,Rpl35
ELF4,Elf4
DDX28,Ddx28
MMP19,Mmp19
HCFC1R1,Hcfc1r1
ARHGEF10,Arhgef10
MRPL45,Mrpl45
PRMT3,Prmt3
SURF1,Surf1
IFT140,Ift140
SHROOM4,Shroom4
CRTAC1,Crtac1
KCNK4,Kcnk4
RPS6KC1,Rps6kc1
ITGA2B,Itga2b
LETM2,Letm2
MIS12,Mis12
DNA2,Dna2
MPV17L2,Mpv17l2
ZNF18,Zkscan6
RWDD3,Rwdd3
ZNF106,Zfp106
RNPEPL1,Rnpepl1
MAD2L1BP,Mad2l1bp
PLEKHA1,Plekha1
ECHDC3,Echdc3
PAG1,Pag1
AP1S1,Ap1s1
ARHGAP29,Arhgap29
GTPBP1,Gtpbp1
MROH1,Mroh1
LIPK,Lipk
TSC22D3,Tsc22d3
TAF11,Taf11
TBC1D30,Tbc1d30
RGS6,Rgs6
CIDEC,Cidec
RPUSD2,Rpusd2
C5orf22,6030458C11Rik
TMEM205,Tmem205
NCOA4,Ncoa4
NTRK1,Ntrk1
ESPL1,Espl1
LRWD1,Lrwd1
MAST4,Mast4
POMC,Pomc
TLE2,Tle2
CCDC9,Ccdc9
CEP97,Cep97
CFAP61,Cfap61
THEMIS,Themis
HYDIN,Hydin
PADI1,Padi1
TRIM68,Trim68
GARIN1B,Garin1b
NEDD4L,Nedd4l
AMHR2,Amhr2
FAM167A,Fam167a
CCDC134,Ccdc134
ZNF598,Zfp598
RGS16,Rgs16
CNTLN,Cntln
FRRS1,Frrs1
AGPAT2,Agpat2
HUS1,Hus1
ZC3H8,Zc3h8
MTNR1B,Mtnr1b
RNF149,Rnf149
BLOC1S6,Bloc1s6
LIMD1,Limd1
INPP5E,Inpp5e
RAB36,Rab36
MTX1,Mtx1
CCDC103,Ccdc103
SLC39A2,Slc39a2
LRRC23,Lrrc23
F2R,F2r
DSG1,Dsg1a
MTFMT,Mtfmt
TMED6,Tmed6
SPRING1,Spring1
MAP1A,Map1a
RECQL5,Recql5
ZNF2,Zfp661
SSH1,Ssh1
ARHGAP31,Arhgap31
YJU2B,Yju2b
MRM2,Mrm2
RBL2,Rbl2
RSRP1,Rsrp1
TACO1,Taco1
AQP9,Aqp9
TCERG1L,Tcerg1l
FGL2,Fgl2
ST6GALNAC6,St6galnac6
USP54,Usp54
HORMAD1,Hormad1
CERS3,Cers3
ELK3,Elk3
WSB1,Wsb1
GLI2,Gli2
MAIP1,Maip1
NTSR2,Ntsr2
HRH1,Hrh1
ELL3,Ell3
INPP1,Inpp1
PES1,Pes1
ERAL1,Eral1
SELENBP1,Selenbp1
FHIT,Fhit
HABP2,Habp2
FBXO4,Fbxo4
LBX2,Lbx2
FUT10,Fut10
IL20RB,Il20rb
DBR1,Dbr1
GRB10,Grb10
ARID3A,Arid3a
RIOK1,Riok1
PBDC1,Pbdc1
SUPT3H,Supt3
AP5B1,Ap5b1
DDB2,Ddb2
CCDC97,Ccdc97
ZC3H6,Zc3h6
RAC3,Rac3
ZSWIM7,Zswim7
PLA2G4E,Pla2g4e
NKRF,Nkrf
SH3D19,Sh3d19
ADAM15,Adam15
MSS51,Mss51
PYCR3,Pycr3
PRDX4,Prdx4
TGM3,Tgm3
C19orf12,1600014C10Rik
PLEKHA8,Plekha8
TMEM177,Tmem177
MOG,Mog
EXT2,Ext2
TRIM33,Trim33
TUT1,Tut1
QNG1,Qng1
PRSS35,Prss35
SCNN1B,Scnn1b
TGM7,Tgm7
PCOLCE,Pcolce
STAB2,Stab2
HMGCL,Hmgcl
GPANK1,Gpank1
LRRTM1,Lrrtm1
BCHE,Bche
GMIP,Gmip
BAG4,Bag4
RAB22A,Rab22a
MAP2K7,Map2k7
CDC6,Cdc6
SLC28A3,Slc28a3
IRF8,Irf8
C10orf53,1700024G13Rik
BCO2,Bco2
NMRK1,Nmrk1
BOC,Boc
MRPL9,Mrpl9
PDIA3,Pdia3
CTSC,Ctsc
COL17A1,Col17a1
NABP1,Nabp1
VWCE,Vwce
KRTAP11-1,Krtap11-1
ZFAND6,Zfand6
BAG5,Bag5
AQP8,Aqp8
RPS6KL1,Rps6kl1
NYNRIN,Nynrin
FIGNL1,Fignl1
MGLL,Mgll
ADCY10,Adcy10
IPO4,Ipo4
