crab_eating_macaque gene name,rhesus_macaque gene name
TTC32,TTC32
CAPS,CAPS
HSBP1,HSBP1
KIF24,KIF24
TLR3,TLR3
KRT35,KRT35
ZYG11A,ZYG11A
APOB,APOB
TRIM28,TRIM28
IL4R,IL4R
CCDC157,CCDC157
GHDC,GHDC
TMIGD2,TMIGD2
TTC1,TTC1
PEA15,PEA15
PITX3,PITX3
IFI44L,IFI44L
RASSF9,RASSF9
NFRKB,NFRKB
PBX4,PBX4
ASAP3,ASAP3
CFAP161,CFAP161
DNAH2,DNAH2
KLHDC10,KLHDC10
TRIM77,TRIM77
RNASE6,RNASE6
HSPB3,HSPB3
CCDC82,CCDC82
VEZF1,VEZF1
RGN,RGN
COMMD5,COMMD5
SLTM,SLTM
SELPLG,SELPLG
TYK2,TYK2
TUT4,TUT4
EEFSEC,EEFSEC
FHIT,FHIT
TTR,TTR
CA9,CA9
PRR32,PRR32
MOCOS,MOCOS
C21orf91,C3H21orf91
WT1,WT1
STARD3,STARD3
RPL5,RPL5
SLC4A7,SLC4A7
NDUFAF8,NDUFAF8
HSBP1L1,HSBP1L1
RASEF,RASEF
LYZ,LYZ
FKBP7,FKBP7
ZC3H8,ZC3H8
FGD3,FGD3
DMXL2,DMXL2
CACNA1D,CACNA1D
WDR31,WDR31
PPP1R14B,PPP1R14B
HAVCR2,HAVCR2
CHCHD6,CHCHD6
SNORA12,SNORA12
HTR3B,HTR3B
RMI2,RMI2
RNASE4,RNASE4
THOC2,THOC2
SH3RF2,SH3RF2
NCAN,NCAN
MFSD6L,MFSD6L
NIFK,NIFK
TP53INP2,TP53INP2
CIDEB,CIDEB
NLRC4,NLRC4
CRACR2A,CRACR2A
EME1,EME1
MCFD2,MCFD2
JTB,JTB
COA1,COA1
RWDD2A,RWDD2A
STARD5,STARD5
PHKA1,PHKA1
DLX6,DLX6
SLC25A28,SLC25A28
HAUS7,HAUS7
ARHGEF5,ARHGEF5
C3orf52,C2H3orf52
SLFN12,SLFN12
TMEM207,TMEM207
MST1,MST1
TRDN,TRDN
RNFT1,RNFT1
TAF9B,TAF9B
MTRR,MTRR
TGFBR1,TGFBR1
TBCE,TBCE
TNN,TNN
TAF4B,TAF4B
MROH2B,MROH2B
PLA2G2A,PLA2G2A
HMOX1,HMOX1
RIPOR1,RIPOR1
PCARE,PCARE
RNF44,RNF44
TCEAL4,TCEAL4
FBXO42,FBXO42
HACD1,HACD1
KRT40,KRT40
MANSC1,MANSC1
SANBR,SANBR
UPK3A,UPK3A
LRRC72,LRRC72
CHRNB2,CHRNB2
ACBD6,ACBD6
CALCB,CALCB
RALB,RALB
TTLL1,TTLL1
CST5,CST5
MMP24,MMP24
RRP15,RRP15
HEATR9,HEATR9
PPP1R3B,PPP1R3B
TNFSF13B,TNFSF13B
RNF128,RNF128
UGDH,UGDH
THSD1,THSD1
ADGRL2,ADGRL2
ATRAID,ATRAID
PLA2G2E,PLA2G2E
EIPR1,EIPR1
PHF3,PHF3
P2RX2,P2RX2
KCNMB3,KCNMB3
PELI1,PELI1
RAD51B,RAD51B
TSPAN33,TSPAN33
THAP6,THAP6
FKBP1A,FKBP1A
AVPR1B,AVPR1B
TNP2,TNP2
C1QTNF1,C1QTNF1
ARHGEF6,ARHGEF6
ERCC4,ERCC4
POU4F1,POU4F1
MCHR1,MCHR1
AKAP11,AKAP11
FAM131C,FAM131C
SLC39A10,SLC39A10
LARP1B,LARP1B
SIX4,SIX4
TMEM119,TMEM119
ERG28,ERG28
SNORA67,SNORA67
NAPSA,NAPSA
LRIT2,LRIT2
AGT,AGT
TRIM6,TRIM6
MYO5C,MYO5C
ODAM,ODAM
NMNAT1,NMNAT1
DCDC2B,DCDC2B
RAB40AL,RAB40AL
MTIF3,MTIF3
CBLIF,CBLIF
TNFRSF19,TNFRSF19
FAM216B,FAM216B
ASPRV1,ASPRV1
KALRN,KALRN
CHD4,CHD4
UBXN2A,UBXN2A
FCGR3A,FCGR3
FADD,FADD
PITRM1,PITRM1
LRPAP1,LRPAP1
ACO1,ACO1
GATB,GATB
OCRL,OCRL
ABCC11,ABCC11
CST11,CST11
CLEC12B,CLEC12B
MRPL54,MRPL54
VCF1,VCF1
ROS1,ROS1
AFF2,AFF2
KRT75,KRT75
C1S,C1S
IMMT,IMMT
THYN1,THYN1
TSGA13,TSGA13
MEIOB,MEIOB
CLIC5,CLIC5
NALF2,NALF2
CFH,CFH
MSC,MSC
MXD3,MXD3
PIRT,PIRT
SNORA31B,SNORA31B
BOLA1,BOLA1
SPADH,SPADH
THAP8,THAP8
SNORA2C,SNORA2C
THAP3,THAP3
SOX30,SOX30
CAPN14,CAPN14
ZRSR2,ZRSR2
TSPYL6,TSPYL6
DHX58,DHX58
CCDC122,CCDC122
LACTBL1,LACTBL1
ERP27,ERP27
CIMIP7,C2H3orf84
VWCE,VWCE
ACAD11,ACAD11
CPN2,CPN2
CDYL,CDYL
PIERCE1,PIERCE1
SNORA1,SNORA1
SYCN,SYCN
WDR25,WDR25
PSORS1C2,PSORS1C2
SNORA80D,SNORA80D
UST,UST
EIF4B,EIF4B
CX3CL1,CX3CL1
ICAM4,ICAM4
KCNRG,KCNRG
AQP11,AQP11
FOSL1,FOSL1
C18orf63,C18H18orf63
NIF3L1,NIF3L1
MRPL39,MRPL39
ST6GALNAC5,ST6GALNAC5
SLC6A1,SLC6A1
CCDC88A,CCDC88A
KCNQ1,KCNQ1
NFS1,NFS1
SNORA14A,SNORA14A
SNORA15,SNORA15
SNORA14B,SNORA14B
TRAV39,TRAV39
WHAMM,WHAMM
COLEC12,COLEC12
GPR182,GPR182
TEDC2,TEDC2
ARL9,ARL9
ZP4,ZP4
NEO1,NEO1
ERAP1,ERAP1
CCDC68,CCDC68
FBLL1,FBLL1
CUBN,CUBN
P2RX5,P2RX5
H2BC18,H2BC18
SNORA48B,SNORA48B
SPMIP10,SPMIP10
DLG1,DLG1
IL18RAP,IL18RAP
C16orf78,C20H16orf78
RPS6KC1,RPS6KC1
CCNJ,CCNJ
GUCY1A2,GUCY1A2
SNORA13,SNORA13
LIPK,LIPK
FMO3,FMO3
SNORA68B,SNORA68B
PVALEF,PVALEF
ALKBH6,ALKBH6
ITM2B,ITM2B
CTPS1,CTPS1
NSL1,NSL1
LAX1,LAX1
HNRNPM,HNRNPM
GDA,GDA
C17orf99,C16H17orf99
FRK,FRK
SHC3,SHC3
POLR3D,POLR3D
FAM241A,FAM241A
SLPI,SLPI
SNORA69,SNORA69
FABP2,FABP2
ACER1,ACER1
ITPRID1,ITPRID1
YIF1B,YIF1B
SLC46A3,SLC46A3
SLC4A1,SLC4A1
SLC39A6,SLC39A6
ST18,ST18
SIGLEC15,SIGLEC15
USP22,USP22
ERICH6,ERICH6
CHRAC1,CHRAC1
EMC10,EMC10
CASS4,CASS4
SPMIP11,SPMIP11
ITSN2,ITSN2
LIPC,LIPC
CSF1R,CSF1R
TRPV1,TRPV1
C14orf39,C7H14orf39
C10orf71,C9H10orf71
LRP1,LRP1
TRDMT1,TRDMT1
BDKRB2,BDKRB2
SEC24D,SEC24D
FBXL12,FBXL12
NAXD,NAXD
SNORA41,SNORA41
SNORA65,SNORA65
ARMH4,ARMH4
SLC26A8,SLC26A8
ZNF670,ZNF670
RPN2,RPN2
MYO1H,MYO1H
FAM220A,FAM220A
SIAH2,SIAH2
SLC30A3,SLC30A3
MOCS1,MOCS1
CUEDC1,CUEDC1
IFI27L2,IFI27L2
COG8,COG8
FSHB,FSHB
SNORA30,SNORA30
ABCC2,ABCC2
CRPPA,CRPPA
MAN2A1,MAN2A1
COPS2,COPS2
ZFAND2B,ZFAND2B
STK33,STK33
PKD1L1,PKD1L1
UTP14C,UTP14C
CTSO,CTSO
TMEM244,TMEM244
SNORA41B,SNORA41B
SNORA11,SNORA11
RTTN,RTTN
KCNA10,KCNA10
SEMA6D,SEMA6D
MBL2,MBL2
CIDEC,CIDEC
PABPC1,PABPC1
SLC19A3,SLC19A3
BCL2L13,BCL2L13
PPP1R3A,PPP1R3A
SPACA4,SPACA4
MAPDA,ADAL
PYURF,PIGY
NPY2R,NPY2R
SLC6A8,SLC6A8
KEAP1,KEAP1
CCDC73,CCDC73
MTUS1,MTUS1
BARX1,BARX1
TRAM1,TRAM1
UBA7,UBA7
ENAM,RUFY3
DDX53,DDX53
STING1,STING1
TRABD2A,TRABD2A
DHRS12,DHRS12
KIF11,KIF11
UQCC2,UQCC2
CYP3A43,CYP3A43
KRTAP24-1,KRTAP24-1
UNC13A,UNC13A
FMR1NB,FMR1NB
DUT,DUT
NPPC,NPPC
OR2I1P,OR2I1P
AOC1,AOC1
IL23R,IL23R
TM6SF2,TM6SF2
ABHD8,ABHD8
BCL7B,BCL7B
MYG1,MYG1
CHRNB1,CHRNB1
BDP1,BDP1
LY6G6C,LY6G6C
DYNLRB2,DYNLRB2
RMI1,RMI1
MKI67,MKI67
ENPP3,ENPP3
PRC1,PRC1
SF3B1,SF3B1
ANKRD12,ANKRD12
ZNF79,ZNF79
APOL6,APOL6
HSD3B1,HSD3B1
FAM83C,FAM83C
TAS2R9,TAS2R9
HIF3A,HIF3A
EYS,EYS
FAM120A,FAM120A
TAF13,TAF13
LIAS,LIAS
STK16,STK16
AASDHPPT,AASDHPPT
MEP1B,MEP1B
PRLR,PRLR
ENTPD4,ENTPD4
TCERG1,TCERG1
GPR179,GPR179
PZP,PZP
KIF18B,KIF18B
NTRK3,NTRK3
SMC6,SMC6
VARS2,VARS2
PCLO,PCLO
CXCR3,CXCR3
RLN2,RLN2
TIAM2,TIAM2
ARMC10,ARMC10
CDPF1,CDPF1
WFDC5,WFDC5
WFDC2,WFDC2
CXCL6,CXCL6
C11orf52,C14H11orf52
TIMD4,TIMD4
PCCA,PCCA
CLEC14A,CLEC14A
KRT39,KRT39
SGTB,SGTB
ICE2,ICE2
SLIT1,SLIT1
ANKRD39,ANKRD39
ARAP2,ARAP2
ISLR,ISLR
FAM3A,FAM3A
MMP11,MMP11
PSMG3,PSMG3
DNAI7,DNAI7
SELE,SELE
SLC35C1,SLC35C1
CENPJ,CENPJ
EPRS1,EPRS1
HYLS1,HYLS1
UGT8,UGT8
CLASP2,CLASP2
NLRP14,NLRP14
CYP1B1,CYP1B1
ZNF165,ZNF165
COG4,COG4
BAZ2B,BAZ2B
GUK1,GUK1
SPP2,SPP2
KRTAP1-4,KRTAP1-4
CCDC103,CCDC103
PIERCE2,PIERCE2
ZNF655,ZNF655
ADAMTS9,ADAMTS9
CD48,CD48
SPAG8,SPAG8
VRK3,VRK3
PDCD11,PDCD11
C1orf232,C1H1orf232
UTY,UTY
DNASE2B,DNASE2B
C4orf17,C5H4orf17
SOX6,SOX6
C3AR1,C3AR1
ZNF177,ZNF177
MS4A15,MS4A15
TEX48,TEX48
HMCES,HMCES
TRIP10,TRIP10
ATP10D,ATP10D
HTR3E,HTR3E
KRTCAP3,KRTCAP3
C12orf42,C11H12orf42
C1orf94,C1H1orf94
ZNF407,ZNF407
USF3,USF3
AKNAD1,AKNAD1
DGKQ,DGKQ
LRRC53,LRRC53
ITGA11,ITGA11
CX3CR1,CX3CR1
SIRT6,SIRT6
CBLC,CBLC
C8B,C8B
IFT122,IFT122
YY1,YY1
KIAA2012,KIAA2012
ZIM3,ZIM3
HPS4,HPS4
G6PC2,G6PC2
NT5C1B,NT5C1B
SYT3,SYT3
DNAJA2,DNAJA2
TEX15,TEX15
RARRES1,RARRES1
PI3,PI3
KRT26,KRT26
C2orf66,C2H2orf66
LPAR2,LPAR2
RSPO4,RSPO4
MSH4,MSH4
MCTP2,MCTP2
GCNT7,GCNT7
ABHD15,ABHD15
KLHDC9,KLHDC9
SLC2A2,SLC2A2
ARHGAP26,ARHGAP26
TRIM15,TRIM15
GALNT13,GALNT13
LIN52,LIN52
KLHL35,KLHL35
MRFAP1L2,MRFAP1L2
SLC10A2,SLC10A2
CCDC7,CCDC7
C9orf43,C15H9orf43
DNPH1,DNPH1
ZNF114,ZNF114
CDC14C,CDC14C
OR13C3,OR13C3
SLC15A4,SLC15A4
ASH2L,ASH2L
AGA,AGA
SH3D21,SH3D21
CDC20B,CDC20B
PGLYRP2,PGLYRP2
CETN2,CETN2
RHAG,RHAG
CALHM1,CALHM1
TCF19,TCF19
CD84,CD84
GHITM,GHITM
PTH,PTH
IDO1,IDO1
COL4A1,COL4A1
AGXT2,AGXT2
ZNF311,ZNF311
PLEKHH1,PLEKHH1
E2F6,E2F6
GLRA1,GLRA1
CHCHD1,CHCHD1
CXCL5,CXCL5
SMIM5,SMIM5
PRL,PRL
IMPG1,IMPG1
VSTM2B,VSTM2B
LHFPL2,LHFPL2
SH2D4A,SH2D4A
OMP,OMP
SPATA25,SPATA25
TLX2,TLX2
OR2C3,OR2C3
MARS1,MARS1
ZNF30,ZNF30
PI4KB,PI4KB
NUP153,NUP153
FAM178B,FAM178B
MISP,MISP
DHRS7,DHRS7
TMEM256,TMEM256
ZNF560,ZNF560
AIFM1,AIFM1
PPFIBP1,PPFIBP1
MSR1,MSR1
MDM1,MDM1
PRG3,PRG3
DCTN3,DCTN3
PALS1,PALS1
ATP13A4,ATP13A4
PFKFB2,PFKFB2
CD1D,CD1D
TAAR5,TAAR5
VPS36,VPS36
PER3,PER3
MAD1L1,MAD1L1
TRAV12-3,TRAV12-3
DKK4,DKK4
TRBV10-1,TRBV10-1
AMBN,AMBN
CDC42BPA,CDC42BPA
APCS,APCS
ATP1B3,ATP1B3
AKAP12,AKAP12
DUSP16,DUSP16
TTPA,TTPA
RETNLB,RETNLB
BEX5,BEX5
TRBV28,TRBV28
MEPE,MEPE
SLC5A4,SLC5A4
GPRIN3,GPRIN3
SCTR,SCTR
NR4A2,NR4A2
CYSLTR2,CYSLTR2
TNK1,TNK1
DNAJC10,DNAJC10
DDX60L,DDX60L
C19orf85,C19orf85
HES5,HES5
GPX6,GPX6
TRMT10B,TRMT10B
OR2D3,OR2D3
WDR37,WDR37
HELQ,HELQ
IPO9,IPO9
BRAT1,BRAT1
CD300C,CD300C
CIDEA,CIDEA
KTI12,TXNDC12
MGA,MGA
ITIH6,ITIH6
CD1E,CD1E
C1orf87,C1H1orf87
FASTKD5,FASTKD5
RNASEH2C,RNASEH2C
EXOC5,EXOC5
RAB42,RAB42
PKIB,PKIB
BACH1,BACH1
TMEM265,TMEM265
NRP2,NRP2
ITGAE,ITGAE
FCN1,FCN1
SURF4,SURF4
BRD2,BRD2
CIMIP5,C13H2orf50
L1TD1,L1TD1
DIPK2B,DIPK2B
CEP131,CEP131
LFNG,LFNG
SFXN3,SFXN3
TRAV3,TRAV3
TRDV3,TRDV3
MTG2,MTG2
SERPINB12,SERPINB12
TRIM58,TRIM58
GPR108,GPR108
ATP5F1B,ATP5F1B
SLF2,SLF2
GLYAT,GLYAT
ATIC,ATIC
GALC,GALC
NFXL1,NFXL1
PARP16,PARP16
GIMAP6,GIMAP6
FER1L6,FER1L6
RGS12,RGS12
MYO6,MYO6
KCNN2,KCNN2
TMEM213,TMEM213
TRAV1-1,TRAV1-1
DAPL1,DAPL1
VILL,VILL
ITIH2,ITIH2
URB1,URB1
AKAP5,AKAP5
OR2W1,OR2W1
PRND,PRND
TANC2,TANC2
NFKB2,NFKB2
ZC2HC1C,ZC2HC1C
OR51F1,OR51F1
GASK1B,GASK1B
PLA2G4F,PLA2G4F
C10orf90,C9H10orf90
WARS1,WARS1
TAS2R60,TAS2R60
ZNF142,ZNF142
DHRS7B,DHRS7B
SAAL1,SAAL1
UBE2J1,UBE2J1
SCYL3,SCYL3
MC1R,MC1R
TANGO2,TANGO2
MRPL19,MRPL19
NCAPH,NCAPH
SIKE1,SIKE1
ZNF584,ZNF584
EDN1,EDN1
DNTTIP1,DNTTIP1
TAF1C,TAF1C
CACNA2D3,CACNA2D3
CIMIP2A,CIMIP2A
DBF4B,DBF4B
RFX2,RFX2
TMPRSS11A,TMPRSS11A
NFAT5,NFAT5
IGF1R,IGF1R
LIPJ,LIPJ
OR6K3,OR6K3
OR5K2,OR5K2
PNLIPRP3,PNLIPRP3
ZNF615,ZNF615
MRPS31,MRPS31
OR1E1,OR1E1
OR1E2,OR1E2
CPPED1,CPPED1
DRC3,DRC3
OTOA,OTOA
GMNN,GMNN
PRR20G,PRR20G
RGS1,RGS1
CDCP1,CDCP1
LAMA4,LAMA4
GLRX5,GLRX5
NLRP13,NLRP13
MAPK7,MAPK7
ZFYVE19,ZFYVE19
OR6M1,OR6M1
OR8D4,OR8D4
IL22RA1,IL22RA1
GON4L,GON4L
LASP1,LASP1
PTPRB,PTPRB
TSR3,TSR3
OR2H2,OR2H2
DRC12,DRC12
SNORD13P1,SNORD13P1
OR10D3,OR10D3
SNORD13,SNORD13
OR51B5,OR51B5
SNORD46,SNORD46
HSD17B12,HSD17B12
OR2T10,OR2T10
SNORD13E,SNORD13E
ATXN7,ATXN7
FYCO1,FYCO1
KRT10,KRT10
ALPK1,ALPK1
IL24,IL24
HOXA11,HOXA11
HSD17B3,HSD17B3
OR8I2,OR8I2
OR5W2,OR5W2
PARM1,PARM1
CD83,CD83
GPR143,GPR143
DENND5A,DENND5A
NEPRO,NEPRO
G0S2,G0S2
PRR15L,PRR15L
TRBV16,TRBV16
COMMD2,COMMD2
NOL3,NOL3
RHPN1,RHPN1
UBFD1,UBFD1
EIF4A3,EIF4A3
MRPS22,MRPS22
OR4N5,OR4N5
KIF4A,KIF4A
RNF216,RNF216
FAM135A,FAM135A
PMEL,PMEL
OR5M3,OR5M3
OR4D2,OR4D2
FAM107B,FAM107B
PHKG2,PHKG2
ATAD2,ATAD2
MYADML2,MYADML2
PRAME,PRAME
SCGB3A1,SCGB3A1
DEFB116,DEFB116
C1orf198,C1H1orf198
TIMM10B,TIMM10B
C19orf33,C19orf33
ZGPAT,ZGPAT
CENPT,CENPT
ST6GALNAC3,ST6GALNAC3
ZNF426,ZNF426
NHEJ1,NHEJ1
NIPAL3,NIPAL3
CRYZL1,CRYZL1
DTWD1,DTWD1
GULP1,GULP1
RAB44,RAB44
DMP1,DMP1
ERICH3,CRYZ
RUFY4,RUFY4
NOC2L,NOC2L
PF4,PF4
C20orf173,C20orf173
SYNE4,SYNE4
ONECUT2,ONECUT2
CSTB,CSTB
EFCAB5,EFCAB5
ADAM12,ADAM12
KRT33B,KRT33B
TAP1,PSMB8
CASC3,CASC3
OR52N5,OR52N5
SH3GLB1,SH3GLB1
HTATSF1,HTATSF1
CRACR2B,CRACR2B
NOTO,NOTO
SPATA31H1,SPATA31H1
UBA6,UBA6
IFRD1,IFRD1
ANKRD11,ANKRD11
SIGLEC10,SIGLEC10
CATSPERZ,CATSPERZ
BDH2,BDH2
WFS1,WFS1
SAMD7,SAMD7
ZNF605,ZNF605
HOXB9,HOXB9
BCL2L12,BCL2L12
ELL3,ELL3
NECAB3,NECAB3
SULT1B1,SULT1B1
SLMAP,SLMAP
GRIA3,GRIA3
LRWD1,LRWD1
CERCAM,CERCAM
IL1RL2,IL1RL2
CCDC196,CCDC196
HIGD1B,HIGD1B
ELMO1,ELMO1
PTPRJ,PTPRJ
CYP2A26,CYP2A24
HOATZ,HOATZ
SIGLECL1,SIGLECL1
ZFYVE1,ZFYVE1
TRIP12,TRIP12
CHRNB4,CHRNB4
TEX55,TEX55
BMP15,BMP15
CIROP,CIROP
GRIA2,GRIA2
PATE3,PATE3
BMF,BMF
DPEP2,DPEP2
SCRG1,SCRG1
RSRP1,RSRP1
RITA1,RITA1
CLEC4G,CLEC4G
GAS2L2,GAS2L2
OAS1,OAS1
DOP1B,DOP1B
BYSL,BYSL
NRDC,NRDC
IFNW1,IFNW1
CT83,CT83
NRN1,NRN1
FIG4,FIG4
MFAP1,MFAP1
MATN3,MATN3
SMC3,SMC3
PAWR,PAWR
ZNF236,ZNF236
JHY,JHY
PIP,PIP
CTHRC1,CTHRC1
SSPN,SSPN
LYG1,LYG1
STOML3,STOML3
FUS,TRIM72
SP9,SP9
COL14A1,COL14A1
MYO3B,MYO3B
MAIP1,MAIP1
FILIP1L,FILIP1L
GCNA,GCNA
URAD,URAD
PERP,PERP
TMEM212,TMEM212
BTLA,BTLA
TRIB3,TRIB3
CORO2B,CORO2B
PGAM5,PGAM5
DPRX,DPRX
GNRH1,GNRH1
MORF4L2,MORF4L2
PTX4,PTX4
MCPH1,MCPH1
PPM1N,PPM1N
TLE6,TLE6
GJC3,GJC3
CUL2,CUL2
ARHGAP24,ARHGAP24
TMEM52B,TMEM52B
CTBS,CTBS
NLRC5,NLRC5
EN2,EN2
PALM2AKAP2,PALM2AKAP2
HS3ST6,HS3ST6
ZEB2,ZEB2
PCDH10,PCDH10
BPIFB3,BPIFB3
CIAO3,CIAO3
GALNT1,GALNT1
DEFB132,DEFB132
OR2D2,OR2D2
TIMMDC1,TIMMDC1
CD1C,CD1C
PLCH1,PLCH1
ENSA,ENSA
VWA3A,VWA3A
PDZD2,PDZD2
CBLL2,CBLL2
SMYD4,SMYD4
MSL3B,MSL3B
MYBPC3,MYBPC3
SF3B2,SF3B2
TGM6,TGM6
TRAV34,TRAV34
CCL26,CCL26
MIR339,mml-mir-339
PDGFRL,PDGFRL
GOLGA2,GOLGA2
TRAT1,TRAT1
IFNB1,IFNB1
TMEM132E,TMEM132E
XRCC2,XRCC2
TNRC6B,TNRC6B
RNF114,RNF114
SELENOK,SELENOK
DEFB128,DEFB128
ARHGAP11A,ARHGAP11A
SNORD83B,SNORD83B
RANGRF,RANGRF
ZNF292,ZNF292
CHCHD3,CHCHD3
MIEF2,MIEF2
MAGI3,MAGI3
RHOXF1,RHOXF1
IPMK,IPMK
ANGEL1,ANGEL1
UNC80,UNC80
ZMYND8,ZMYND8
OR2T1,OR2T1
KLHL7,KLHL7
RNF141,RNF141
MRGPRX4,MRGPRX4
DEFB129,DEFB129
SNAPC3,SNAPC3
PRSS35,PRSS35
SCAF11,SCAF11
WDR53,WDR53
SNORD111,SNORD111
FAM124B,FAM124B
SNORD12C,SNORD12C
CDAN1,CDAN1
JAK2,JAK2
ZC3H7B,ZC3H7B
MAPRE1,MAPRE1
ZNF793,ZNF793
ZNF501,ZNF501
CC2D1B,CC2D1B
ABCA13,ABCA13
TLL1,TLL1
HERC4,HERC4
SCGB1D2,SCGB1D2
PYDC1,PYDC1
SLC6A4,SLC6A4
IL33,IL33
CDS2,CDS2
NFX1,NFX1
TKT,TKT
KIF1C,KIF1C
BBX,BBX
RUNDC3A,RUNDC3A
UPF2,UPF2
MTA2,MTA2
KLRD1,KLRD1
RABIF,RABIF
MTPAP,MTPAP
C9orf72,C9orf72
PHF23,PHF23
CENPQ,CENPQ
ATG2A,ATG2A
PTPDC1,PTPDC1
MGME1,MGME1
PLCG2,PLCG2
SPINT3,SPINT3
NDUFB10,NDUFB10
FAM240A,FAM240A
NPS,NPS
SRSF12,SRSF12
FRYL,FRYL
FOXP2,FOXP2
PARP14,PARP14
NBR1,NBR1
SLC15A1,SLC15A1
CLPB,CLPB
PRR23A,PRR23A
CLNK,CLNK
CFAP126,CFAP126
C7orf33,C3H7orf33
ANKS6,ANKS6
C2orf92,C13H2orf92
WSCD1,WSCD1
TMTC3,TMTC3
IZUMO2,IZUMO2
MPPE1,MPPE1
NEDD9,NEDD9
CELSR3,CELSR3
THAP11,THAP11
ZBTB4,ZBTB4
C1orf54,C1H1orf54
SLC25A47,SLC25A47
PAX4,PAX4
NCR1,NCR1
GCN1,GCN1
HRG,HRG
ZNF831,ZNF831
MIGA1,MIGA1
GZMA,GZMA
TF,TF
MCL1,MCL1
KRT34,KRT34
CPS1,CPS1
HCRT,HCRT
GANC,GANC
KLK3,KLK3
TMEM138,TMEM138
RNF17,RNF17
TCN1,TCN1
ACP2,ACP2
CDK15,CDK15
MRNIP,MRNIP
ARHGEF28,ARHGEF28
LNPEP,LNPEP
BEAN1,BEAN1
TRPC4AP,TRPC4AP
GNPTG,GNPTG
LRTM1,LRTM1
SLC39A4,SLC39A4
SAP25,SAP25
ATP2B1,ATP2B1
MAP3K6,MAP3K6
MRAP,MRAP
ZMYM4,ZMYM4
HECTD3,HECTD3
TTLL2,TTLL2
TRMT44,TRMT44
NCDN,NCDN
OR5D13,OR5D13
INCENP,INCENP
QKI,QKI
CWC25,CWC25
LIN54,LIN54
SEC23B,SEC23B
APLF,APLF
TRMT10A,TRMT10A
SLC9A8,SLC9A8
SPINK4,SPINK4
DCTPP1,DCTPP1
PRLH,PRLH
MFAP5,MFAP5
BPIFA1,BPIFA1
C8orf33,C8H8orf33
PRDM16,PRDM16
DMXL1,DMXL1
NID2,NID2
CUL4B,CUL4B
PCDH17,PCDH17
GIMAP5,GIMAP5
SLC38A1,SLC38A1
EME2,EME2
CA3,CA3
SNORD68,SNORD68
MIR500A,mml-mir-500a
CIAO2B,CIAO2B
EPHA4,EPHA4
ASB14,ASB14
MAN2A2,MAN2A2
AKAP13,AKAP13
SFR1,SFR1
NEBL,NEBL
ZHX2,ZHX2
MFSD2A,MFSD2A
SPOCD1,SPOCD1
TBPL2,TBPL2
AZU1,AZU1
NPB,NPB
ACAP1,ACAP1
MFSD9,MFSD9
TGIF2LX,TGIF2LX
TRBV7-3,TRBV7-3
GCFC2,GCFC2
RARS2,RARS2
LRRC7,LRRC7
CCDC66,CCDC66
KIAA1549,KIAA1549
MINDY2,MINDY2
TRUB2,TRUB2
NRN1L,NRN1L
ADTRP,ADTRP
MESP2,MESP2
RBBP8NL,RBBP8NL
CD101,CD101
ADAMTS15,ADAMTS15
CFTR,CFTR
DTX4,DTX4
NKG7,NKG7
HMGCR,HMGCR
PRKG2,PRKG2
GLYATL3,GLYATL3
ERCC6,ERCC6
CD207,CD207
ZACN,ZACN
KRT36,KRT36
FAM20A,FAM20A
GADL1,GADL1
MYO19,MYO19
CLRN1,CLRN1
MMAB,MMAB
ZSCAN31,ZSCAN31
VWA5B1,VWA5B1
ANKZF1,ANKZF1
SELENOH,SELENOH
SNRPN,SNRPN
VWC2,VWC2
SEMA3A,SEMA3A
DUOX2,DUOX2
ISLR2,ISLR2
OR4K5,OR4K5
PDGFRA,PDGFRA
PPP3CB,PPP3CB
BIRC6,BIRC6
MMACHC,MMACHC
ZFP37,ZFP37
MRPL30,MRPL30
PLA2G2D,PLA2G2D
ADAM29,ADAM29
KLF1,KLF1
CNTN1,CNTN1
ANAPC2,ANAPC2
ZNF181,ZNF181
PATL1,PATL1
ETV3L,ETV3L
UTRN,UTRN
C5orf58,C5orf58
CEBPZOS,CEBPZOS
CYTH1,CYTH1
EIF4EBP2,EIF4EBP2
KIF1A,KIF1A
TPR,TPR
KANSL2,KANSL2
OGDHL,OGDHL
DPP3,DPP3
OR13C4,OR13C4
OR2A2,OR2A2
OR4D5,OR4D5
SBK3,SBK3
PTPRE,PTPRE
KPNB1,KPNB1
CLP1,CLP1
OR2F1,OR2F1
OR6Q1,OR6Q1
OR2T27,OR2T27
C16orf86,C20H16orf86
MYD88,MYD88
COPA,COPA
CCDC175,CCDC175
TTC16,TTC16
SPX,SPX
C17orf114,C17orf114
STAG3,STAG3
TBXT,TBXT
NDUFV3,NDUFV3
OR5A1,OR5A1
ENAH,ENAH
LRFN2,LRFN2
MYBL2,MYBL2
OR14A2,OR14A2
POLE4,POLE4
CIST1,CIST1
CHIA,CHIA
HAUS2,HAUS2
NUP155,NUP155
OR10Z1,OR10Z1
OR11A1,OR11A1
OR1M1,OR1M1
VCP,VCP
ELP3,ELP3
KCNK6,KCNK6
SLC22A15,SLC22A15
FGFBP1,FGFBP1
SNORD53,SNORD53
SMIM1,SMIM1
ZC3H18,ZC3H18
USH2A,USH2A
CCNY,CCNY
LAS1L,LAS1L
NWD2,NWD2
SLC35E4,SLC35E4
LETM1,LETM1
OR1A1,OR1A1
OR2A25,OR2A25
OR5M9,OR5M9
