rhesus_macaque gene name,commonmarmoset gene name
CLK1,CLK1
BNIPL,BNIPL
FANCI,FANCI
MRPL34,MRPL34
PLCZ1,PLCZ1
EFHB,EFHB
EBF4,EBF4
TSPAN12,TSPAN12
PGRMC1,PGRMC1
BCS1L,BCS1L
ZC3H10,ZC3H10
PRKACA,PRKACA
KIAA0825,KIAA0825
DNAI4,DNAI4
EFCAB5,EFCAB5
PARPBP,PARPBP
ERI2,ERI2
GNPTAB,GNPTAB
CFAP119,CFAP119
STAG3,STAG3
SPRTN,SPRTN
GOLGA3,GOLGA3
MFGE8,MFGE8
ASAP2,ASAP2
DGLUCY,DGLUCY
IQCA1L,IQCA1L
PATL2,PATL2
INSIG2,INSIG2
CEP170B,CEP170B
YJEFN3,YJEFN3
CYSRT1,CYSRT1
ZNF638,ZNF638
WNT8A,WNT8A
EPM2AIP1,EPM2AIP1
MRPS11,MRPS11
KIAA1328,KIAA1328
TAF9B,TAF9B
SERPINB1,SERPINB1
ACER1,ACER1
RBM23,RBM23
BTRC,BTRC
TMEM64,TMEM64
CHRND,CHRND
CFAP96,C4orf47
TMPRSS11B,TMPRSS11B
CSTL1,CSTL1
EVC2,EVC2
SMIM28,SMIM28
BOLA2B,BOLA2B
VWA3A,VWA3A
CHAF1A,CHAF1A
MIGA2,MIGA2
F2RL3,F2RL3
SMS,SMS
CPPED1,CPPED1
MRPL46,MRPL46
POC1B,POC1B
GDA,GDA
PLIN5,PLIN5
GMFB,GMFB
BDH1,BDH1
TLR9,TLR9
WDR54,WDR54
RELT,RELT
SPATA6,SPATA6
TBRG1,TBRG1
CSRP1,CSRP1
CEP57L1,CEP57L1
TSSK4,TSSK4
CHTF18,CHTF18
LRTOMT,LRTOMT
RBM20,RBM20
UMOD,UMOD
MEF2C,MEF2C
OFD1,OFD1
LRRC23,LRRC23
SERINC5,SERINC5
TCTN2,TCTN2
GPCPD1,GPCPD1
ZSCAN26,ZSCAN26
CCDC103,CCDC103
LRRC42,LRRC42
PLA2G7,PLA2G7
ZNF475,ZNF475
ZNF792,ZNF792
MPL,MPL
ARL16,ARL16
IL4I1,IL4I1
TULP4,TULP4
SNX10,SNX10
MRPL40,MRPL40
RPP38,RPP38
HDHD5,HDHD5
ZNF615,ZNF615
C10H22orf23,C22orf23
TUBGCP6,TUBGCP6
ECHDC3,ECHDC3
STC2,STC2
TSR3,TSR3
CRYBG1,CRYBG1
LARS2,LARS2
C13H2orf73,C2orf73
BCL6B,BCL6B
ZNF175,ZNF175
FAM107B,FAM107B
SPHK1,SPHK1
GPX5,GPX5
CHRNA7,CHRNA7
CPQ,CPQ
OCIAD1,OCIAD1
MRE11,MRE11
CYP1A1,CYP1A1
PLIN3,PLIN3
REXO5,REXO5
GPSM1,GPSM1
OR5BS1P,OR5BS1P
MOB3C,MOB3C
UGT1A1,UGT1A1
SLC25A18,SLC25A18
TSNAXIP1,TSNAXIP1
FBXL15,FBXL15
PTPN22,PTPN22
WWTR1,WWTR1
IL17RC,IL17RC
SEPTIN9,SEPTIN9
THADA,THADA
CORIN,CORIN
HAS1,HAS1
PCDHB8,PCDHB8
ADAMTS13,ADAMTS13
RLBP1,RLBP1
ADCY7,ADCY7
WDR64,WDR64
RNF6,RNF6
BDKRB2,BDKRB2
SLC27A5,SLC27A5
OR5C1,OR5C1
CCDC86,CCDC86
OR5W2,OR5W2
AP1S2,AP1S2
RNF10,RNF10
TMEM38A,TMEM38A
TPX2,TPX2
FAM177A1,FAM177A1
EXO1,EXO1
SLC12A4,SLC12A4
NOP14,NOP14
HACD3,HACD3
EPM2A,EPM2A
PNMA3,PNMA3
XPC,XPC
ASTE1,ASTE1
XKR8,XKR8
EDARADD,EDARADD
SLC2A7,SLC2A7
ACY3,ACY3
SDR16C5,SDR16C5
BTBD18,BTBD18
USP11,USP11
UQCC1,UQCC1
TRPC3,TRPC3
PADI4,PADI4
CCDC81,CCDC81
RIOX1,RIOX1
SGSM3,SGSM3
NAALADL1,NAALADL1
SCUBE2,SCUBE2
MTIF2,MTIF2
C1QL2,C1QL2
MAP6,MAP6
THBS4,THBS4
FGF21,FGF21
SLC12A7,SLC12A7
CXCL11,CXCL11
SH3BP5,SH3BP5
NPAT,NPAT
ZNF605,ZNF605
CEP57,CEP57
RBMS1,RBMS1
C1RL,C1RL
ITGB5,ITGB5
OR4D5,OR4D5
SAXO1,SAXO1
PSMA1,PSMA1
SPMIP1,SPMIP1
LCK,LCK
PSMB11,PSMB11
SMIM31,SMIM31
NKX2-8,NKX2-8
TMEM259,TMEM259
FSD2,FSD2
ZNF408,ZNF408
PFN4,PFN4
BDH2,BDH2
CYP11A1,CYP11A1
CXCL17,CXCL17
FAM83C,FAM83C
DCUN1D1,DCUN1D1
FBXO34,FBXO34
ZPBP2,ZPBP2
ETS1,ETS1
TGS1,TGS1
MRPL35,MRPL35
TRIM15,TRIM15
ZNF41,ZNF41
SCAP,SCAP
RAB21,RAB21
NDUFB10,NDUFB10
HIVEP3,HIVEP3
MAMSTR,MAMSTR
OR6K3,OR6K3
TCF3,TCF3
ABHD4,ABHD4
TM6SF1,TM6SF1
NBN,NBN
DHX35,DHX35
COL4A2,COL4A2
EPB41L4B,EPB41L4B
PRXL2B,PRXL2B
ABHD10,ABHD10
TRIP11,TRIP11
TLR4,TLR4
RUSC1,RUSC1
GPR50,GPR50
NOD1,NOD1
NHLRC2,NHLRC2
FOXS1,FOXS1
ZNF841,ZNF841
SLC35F4,SLC35F4
KRT74,KRT74
RNF31,RNF31
ZSCAN22,ZSCAN22
BCAR3,BCAR3
GABRD,GABRD
HAO1,HAO1
FKBP15,FKBP15
RHBDL1,RHBDL1
TMEM37,TMEM37
SLC16A4,SLC16A4
C13H2orf50,C2orf50
MGP,MGP
TMEM244,TMEM244
SNORA11,SNORA11
CCDC71,CCDC71
UBE2G1,UBE2G1
MAP3K4,MAP3K4
MBNL2,MBNL2
FANCM,FANCM
LYSMD4,LYSMD4
REP15,REP15
CHCT1,CHCT1
FPGT,TNNI3K
SELP,SELP
RBCK1,RBCK1
SPATA19,SPATA19
KIF11,KIF11
PCK2,PCK2
KRT39,KRT39
ETHE1,ETHE1
KLHL14,KLHL14
ARL8A,ARL8A
FGGY,FGGY
HMOX1,HMOX1
HYKK,HYKK
PEX11B,PEX11B
TMC4,TMC4
VPS16,VPS16
TEX38,TEX38
CFAP92,CFAP92
CEACAM16,CEACAM16
ZBTB7B,ZBTB7B
SNORD26,SNORD26
TBC1D8,TBC1D8
DGAT2,DGAT2
NPVF,NPVF
CSTA,CSTA
SCRG1,SCRG1
TPMT,TPMT
FCRLA,FCRLA
PXK,PXK
DNTTIP2,DNTTIP2
GRAMD1C,GRAMD1C
ATOH8,ATOH8
ALPP,ALPP
STARD8,STARD8
NCAN,NCAN
TRAV26-2,TRAV26-2
BRIP1,BRIP1
ACBD7,ACBD7
SUSD1,SUSD1
PLSCR4,PLSCR4
MRS2,MRS2
CPOX,CPOX
TATDN1,TATDN1
POLI,POLI
MTO1,MTO1
SIAE,SIAE
WDR25,WDR25
RMND5B,RMND5B
BRAT1,BRAT1
RIF1,RIF1
CEP55,CEP55
C5H4orf17,C4orf17
P2RY13,P2RY13
BICDL2,BICDL2
VSTM4,VSTM4
DBT,DBT
BSPRY,BSPRY
PEX6,PEX6
BRPF3,BRPF3
ATAD5,ATAD5
HDAC9,HDAC9
U2AF1,U2AF1
PRDX3,PRDX3
C20H16orf54,C16orf54
COQ9,COQ9
IL13,IL13
AADAC,AADAC
FBN3,FBN3
SERPINB13,SERPINB13
SLC8B1,SLC8B1
USP40,USP40
FOXL3,FOXL3
SLC25A17,SLC25A17
TBPL2,TBPL2
GDI1,GDI1
C18H18orf54,C18orf54
TCTN1,TCTN1
DPP9,DPP9
LYG1,LYG1
SLC16A1,SLC16A1
CPB1,CPB1
EPS8,EPS8
DOK4,DOK4
SULT2B1,SULT2B1
ELP5,ELP5
NANP,NANP
ITGA2B,ITGA2B
RPP30,RPP30
SPINK5,SPINK5
DPPA5,DPPA5
OR13F1,OR13F1
TMEM262,TMEM262
VTCN1,VTCN1
MAP3K8,MAP3K8
FRS3,FRS3
NR2E3,NR2E3
CEP95,CEP95
DDX56,DDX56
BTN1A1,BTN1A1
ZYX,ZYX
SETX,SETX
SFTA2,SFTA2
RSPH14,RSPH14
UBE2QL1,UBE2QL1
CCDC56,COA3
ACO1,ACO1
ABHD14B,ABHD14B
TNFRSF17,TNFRSF17
NANOS2,NANOS2
TSPAN5,TSPAN5
VWF,VWF
RNF170,RNF170
SCN11A,SCN11A
FNDC1,FNDC1
LEPR,LEPR
OR4Q3,OR4Q3
MACC1,MACC1
DEGS2,DEGS2
MAPK8,MAPK8
SDHA,SDHA
SLC39A4,SLC39A4
MDH1B,MDH1B
KLK6,KLK6
ZDHHC16,ZDHHC16
FGF2,FGF2
NUDT5,NUDT5
CYP2C19,CYP2C19
KIF26A,KIF26A
TMEM179,TMEM179
TTC1,TTC1
C8B,C8B
ENGASE,ENGASE
KIF18B,KIF18B
ANKRD1,ANKRD1
PLTP,PLTP
IQCA1,IQCA1
APOF,APOF
ZKSCAN4,ZKSCAN4
PPP6R2,PPP6R2
STAB1,STAB1
KIAA1217,KIAA1217
EXTL1,EXTL1
CHRNA1,CHRNA1
SPHKAP,SPHKAP
TACO1,TACO1
IPP,IPP
NLRP14,NLRP14
DDIT3,DDIT3
NOM1,NOM1
LRTM2,LRTM2
P2RX2,P2RX2
HPS5,HPS5
LRIT2,LRIT2
CISH,CISH
MYBPH,MYBPH
HEATR9,HEATR9
REST,REST
CDH17,CDH17
METTL17,METTL17
NDRG2,NDRG2
FAM167A,FAM167A
C5,C5
mml-mir-125a,MIR125A
MRPS18B,MRPS18B
PHLDA2,PHLDA2
KCNMB1,KCNMB1
CARS1,CARS1
MXRA5,MXRA5
MYL11,MYL11
KANK2,KANK2
TOPORS,TOPORS
EPS8L2,EPS8L2
TRAF3IP2,TRAF3IP2
CCDC148,CCDC148
ZNF317,ZNF317
SELE,SELE
POT1,POT1
MIXL1,MIXL1
ACTC1,ACTC1
SLC52A3,SLC52A3
MS4A5,MS4A5
ABHD12,ABHD12
CTH,CTH
C1GALT1,C1GALT1
ENTPD8,ENTPD8
ERMP1,ERMP1
CCM2L,CCM2L
SEC31B,SEC31B
ZNF177,ZNF177
ERVFRD-1,ERVFRD-1
LDLRAD1,LDLRAD1
TMEM175,TMEM175
SLC39A12,SLC39A12
ACAD11,ACAD11
TM4SF19,TM4SF19
PPDPF,PPDPF
TNFSF13B,TNFSF13B
SUDS3,SUDS3
ACADS,ACADS
LRRC19,LRRC19
TSC22D1,TSC22D1
ZC3H12D,ZC3H12D
OPTC,OPTC
P3H3,P3H3
FOLR1,FOLR1
PIP5KL1,PIP5KL1
CLPTM1,CLPTM1
RBM19,RBM19
FAM174A,FAM174A
SHISA8,SHISA8
EPOP,EPOP
KCP,KCP
PGLYRP3,PGLYRP3
XNDC1,XNDC1N
ATP5PD,ATP5H
ZNF555,ZNF555
F8,F8
PPP1R18,PPP1R18
ATRAID,ATRAID
CD99L2,CD99L2
TIFA,TIFA
PAQR9,PAQR9
WFDC5,WFDC5
SKA3,SKA3
INSR,INSR
SLC13A4,SLC13A4
TRAV12-2,TRAV12-2
HSD17B12,HSD17B12
SNORD13E,SNORD13E
LAMC2,LAMC2
LYPD5,LYPD5
NOXRED1,NOXRED1
GASK1A,GASK1A
CHST4,CHST4
MTUS1,MTUS1
TPM3,TPM3
ODF2L,ODF2L
NAGK,NAGK
RD3L,RD3L
FABP9,FABP9
ZNF8,ZNF8
RNF217,RNF217
PSMA3,PSMA3
STK31,STK31
THAP8,THAP8
SEMA4C,SEMA4C
SEPTIN3,SEPTIN3
ZNF71,ZNF71
ZNRF1,ZNRF1
ECEL1,ECEL1
ADH4,ADH4
PGC,PGC
CFAP36,CFAP36
PPP6R3,PPP6R3
SSH1,SSH1
TGM2,TGM2
ADGB,ADGB
IRAK1,IRAK1
MSR1,MSR1
EIF4ENIF1,EIF4ENIF1
CCDC39,CCDC39
TRPM4,TRPM4
ZFP1,ZFP1
TFRC,TFRC
ZBTB1,ZBTB1
RIPK1,RIPK1
VASH1,VASH1
CD14,CD14
MFHAS1,MFHAS1
FBXL2,FBXL2
YEATS2,YEATS2
TMCO1,TMCO1
FAM229A,FAM229A
EFCAB14,EFCAB14
S100PBP,S100PBP
FBXO16,FBXO16
ITPRIPL2,ITPRIPL2
OSER1,OSER1
LRRC18,LRRC18
ZNF132,ZNF132
GGH,GGH
FSTL4,FSTL4
PLEKHG2,PLEKHG2
VRK1,VRK1
STXBP2,STXBP2
SHISA7,SHISA7
CAT,CAT
ECD,ECD
SHROOM2,SHROOM2
ARL11,ARL11
OR52B6,OR52B6
PNLDC1,PNLDC1
EPOR,EPOR
RMI1,RMI1
ADAM11,ADAM11
SUOX,SUOX
GABRQ,GABRQ
ZNF165,ZNF165
CAPZA1,CAPZA1
PLB1,PLB1
CAND2,CAND2
VWA5B1,VWA5B1
ZFP37,ZFP37
UBTD1,UBTD1
KDM5A,KDM5A
UBA1,UBA1
IL12RB2,IL12RB2
ADAM15,ADAM15
IGSF10,IGSF10
GUF1,GUF1
RO60,RO60
LRRC31,LRRC31
PLRG1,PLRG1
FBXW11,FBXW11
LUC7L2,LUC7L2
AKAP8,AKAP8
PIGO,PIGO
INMT,INMT
CSPP1,CSPP1
SGSH,SGSH
SNX2,SNX2
NDUFB3,NDUFB3
FBXL8,FBXL8
OVOL3,OVOL3
DRD4,DRD4
INO80C,INO80C
OR2D3,OR2D3
OR4X2,OR4X2
SDCBP,SDCBP
PAPLN,PAPLN
TATDN3,TATDN3
SHPK,SHPK
TNFRSF11A,TNFRSF11A
GOT1L1,GOT1L1
ZBTB49,ZBTB49
TNKS2,TNKS2
IFT43,IFT43
ZNF268,ZNF268
CLUL1,CLUL1
ANKRD46,ANKRD46
LSS,LSS
GPR182,GPR182
WRN,WRN
RUFY3,ENAM
HEXB,HEXB
SMIM44,SMIM44
LYZL6,LYZL6
MTUS2,MTUS2
DCAF11,DCAF11
WDCP,WDCP
MARK3,MARK3
FBXL20,FBXL20
DCSTAMP,DCSTAMP
TRIM63,TRIM63
DPEP3,DPEP3
PNPLA1,PNPLA1
ATF5,ATF5
SLC25A21,SLC25A21
MMRN2,MMRN2
SERPINB12,SERPINB12
SLC5A6,SLC5A6
NIPA1,NIPA1
IGFBP4,IGFBP4
YPEL2,YPEL2
PGK2,PGK2
CEP85L,CEP85L
RDM1,RDM1
ZIC4,ZIC4
SLC22A16,SLC22A16
TG,TG
TMPRSS7,TMPRSS7
SLC24A1,SLC24A1
TRUB2,TRUB2
ACADSB,ACADSB
TRAV3,TRAV3
NCKIPSD,NCKIPSD
SERF2,SERF2
ASAP3,ASAP3
RNF149,RNF149
FANCC,FANCC
ZSCAN31,ZSCAN31
RXFP4,RXFP4
CX3CR1,CX3CR1
MTRF1L,MTRF1L
ELOVL5,ELOVL5
NCAPH2,NCAPH2
OR51B5,OR51B5
UBXN2A,UBXN2A
PDCD1LG2,PDCD1LG2
COQ2,COQ2
TRH,TRH
DYTN,DYTN
ASTL,ASTL
ACVR2B,ACVR2B
HRH4,HRH4
ADGRG1,ADGRG1
NARS1,NARS1
PRX,PRX
TRAF1,TRAF1
OIP5,OIP5
ZFYVE19,ZFYVE19
PHOSPHO1,PHOSPHO1
DNPH1,DNPH1
CEP20,CEP20
ZNF19,ZNF19
FHAD1,FHAD1
NEMP2,NEMP2
CNMD,CNMD
5S_rRNA,5S_rRNA
SHISA5,SHISA5
TMOD3,TMOD3
ACSBG1,ACSBG1
TMPRSS11A,TMPRSS11A
CNOT6L,CNOT6L
SOWAHA,SOWAHA
SMOC1,SMOC1
DNAJB2,DNAJB2
INSYN2A,INSYN2A
FBXO5,FBXO5
ACD,ACD
PLCB2,PLCB2
PARN,PARN
PRRG2,PRRG2
IHO1,IHO1
RSAD1,RSAD1
ZNF655,ZNF655
OMA1,OMA1
TMEM130,TMEM130
STX2,STX2
SFSWAP,SFSWAP
DNM1,DNM1
DEFB108B,DEFB108B
CCR5,CCR5
MDM1,MDM1
ERBB2,ERBB2
CERT1,CERT1
IWS1,IWS1
BBOF1,BBOF1
NDUFB9,NDUFB9
TNF,TNF
MYCN,MYCN
CD101,CD101
TSPAN19,TSPAN19
PSMB3,PSMB3
C6H5orf34,C5orf34
ZNF875,ZNF875
CHAD,CHAD
FUCA2,FUCA2
C9H10orf71,C10orf71
SYTL1,SYTL1
FBF1,FBF1
MBLAC1,MBLAC1
ITGAL,ITGAL
ERP27,ERP27
CCDC142,CCDC142
MAP4K2,MAP4K2
LRRC32,LRRC32
FAM114A2,FAM114A2
TOR3A,TOR3A
GPRASP1,GPRASP1
TRAV10,TRAV10
MOCS1,MOCS1
FLVCR2,FLVCR2
E4F1,E4F1
HM13,HM13
TMEM35B,ZMYM6NB
CRB2,CRB2
EFS,EFS
TNS3,TNS3
C7,C7
CBX5,CBX5
NEK6,NEK6
ZNF878,ZNF878
PAK1,PAK1
ASB3,ASB3
DNAI2,DNAI2
DCTN6,DCTN6
FIRRM,FIRRM
TAF9,CCDC125
ACTL9,ACTL9
GIMD1,GIMD1
TEX47,TEX47
MARS2,MARS2
IL22RA1,IL22RA1
FBXO10,FBXO10
C4H6orf163,C6orf163
PRDM16,PRDM16
QRSL1,QRSL1
TRPM2,TRPM2
STK26,STK26
VRK3,VRK3
HACD4,HACD4
IQCD,IQCD
APOB,APOB
C1H1orf115,C1orf115
ESM1,ESM1
FAM124B,FAM124B
SNORD4B,SNORD4B
TNFSF8,TNFSF8
KCNA7,KCNA7
DCTN3,DCTN3
YIF1B,YIF1B
NR4A3,NR4A3
SLC15A1,SLC15A1
ARSG,ARSG
ULK4,ULK4
KLF11,KLF11
NKX1-1,NKX1-1
THAP4,THAP4
ECM2,ECM2
ZNF280C,ZNF280C
METTL18,METTL18
BFSP1,BFSP1
HACL1,HACL1
ZNF23,ZNF23
OTOP3,OTOP3
SCYL3,SCYL3
MTA1,MTA1
TICRR,TICRR
SLC38A7,SLC38A7
SPOUT1,C9orf114
ADORA2B,ADORA2B
SFR1,SFR1
DYNC2I1,DYNC2I1
C7H14orf39,C14orf39
CLIP4,CLIP4
TAS1R1,TAS1R1
ADCY4,ADCY4
IFNG,IFNG
MPG,MPG
GJA10,GJA10
SPATA1,SPATA1
GNPDA1,GNPDA1
GALNTL5,GALNTL5
PPP4R3A,PPP4R3A
ZNF750,ZNF750
THAP10,THAP10
OCLN,OCLN
MNS1,MNS1
PHETA2,PHETA2
ANXA11,ANXA11
TDO2,TDO2
ZNF227,ZNF227
OR5B12,OR5B12
TCF23,TCF23
TSKU,TSKU
ABHD13,ABHD13
CD44,CD44
PPP1R13B,PPP1R13B
DCAF8,DCAF8
DENND1C,DENND1C
PARP3,PARP3
FMN2,FMN2
IMPA1,IMPA1
RAVER1,RAVER1
SLC22A2,SLC22A2
SELL,SELL
TBC1D12,TBC1D12
ATP6V1H,ATP6V1H
RGN,RGN
CIROP,CIROP
ZNF804B,ZNF804B
ADAT1,ADAT1
ZNF671,ZNF671
AOC1,AOC1
ILVBL,ILVBL
STK38L,STK38L
SLC35G1,SLC35G1
CYTH3,CYTH3
TMEM232,TMEM232
PDE9A,PDE9A
COLEC10,COLEC10
NAT1,NAT1
LALBA,LALBA
GUCY2D,GUCY2D
MICOS13,MICOS13
NDUFB7,NDUFB7
MRPL37,MRPL37
CCDC22,CCDC22
MROH7,MROH7
AMIGO2,AMIGO2
OR10Q1,OR10Q1
PRXL2A,PRXL2A
PARM1,PARM1
LZTS3,LZTS3
BBS10,BBS10
FBXO21,FBXO21
FAM13C,FAM13C
F13A1,F13A1
SNAI3,SNAI3
EME1,EME1
CENPH,CENPH
SNX25,SNX25
UBXN10,UBXN10
CENPT,CENPT
CDC25C,CDC25C
PADI1,PADI1
TRPV2,TRPV2
FIS1,FIS1
TGFBR3L,TGFBR3L
WNT3,WNT3
PXMP4,PXMP4
MRPS33,MRPS33
MMP3,MMP3
Vault,Vault
ACSM3,ACSM3
LFNG,LFNG
AMACR,C1QTNF3
PRKCD,PRKCD
LAG3,LAG3
SCT,SCT
LURAP1L,LURAP1L
SERTAD2,SERTAD2
ORC1,ORC1
KLC4,KLC4
LRRN4CL,LRRN4CL
BIN3,BIN3
RAG1,RAG1
ZNF550,ZNF550
PRKCI,PRKCI
C2CD2,C2CD2
SNORA5C,SNORA5C
LIPE,LIPE
DDX43,DDX43
HERPUD1,HERPUD1
CMTM3,CMTM3
CTF1,CTF1
CUZD1,CUZD1
PIK3R3,PIK3R3
PMFBP1,PMFBP1
LNPEP,LNPEP
ZNF280D,ZNF280D
RPAP1,RPAP1
RAB27B,RAB27B
POP5,POP5
PTPN6,PTPN6
LIG3,LIG3
ZNF541,ZNF541
B3GAT3,B3GAT3
CAPRIN2,CAPRIN2
SPATA7,SPATA7
LDLRAD3,LDLRAD3
GPR156,GPR156
ORC2,ORC2
CENPV,CENPV
PXN,PXN
TDRD1,TDRD1
FAM131C,FAM131C
TRIM3,TRIM3
MYCBPAP,MYCBPAP
KRT79,KRT79
WFDC10A,WFDC10A
CBLC,CBLC
PJA2,PJA2
BTD,BTD
RARA,RARA
STIMATE,STIMATE
NHSL1,NHSL1
DNAJC5G,DNAJC5G
DCLRE1B,DCLRE1B
CRACR2B,CRACR2B
TLX1,TLX1
SNAPC2,SNAPC2
ACE2,ACE2
GCNT3,GCNT3
DYNC1I2,DYNC1I2
ANO5,ANO5
ARHGAP4,ARHGAP4
KLK4,KLK4
SLC26A6,SLC26A6
AMTN,AMTN
DND1,DND1
SNORD30,SNORD30
HDAC7,HDAC7
PDXDC1,PDXDC1
TBC1D23,TBC1D23
BRDT,BRDT
MORC4,MORC4
LMAN1,LMAN1
KCTD11,KCTD11
PROM1,PROM1
SLC6A9,SLC6A9
GPR142,GPR142
ZNF597,ZNF597
GZF1,GZF1
ALDH5A1,ALDH5A1
ZNF572,ZNF572
STPG4,STPG4
AADAT,AADAT
VIPR1,VIPR1
MYBL2,MYBL2
KITLG,KITLG
PPP6R1,PPP6R1
CHADL,CHADL
BANK1,BANK1
CENPI,CENPI
QTRT2,QTRT2
MLXIP,MLXIP
MLH3,MLH3
LCA5L,LCA5L
ZSCAN9,ZSCAN9
FRMPD2,FRMPD2
MTRF1,MTRF1
WDR35,WDR35
MFSD2A,MFSD2A
NMUR1,NMUR1
PPP1R35,PPP1R35
CCDC191,CCDC191
ARSD,ARSD
UBQLN3,UBQLN3
LSR,LSR
ARHGAP18,ARHGAP18
ZNHIT2,ZNHIT2
MEP1B,MEP1B
SWT1,SWT1
KCNE3,KCNE3
RAB11FIP5,RAB11FIP5
SPMIP5,SPMIP5
OR8H3,OR8H2
ZCCHC7,ZCCHC7
SCNN1A,SCNN1A
STEAP2,STEAP2
CCDC149,CCDC149
HDHD3,HDHD3
BCO2,BCO2
GLOD5,GLOD5
TMEM154,TMEM154
SIRT5,SIRT5
PRDM15,PRDM15
CDC37,CDC37
SEC11C,SEC11C
SCNN1G,SCNN1G
TMEM210,TMEM210
ADARB1,ADARB1
HTRA2,HTRA2
TFAP2C,TFAP2C
SLC39A8,SLC39A8
PNPLA3,PNPLA3
CHRNA3,CHRNA3
CNKSR1,CNKSR1
SYNM,SYNM
MOGAT2,MOGAT2
UBAC2,UBAC2
WBP1,WBP1
NRROS,NRROS
PGM5,PGM5
TSEN15,TSEN15
PDZD2,PDZD2
CAPNS1,CAPNS1
FAM120B,FAM120B
FAM216A,FAM216A
RP1,RP1
RGS13,RGS13
PID1,PID1
CUL7,CUL7
SEMA3D,SEMA3D
TRBV10-1,TRBV10-1
TFCP2,TFCP2
CCDC9B,CCDC9B
SSC5D,SSC5D
UTP6,UTP6
TPO,TPO
XRRA1,XRRA1
TOM1,TOM1
GABPB2,GABPB2
CCDC59,CCDC59
SPATA18,SPATA18
VWCE,VWCE
PLXND1,PLXND1
FAM131A,FAM131A
SYCP2,SYCP2
NARF,NARF
TRMT10C,TRMT10C
LAMTOR5,LAMTOR5
BMPER,BMPER
APOO,APOO
CTC1,CTC1
SNX29,SNX29
ZNF77,ZNF77
COL20A1,COL20A1
TMEM95,TMEM95
ANKLE2,ANKLE2
TDRD6,TDRD6
PEX7,PEX7
PRL,PRL
KPNA7,KPNA7
PLEKHG5,PLEKHG5
NDUFA4,NDUFA4
RBM34,RBM34
PIF1,PIF1
WNK4,WNK4
ALPK1,ALPK1
TNFSF14,TNFSF14
LCN6,LCN6
CSKMT,CSKMT
MRPL50,MRPL50
NOCT,NOCT
GJC3,GJC3
ARHGAP9,ARHGAP9
NOX4,NOX4
KCNJ5,KCNJ5
PRR3,PRR3
PDLIM2,PDLIM2
APCDD1L,APCDD1L
PWP2,PWP2
IQCH,IQCH
LHX4,LHX4
C9H10orf90,C10orf90
TDRD10,TDRD10
FKBP1A,FKBP1A
ADAMTS16,ADAMTS16
TMEM116,TMEM116
WFDC12,WFDC12
IGFBP6,IGFBP6
TAF1B,TAF1B
ZNF354C,ZNF354C
ADAM23,ADAM23
LRTM1,LRTM1
MRPS34,MRPS34
CFAP91,CFAP91
ZCWPW1,ZCWPW1
WFDC2,WFDC2
SRCIN1,SRCIN1
JPT2,HN1L
IQSEC1,IQSEC1
CSRNP1,CSRNP1
SHROOM3,SHROOM3
SLC25A48,SLC25A48
SULT6B1,SULT6B1
WARS2,WARS2
SNORA75,SNORA75
AKR1D1,AKR1D1
RCCD1,RCCD1
TTBK1,TTBK1
DEFB1,DEFB1
SLC51A,SLC51A
SNORA80D,SNORA80D
DOC2A,DOC2A
FBXL17,FBXL17
SPATA6L,SPATA6L
CCT7,CCT7
CYP2C76,CYP2C76
ABCB7,ABCB7
PORCN,PORCN
MEI4,MEI4
MMP8,MMP8
TBX18,TBX18
SCGB2A1,SCGB2A1
TNXB,TNXB
SAPCD1,SAPCD1
BRI3BP,BRI3BP
CCDC73,CCDC73
SLC24A4,SLC24A4
LGALS12,LGALS12
WIF1,WIF1
ZNF181,ZNF181
TMEM43,TMEM43
TRO,TRO
DGKK,DGKK
RGS16,RGS16
C8G,C8G
HGFAC,HGFAC
IER3,IER3
STAB2,STAB2
AHI1,AHI1
CREM,CREM
HPD,HPD
RARRES1,RARRES1
EIF3B,EIF3B
SIDT1,SIDT1
KIF6,KIF6
TRIM65,TRIM65
DMAP1,DMAP1
SYCN,SYCN
AXDND1,AXDND1
HDAC1,HDAC1
LMO7,LMO7
CC2D1A,CC2D1A
SPPL3,SPPL3
PAX2,PAX2
UBN1,UBN1
IL12A,IL12A
HBP1,HBP1
ZNF214,ZNF214
SLC47A1,SLC47A1
SLC26A9,SLC26A9
RIBC1,RIBC1
ARHGAP45,ARHGAP45
FZD3,FZD3
PPARGC1B,PPARGC1B
SNRPA1,SNRPA1
CXADR,CXADR
TRIM58,TRIM58
SLC26A8,SLC26A8
PFKFB3,PFKFB3
DDX10,DDX10
LBX2,LBX2
STAT6,STAT6
CCDC83,CCDC83
MAN2A2,MAN2A2
FPGS,FPGS
CNST,CNST
THEMIS,THEMIS
ZNF696,ZNF696
BAHCC1,BAHCC1
OSGIN1,OSGIN1
TCHP,TCHP
SLC15A5,SLC15A5
INAVA,INAVA
SMIM27,SMIM27
SERPINB7,SERPINB7
APOBEC1,APOBEC1
ZNF133,ZNF133
COBLL1,COBLL1
ACTRT2,ACTRT2
MRPS35,MRPS35
TTC5,TTC5
CIMIP2C,C2orf70
DEFB123,DEFB123
CCDC195,CCDC195
SPMIP10,SPMIP10
MPZ,MPZ
OR4A5,OR4A5
RASAL3,RASAL3
TGFBR2,TGFBR2
ATOX1,ATOX1
ZNF358,ZNF358
CENPJ,CENPJ
ZPLD1,ZPLD1
PLG,PLG
