crab_eating_macaque gene name,mice gene name,correlation
CNPY4,Cnpy4,0.96649224
ZBTB37,Zbtb37,0.9664864
KCNS1,Kcns1,0.9664718
FCAMR,Fcamr,0.96646625
MYRIP,Myrip,0.96644527
FAM210B,Fam210b,0.96644443
ADAMTS19,Adamts19,0.9664416
SLC10A4,Slc10a4,0.9664411
GABRR3,Gabrr3,0.96643466
TOP3A,Top3a,0.96640766
NECAP1,Necap1,0.96639115
GFRA2,Gfra2,0.9663901
ZFP1,Zfp1,0.96638405
TTI1,Tti1,0.9663732
ARMH2,Armh2,0.96636987
DEPTOR,Deptor,0.96636945
ELMOD3,Elmod3,0.96636814
B4GALNT1,B4galnt1,0.9663392
ARHGAP30,Arhgap30,0.9663333
DLG5,Dlg5,0.966287
MTCL2,Soga1,0.96628624
GPM6B,Gpm6b,0.9662846
MYO5C,Myo5c,0.96627516
THEM4,Them4,0.96627295
KLK12,Klk12,0.9662617
ATE1,Ate1,0.96625704
ENPP2,Enpp2,0.9662539
LRRC32,Lrrc32,0.96625334
SLC12A1,Slc12a1,0.96625197
MTG2,Mtg2,0.96625036
IL9,Il9,0.96624833
ZNF10,Zfp599,0.9662481
SLC37A4,Slc37a4,0.9662429
NIPSNAP3B,Nipsnap3b,0.9662386
ZNF500,Mzf1,0.9662322
RALGPS2,Ralgps2,0.9662273
ALK,Alk,0.96622574
NLRP6,Nlrp6,0.9662251
AP4B1,Ap4b1,0.9662239
OGDH,Ogdh,0.9662222
ABI2,Abi2,0.96622103
FAHD1,Fahd1,0.9662209
XKR9,Xkr9,0.96621835
SPMIP4,4921507P07Rik,0.9661925
ZNF81,A430033K04Rik,0.9661775
H6PD,H6pd,0.9661616
SCN3B,Scn3b,0.96615744
MUSTN1,Mustn1,0.96615666
BLNK,Blnk,0.96615386
ELMO2,Elmo2,0.96615
TRIM26,Trim26,0.9661486
PLIN3,Plin3,0.96613467
SPMIP7,Spata48,0.96613306
KLHL32,Klhl32,0.96612704
SIGMAR1,Sigmar1,0.96612674
ATG5,Atg5,0.9661217
TMPRSS6,Tmprss6,0.96611726
VGLL4,Vgll4,0.96610457
MYT1,Myt1,0.96610296
B4GALT1,B4galt1,0.96610147
GRIFIN,Grifin,0.9660881
POSTN,Postn,0.9660756
DKKL1,Dkkl1,0.96607167
DKK1,Dkk1,0.96607107
RAB26,Rab26,0.96606535
POMP,Pomp,0.96605825
POLM,Polm,0.9660581
RGS22,Rgs22,0.96604604
CTSE,Ctse,0.9660456
TTLL7,Ttll7,0.9660416
CTSL,Ctsl,0.9660359
CD40LG,Cd40lg,0.96603405
UCP2,Ucp2,0.96603096
C21orf91,D16Ertd472e,0.9660241
PLEK,Plek,0.96600556
VIPR1,Vipr1,0.96600485
GSTM3,Gstm2,0.96600074
INSL5,Insl5,0.9660004
URAD,Urad,0.9659974
PPP4R3B,Ppp4r3b,0.96599454
COPS6,Cops6,0.96598965
KIF23,Kif23,0.96598583
APOL2,Apol10b,0.9659803
PGM3,Pgm3,0.9659695
NDRG2,Ndrg2,0.9659624
SLC26A6,Slc26a6,0.96595395
OSBPL2,Osbpl2,0.9659533
PNOC,Pnoc,0.9659481
TKFC,Tkfc,0.9659454
SEPTIN2,Septin5,0.9659401
ITLN1,Itln1,0.96593326
ALS2,Als2,0.9659321
TNFRSF11A,Tnfrsf11a,0.9659302
FGL2,Fgl2,0.9659215
RSPH3,Rsph3b,0.9659164
ZNF616,Zfp760,0.96591336
BACE1,Bace1,0.96591103
ZBTB40,Zbtb40,0.9659086
TBC1D7,Tbc1d7,0.96588993
FAAH,Faah,0.96585447
RNF5,Rnf5,0.96584225
IL12B,Il12b,0.96584123
TMEM71,Tmem71,0.9658388
SELENOH,Selenoh,0.9658259
DNAAF3,Dnaaf3,0.96582556
POU6F2,Pou6f2,0.9658118
TTC12,Ttc12,0.9658093
PEX10,Pex10,0.96580285
CHAC1,Chac1,0.96579975
TM6SF1,Tm6sf1,0.96579295
ZNF607,Zfp958,0.9657819
CDC123,Cdc123,0.9657809
CDPF1,Cdpf1,0.9657531
TPD52L2,Tpd52l2,0.9657498
CCDC93,Ccdc93,0.9657419
RELB,Relb,0.965734
ERICH6,Erich6,0.9657327
TEKT3,Tekt3,0.9657274
NEU4,Neu4,0.96571815
TMEM217,Tmem217,0.9657119
WSB1,Wsb2,0.96570194
SNRNP40,Snrnp40,0.96569407
PSMB5,Psmb5,0.96569204
CWC25,Cwc25,0.9656909
DOCK4,Dock4,0.96568966
UMODL1,Umodl1,0.96568286
NIT1,Nit1,0.96567917
AKAP6,Akap6,0.965678
CCNB1,Ccnb1,0.9656728
TCEA3,Tcea3,0.96566045
CRYAB,Cryab,0.96565765
MORN4,Morn4,0.96565473
RPAP1,Rpap1,0.96565306
SLC35A5,Slc35a5,0.9656404
CYSLTR2,Cysltr2,0.9656222
SPP1,Spp1,0.9656204
FOXN4,Foxn1,0.96560955
LYG2,Lyg2,0.96559376
NDUFB2,Ndufb2,0.9655873
TICAM1,Ticam1,0.96558243
ZNF19,Zfp184,0.96557754
NRTN,Nrtn,0.9655674
PPP1R14C,Ppp1r14c,0.96556544
LACTB,Lactb,0.96554965
TGIF1,Tgif1,0.96554613
OR2C3,Olfr1361,0.9655346
SPATC1,Spatc1,0.9655297
BLTP1,4932438A13Rik,0.96552956
ZFYVE9,Zfyve9,0.9655203
OPALIN,Opalin,0.9655121
LVRN,Lvrn,0.9655046
METTL18,Mettl18,0.9654837
MTMR12,Mtmr12,0.9654784
IGFBPL1,Igfbpl1,0.96546876
ZNF174,Zfp174,0.9654662
MPIG6B,Mpig6b,0.96546423
SPATA12,Gm29666,0.96546423
AHSG,Ahsg,0.9654594
FADD,Fadd,0.9654567
GBX2,Gbx2,0.96545583
MDM4,Mdm4,0.96545154
FAP,Dpp4,0.96544904
ADAMTS20,Adamts20,0.96543765
CHD1,Chd1,0.96542287
EPB41L4B,Epb41l4b,0.9654217
CNPPD1,Cnppd1,0.96541125
PAX3,Pax3,0.96540415
CLASP2,Clasp2,0.96540385
CD244,Cd244a,0.96540034
ASB4,Asb4,0.96539235
ARTN,Artn,0.96538854
RNF180,Rnf180,0.9653827
KIF13B,Kif13b,0.9653811
C10orf90,D7Ertd443e,0.96537465
BICDL2,Bicdl2,0.9653732
ZNF605,Zfp433,0.96535444
ERP27,Erp27,0.9653537
SMAD2,Smad2,0.9653536
KANSL1,Kansl1,0.9653535
MROH2B,Mroh2b,0.9653486
MOBP,Mobp,0.96534276
ZBTB7C,Zbtb7c,0.9653387
MTDH,Mtdh,0.9653194
SERPINB10,Serpinb3b,0.9653002
COBLL1,Cobll1,0.9652944
CNOT8,Cnot8,0.96529037
HSD17B12,Hsd17b12,0.96528816
SYT14,Syt14,0.96527594
ANKS6,Anks6,0.96527517
COCH,Coch,0.9652742
ZNF792,Zfp418,0.9652604
PWWP3A,Pwwp3a,0.96525973
FAM107B,Fam107b,0.96525866
ZSWIM8,Zswim8,0.96524197
NOTCH2,Notch2,0.96522236
IFNW1,Ifna11,0.9652166
CYBC1,Cybc1,0.9652055
CASP3,Casp3,0.9651978
CTSW,Ctsw,0.9651754
ZFX,Zfx,0.9651706
VAMP3,Vamp3,0.9651703
SRGAP1,Srgap2,0.96516436
TMEM91,Tmem91,0.965159
NPL,Npl,0.96514106
ADAMTS9,Adamts9,0.9651253
VPS25,Vps25,0.9651101
FIGNL1,Fignl1,0.9651048
ARFGAP1,Arfgap1,0.9651026
CDCA3,Cdca3,0.96508515
SNTG1,Sntg1,0.9650813
ZNF596,Zfp951,0.9650807
MKKS,Mkks,0.9650605
GOLGA4,Golga4,0.9650541
GEMIN7,Gemin7,0.96505094
HSPA14,Hspa14,0.9650408
L3MBTL3,L3mbtl3,0.9650386
CRELD2,Creld2,0.96503836
LRIT3,Lrit3,0.9650263
PDXDC1,Pdxdc1,0.96502525
COLEC12,Colec12,0.96502495
SARAF,Saraf,0.96501756
CABS1,Cabs1,0.9650087
ZNF385C,Zfp385c,0.9650047
RRAGC,Rragc,0.96498626
CD207,Cd207,0.9649857
IFT22,Ift22,0.9649793
C10orf53,1700024G13Rik,0.96497554
PLD6,Pld6,0.9649718
PACSIN3,Pacsin3,0.9649687
HSD17B6,Rdh16f2,0.9649666
SYCN,Sycn,0.9649597
ZNF527,Zfp383,0.96494424
CFAP95,1700028P14Rik,0.96494246
SH3D21,Sh3d21,0.96494126
CBLL1,Cbll1,0.9649392
ITGAX,Itgam,0.9649378
ALKAL1,Alkal1,0.9649332
PER3,Per3,0.964918
DGKG,Dgkg,0.96491635
KCNJ16,Kcnj16,0.964915
PATE3,Pate3,0.96491355
NR1I2,Nr1i2,0.9649037
PCNX1,Pcnx,0.9648994
FFAR2,Ffar2,0.96489644
APTX,Aptx,0.9648849
EIF3B,Eif3b,0.96488094
KCNK9,Kcnk9,0.96488076
SNAI3,Snai3,0.9648752
TMEM181,Tmem181a,0.9648537
PATL1,Patl1,0.96484977
DNASE1,Dnase1,0.964844
KIF21B,Kif21a,0.964836
KSR1,Ksr1,0.9648257
TBRG4,Tbrg4,0.9648248
ARB2A,Fam172a,0.9648221
RPTOR,Rptor,0.96480983
ZNF560,Zfp119a,0.96480715
CIAO2A,Ciao2a,0.9648038
TSC22D3,Tsc22d3,0.964793
PRDM5,Prdm5,0.9647851
UQCC2,Uqcc2,0.964777
ABCB5,Abcb5,0.96477556
EIF2AK1,Eif2ak1,0.9647722
CRB1,Crb1,0.9647706
CGRRF1,Cgrrf1,0.96476233
DYNC2H1,Dync2h1,0.9647621
RSPO1,Rspo1,0.9647439
ZNF502,Zfp708,0.9647391
COL5A1,Col11a2,0.9647344
PHLDB2,Phldb2,0.9647322
MFAP3,Mfap3,0.9647262
SLC16A10,Slc16a10,0.9647248
GC,Gc,0.9647154
OR6T1,Olfr212,0.9647072
ATP1B2,Atp1b2,0.96470577
CORO2B,Coro2b,0.9647022
HAGH,Hagh,0.96470207
BOLL,Boll,0.96469
BCL2L12,Bcl2l12,0.96468365
GPATCH2,Gpatch2,0.96467805
CLHC1,Clhc1,0.96463984
DCUN1D5,Dcun1d5,0.9646381
GTF2IRD1,Gtf2ird1,0.96463567
MOV10L1,Mov10l1,0.9646191
SLC6A16,Slc6a16,0.9646187
FLCN,Flcn,0.9646143
FADS1,Fads1,0.9646055
PRRC2B,Prrc2b,0.9646025
PRKG1,Prkg1,0.9645987
CYP39A1,Cyp39a1,0.96457684
SANBR,Sanbr,0.96457565
OPRL1,Oprl1,0.9645746
DIO1,Dio1,0.96456975
PCM1,Pcm1,0.96456873
C3orf62,1700102P08Rik,0.9645648
COL11A1,Col11a1,0.9645631
MICU2,Micu2,0.9645563
ANKRD2,Ankrd2,0.9645559
IFI30,Ifi30,0.96455187
FEZ2,Fez2,0.96455157
OR4E1,Olfr1508,0.96454656
RCC2,Rcc2,0.96454525
ALDH3B2,Aldh3b1,0.964542
HSPA13,Hspa13,0.96452236
SCAND1,Scand1,0.96451634
CACNG7,Cacng7,0.96450603
NUDT3,Nudt4,0.9645045
SELENOM,Selenom,0.96448755
NTN1,Ntn1,0.9644816
RIBC1,Ribc1,0.9644685
INTS6,Ints6,0.96444416
KLHL7,Klhl7,0.9644315
POLR2I,Polr2i,0.9644253
EIF2S2,Eif2s2,0.9644198
IMPDH,Impdh2,0.9644007
GOLGA1,Golga1,0.9643949
SNX10,Snx10,0.9643929
SOX5,Sox5,0.9643921
ST8SIA5,St8sia5,0.9643787
HCST,Hcst,0.96437603
CDR2,Cdr2l,0.964374
SLFN12L,Slfn8,0.96437377
LHFPL7,Tmem211,0.9643731
LEP,Lep,0.96434623
NCOA2,Ncoa2,0.9643056
VBP1,Vbp1,0.96429855
ND4L,mt-Nd4l,0.9642954
TMEM18,Tmem18,0.9642902
KDM3A,Kdm3a,0.9642862
MAL,Mal,0.96428066
MXD1,Mxd1,0.96427774
ZPBP,Zpbp,0.96427417
PWP2,Pwp2,0.9642734
ERCC6L,Ercc6l,0.9642658
CUL4B,Cul4b,0.9642512
PTGR2,Ptgr2,0.96423715
PDE10A,Pde10a,0.9642357
DPYSL5,Dpysl5,0.96423304
SLC35A4,Slc35a4,0.964227
JPH3,Jph3,0.96422654
OR5BS1P,Olfr285,0.9642204
SORBS3,Sorbs3,0.9642162
CAMK1,Camk1,0.9642023
LCN10,Lcn10,0.96419936
ABCC5,Abcc5,0.9641988
GPRC5B,Gprc5b,0.9641812
SCAF11,Scaf11,0.9641579
PRODH2,Prodh2,0.964154
NCBP2,Ncbp2,0.9641442
USP10,Usp10,0.96413195
TMEM190,Tmem190,0.9641281
C2orf69,1700066M21Rik,0.964119
ZNF684,Zfp868,0.96411896
IGSF10,Igsf10,0.9641076
XIAP,Xiap,0.96410704
IWS1,Iws1,0.9641059
MTHFD1,Mthfd1,0.96410483
ZNF131,Zfp131,0.96408767
GAS2,Gas2,0.96408194
PSMB6,Psmb6,0.9640758
GYG1,Gyg,0.9640434
ATP9B,Atp9b,0.9640414
ZNF280C,Zfp280c,0.9640241
STPG2,Stpg2,0.9640221
WDR19,Wdr19,0.9639795
MAP7D2,Map7d2,0.96396744
ATP5F1E,Atp5e,0.9639664
WDR35,Wdr35,0.963961
DUSP1,Dusp4,0.9639454
RNF39,Rnf39,0.9639397
SLC34A3,Slc34a3,0.96393925
SNRNP48,Snrnp48,0.96393055
ZNF555,Zfp948,0.96392846
TTLL5,Ttll5,0.9639078
ZYG11A,Zyg11b,0.9639046
H2BC15,H2bc22,0.96390224
ZNF446,Zfp446,0.9638789
PDZD7,Pdzd7,0.9638665
NKAIN3,Nkain3,0.9638581
SPG7,Spg7,0.9638573
FAM32A,Fam32a,0.96385574
KCNV2,Kcnv2,0.963849
TKTL1,Tktl2,0.9638442
SREBF2,Srebf2,0.96384245
STARD7,Stard7,0.96383595
NR6A1,Nr6a1,0.9638278
ZNF431,Zfp995,0.9638266
GAS2L1,Gas2l1,0.9638199
ACY3,Acy3,0.9638181
METTL4,Mettl4,0.9638172
ADGRA2,Adgra2,0.96378666
MARK3,Mark3,0.9637865
PMS2,Pms2,0.9637683
CFHR5,Cfhr4,0.9637621
CDHR1,Cdhr1,0.9637596
NR3C2,Nr3c2,0.9637489
SNX1,Snx1,0.9637462
FLAD1,Flad1,0.96373165
ARHGEF37,Arhgef37,0.96373093
HSD17B8,H2-Ke6,0.96371806
CUEDC2,Cuedc2,0.96371126
CCNH,Ccnh,0.9636992
SNX27,Snx27,0.9636876
HTR6,Htr6,0.96368396
CELA2B,Cela2a,0.9636819
ZNF296,Zfp296,0.9636817
ZBTB41,Zbtb41,0.96366084
B3GALNT2,B3galnt2,0.96366066
B4GALT7,B4galt7,0.96364874
SLC30A2,Slc30a2,0.963644
ANAPC1,Anapc1,0.9636351
ZNF44,Zfp345,0.96363443
NFYC,Nfyc,0.96362895
MEMO1,Memo1,0.9636265
MYBL2,Mybl2,0.9636263
PMEPA1,Pmepa1,0.96361333
MSRB2,Msrb2,0.96360666
SERINC5,Serinc5,0.9636039
CCDC186,Ccdc186,0.9636023
CCDC8,Ccdc8,0.9635954
FHIP2A,Fam160b1,0.9635768
SNIP1,Meaf6,0.96357334
PREX1,Prex1,0.96356356
ELOVL6,Elovl6,0.9635614
ANGPTL6,Angptl6,0.9635605
LAMB3,Lamb3,0.9635182
TARBP2,Tarbp2,0.96351343
JADE3,Jade2,0.963508
PPP1R14B,Ppp1r14b,0.9634827
ZSWIM2,Zswim2,0.96346813
CYP3A43,Cyp3a16,0.96346045
DNAH8,Dnah10,0.963452
RAB4A,Rab4a,0.9634457
TAS2R8,Tas2r104,0.96344364
NKX2-8,Nkx2-9,0.9634416
NLRP13,Nlrp9a,0.96343553
NXPE4,Nxpe4,0.96343446
CLSPN,Clspn,0.96342796
PRR29,Prr29,0.9634244
PDIA2,Pdia2,0.9634217
SLC26A9,Slc26a9,0.9634186
CTSV,Ctsll3,0.9634145
N6AMT1,N6amt1,0.963414
PCCB,Pccb,0.9634039
SRD5A2,Srd5a2,0.9633977
TEAD2,Tead2,0.96338373
STK11IP,Stk11ip,0.96338326
AGAP2,Agap1,0.96337247
UBE2V2,Ube2v2,0.9633702
LMO1,Lmo1,0.9633696
RPL7L1,Rpl7l1,0.9633579
GPSM1,Gpsm1,0.9633416
CYTH1,Cyth1,0.9633162
C2orf80,D630023F18Rik,0.96331275
PROX2,Prox2,0.96331185
PSME1,Psme2b,0.96330917
RAD18,Rad18,0.9633021
ZNF260,Gm21994,0.9632986
MELTF,Meltf,0.9632876
TCF23,Gm9925,0.9632849
DHX58,Dhx58,0.9632792
NSMCE2,Nsmce2,0.9632693
AMZ2,Amz2,0.96326923
PPP1R14A,Ppp1r14a,0.9632618
MPHOSPH6,Mphosph6,0.9632362
COL3A1,Col3a1,0.9632243
LRRC18,Lrrc18,0.9632202
SLC27A3,Slc27a3,0.9632202
LIMK1,Limk1,0.96321267
SCPEP1,Scpep1,0.9632118
OPRK1,Oprk1,0.9631969
GCM2,Gcm1,0.96318966
PKN1,Pkn1,0.9631845
GPS1,Gps1,0.96317685
TWSG1,Twsg1,0.96317446
FAM220A,Gm5475,0.96317315
LRRC71,Lrrc71,0.96315914
GPATCH2L,Gpatch2l,0.9631508
OSBPL3,Osbpl3,0.9631483
PHF21B,Phf21b,0.9631409
ARHGEF1,Arhgef1,0.9631389
TMEM9B,Tmem9b,0.963137
CSPG4,Cspg4,0.96313095
KDM1A,Kdm1a,0.9631302
PKDCC,Pkdcc,0.9631144
CLIP4,Clip4,0.96309215
DCAF7,Dcaf7,0.9630861
ACP3,Acpp,0.96307766
ALAD,Alad,0.9630751
MAMLD1,Mamld1,0.9630728
ADAMTS13,Adamts13,0.9630646
RPGRIP1L,Rpgrip1l,0.96303445
ZNF267,Zfp788,0.9630285
ABCG8,Abcg8,0.9630231
ANKRD29,Ankrd29,0.9630214
LRRC34,Lrrc34,0.96301156
REDIC1,CN725425,0.96300423
CHRDL1,Chrdl1,0.96299165
SLC25A45,Slc25a45,0.9629898
LITAF,Litaf,0.9629812
NIPAL3,Nipal3,0.9629806
CEACAM18,Ceacam18,0.96296823
ESRRG,Esrrg,0.96296287
CXCL14,Cxcl14,0.9629606
USP54,Usp54,0.9629426
FNDC1,Fndc1,0.9629425
WIPF3,Wipf3,0.96293825
CCL28,Ccl28,0.9629326
SEC16A,Sec16a,0.96292615
KIAA1217,Etl4,0.9629233
SLC4A1AP,Slc4a1ap,0.9628927
CHD3,Chd3,0.9628873
SERPINA9,Serpina9,0.9628763
NPC2,Npc2,0.9628462
DUSP29,Dupd1,0.9628421
BAG6,Bag6,0.96283644
IGSF6,Igsf6,0.96282715
RBM38,Rbm38,0.96282715
OR2J3,Olfr1367,0.9628247
ADAM9,Adam9,0.9628245
ZKSCAN1,Zkscan5,0.96282196
RBPMS2,Rbpms2,0.9628106
RTF2,Rtf2,0.96280956
RFC4,Rfc4,0.96280074
TXNDC9,Txndc9,0.96278435
ZNF157,Zfp59,0.96278393
BEST3,Best3,0.962774
FMNL2,Fmnl2,0.9627732
ARL2BP,Arl2bp,0.96274686
TCTN2,Tctn2,0.9627301
ABL2,Abl2,0.9627061
HHAT,Hhat,0.96269834
ZNF285,Zfp109,0.9626859
TARM1,Tarm1,0.96267676
IQUB,Iqub,0.96267587
TMIGD1,Tmigd1,0.9626618
AMIGO1,Amigo1,0.96265805
AP3M1,Ap3m1,0.9626379
RBM43,Rbm43,0.9626315
BHLHA9,Bhlha9,0.96261436
LRRIQ3,Lrriq3,0.96260875
ZNF529,Zfp455,0.96260124
BDKRB2,Bdkrb1,0.9625997
SPHK1,Sphk1,0.9625916
ADGB,Adgb,0.96257967
TAFA4,Tafa4,0.96257925
MRPL11,Mrpl11,0.96257186
FBXO11,Fbxo11,0.9625681
SLAMF8,Slamf8,0.9625668
NDUFAF1,Ndufaf1,0.96256346
DNAAF1,Dnaaf1,0.96255964
ARHGAP15,Arhgap15,0.9625524
CTNNAL1,Ctnnal1,0.9625501
ZCCHC14,Zcchc14,0.9625463
CFAP418,2610301B20Rik,0.9625424
TRAF1,Traf1,0.96253335
SLFN12,Slfn3,0.9625171
MAF1,Maf1,0.9625147
OTUD4,Otud4,0.9625038
USP45,Usp45,0.9624998
CRMP1,Crmp1,0.9624917
NFAT5,Nfat5,0.96248674
EPC2,Epc1,0.9624831
ZFP42,Zfp42,0.9624752
KRTAP16-1,Krtap16-1,0.9624449
SFRP1,Sfrp1,0.96242493
MRPS18B,Mrps18b,0.9624093
CST8,Cst8,0.96240824
RB1CC1,Rb1cc1,0.9624066
SPON2,Spon2,0.9624038
OR10A7,Olfr1126,0.9623842
PXDC1,Pxdc1,0.96238357
NFKBIZ,Nfkbiz,0.9623796
TREML2,Treml2,0.9623423
CD247,Cd247,0.96234053
CCDC47,Ccdc47,0.9623385
FABP3,Fabp7,0.9623246
CSTF3,Cstf3,0.9623229
SPATA18,Spata18,0.96231586
CSNK1G1,Csnk1g1,0.9623148
NPTN,Nptn,0.9623054
PROK2,Prok2,0.96230286
HIGD2A,Higd2a,0.9622933
CASS4,Cass4,0.9622907
SPDYE4,Spdye4a,0.96228373
JDP2,Jdp2,0.9622756
ARFIP2,Arfip2,0.9622703
TDG,Tdg,0.96225953
NTSR2,Ntsr2,0.96221584
OAZ3,Oaz3,0.9621758
LZTFL1,Lztfl1,0.9621738
FGF5,Fgf5,0.9621717
TYK2,Tyk2,0.96216124
NFXL1,Nfxl1,0.96215993
IL17F,Il17f,0.96214736
MRPS25,Mrps25,0.9621472
SLC39A7,Slc39a7,0.9621289
KIAA0040,4930523C07Rik,0.96212375
PAFAH1B1,Pafah1b1,0.9621164
MLH3,Mlh3,0.96211433
MECR,Mecr,0.9620951
DHRS3,Dhrs3,0.9620895
AGGF1,Aggf1,0.96208847
USHBP1,Ushbp1,0.9620823
CALML3,Calml3,0.9620812
SIRT1,Sirt1,0.9620705
RIPK1,Ripk1,0.96204597
C2CD3,C2cd3,0.9620398
TMEM268,Tmem268,0.96202713
PFKFB2,Gm29427,0.9620264
C1QTNF7,C1qtnf7,0.9620116
N4BP1,N4bp1,0.9620113
HACE1,Hace1,0.962001
CCNG1,Ccng1,0.96199805
HNF4A,Hnf4a,0.96198946
HSD11B1,Hsd11b1,0.9619848
CASP2,Casp2,0.96197
ARMC9,Armc9,0.9619641
GLMN,Glmn,0.96196115
ZNF595,Zfp873,0.96195734
WDCP,Wdcp,0.9619492
ISL1,Isl1,0.9619449
IQCA1L,Asb10,0.96192867
VPS26A,Vps26a,0.9619252
KAZALD1,Kazald1,0.9619092
CTTN,Cttn,0.9618976
C7orf57,Gm11992,0.96187806
RAB3D,Rab3d,0.9618769
TGM7,Tgm7,0.96186924
CALR3,Calr3,0.96186095
CNGB3,Cngb3,0.96186066
ZGLP1,Zglp1,0.96185887
ANKRD52,Ankrd52,0.96185374
P2RX6,P2rx6,0.96184576
CNST,Cnst,0.9618409
KIF2C,Kif2b,0.96183985
SLC23A3,Slc23a3,0.96183866
HINFP,Hinfp,0.9618257
BRD9,Brd9,0.961812
MEN1,Men1,0.96180916
BCKDK,Bckdk,0.961803
AQP5,Aqp5,0.96178573
NPBWR2,Npbwr1,0.96177983
TP53INP1,Trp53inp1,0.9617764
ACER3,Acer3,0.9617728
DIPK1A,Dipk1a,0.9617635
SLC38A6,Mnat1,0.96175736
EIF4ENIF1,Eif4enif1,0.9617514
SLC10A6,Slc10a6,0.96174467
KCNQ5,Kcnq5,0.9617388
NYNRIN,Nynrin,0.96173024
VEGFC,Vegfc,0.96172565
TTPA,Ttpa,0.96171814
RIBC2,Ribc2,0.96171457
TDRD3,Tdrd3,0.96170866
TMEM130,Tmem130,0.9617079
ASB9,Asb9,0.9617068
SLC29A1,Slc29a1,0.961699
IQCD,Iqcd,0.9616909
SLC66A2,Slc66a2,0.9616575
SPTLC1,Sptlc1,0.96165353
OFD1,Ofd1,0.96165293
CCDC33,Ccdc33,0.961651
SRD5A1,Srd5a1,0.96164674
FABP9,Pmp2,0.9616382
PARS2,Pars2,0.9616374
NID1,Nid1,0.9616357
CYP26C1,Cyp26c1,0.9616084
PRXL2A,Prxl2a,0.9615872
SAG,Sag,0.96157485
USP5,Usp5,0.9615702
SLC16A7,Slc16a7,0.9615683
GPR180,Gpr180,0.9615621
NKIRAS1,Nkiras2,0.961547
PTGDR,Ptgdr,0.9615383
KCTD19,Kctd19,0.9615102
SLC38A3,Slc38a5,0.9615074
UBE2M,Ube2m,0.96150094
PMP22,Pmp22,0.96148735
MTIF2,Mtif2,0.961485
SF1,Sf1,0.9614824
GGA2,Gga2,0.961476
FGF23,Fgf23,0.96146786
IDH3B,Idh3b,0.96146756
IL9R,Il9r,0.9614621
PPFIBP1,Ppfibp1,0.9614436
CD164L2,Cd164l2,0.9614383
YTHDF3,Ythdf3,0.9614383
TM4SF4,Tm4sf4,0.96143705
C9orf50,1700001O22Rik,0.9614369
ASXL2,Asxl2,0.96142846
ZNF536,Zfp536,0.9614248
C9orf43,4933430I17Rik,0.9614158
MFN2,Mfn2,0.9613979
GUCA2B,Guca2b,0.96139395
SP100,Sp100,0.9613887
PFDN2,Pfdn2,0.96136135
FUT2,Sec1,0.9613532
EPN2,Epn2,0.96135134
COPS4,Cops4,0.9613449
ROBO1,Robo1,0.9613392
SLC35F3,Slc35f3,0.9613325
ACP2,Acp2,0.96131986
BABAM2,Babam2,0.96131015
SPRTN,Sprtn,0.9612909
POLRMT,Polrmt,0.96128947
LARP4,Larp4,0.96127665
TJP2,Tjp2,0.9612751
ASB11,Asb11,0.9612712
DPH5,Dph5,0.96126914
CCDC12,Ccdc12,0.9612586
CLNK,Clnk,0.961254
HIBCH,Hibch,0.96125245
UBE2G1,Ube2g1,0.96125156
PAK1IP1,Pak1ip1,0.96123
C19orf12,1600014C10Rik,0.9612161
CLDN14,Cldn14,0.9612006
RELL2,Rell2,0.96119165
C1QL4,C1ql4,0.96115786
SLC52A3,Slc52a3,0.9611574
IFIH1,Ifih1,0.9611526
ZNF177,Zfp738,0.96115065
FBXO16,Fbxo16,0.9611479
TWF1,Twf1,0.9611445
CALN1,Caln1,0.9611444
NUDT1,Nudt1,0.96112925
ERLEC1,Erlec1,0.961122
FITM2,Fitm2,0.9611196
LSG1,Lsg1,0.9611189
GMIP,Gmip,0.96111226
XPNPEP2,Xpnpep2,0.9611066
XIRP2,Xirp2,0.9610976
CEP192,Cep192,0.9610952
RBM12B,Rbm12b2,0.9610904
CCDC198,ccdc198,0.9610883
ASPM,Aspm,0.96108115
C8orf34,A830018L16Rik,0.9610705
IL17RD,Il17rd,0.9610616
SPAG5,Spag5,0.96106076
ACSS1,Acss1,0.96105033
SSUH2,Ssu2,0.9610451
SSU72,Ssu72,0.9610384
RND1,Rnd1,0.96103626
DEFB128,Defb20,0.96102494
RPP30,Rpp30,0.96101975
FAM168B,Fam168b,0.9610115
TMEM88,Tmem88,0.9610033
GDF15,Gdf15,0.96099734
KCNK16,Kcnk16,0.9609936
RFESD,Rfesd,0.96099275
PHLDB1,Phldb1,0.96099186
SSC4D,Ssc4d,0.9609843
METTL21C,Mettl21c,0.96096694
STK4,Stk3,0.9609613
MPND,Mpnd,0.9609575
PRR15,Prr15,0.96095026
SDC4,Sdc4,0.9609502
SNRPA,Snrpa,0.9609496
CHST2,Chst2,0.96094096
TMEM141,Tmem141,0.96094096
SETD2,Setd2,0.96093875
IL27,Il27,0.9609367
GTF2H4,Gtf2h4,0.9609269
FLVCR2,Flvcr2,0.9609251
SERPINB9,Serpinb6b,0.96092135
TMEM209,Tmem209,0.9609187
ZBTB43,Zbtb43,0.96091795
SFI1,Sfi1,0.960914
PARVG,Parvg,0.9609134
NCOA5,Ncoa5,0.9609034
KIAA1671,2900026A02Rik,0.9608963
IKBKE,Ikbke,0.96089196
