rhesus_macaques gene name,commonmarmosets gene name,correlation
STX19,STX19,0.99315584
ANO9,ANO9,0.99315405
CYP1A1,CYP1A1,0.99315363
ZSCAN22,ZSCAN22,0.9931523
MRPL40,MRPL40,0.9931522
MRPL18,MRPL18,0.9931465
TRADD,TRADD,0.993146
VWA5A,VWA5A,0.9931417
UBE2Q1,UBE2Q1,0.9931411
PIH1D2,PIH1D2,0.99314076
GRAMD2A,GRAMD2A,0.9931395
CPA6,CPA6,0.99313617
DIXDC1,DIXDC1,0.993136
TAPBP,TAPBP,0.99313587
SQOR,SQOR,0.9931313
LEO1,LEO1,0.9931259
CCSER1,CCSER1,0.9931258
CLK4,CLK4,0.9931248
PAMR1,PAMR1,0.9931243
PCNX2,PCNX2,0.9931241
HEATR5B,HEATR5B,0.99312
PTGR2,PTGR2,0.9931192
SYNGAP1,SYNGAP1,0.99311906
PIK3R4,PIK3R4,0.99311894
FTL,FTL,0.9931174
POLA2,POLA2,0.9931155
FAR2,FAR2,0.9931154
SLC27A5,SLC27A5,0.9931148
WFDC5,WFDC5,0.9931146
LBR,LBR,0.99311423
OR2T6,OR2T6,0.9931141
PODNL1,PODNL1,0.99311364
EFNA1,EFNA1,0.9931131
SLC6A12,SLC6A12,0.9931072
STOML2,STOML2,0.9931069
HADHA,HADHA,0.9931028
SAMD4A,SAMD4A,0.9931014
NIPSNAP3B,NIPSNAP3A,0.993101
SSRP1,SSRP1,0.99310005
TMEM135,TMEM135,0.9930993
MAP3K8,MAP3K8,0.9930991
PICALM,PICALM,0.99309826
BCAS1,BCAS1,0.9930981
SLCO1B3,SLCO1B1,0.9930944
MYO5C,MYO5C,0.993093
DRD2,DRD2,0.9930886
GAS6,GAS6,0.99308825
ARHGAP28,ARHGAP28,0.9930847
ASCC2,ASCC2,0.9930822
CDH17,CDH17,0.99308187
HNRNPH1,HNRNPH2,0.99308187
ZKSCAN4,ZKSCAN4,0.99308115
CBLN4,CBLN4,0.99307764
TMEM143,TMEM143,0.9930776
IQCN,IQCN,0.99307734
CFP,CFP,0.9930771
C19H19orf47,C19orf47,0.99307245
CPN2,CPN2,0.99306405
DCT,DCT,0.993063
LONRF1,LONRF1,0.9930626
PRRT1B,PRRT1B,0.9930617
MCUR1,MCUR1,0.99306154
BARHL2,BARHL2,0.99306023
RFC4,RFC4,0.9930593
CD79A,CD79A,0.9930572
RUSF1,RUSF1,0.9930554
IL17RD,IL17RD,0.9930542
ETV3,ETV3,0.99304897
MMAA,MMAA,0.99304855
COL18A1,COL18A1,0.9930441
SLC35B2,SLC35B2,0.99304324
RDH11,RDH11,0.9930416
IDO2,IDO2,0.9930414
RC3H2,RC3H2,0.9930412
PROZ,PROZ,0.99304086
PPIL3,PPIL3,0.9930399
EMILIN2,EMILIN2,0.9930367
FTSJ1,FTSJ1,0.9930366
LGMN,LGMN,0.99303657
SELL,SELL,0.9930361
STYK1,STYK1,0.99303603
OR8B4,OR8B4,0.99303204
SLC26A5,SLC26A5,0.99302983
STMND1,STMND1,0.9930198
SDCBP2,SDCBP2,0.99301827
NEMP1,NEMP1,0.9930141
CTSF,CTSF,0.99301386
GRK3,GRK3,0.99301386
PHF10,PHF10,0.99301004
LCA5L,LCA5L,0.9930096
PCDHB10,PCDHB10,0.9930024
AKR1A1,AKR1A1,0.9929997
CHMP4C,CHMP4C,0.9929975
KCTD14,KCTD14,0.9929971
ADGRA1,ADGRA1,0.9929845
IRAK1,IRAK1,0.9929822
RAB23,RAB23,0.99298185
OR2T10,OR2T10,0.9929817
ZNF251,ZNF251,0.9929814
ARHGAP20,ARHGAP20,0.9929788
HCN1,HCN1,0.9929788
DCDC2,DCDC2,0.9929785
IL17A,IL17A,0.9929774
PLGRKT,PLGRKT,0.992977
IRS4,IRS4,0.9929769
MYBL2,MYBL2,0.99297464
NUMBL,NUMBL,0.9929736
SLC17A2,SLC17A2,0.9929731
SLCO2B1,SLCO2B1,0.99297225
XKR9,XKR9,0.99296916
ARHGAP19,ARHGAP19,0.99296725
ERO1A,ERO1A,0.99296284
CCDC66,CCDC66,0.9929593
SEC24D,SEC24D,0.9929544
MVB12B,MVB12B,0.9929496
MTO1,MTO1,0.9929455
MARCHF1,MARCHF1,0.99293846
SH2D7,SH2D7,0.9929354
ZNF214,ZNF214,0.9929336
MNAT1,MNAT1,0.9929279
RAB33A,RAB33A,0.99292666
PALM,PALM,0.99292624
DDX27,DDX27,0.9929254
SNAP25,SNAP25,0.9929236
TCEA3,TCEA3,0.9929217
CRYL1,CRYL1,0.9929211
KLF16,KLF16,0.99291945
FGFBP2,FGFBP2,0.9929167
ZSCAN16,ZSCAN16,0.9929121
DPEP2,DPEP2,0.99290985
XYLT1,XYLT1,0.99290717
TWSG1,TWSG1,0.99290675
SLC22A13,SLC22A13,0.9929064
SLC25A18,SLC25A18,0.99290615
CD36,CD36,0.9929056
CEP63,CEP63,0.99290454
ZNF616,ZNF616,0.9928969
CD163L1,CD163L1,0.99289566
RASGRF2,RASGRF2,0.99289155
CTSB,CTSB,0.9928895
TM4SF20,TM4SF20,0.99288845
WNK4,WNK4,0.99288356
OR6F1,OR6F1,0.99288243
FLCN,FLCN,0.9928815
ZMAT4,ZMAT4,0.9928763
RUFY3,RUFY3,0.9928761
ECM2,ECM2,0.9928698
GTF2A1,GTF2A1,0.99286956
RPRD1A,RPRD1A,0.9928672
SLC4A9,SLC4A9,0.9928669
EPS15L1,EPS15L1,0.99286574
SNAI3,SNAI3,0.9928654
PSKH2,PSKH2,0.99286264
PDCD10,PDCD10,0.9928619
ACADSB,ACADSB,0.99286187
GTSE1,GTSE1,0.992861
CLCA4,CLCA4,0.99285865
ARHGAP30,ARHGAP30,0.9928574
CCDC22,CCDC22,0.99285644
CRCT1,CRCT1,0.99285203
OR52E4,OR52E4,0.99285114
TUBG1,TUBG2,0.9928494
USP33,USP33,0.9928491
RUNX1T1,RUNX1T1,0.99284875
CPOX,CPOX,0.9928485
PTPRC,PTPRC,0.9928475
PPFIBP1,PPFIBP1,0.9928473
MCHR1,MCHR1,0.99284726
TGFBR2,TGFBR2,0.99284685
CPEB4,CPEB4,0.99284464
CCDC8,CCDC8,0.99284446
PTBP2,PTBP2,0.9928425
PCCB,PCCB,0.9928423
TMC1,TMC1,0.99283767
MIB2,MIB2,0.99283624
NMT1,NMT1,0.992836
PPP2R5D,PPP2R5D,0.9928345
SPACA1,SPACA1,0.9928321
MYOZ2,MYOZ2,0.9928312
COX5B,COX5B,0.9928301
CCDC18,CCDC18,0.99282825
CCR6,CCR6,0.99282783
KATNAL1,KATNAL1,0.992825
KIAA1549L,KIAA1549L,0.9928231
PTGFR,PTGFR,0.9928226
TLE7,TLE7,0.99281985
ST3GAL3,ST3GAL3,0.9928196
RIOK1,RIOK1,0.99281734
JOSD2,JOSD2,0.99281394
CHFR,CHFR,0.9928138
PID1,PID1,0.99281335
NFKB2,NFKB2,0.9928074
ZACN,ZACN,0.9928018
ARMCX6,ARMCX6,0.9928017
TRIM22,TRIM22,0.99279726
GLB1,GLB1,0.99279636
BTC,BTC,0.99279433
HMGXB3,HMGXB3,0.9927931
DNMT1,DNMT1,0.99279255
SLC15A5,SLC15A5,0.9927917
ARAF,ARAF,0.9927891
UBR7,UBR7,0.99278855
ANKRD16,ANKRD16,0.9927872
EED,EED,0.9927864
SUOX,SUOX,0.9927853
CDK14,CDK14,0.99277866
SLC7A9,SLC7A9,0.99277866
ANKRD1,ANKRD1,0.99277246
OR13C4,OR13C4,0.9927691
DCP1A,DCP1A,0.9927682
PTPN14,PTPN14,0.9927633
HROB,HROB,0.992763
N4BP1,N4BP1,0.9927583
FGF19,FGF19,0.99275714
FCRL5,FCRL5,0.9927545
BNIP5,BNIP5,0.9927528
KCNMA1,KCNMA1,0.9927511
SLTM,SLTM,0.9927488
RGS7BP,RGS7BP,0.99274695
CETP,CETP,0.9927467
PCGF5,PCGF5,0.9927465
TRIM14,TRIM14,0.9927437
TRIM27,TRIM27,0.9927421
RGS20,RGS20,0.9927417
MLST8,MLST8,0.99274135
NAPRT,NAPRT,0.992741
SPACA6,SPACA6,0.992739
ANHX,ANHX,0.99273056
NDOR1,NDOR1,0.99272907
TSGA13,TSGA13,0.992729
OR2S2,OR2S2,0.9927243
MXD3,MXD3,0.9927226
MYT1L,MYT1L,0.9927199
SLC51B,SLC51B,0.9927159
JADE2,JADE2,0.99271476
TRMO,TRMO,0.99270886
DNAJC16,DNAJC16,0.99270415
ARID2,ARID2,0.992703
TREH,TREH,0.99270296
LAMC2,LAMC2,0.9927013
ERICH6,ERICH6,0.992697
SMAD3,SMAD3,0.9926934
TRPV4,TRPV4,0.99269325
VTI1A,VTI1A,0.9926904
TAF1D,TAF1D,0.9926887
HSD11B1,HSD11B1,0.9926836
OPRK1,OPRK1,0.9926786
FKBP10,FKBP10,0.99267757
P2RX2,P2RX2,0.99267656
RPUSD4,RPUSD4,0.9926765
TSPAN1,TSPAN1,0.99267536
DYDC1,DYDC1,0.9926752
RPS6KL1,RPS6KL1,0.9926739
PNPO,PNPO,0.99267066
CYBB,CYBB,0.9926674
RTBDN,RTBDN,0.9926667
CDON,CDON,0.99266464
CDT1,CDT1,0.9926641
PAX7,PAX7,0.9926631
AKNA,AKNA,0.99266285
GIMAP2,GIMAP2,0.99266195
PAK6,PAK6,0.9926614
PRRG2,PRRG2,0.99266
SEMA4B,SEMA4B,0.9926576
ABCC5,ABCC5,0.99264836
METAP2,METAP2,0.9926433
RPS6KB1,RPS6KB1,0.99264145
TCN1,TCN1,0.99263775
C7H15orf61,C15orf61,0.9926357
NUDT9,NUDT9,0.99263453
TMEM219,TMEM219,0.99263364
GIMD1,GIMD1,0.9926331
SEC16A,SEC16A,0.9926315
TTC23,TTC23,0.9926302
MFNG,MFNG,0.9926273
CCR10,CCR10,0.9926266
FOXI2,FOXI2,0.9926253
RAB18,RAB18,0.9926237
ADAM15,ADAM15,0.9926233
CD68,CD68,0.9926191
CCDC170,CCDC170,0.9926152
FAM174A,FAM174A,0.99261147
ABCC1,ABCC1,0.9926099
GPR84,GPR84,0.9926074
LGALS8,LGALS8,0.99260646
FANK1,FANK1,0.99260587
KIAA1614,KIAA1614,0.99260396
RSPH1,RSPH1,0.9926004
TGFBI,TGFBI,0.9925966
FAXDC2,FAXDC2,0.99259573
SLC39A13,SLC39A13,0.9925935
OR4Q3,OR4Q3,0.9925895
C19orf85,C19orf85,0.99258655
FZD4,FZD4,0.99258494
ZIC4,ZIC4,0.9925849
AMT,AMT,0.9925845
BFSP1,BFSP1,0.99258083
KDM4D,KDM4D,0.99258024
FHIP1B,FHIP1B,0.99257916
BUD23,BUD23,0.99257845
CSKMT,CSKMT,0.9925746
GMNN,GMNN,0.99257404
STAB1,STAB1,0.9925734
PIPOX,PIPOX,0.99257326
ACMSD,ACMSD,0.99257284
NINL,NINL,0.9925711
PDCD1,PDCD1,0.9925709
UVSSA,UVSSA,0.99257034
LRIT2,LRIT2,0.99256897
RHOBTB1,RHOBTB1,0.9925679
ZNF581,ZNF581,0.99256164
STX4,STX4,0.9925577
ABCF3,ABCF3,0.99255764
FARP2,FARP2,0.99255747
EVC,EVC,0.99255496
RMI1,RMI1,0.99255264
C2CD4B,C2CD4B,0.9925509
HBQ1,HBQ1,0.99254733
RANBP10,RANBP10,0.9925456
CYTIP,CYTIP,0.9925444
ZC2HC1C,ZC2HC1C,0.99254376
PDCD2L,PDCD2L,0.9925436
OCRL,OCRL,0.99254054
FAM53B,FAM53B,0.9925403
CALN1,CALN1,0.992538
RGS1,RGS1,0.9925368
CYB5R3,CYB5R3,0.9925357
ITGA2B,ITGA2B,0.99253
RGS13,RGS13,0.9925281
TENM4,TENM4,0.99252486
TNRC6B,TNRC6B,0.9925241
CHCT1,CHCT1,0.99252397
CALR3,CALR3,0.9925223
DHX40,DHX40,0.99251974
ZNF572,ZNF572,0.9925159
NRIP1,NRIP1,0.9925137
TACR2,TACR2,0.9925128
CEP44,CEP44,0.9925121
SRXN1,SRXN1,0.99250984
VRK2,VRK2,0.99250215
IL18R1,IL18R1,0.99249923
OR5B2,OR5B2,0.9924968
NDFIP2,NDFIP2,0.992495
PIGR,PIGR,0.9924929
BDH2,BDH2,0.9924898
ZNF451,ZNF451,0.992488
CDC25C,CDC25C,0.99248546
RRS1,RRS1,0.9924854
SPARCL1,SPARCL1,0.9924853
RBM8A,RBM8A,0.99248147
SPP1,SPP1,0.99247426
CWH43,CWH43,0.99247175
ASB16,ASB16,0.99247116
DYNC2LI1,DYNC2LI1,0.9924707
BCL10,BCL10,0.9924688
ZSCAN1,ZSCAN1,0.99246377
POU2F3,POU2F3,0.9924616
KIAA0319,KIAA0319,0.99246067
MOCOS,MOCOS,0.99245745
BTD,BTD,0.992457
EARS2,EARS2,0.99245
SLC36A3,SLC36A3,0.99244696
SLC28A2,SLC28A2,0.99244493
FERRY3,FERRY3,0.9924436
RAD54L2,RAD54L2,0.99244326
ORC6,ORC6,0.99244314
TTC5,TTC5,0.9924429
MEI4,MEI4,0.9924427
PTK6,PTK6,0.99244237
FECH,FECH,0.99243563
SLC46A1,SLC46A1,0.99243504
SAMHD1,SAMHD1,0.99243426
CYTH3,CYTH3,0.99243397
BPIFB4,BPIFB4,0.9924299
TMEM210,TMEM210,0.99242896
ALOXE3,ALOXE3,0.9924282
WNT8A,WNT8A,0.9924254
PTPRB,PTPRB,0.9924244
NIT1,NIT1,0.99242103
ADAM2,ADAM2,0.9924172
EPHA1,EPHA1,0.9924139
DYNC2I1,DYNC2I1,0.99241275
JPH1,JPH1,0.9924104
GDPD1,GDPD1,0.9924101
AP1G2,AP1G2,0.9924082
A3GALT2,A3GALT2,0.9924075
SYNDIG1L,SYNDIG1L,0.9924074
KRT74,KRT74,0.992407
FAM204A,FAM204A,0.99240327
RABEP2,RABEP2,0.99239975
CDK5RAP1,CDK5RAP1,0.9923997
ANPEP,ANPEP,0.9923992
CR1L,CR1L,0.992394
TMPRSS9,TMPRSS9,0.9923879
LRRC31,LRRC31,0.99238336
SLC16A7,SLC16A7,0.9923809
PABPC3,PABPC3,0.99237984
CEP55,CEP55,0.9923781
ITIH4,ITIH4,0.9923756
QPCTL,QPCTL,0.99237543
CCDC195,CCDC195,0.99237245
P4HTM,P4HTM,0.99237216
PGGHG,PGGHG,0.99237114
ARF1,ARF1,0.99237084
ERVMER34-1,ERVMER34-1,0.9923669
OR3A1,OR3A1,0.9923647
CLIP4,CLIP4,0.9923638
ACOD1,ACOD1,0.9923615
NBN,NBN,0.9923594
SRPK1,SRPK1,0.9923574
ACTR1A,ACTR1A,0.99235576
RNF115,RNF115,0.9923555
KASH5,KASH5,0.992352
L3MBTL2,L3MBTL2,0.99235153
OPTC,OPTC,0.99235076
WFDC1,WFDC1,0.99234664
KRT20,KRT20,0.9923447
TIE1,TIE1,0.99234384
MFAP1,MFAP1,0.9923425
PLSCR5,PLSCR5,0.99234045
MADD,MADD,0.99234
SCN1B,SCN1B,0.99233997
SAPCD2,SAPCD2,0.9923398
MMP3,MMP3,0.99233824
LAMP2,LAMP2,0.9923375
SLC9A7,SLC9A7,0.99233717
ENDOD1,ENDOD1,0.9923342
ADAMTS12,ADAMTS12,0.99233353
C10H20orf204,C20orf204,0.9923282
OR52B6,OR52B6,0.99232644
NARF,NARF,0.99232394
PDPR,PDPR,0.9923204
EGLN1,EGLN1,0.99232024
ZFP62,ZFP62,0.99231815
USP49,USP49,0.9923172
FAM118A,FAM118A,0.9923163
TLR5,TLR5,0.99231017
PHRF1,PHRF1,0.9923026
MARCHF8,MARCHF8,0.9923023
MAN1B1,MAN1B1,0.9922964
NLRP1,NLRP1,0.99229515
SPATC1L,SPATC1L,0.9922948
DNASE1L1,DNASE1L1,0.99229354
EEF1A1,EEF1A2,0.99228835
CARMIL2,CARMIL2,0.9922877
NRROS,NRROS,0.9922862
ATP6AP2,ATP6AP2,0.9922857
CSAD,CSAD,0.99228525
CCDC137,CCDC137,0.9922847
MT4,MT4,0.9922842
CCDC172,CCDC172,0.9922811
FIBP,FIBP,0.9922795
CHRND,CHRND,0.99227595
BMERB1,BMERB1,0.9922754
FKBP9,FKBP9,0.9922705
SLC13A5,SLC13A5,0.9922704
ZNF605,ZNF605,0.99226934
HHAT,HHAT,0.9922672
GORAB,GORAB,0.9922667
SIK2,SIK2,0.99226594
LDLR,LDLR,0.99226475
KRI1,KRI1,0.9922646
NR4A3,NR4A3,0.9922624
PIGU,PIGU,0.99226165
DNAJC11,DNAJC11,0.99225754
PDZD11,PDZD11,0.9922518
DNASE1,DNASE1,0.9922466
FANCC,FANCC,0.9922427
MRPL32,MRPL32,0.9922411
IL17C,IL17C,0.9922409
IL17RB,IL17RB,0.9922406
ASB5,ASB5,0.9922394
B3GNT6,B3GNT6,0.9922376
KDM5B,KDM5B,0.99223727
ZNF517,ZNF517,0.9922361
TKT,TKT,0.992234
DDX49,DDX49,0.9922315
SSTR5,SSTR5,0.9922312
KLKB1,KLKB1,0.99223036
ADAM29,ADAM29,0.99222845
MAEL,MAEL,0.9922275
CYP27A1,CYP27A1,0.99222624
PKDREJ,PKDREJ,0.9922254
SH3D19,SH3D19,0.9922244
TGM5,TGM5,0.99222416
ENGASE,ENGASE,0.99222136
CASP14,CASP14,0.99222064
RUFY2,RUFY2,0.99222004
GRIA4,GRIA4,0.9922197
LRRC47,LRRC47,0.99221843
PTCD3,PTCD3,0.99221766
C1S,C1S,0.99221736
FAM169A,FAM169A,0.99221736
ZNF582,ZNF582,0.99221313
SETDB2,SETDB2,0.99221164
AMN1,AMN1,0.9922116
PFKFB4,PFKFB4,0.9922102
SYTL5,SYTL5,0.99220306
MTMR14,MTMR14,0.99220204
FHDC1,FHDC1,0.992202
TXNDC15,TXNDC15,0.9922006
GLRB,GLRB,0.99219877
CLASRP,CLASRP,0.9921968
RTN4R,RTN4R,0.9921954
VPS41,VPS41,0.9921952
LYPD6B,LYPD6B,0.9921887
ELF2,ELF2,0.9921826
CHDH,CHDH,0.9921781
OSER1,OSER1,0.9921762
SMIM19,SMIM19,0.9921719
POLD2,POLD2,0.9921707
FAM120C,FAM120C,0.992168
FTSJ3,FTSJ3,0.9921647
ANO5,ANO5,0.9921637
CCS,CCS,0.9921623
SYNC,SYNC,0.9921619
HACL1,HACL1,0.99216056
PLEKHN1,PLEKHN1,0.9921594
SLC35F4,SLC35F4,0.9921592
ACER1,ACER1,0.9921591
RCBTB2,RCBTB2,0.99215883
OR2D3,OR2D3,0.9921559
KCNIP3,KCNIP3,0.99215215
CELF2,CELF2,0.9921508
DCTN1,DCTN1,0.9921501
ASB7,ASB7,0.99214935
ZNF567,ZNF567,0.9921488
GULP1,GULP1,0.99214655
EIF4E,EIF4E,0.99214286
PPM1G,PPM1G,0.99214196
EREG,EREG,0.9921417
GOT1L1,GOT1L1,0.9921416
SLC46A3,SLC46A3,0.9921393
DDX39A,DDX39A,0.99213487
NT5C3A,NT5C3A,0.9921255
TMPRSS2,TMPRSS2,0.9921197
SIX3,SIX3,0.99211484
ZNF77,ZNF77,0.9921147
BIN2,BIN2,0.9921144
POLRMT,POLRMT,0.99211365
MKNK1,MKNK1,0.99211204
PDSS2,PDSS2,0.99210924
PPP2R1B,PPP2R1B,0.99210864
IQCF5,IQCF5,0.9921078
ZBTB44,ZBTB44,0.9921058
RCC1L,RCC1L,0.99210376
AOPEP,AOPEP,0.99210143
UNC5C,UNC5C,0.99210006
ZNF181,ZNF181,0.9920982
SASS6,SASS6,0.99209744
RIPPLY1,RIPPLY1,0.9920971
INPP5E,INPP5E,0.99209666
RPS19BP1,RPS19BP1,0.992096
PHF12,PHF12,0.9920954
ADAMTSL4,ADAMTSL4,0.99209535
FNDC8,FNDC8,0.9920912
IDO1,IDO1,0.99208975
POU2AF2,POU2AF2,0.9920871
STPG4,STPG4,0.99208665
CEP131,CEP131,0.99208283
PLEKHD1,PLEKHD1,0.99208254
HMGN3,HMGN3,0.992081
SSH1,SSH1,0.9920806
TRIB3,TRIB3,0.9920802
SCN3A,SCN3A,0.99208003
MAPK10,MAPK10,0.9920798
YIPF2,YIPF2,0.9920771
CCNYL1,CCNYL1,0.9920738
TGFBR1,TGFBR1,0.9920705
CCDC51,CCDC51,0.99206585
ZDHHC1,ZDHHC1,0.99206156
HIF1AN,HIF1AN,0.9920599
LRIT3,LRIT3,0.99205714
RTEL1,RTEL1,0.99205637
CFAP298,CFAP298,0.99205434
ZDBF2,ZDBF2,0.99205285
FOXL3,FOXL3,0.992049
METTL18,METTL18,0.99204844
UBE2W,UBE2W,0.99204564
AP3S1,AP3S1,0.9920402
PAFAH2,PAFAH2,0.9920385
SULT2B1,SULT2B1,0.99203634
SPINK7,SPINK7,0.9920338
THAP4,THAP4,0.99203336
PRKG1,PRKG1,0.9920295
VILL,VILL,0.9920285
IFT22,IFT22,0.9920271
FGD3,FGD3,0.9920204
SAMM50,SAMM50,0.9920188
MRPL38,MRPL38,0.9920105
PLK4,PLK4,0.9920103
RUFY1,RUFY1,0.99200684
CALML6,CALML6,0.9920057
ELMO3,ELMO3,0.9920016
XRCC3,XRCC3,0.9919998
BCAS4,BCAS4,0.99199927
ARRDC5,ARRDC5,0.9919985
TMEM61,TMEM61,0.991998
NDUFA4L2,NDUFA4L2,0.9919952
LSS,LSS,0.99199516
RIOX1,RIOX1,0.99199325
OSBPL9,OSBPL9,0.9919929
PLA2G2E,PLA2G2E,0.9919911
TENT4B,TENT4B,0.9919893
TAF12,TAF12,0.9919867
CFAP119,CFAP119,0.9919826
LEMD2,LEMD2,0.9919818
PAH,PAH,0.9919815
GGACT,GGACT,0.99198085
C4BPB,C4BPB,0.9919798
PHKG1,PHKG1,0.99197966
DCX,DCX,0.99197847
RGS18,RGS18,0.9919784
FGD2,FGD2,0.99197805
PLSCR2,PLSCR1,0.9919753
USP29,USP29,0.99197114
PEG3,PEG3,0.9919699
PNPLA1,PNPLA1,0.99196726
JTB,JTB,0.99196523
HPD,HPD,0.99196416
ERLIN1,ERLIN1,0.9919626
EFCAB8,EFCAB8,0.99196196
PARN,PARN,0.9919616
PLEKHB2,PLEKHB2,0.9919605
U2SURP,U2SURP,0.9919604
TPRA1,TPRA1,0.991958
CA9,CA9,0.99195534
PPP1CA,PPP1CA,0.99195457
SCT,SCT,0.9919529
PPP4R3A,PPP4R3A,0.9919524
PHGR1,PHGR1,0.99195224
AKR1B10,AKR1B10,0.9919519
TOM1,TOM1,0.9919511
BRCA2,BRCA2,0.99195063
VPS26A,VPS26A,0.9919463
CUZD1,CUZD1,0.9919461
NGFR,NGFR,0.99194586
WDR35,WDR35,0.9919453
GDPD2,GDPD2,0.991945
ALG12,ALG12,0.99194497
PIK3R2,PIK3R2,0.99194264
CCDC194,CCDC194,0.9919406
MAP2K6,MAP2K6,0.9919401
TRIM10,TRIM10,0.99193424
REG1B,REG1B,0.9919305
ANKRD46,ANKRD46,0.99192977
KARS1,KARS1,0.9919219
FKBPL,FKBPL,0.9919161
CD5,CD5,0.99191594
AFM,AFM,0.9919131
NANOS2,NANOS2,0.9919081
TMC5,TMC5,0.9919055
MFSD2A,MFSD2A,0.99190307
DOHH,DOHH,0.9919013
SEPTIN9,SEPTIN9,0.99190027
USHBP1,USHBP1,0.99189764
PSME3,PSME3,0.9918966
SPTA1,SPTA1,0.991894
CCDC138,CCDC138,0.9918883
SYCP1,SYCP1,0.99188745
F9,F9,0.9918867
CNOT6L,CNOT6L,0.9918865
GSK3B,GSK3B,0.9918859
EPB41L4B,EPB41L4B,0.9918858
PICK1,PICK1,0.9918845
PNMA5,PNMA5,0.99188274
CLYBL,CLYBL,0.9918826
STAU2,STAU2,0.99188185
SLC8B1,SLC8B1,0.99187934
CDH19,CDH19,0.9918783
ACSL5,ACSL5,0.99187636
ZNF787,ZNF787,0.9918747
DNM1L,DNM1L,0.99187046
TMEM43,TMEM43,0.99186957
CCL19,CCL19,0.9918663
PRKAR2A,PRKAR2A,0.9918661
DSTN,DSTN,0.9918654
NCKAP5,NCKAP5,0.99186367
INSYN2A,INSYN2A,0.9918606
TADA3,TADA3,0.9918593
CCDC71,CCDC71,0.99185467
REM1,REM1,0.991844
SULT2A1,SULT2A1,0.99184024
SPOPL,SPOPL,0.991839
VGLL1,VGLL1,0.9918353
C18H18orf63,C18orf63,0.991833
ENTPD2,ENTPD2,0.9918311
SLC13A1,SLC13A1,0.99182993
GFY,GFY,0.9918295
TMEM214,TMEM214,0.9918251
IFNGR1,IFNGR1,0.991825
TMPRSS11A,TMPRSS11A,0.99182284
C9H10orf88,C10orf88,0.99181825
SCN3B,SCN3B,0.99181545
GON7,GON7,0.9918149
SUPT4H1,SUPT4H1,0.9918135
CMSS1,CMSS1,0.99181324
NLRP6,NLRP6,0.9918111
INSL6,INSL6,0.99180907
TTC29,TTC29,0.9918088
HYLS1,HYLS1,0.99180377
NSF,NSF,0.9917992
NCAPH2,NCAPH2,0.9917986
PKP4,PKP4,0.99179775
TUSC1,TUSC1,0.9917953
DSC3,DSC2,0.99179274
SMARCAL1,SMARCAL1,0.9917927
SPATA25,SPATA25,0.9917918
SLC2A6,SLC2A6,0.99179035
SSBP3,SSBP3,0.99178964
PRKCI,PRKCI,0.99178934
OR4D5,OR4D5,0.9917892
NME8,NME8,0.99178714
ICAM4,ICAM4,0.9917792
LARP1,LARP1,0.9917781
PNLIPRP3,PNLIPRP3,0.9917749
ACLY,ACLY,0.99177176
PROP1,PROP1,0.99176496
TLX1,TLX1,0.9917639
CA11,CA11,0.991762
HDGFL2,HDGFL2,0.9917566
BUB3,BUB3,0.99175525
NOC4L,NOC4L,0.9917527
TPBGL,TPBGL,0.9917506
CHN2,CHN2,0.9917445
DUS2,DUS2,0.99174166
DDX43,DDX43,0.99173963
DENR,DENR,0.9917352
GIP,GIP,0.9917343
SELE,SELE,0.99173194
CCBE1,CCBE1,0.9917295
FFAR4,FFAR4,0.9917281
ZAR1,ZAR1,0.9917255
LRRC8D,LRRC8D,0.9917247
MFGE8,MFGE8,0.99171656
TMEM244,TMEM244,0.9917154
TACO1,TACO1,0.9917152
RELL1,RELL1,0.99171424
COG8,COG8,0.99170965
APOBEC1,APOBEC1,0.9917089
EIF3H,EIF3H,0.99169886
CFAP91,CFAP91,0.9916921
BCR,BCR,0.99168324
SLC36A2,SLC36A2,0.9916831
ALDH3B1,ALDH3B1,0.9916809
STX8,STX8,0.99166876
C3AR1,C3AR1,0.99166834
NXF1,NXF1,0.9916656
GRAMD4,GRAMD4,0.99166447
ITIH5,ITIH5,0.9916641
RNF227,RNF227,0.9916624
CCDC149,CCDC149,0.99165875
PXDNL,PXDNL,0.9916586
LSM14B,LSM14B,0.991647
PDLIM7,PDLIM7,0.99164695
CIMAP1D,CIMAP1D,0.9916445
ARHGAP36,ARHGAP36,0.9916415
TEFM,TEFM,0.99163973
HMCES,HMCES,0.9916396
NHLRC3,NHLRC3,0.9916346
AP3M2,AP3M2,0.9916342
CYP24A1,CYP24A1,0.99163383
TMEM130,TMEM130,0.99163026
ALDH3A2,ALDH3A2,0.9916292
DYNC1LI1,DYNC1LI1,0.9916282
RAB21,RAB21,0.99162775
ZNF84,ZNF84,0.99162656
ZPBP2,ZPBP2,0.9916247
ATP7A,ATP7A,0.9916232
WNT6,WNT6,0.9916226
MIPOL1,MIPOL1,0.99161375
SYTL1,SYTL1,0.991612
FBXO44,FBXO44,0.9916077
ACKR1,ACKR1,0.9916066
BECN1,BECN1,0.9916038
DNAJA3,DNAJA3,0.99160343
TCIRG1,TCIRG1,0.9916017
AMBN,AMBN,0.9915994
TYR,TYR,0.99159896
LTF,LTF,0.99159634
TENT5D,TENT5D,0.991586
OSBPL5,OSBPL5,0.99158174
TIMM44,TIMM44,0.9915782
TESPA1,TESPA1,0.9915774
