zebrafish gene name,frog gene name,correlation
th2,th2,0.9642978
mc2r,mc2r,0.96429604
srd5a1,srd5a1,0.9642809
ppifb,ppif,0.9642782
dao.1,dao,0.9642697
vat1,vat1,0.9642659
dedd1,dedd2,0.96426547
golph3l,golph3l,0.964265
abcc6b.2,abcc6,0.964261
f7,f7,0.96426
creld2,creld2,0.9642596
GABRD,gabrd,0.9642595
rpgrip1l,rpgrip1l,0.9642557
stmn1b,stmn1,0.96425337
prdm11,prdm11,0.96425277
tmem229b,tmem229b,0.96424747
card14,card14,0.96424145
nav1a,nav1,0.96423733
bfsp2,bfsp2,0.96423095
ccdc191,ccdc191,0.96423084
rbfa,rbfa,0.96422666
tmem26a,tmem26,0.964224
met,met,0.96422195
tmem59,tmem59l,0.9642146
PHLPP1,phlpp1,0.9642043
aspn,aspn,0.9642014
ebna1bp2,ebna1bp2,0.96420115
shfl,shfl,0.9642006
dusp19a,dusp19,0.96419096
ncaph2,ncaph2,0.9641773
mms19,mms19,0.96417683
sh3bp1,sh3bp1,0.964172
styxl1,styxl1,0.9641719
mbd3b,mbd3,0.9641718
pex19,pex19,0.96417046
sdhdb,sdhd,0.9641692
gfi1aa,gfi1b,0.96415716
hsd17b1,hsd17b1,0.96415615
pars2,pars2,0.9641547
mbip,mbip,0.9641472
ankrd54,ankrd54,0.964145
bcar3,bcar3,0.96414113
pcbp4,pcbp2,0.9641348
dcun1d4,dcun1d5,0.9641284
eif4g1a,eif4g1,0.96412426
fgl1b,fgl1b,0.96412003
msantd1,msantd1,0.96411675
themis,themis2,0.9641105
kcnq2a,kcnq4,0.9641098
ptpn4b,ptpn4,0.9641009
snx14,snx14,0.96409094
vps52,vps52,0.9640905
pbx2,pbx2,0.964084
slc29a1a,slc29a1,0.9640813
nxph2b,nxph3,0.96407723
nkx3-2,nkx3-3,0.96407074
tctn2,tctn2,0.9640628
ltc4s,ltc4s.1,0.96405226
lmnb1,lmnb1,0.9640509
vaspa,vasp,0.9640381
cyp2ae1,XB5919979,0.96401936
stk33,stk33,0.9640167
stx4,stx4,0.96401614
fam89a,fam89a,0.96400625
tdrd1,tdrd1,0.96400565
tmem9b,TMEM9B,0.9640041
b3gnt3.3,b3gnt3.1,0.9639856
fmnl1a,fmnl1,0.96398443
kita,kit,0.9639835
slc16a10,slc16a10,0.96398324
rbmx,rbmx,0.96397907
PKD2L1,pkd2l1,0.9639756
clp1,clp1,0.96396756
timm21,timm21,0.9639605
mxra5b,mxra5,0.96395314
zc2hc1a,zc2hc1a,0.9639393
iglon5,iglon5,0.9639275
NOX5,nox5,0.9639258
zgc:92140,c4h1orf21,0.96392536
notum1a,notum,0.96391666
dok4,dok5,0.96391445
elp2,elp2,0.9639102
gclm,gclm,0.963903
wdr73,wdr73,0.9638979
shisa2b,shisa2,0.9638949
cox5aa,cox5a,0.9638782
yju2b,yju2b,0.9638731
LRCH2,lrch2,0.96386856
pdcl,pdcl,0.9638685
f2r,f2r,0.963863
ercc6l,ercc6l,0.9638627
rsad2,rsad2,0.96385187
lrrc10,lrrc10,0.96384645
cwc22,cwc22,0.96384466
htr2ab,htr2c,0.96384406
bmp7a,bmp6,0.9638434
gusb,gusb,0.96383995
otud6b,otud6b,0.96383977
rbp1.2,rbp1,0.9638366
ints8,ints8,0.96382976
hapln3,hapln3,0.96382713
nr3c1,nr3c1,0.9638039
soat2,soat2,0.9637918
si:dkeyp-11e3.1,vgll1,0.96378684
QPCT,qpct,0.96378064
pla2g4f.1,pla2g4d,0.9637728
chad,chad,0.9637684
exosc8,exosc8,0.96376455
rcc2,rcc2,0.9637645
omd,omd,0.96375394
grk5l,grk4,0.96375346
pigb,pigb,0.9637491
itln3,itln2,0.9637469
cdh26.1,cdh26,0.96374047
cdc42ep4b,cdc42ep4,0.96373755
ewsr1a,ewsr1,0.9637337
hbs1l,hbs1l,0.9637175
pwp2h,pwp2,0.9637066
galm,galm,0.9637036
zfat,zfat,0.9637022
lrtm1,lrtm1,0.96369874
chmp6b,chmp6,0.96369267
prcp,prcp,0.963677
tlr22,tlr22,0.9636601
ankrd16,ankrd16,0.963655
c1qtnf12,c1qtnf12,0.96365017
si:dkeyp-92c9.2,cdk5r2,0.96364915
mrpl52,mrpl52,0.9636437
plin3,plin3,0.9636416
itga3b,itga7,0.9636412
gucy1a1,gucy1a1,0.96364
calb2a,calb2,0.963635
pofut1,pofut1,0.9636294
rsph10b,rsph10b,0.96362734
rpusd2,rpusd2,0.9636268
EFNA5,efna5,0.96362615
ndufa1,ndufa1,0.9636237
snx29,snx29,0.9636135
tmem179aa,tmem179,0.96359766
exosc9,exosc9,0.9635763
MCHR1,mchr1.2,0.96355724
trpv6,cat1,0.96355337
mark3a,mark1,0.96355027
xpnpep3,xpnpep3,0.96354795
hif1an,hif1an,0.9635395
arhgap42a,arhgap10,0.9635386
sp3b,sp3,0.96352327
si:ch211-71m22.1,plscr2,0.9635202
cep20,cep20,0.96351117
ednrba,ednrb2,0.96349156
rbfox1l,rbfox2,0.9634884
znf507,znf507,0.9634785
KCNH2,kcnh2,0.96346503
ninl,ninl,0.96345305
mpst,mpst,0.9634494
bloc1s2,bloc1s2,0.9634222
dhx32a,dhx32,0.9634173
rfc2,rfc2,0.96340436
mcm9,mcm9,0.9633915
cript,cript,0.9633909
pltp,pltp,0.9633895
ripor2,ripor2,0.9633822
ahrrb,ahrr,0.9633818
ngs,des.2,0.9633779
tec,itk,0.96337426
edn2,edn2,0.963372
tmem150b,tmem150b,0.963357
NEB,nebl,0.96335167
akr1a1b,akr1a1,0.9633409
cnnm2a,cnnm4,0.9633379
pcsk7,pcsk7,0.96333724
pole4,pole4,0.9633288
dtx4a,dtx1,0.9633277
glmp,glmp,0.9633184
myoz1a,myoz1,0.9633178
chmp1b,chmp1b,0.96331316
rspo1,rspo1,0.9633117
gprc6a,XB991396,0.96330726
rps24,rps24,0.9632919
pgp,pgp,0.96328926
mrc1a,mrc1,0.9632873
HEPACAM,hepacam,0.9632864
sgcb,sgcb,0.9632861
il1b,il1b,0.9632856
epcam,epcam,0.9632815
pvalb6,pvalb,0.9632812
rnf114,rnf114,0.9632669
rcvrn2,rcvrn.2,0.9632643
CASKIN2,caskin2,0.9632561
twsg1a,twsg1,0.963256
itgb6,itgb6,0.96324444
arhgap19,arhgap19,0.96323895
snip1,snip1,0.963238
slc66a3,slc66a3,0.9632343
tango2,tango2,0.96323323
aurkb,aurkb,0.9632315
nsrp1,nsrp1,0.9632129
neil1,neil1,0.96320766
dpm2,dpm2,0.96320665
UBE2M,ube2m,0.9632046
tsc22d1,tsc22d1,0.96320134
mmp21,mmp21,0.9632002
slc22a15,slc22a15.2,0.96319824
tnfaip6,tnfaip6,0.96318275
doc2a,doc2a,0.96318233
entpd4,entpd4,0.96317804
mrps15,mrps15,0.96317273
ppp1r13l,ppp1r13l,0.96317106
paxbp1,paxbp1,0.9631696
gtf2h1,gtf2h1,0.9631666
idua,idua,0.96315336
grtp1b,grtp1,0.9631525
adamtsl3,adamtsl3,0.9631462
trmt112,trmt112,0.9631453
smc5,smc5,0.963145
bcl6aa,bcl6,0.9631306
ankrd55,ankrd55,0.96311706
MCMDC2,mcmdc2,0.9631113
tmem222a,tmem222,0.96310914
PLEKHA6,plekha6,0.9631045
amigo3,AMIGO3,0.9630974
trmt10a,trmt10a,0.9630946
eipr1,eipr1,0.9630912
dctd,dctd,0.9630896
ATP7B,atp7b,0.9630793
iqsec3b,iqsec3,0.9630779
pigt,pigt,0.96307755
lrfn4a,lrfn4,0.9630762
pdcd6ip,pdcd6ip,0.9630745
clip2,clip2,0.9630721
abhd4,abhd4,0.96307194
pgr,pgr,0.9630679
nefma,nefm,0.96306777
b4galnt3b,b4galnt3,0.9630631
ahnak,AHNAK,0.96304864
timm9,timm9,0.96304166
STARD7,stard7,0.96302694
opn8a,opn8,0.9630242
p3h4,crtap,0.96301603
pip5k1bb,pip5k1b,0.96301204
ndufa12,ndufa12,0.96300805
timm29,timm29,0.96300536
cenpl,cenpl,0.9630035
vcla,vcl,0.9629998
znf292a,rlf,0.9629884
THEM6,them6,0.96298337
zbtb8os,zbtb8os,0.9629833
lonp2,lonp2,0.9629719
wdr32,dcaf10,0.9629705
rev1,rev1,0.96297014
si:dkey-43k4.3,c4h22orf23,0.9629617
iqub,iqub,0.9629548
aqp1a.1,aqp1,0.9629542
fer,fer,0.9629403
commd5,commd5,0.96292603
thumpd3,thumpd3,0.9629167
pdgfc,pdgfc,0.9629148
myhb,myh2,0.9629081
bltp3a,bltp3a,0.9629052
klf15,klf15,0.9629032
pcmtd2a,pcmtd2,0.9629027
frs3,frs3,0.96289176
iars2,iars2,0.9628862
bricd5,bricd5,0.9628811
ggt1b,ggt1,0.9628736
sumo3a,sumo3,0.96286803
ip6k1,ip6k1,0.9628678
gfi1ab,gfi1,0.96286523
tmem64,tmem64,0.9628543
GPR68,gpr68,0.96285355
nup35,nup35,0.96285266
ppp1r9ala,ppp1r9a,0.96283805
elovl7a,elovl7,0.96283007
trmt44,trmt44,0.9628271
ehbp1,ehbp1,0.962816
fabp10a,XB5907626,0.9628097
dph5,dph5,0.96280813
ppef1,ppef1,0.9628076
ppt1,ppt1,0.9627983
ntmt2,ntmt2,0.9627943
galnt7,galnt7,0.962793
cnksr3,cnksr3,0.96279275
tfb2m,tfb2m,0.96278363
frya,fry,0.96278125
xkr9,xkr9,0.9627777
uqcrc1,uqcrc1,0.9627707
chid1,chid1,0.9627418
ccr12a,ccr3,0.96273816
agtr1a,agtr1,0.96273595
nacc1b,nacc2,0.96273255
ptar1,ptar1,0.9627267
zgc:101663,mgat4g,0.96272653
bmp10,bmp10,0.96270937
gpatch8,gpatch8,0.9627092
taf1a,taf1a,0.9626899
cnot3b,cnot3,0.9626811
nfs1,nfs1,0.9626747
arid2,arid2,0.96267074
dnajc5ga,dnajc5g,0.9626477
avpr1aa,avpr1a,0.9626467
ube2j1,ube2j1,0.96264595
slc22a4,slc22a4,0.96263987
uqcrb,UQCRB,0.9626393
appl1,appl1,0.96263754
mrpl22,mrpl22,0.96261084
gcshb,gcsh,0.9626097
fxyd6,fxyd6,0.96260273
bxdc2,brix1,0.9626013
b3gnt2a,b3gnt2,0.9625976
mrpl46,mrpl46,0.9625924
mtrr,mtrr,0.96259075
ngef,ngef,0.96258616
hprt1,hprt1,0.9625839
ddx19a,ddx19b,0.96258384
si:ch211-235m3.5,bicdl2,0.96258265
C7H11orf68,c4h11orf68,0.9625815
c9,c9,0.9625686
slc37a2,slc37a2,0.96256137
glra4b,glra3,0.9625573
gpr34b,gpr34,0.96254814
pip4p1a,pip4p1,0.96254486
arl3l2,arl3l2,0.96254253
cyp1a,cyp1a1,0.9625404
ing4,ing4,0.96253633
tysnd1,tysnd1,0.96252877
RNF123,rnf123,0.9625241
steap3,steap3,0.9625216
enpp4,enpp4,0.96251893
zhx3b,zhx3,0.96251625
nipal4,nipal4,0.96251243
gdnfa,gdnf,0.9625021
pmch,pmch,0.9625002
hnrnpa0l,hnrnpa0,0.9624929
ppp1r7,ppp1r7,0.9624923
slc25a28,slc25a28,0.9624894
ttc4,ttc4,0.9624836
got1,got1,0.96248007
SPATA1,spata1,0.9624789
npffr1l2,npffr1.1,0.9624769
cbx5,cbx5,0.9624722
gstz1,gstz1,0.9624578
kremen1,kremen1,0.9624577
phyhip,phyhip,0.9624452
sptlc3,sptlc3,0.9624437
anxa5b,anxa5,0.96244323
foxl1,foxl1,0.9624373
mtdha,mtdh,0.9624352
recql4,recql4,0.96243435
rab35b,rab35,0.9624248
stat6,stat6,0.96241695
kif23,kif23,0.9624142
ptp4a3b,ptp4a3,0.9624134
fbxo25,fbxo25,0.96240896
noxo1a,noxo1.2,0.9624077
SHISAL2A,shisal2a,0.96240187
niban2a,niban2,0.962377
nipsnap3a,nipsnap3a,0.9623761
trmt1,trmt1,0.9623713
rbm15,rbm15,0.9623702
gfra2a,gfra2,0.96236616
mapkap1,mapkap1,0.9623647
ntmt1,ntmt1,0.9623557
rpsa,rpsa,0.9623398
cabp1b,cabp1,0.96233815
sucla2,sucla2,0.96233255
rnf168,rnf168,0.9623278
f9b,f9,0.9623269
FER1L6,fer1l6,0.9623242
foxo6a,foxo6,0.9623151
macrod2,macrod2,0.96231186
colec12,colec12,0.96229446
lrp3,lrp3,0.96229243
hddc3,hddc3,0.96228224
mocs1,mocs1,0.9622765
gpr151,gpr151,0.96227276
fbxo10,fbxo10,0.96225804
mocs3,mocs3,0.96225744
nop53,nop53,0.96225727
tspan12,tspan12,0.9622444
c1qtnf1,c1qtnf1,0.9622417
fam161a,fam161a,0.96223557
pgap4,pgap4,0.9622347
ankk1,ankk1,0.962217
daglb,daglb,0.9621937
irf1b,irf1,0.96219254
c1galt1c1,c1galt1c1,0.96219015
b3gat1b,b3gat3,0.9621894
PODN,podn,0.962189
ddx49,ddx49,0.9621888
pebp1,pebp1.1,0.96218455
znf385b,znf385b,0.9621777
nrtn,nrtn,0.9621675
ccdc28a,ccdc28a,0.9621562
BEND7,bend7,0.9621448
b4galnt2.1,b4galnt2,0.96214426
exoc3l1,exoc3l1,0.9621239
olah,olah,0.9621215
CCNB1IP1,ccnb1ip1,0.96209484
rpl28,rpl28,0.96209115
znf800a,znf800,0.9620898
tmem53,tmem53,0.96208906
olfml3b,olfml3,0.9620821
hat1,hat1,0.96207666
gdpgp1,gdpgp1,0.9620693
nosip,znf484,0.96206653
gpaa1,gpaa1,0.96206355
osbpl5,osbpl8,0.9620616
dazap1,dazap1,0.96205187
znf804a,znf804b,0.9620506
gchfr,gchfr,0.9620425
zswim7,zswim7,0.9620394
stub1,stub1,0.9620377
tti1,tti1,0.96203274
si:dkey-222f8.3,endoul,0.9620231
quo,arhgef40,0.96201855
kcnj13,kcnj13,0.9620149
gpr19,gpr19,0.96200806
rd3,rd3,0.962008
cavin1b,cavin1,0.9620067
mboat4,mboat4,0.9620053
elovl5,elovl5,0.96200347
uqcc1,uqcc1,0.96200347
faxca,faxc,0.96200305
pierce1,PIERCE1,0.96200085
fam189a1,entrep2,0.96199894
ak5,ak5,0.96199375
axdnd1,axdnd1,0.9619912
STAC,stac,0.9619814
lamtor1,lamtor1,0.9619726
pdlim3a,pdlim4,0.9619691
ecm1b,ECM1,0.96195894
syt1b,syt1,0.96192986
dnase2b,dnase2b,0.9619171
ktn1,ktn1,0.96190846
ppox,ppox,0.96190107
trib1,trib2,0.96189934
katnb1,katnb1,0.9618967
adam8a,adam28.2,0.96189624
whrna,whrn,0.9618943
armc7,armc7,0.9618935
zgc:64022,rergl,0.96189266
esm1,esm1,0.9618817
dub,rcsd1,0.96188015
dlc1,stard13,0.9618773
ppp1r42,ppp1r42,0.96187466
hey2,hey2,0.9618727
s1pr4,s1pr4,0.9618714
paqr6,paqr6,0.96186477
hnf1a,hnf1a,0.9618639
znf131,znf131,0.9618629
helq,helq,0.9618617
nadkb,nadk,0.96184963
si:ch211-15p9.2,pdp2,0.9618424
sebox,homeobox100496651-provisional,0.9618392
grifin,GRIFIN,0.9618329
ptprua,ptpru,0.9618313
timm17b,timm17a,0.9618284
calhm2.2,calhm4,0.9618246
rdh1,rdh7.2,0.96181947
atp6ap2,atp6ap2,0.9618077
slc35g1,slc35g1,0.9617956
C18H19orf12,c4h19orf12,0.96177983
gfra1b,gfra1,0.96177727
prpsap2,prpsap2,0.9617755
paqr3b,paqr3,0.9617597
otofa,otof,0.96175027
zgc:101765,XB5994047,0.9617482
arid1b,arid1b,0.9617375
gabpb2b,gabpb2,0.9617294
scaf4b,scaf4,0.96170074
zgc:162297,XB5931222,0.96169704
allc,allc,0.9616949
ctdspla,ctdspl,0.96169406
rsad1,rsad1,0.9616905
aqp9b,aqp9,0.9616738
eva1ba,eva1b,0.9616696
kera,kera,0.9616624
RIMS1,rims1,0.961658
f5,f5,0.961658
sele,selp,0.96165305
C5H9orf85,c1h9orf85,0.96163815
dnaaf4,dnaaf4,0.9616192
si:dkey-45k15.1,EXOC3L4,0.9616137
vps8,vps8,0.9615999
odad2,odad2,0.96159744
snapc1b,snapc1,0.96159595
sfpq,sfpq,0.9615907
denr,denr,0.9615808
slc39a7,slc39a7,0.96157706
ino80e,ino80e,0.96157545
r3hdml,r3hdml,0.96157277
hmgcll1,hmgcll1,0.96156794
nfat5b,nfat5,0.96156794
wdsub1,wdsub1,0.9615667
dpep2,dpep2,0.9615619
nit1,nit1,0.96156126
hmces,hmces,0.9615579
tbck,tbck,0.9615555
slc41a3,slc41a3,0.9615507
TLX3,tlx2,0.96153754
zer1,zer1,0.9615286
polh,polh,0.9615028
vsx2,vsx2,0.9615014
rpl18a,rpl18a,0.9614616
actr3b,actr3,0.96145636
znf668,znf668,0.96144897
dusp22a,dusp22a,0.96144164
mlc1,mlc1,0.96144044
fgfr3,fgfr3,0.9614395
nova2,nova1,0.9614375
ttll9,TTLL9,0.96143466
fam185a,fam185a,0.9614344
PLD2,pld2,0.96139437
prop1,prop1,0.96138126
sdhc,sdhc,0.96137947
timm23b,timm23,0.9613781
mars2,mars2,0.9613741
cep83,cep83,0.9613545
gla,naga,0.9613336
prr16,prr16,0.9613277
lrp8,lrp8,0.9613133
chchd1,chchd1,0.96130913
angptl3,angptl3,0.961307
meaf6,meaf6,0.9613001
atp8b5a,atp8b3,0.96129185
blm,blm,0.96127546
june,junb,0.9612585
nags,nags,0.9612505
zgc:101858,MGC79752,0.96123815
asz1,asz1,0.96122926
sephs3,sephs3,0.9612048
pfdn1,pfdn1,0.96120405
ndufb7,ndufb7,0.9611997
alpi.1,alpl,0.9611877
cox6b1,cox6b1,0.96118534
rpgrb,RPGR,0.96117646
gatad2ab,gatad2a,0.9611738
map4k6,map4k1,0.9611689
sult6b1,sult6b1.5,0.9611636
net1,net1,0.9611508
dynlrb2,dynlrb2,0.9611485
zbtb24,zbtb24,0.9611219
osgep,osgep,0.96112096
nme9,nme9,0.9611201
cela1.3,cela1.2,0.9611156
mrpl49,mrpl49,0.9611059
aacs,aacs,0.9611
e2f2,e2f3,0.9610966
blmh,blmh,0.96109253
trappc4,trappc4,0.96108407
slc51a,slc51al,0.9610793
nppa,nppa,0.9610756
cwf19l2,cwf19l2,0.9610665
toporsb,topors,0.96106493
fabp6,fabp6,0.96106243
anxa6,anxa6,0.9610603
KANK1,kank1,0.961057
lrrc47,lrrc47,0.96105266
ndrg3b,ndrg4,0.961047
dcaf8,dcaf8,0.9610422
rbm28,rbm28,0.96104205
tal2,TAL2,0.96104205
agtpbp1,agtpbp1,0.9610393
fez2b,fez2,0.96103907
gas2l1,gas2l1,0.9610372
drap1,drap1,0.96103674
rbms3,rbms3,0.96103483
rab43,rab43,0.96102977
mrpl13,mrpl13,0.9610139
zgc:136864,c19orf53,0.9610103
tmprss2,tmprss2.1,0.960981
pold3,pold3,0.96098083
tpx2,tpx2,0.96097857
CNNM1,cnnm1,0.96097785
ldlrad2,ldlrad2,0.9609765
prkra,prkra,0.9609635
nrg1,nrg1,0.9609625
nudcd3,nudcd3,0.96095395
negr1,negr1,0.9609523
slc35f6,slc35f6,0.9609508
tbx22,tbx22,0.9609396
aifm1,aifm1,0.96093863
sycn.2,sycn,0.96093255
rnf182,rnf182,0.9609223
NDUFAF6,ndufaf6,0.96092075
pkp3b,pkp3,0.96091783
coq4,coq4,0.9609163
usp5,usp5,0.96091133
bpnt1,bpnt1,0.9609093
polr1e,polr1e,0.96089816
jam3b,jam3,0.9608926
cyb5r1,cyb5r3,0.9608899
fabp7a,fabp3,0.96088976
rabl2,rabl2b,0.9608822
nbeal1,nbeal1,0.96085733
mcoln2,mcoln2,0.9608456
casp8ap2,casp8ap2,0.96082234
ssr2,ssr2,0.9608089
gipc3,gipc1,0.96080697
mov10b.1,mov10,0.96080625
rtn4ip1,rtn4ip1,0.9607907
eri1,eri1,0.9607817
sash3,sash3,0.96077335
nt5c3a,nt5c3a,0.9607693
lrrc56,lrrc56,0.9607555
l3mbtl3,l3mbtl3,0.96075326
znf710a,znf710,0.9607203
f2,f2,0.96071446
gdpd3b,gdpd1,0.9607087
CMPK2,cmpk2,0.9606952
btg1,MGC75753,0.9606944
pxna,pxn,0.9606914
krt98,krt12.1,0.96067417
fdx1b,XB5934217,0.96067154
actmap,c19orf54,0.96066964
sertad2b,sertad2,0.96065724
maptb,mapt,0.9606572
ufc1,ufc1,0.96065265
VPS13D,vps13d,0.96063346
phyhd1,phyhd1,0.96062976
cyp27a1.4,cyp27a1.4,0.9606203
aspg,aspg,0.9606116
fstl3,fstl3,0.9606102
scap,scap,0.96060926
pklr,pklr,0.96060836
pxylp1,pxylp1,0.9606069
stra6,stra6,0.9605922
GPR153,gpr153,0.9605917
NYAP2,nyap2,0.9605904
arvcfb,arvcf,0.96059024
chsy3,chsy3,0.96058756
shisa7b,shisa7,0.9605791
en1a,en1,0.9605755
mllt10,mllt10,0.9605752
nme6,nme6,0.96057296
mgat4b,mgat4b,0.96056974
npy8br,npy4r,0.96056616
lrp2bp,lrp2bp,0.9605651
p2rx4a,p2rx4,0.9605603
f2rl1.2,f2rl1,0.960558
zap70,zap70,0.96055347
sqor,sqor,0.9605527
spaw,nodal2,0.96054614
slc26a10,slc26a10,0.9605419
snrpf,snrpf,0.9605301
mespab,mespb,0.9605252
mrpl21,mrpl21,0.96051013
apex1,apex1,0.96050906
gpr183a,gpr183.2,0.96050453
bcdin3d,bcdin3d,0.96050435
ogfod2,ogfod2,0.9605032
pag1,pag1,0.96049845
ccdc85a,ccdc85a,0.96049345
cdh5,cdh5,0.96048903
parp2,parp2,0.9604881
tmem41ab,tmem41a,0.9604838
lhfpl2b,lhfpl2,0.96048015
zgc:171775,mapk12l,0.9604645
socs5b,socs5,0.96046335
nol6,nol6,0.96046096
bbof1a,bbof1,0.9604599
mdc1,mdc1,0.9604356
camlg,camlg,0.9604333
krt18a.2,krt20,0.9604329
usp19,usp19,0.96043265
rfng,lfng,0.96043193
b4galt3,b4galt3,0.9604275
prr15la,prr15l,0.96041584
lcp2a,lcp2,0.9604151
fosl1a,fosl1,0.96040213
mcfd2,mcfd2,0.9603874
mylk3,mylk3,0.9603802
prodha,prodh,0.960367
bag3,bag3,0.9603534
tdrd5,tdrd5,0.9603451
gstt1a,gstt1l.2,0.96033937
ssh2b,ssh2,0.9603206
zgc:77752,ptpdc1,0.9603201
gpr158a,gpr158,0.9603171
mctp2a,mctp2,0.9603064
B3GNT9,b3gnt9,0.9603032
mplkip,mplkip,0.9602967
crhr1,crhr2,0.9602894
reep6,reep6,0.96028864
anapc4,anapc4,0.9602578
itm2bb,itm2a,0.9602515
gorasp1a,gorasp1,0.9602496
slirp,slirp,0.9602474
sla2a,sla2,0.9602416
smyd5,smyd5,0.96023697
zgc:158785,marchf3,0.96023595
gcna,gcna,0.9602351
ppp1r37,ppp1r37,0.96023446
dnaaf6,dnaaf6,0.96023405
nat8,nat8.1,0.960231
evpla,evpl,0.96023035
cstf1,cstf1,0.9602253
ndp,ndp,0.96022475
rab32a,rab32,0.9601943
coa5,coa5,0.96017885
PPARGC1A,ppargc1a,0.960176
polr2eb,polr2e,0.9601754
grwd1,grwd1,0.96017075
ppp2r2bb,ppp2r2b,0.96017075
ndufb5,ndufb5,0.96016943
trmt61b,trmt61b,0.9601505
shprh,shprh,0.96014863
lonrf1,lonrf2,0.96014726
ttll1,ttll1,0.96014607
sobpa,sobp,0.9601457
oxt,avp,0.9601395
rab13,rab13,0.960114
aebp2,aebp2,0.9601126
eloal,eloa,0.96010154
ARHGAP18,arhgap18,0.9601003
proca,proc,0.96009445
chmp7,chmp7,0.9600881
cdyl,cdyl,0.96008015
rpia,rpia,0.9600769
ptges3a,ptges3,0.96006
kyat3.1,kyat3,0.96005946
poglut3,poglut3,0.9600582
dedd,dedd,0.9600452
mpv17l2,mpv17l2,0.9600391
adamts5,adamts5,0.96003884
zranb3,zranb3,0.95998883
cyb5d2,cyb5d2,0.95997196
lcmt1,lcmt1,0.95994633
anxa4,anxa4,0.95993745
pdzrn4,pdzrn4,0.9599319
fam171a2a,fam171a2,0.95993155
parp8,parp8,0.95992815
ptprub,ptprt,0.959923
eif4e1b,eif4e1b,0.95991826
hacd4,hacd4,0.95991313
zgc:86609,tmem111,0.95991004
tyro3,tyro3,0.95990324
znf319b,znf319,0.9598962
inpp5l,inpp5a.2,0.9598951
pias4a,pias4,0.95989007
nwd1,nwd1,0.9598893
ppm1f,ppm1f,0.9598849
syf2,syf2,0.9598846
cfap97,cfap97,0.9598701
engase,engase,0.95986843
USP28,usp28,0.95986605
ids,ids,0.959863
cryz,cryz,0.95986134
mrpl53,mrpl53,0.95985925
sipa1l3,sipa1,0.95984864
tmem47,tmem47,0.95984215
slc39a13,slc39a13,0.9598384
UNC5C,unc5c,0.95983255
rabepk,rabepk,0.9598286
vapal,vapa,0.95981526
snx18b,snx18,0.959808
gpr156,gpr156,0.9598065
qrich1,qrich1,0.95980185
zbtb12.2,zbtb12,0.95980096
ube2z,ube2z,0.95979375
trmt13,trmt13,0.9597882
tmem106c,tmem106c,0.9597825
zgc:154093,cdc42ep2l,0.9597787
nog3,nog,0.9597665
lsm4,lsm4,0.95974857
sh3bgrl,sh3bgrl,0.9597449
manba,manba,0.9597236
kctd7,kctd7,0.9597201
agpat3,agpat3,0.95970345
gap43,gap43,0.9597015
mmgt1,mmgt1,0.95969737
zgc:158803,luc7l2,0.95968485
aicda,aicda,0.959676
kdm3b,kdm3b,0.95965874
cd63,cd63,0.9596398
cerkl,cerkl,0.95963526
cideb,cideb,0.9596352
sparc,sparc,0.9596263
plcd3a,plcd3,0.95962554
hormad1,hormad1,0.95962346
yipf2,yipf2,0.95959085
dntt,polm,0.9595903
patz1,patz1,0.95958716
iqcg,iqcg,0.95958686
PDGFD,pdgfd,0.9595848
bcor,bcor,0.95958436
lin54,lin54,0.95958394
cplx4c,XB5845204,0.95957667
manbal,manbal,0.95957667
hecw1b,hecw1,0.9595723
gltpd2b,gltpd2,0.95956624
nup93,nup93,0.9595518
dnm3a,dnm3,0.95954627
smim20,smim20,0.9595395
hao1,hao1,0.95953596
ak1,ak1,0.9595355
twist3,twist2,0.95951813
apba2b,apba2,0.95951575
itga8,itga8,0.95950407
mrps11,mrps11,0.9594962
ddx3xb,ddx3x,0.9594803
llgl2,llgl2,0.9594659
rgs11,rgs9,0.9594598
si:dkey-33c14.6,znf519,0.9594595
mrpl45,mrpl45,0.9594399
bahcc1a,bahcc1,0.9594115
cetn3,cetn3,0.9594061
adat1,adat1,0.95940244
ccdc9,ccdc9,0.95939875
ncoa6,ncoa6,0.95939445
tril,tril,0.95938617
hdhd5,hdhd5,0.9593764
irf5,irf6.2,0.9593723
dap,dap,0.9593661
acp5a,acp5,0.959363
INSYN2A,insyn2a,0.95934886
tekt4,tekt4,0.9593394
USP53,usp53,0.95933926
lats1,lats1,0.9593375
zcchc17,zcchc17,0.95932925
cyp27c1,cyp27b1,0.95931375
rnls,rnls,0.95930666
nrd1b,nrdc,0.95930445
snf8,snf8,0.9593044
slc16a6b,slc16a6,0.95929104
mzt1,mzt1,0.9592802
aadac,aadac,0.95926774
ikzf5,ikzf5,0.95926344
prlh2r,XB994602,0.95926076
si:dkey-32e23.4,dnm1l,0.95926
sox18,sox18,0.9592575
rnasekb,rnasek,0.95925385
EPM2A,epm2a,0.95925117
kmt5c,kmt5c,0.9592394
smndc1,smndc1,0.95923686
mthfd1l,mthfd1l,0.95923513
si:ch73-367f21.6,znf3,0.9592229
zgc:171480,mrpl55,0.9592227
sdhaf2,sdhaf2,0.9592207
SGPP1,sgpp1,0.9592137
glb1,glb1l,0.9591946
tm2d2,tm2d2,0.95916355
st3gal4,st3gal4,0.9591599
map7b,map7,0.9591551
snx10a,snx10,0.959154
nsun5,nsun5,0.9591521
