human gene name,pig gene name,correlation
LMTK3,LMTK3,0.9632609
SOD1,SOD1,0.96323234
UPF3B,UPF3B,0.9632303
LSM4,LSM4,0.9632283
TMEM87B,TMEM87B,0.96321034
RBMX,RBMX,0.96320903
FGF20,FGF20,0.96320754
RAI2,RAI2,0.9631981
CETN1,CETN1,0.9631843
C1QTNF5,C1QTNF5,0.96317333
BPIFA3,BPIFA3,0.9631731
NUB1,NUB1,0.9631609
GLYR1,GLYR1,0.9631582
NR1D2,NR1D2,0.9631459
TAB2,TAB2,0.96310437
SHARPIN,SHARPIN,0.96310085
DDX56,DDX56,0.96310014
TARDBP,TARDBP,0.9630979
INMT,INMT,0.9630908
TM9SF1,TM9SF1,0.9630878
CYP2B6,CYP2B6B,0.96306455
CRYM,CRYM,0.9630645
SNRPE,SNRPE,0.9630618
RAMP3,RAMP3,0.96305466
PTGDR,PTGDR,0.9630482
EIF4G3,EIF4G3,0.9630314
SIVA1,SIVA1,0.9630313
ALDH3B1,ALDH3B2,0.9630111
EXOSC7,EXOSC7,0.9630057
PRX,PRX,0.9630025
GPSM1,GPSM1,0.9630008
VILL,VILL,0.96299255
NKX2-8,NKX2-8,0.96298367
SMIM10L2A,SMIM10,0.96297973
VSIG10,VSIG10,0.9629706
STKLD1,STKLD1,0.96295345
ZNF8,ZNF554,0.9629476
QPRT,QPRT,0.9629454
NUPR2,NUPR2,0.9629446
TUBA1A,TUBA1B,0.9629438
EMILIN1,EMILIN1,0.9629371
SUPV3L1,SUPV3L1,0.9629301
G6PC1,G6PC2,0.96291685
CXCL8,CXCL8,0.96290827
PRDM16,PRDM16,0.9628818
TXNDC5,TXNDC5,0.9628801
RPS3,RPS3,0.96287227
CSTL1,CSTL1,0.9628633
STT3A,STT3A,0.9628482
TNFRSF13C,TNFRSF13C,0.9628457
WFDC10A,WFDC10A,0.96284
JMJD7,JMJD7,0.9628266
USF1,USF1,0.96282166
RPL27,RPL27,0.9628176
TM9SF3,TM9SF3,0.9628025
ALDH5A1,ALDH5A1,0.9627904
CDK13,CDK13,0.96278924
SEMA5B,SEMA5B,0.9627539
TBPL1,TBPL1,0.96275026
ARPC4,TTLL3,0.9627465
PAFAH1B2,PAFAH1B2,0.96273226
SPAG4,SPAG4,0.9627319
C7orf26,INTS15,0.9627279
PLEKHN1,PLEKHN1,0.9627179
UBE2E3,UBE2E3,0.9627073
LAMB2,LAMB2,0.96270704
CDHR3,CDHR3,0.96269274
DISC1,DISC1,0.9626891
CARD9,CARD9,0.9626837
ZNF860,ZNF613,0.96267414
ALG14,ALG14,0.962665
ADCY3,ADCY3,0.96266407
SLC47A1,SLC47A1,0.9626588
MACROD1,MACROD1,0.96265763
FN3K,FN3KRP,0.96265215
DOCK5,DOCK5,0.96264976
SH2D7,SH2D7,0.9626409
ARHGAP27,ARHGAP27,0.9626283
RILP,RILP,0.9626258
GJC1,GJC1,0.96260875
SNX2,SNX2,0.9626009
KPNB1,KPNB1,0.9625978
SLC30A7,SLC30A7,0.9625879
MESD,MESD,0.96258736
ZNF135,ZNF135,0.96257204
GLT6D1,GLT6D1,0.9625629
TMEM120B,TMEM120B,0.9625608
RIPPLY2,RIPPLY2,0.9625589
IGSF8,IGSF8,0.962555
TOM1L2,TOM1L2,0.9625525
TAC3,TAC3,0.9625471
PSMD6,PSMD6,0.9625443
CHD4,CHD4,0.96254104
WFDC8,WFDC8,0.9625274
MPI,MPI,0.9625135
OPTN,OPTN,0.9625039
CDKN1C,CDKN1C,0.96250206
IL22RA2,IL22RA2,0.9625017
CALML4,CALML4,0.96249413
TIGIT,TIGIT,0.96248966
RAB3A,RAB3A,0.96247417
ECHS1,ECHS1,0.9624712
BFSP1,BFSP1,0.9624672
POT1,POT1,0.96245164
UNC119,UNC119,0.96244615
FBL,FBL,0.96244276
MED17,MED17,0.9624364
APOC4-APOC2,APOC4,0.9624334
RNF7,RNF7,0.96241766
CLN8,CLN8,0.96241236
RAB20,RAB20,0.96240735
SCRN2,SCRN2,0.9624067
ABI3BP,ABI3BP,0.96239954
C11orf65,C11orf65,0.9623912
ULBP1,ULBP1,0.9623911
TAC4,TAC4,0.9623873
PRCP,PRCP,0.96238154
CFAP20,CFAP20,0.9623693
NDEL1,NDEL1,0.96236706
DZIP3,DZIP3,0.9623637
SNAPC4,SNAPC4,0.9623634
RASGRP2,RASGRP2,0.96235764
ANTXR1,ANTXR1,0.96234465
MYLK,MYLK,0.96233344
DOK1,DOK1,0.962333
MREG,MREG,0.9623172
COX4I1,COX4I1,0.9623137
TMEM196,TMEM196,0.9623096
PHLPP1,PHLPP1,0.9623039
B3GALNT2,B3GALNT2,0.9622992
SDHAF2,SDHAF2,0.9622563
HTR3B,HTR3B,0.9622551
SERPINA6,SERPINA6,0.96223307
IDH1,IDH1,0.9622326
FKBP8,FKBP8,0.9622157
RP9,RP9,0.9621998
DZANK1,DZANK1,0.9621991
PTCH1,PTCH1,0.9621788
ZNF501,ZNF660,0.9621756
VPS13A,VPS13A,0.96216714
CNN2,CNN2,0.9621652
SNAP47,SNAP47,0.96215683
CA10,CA10,0.96214926
SALL2,SALL2,0.96214384
RAD51C,RAD51C,0.9621394
SLC25A19,SLC25A19,0.9621368
C7orf57,C7orf57,0.962128
SSPN,SSPN,0.96212643
ROBO3,ROBO3,0.9621212
THOC5,THOC5,0.962119
CYTIP,CYTIP,0.96211034
C18orf54,C18orf54,0.9620906
SPATA19,SPATA19,0.96207154
TNFRSF11B,TNFRSF11B,0.9620705
GSTZ1,GSTZ1,0.9620577
B3GAT2,B3GAT2,0.96205086
ERMP1,ERMP1,0.9620494
ZDHHC18,ZDHHC18,0.96203774
SPATA6L,SPATA6L,0.96203744
UBE2D3,UBE2D3,0.9620257
TMEM150C,TMEM150C,0.96201724
CTSW,CTSW,0.9620171
AMFR,AMFR,0.96200055
C1orf109,AIRIM,0.962
IQCE,IQCE,0.961988
ZNF770,ZNF770,0.9619853
ADCYAP1,ADCYAP1,0.9619835
SPG11,SPG11,0.9619683
ARPC1B,ARPC1B,0.9619674
PDCD10,PDCD10,0.96194786
TMCC3,TMCC3,0.96194565
NECAP1,NECAP1,0.96194375
BAZ2A,BAZ2A,0.9619383
COL8A1,COL8A1,0.961935
MAPK8IP2,MAPK8IP2,0.9619255
SLC34A2,SLC34A2,0.96192414
TGFB3,TGFB3,0.961923
HMGA1,HMGA1,0.96192056
WDR47,WDR47,0.9619003
CTSZ,CTSZ,0.9618983
UFSP1,UFSP1,0.9618926
DLX6,DLX6,0.9618799
AP2A2,AP2A2,0.961875
ARAF,ARAF,0.96184987
ITSN1,ITSN1,0.9618469
DNAI2,DNAI2,0.96181285
SNX30,SNX30,0.9617958
TSPAN18,TSPAN18,0.96179295
SRPK2,SRPK2,0.96177936
VPREB3,VPREB3,0.9617705
ZSCAN25,ZSCAN25,0.9617656
TEX46,TEX46,0.96175903
BABAM1,BABAM1,0.96175474
CCL26,CCL26,0.96173346
DLGAP5,DLGAP5,0.9617312
RAD51AP2,RAD51AP2,0.96172804
UBE2Q2,UBE2Q2,0.9617277
RUSC1,RUSC1,0.9617143
ZNF318,ZNF318,0.9617092
SIRT7,SIRT7,0.96168137
TMPRSS7,TMPRSS7,0.96167564
ITPR1,ITPR1,0.96166456
DHDH,DHDH,0.96166354
NAV1,NAV1,0.961661
SESTD1,SESTD1,0.96165746
MCCD1,MCCD1,0.96164304
HMGCS1,HMGCS1,0.9616333
UVSSA,UVSSA,0.9616159
MAF1,MAF1,0.9616086
PEPD,PEPD,0.9616062
GCLC,GCLC,0.96160036
CCDC80,CCDC80,0.9615964
PSMC5,PSMC5,0.96159536
SLC5A11,SLC5A11,0.9615606
SPPL2B,SPPL2B,0.9615552
CLCF1,CLCF1,0.96154165
DHX32,DHX32,0.96154165
MRPS6,MRPS6,0.9615397
BANF2,BANF2,0.96153647
CCAR2,CCAR2,0.96152765
UBR5,UBR5,0.9615252
NCEH1,NCEH1,0.9615112
LYPD8,LYPD8,0.96150535
DPP6,DPP6,0.96150434
NEDD4,NEDD4,0.96149826
RPUSD2,RPUSD2,0.96148884
FAT2,FAT2,0.9614849
POPDC3,POPDC3,0.96146333
PDSS1,PDSS1,0.9614618
IFNB1,IFNB1,0.96145767
TGFB1,TGFB1,0.96145606
FXYD3,FXYD3,0.9614132
WNK1,WNK1,0.96140486
RBM17,RBM17,0.96140313
ZCWPW1,ZCWPW1,0.961397
CRELD2,CRELD2,0.96139485
C17orf107,C17orf107,0.96139437
SERPINB5,SERPINB5,0.96138555
OSBPL10,OSBPL10,0.9613844
KEAP1,KEAP1,0.96132636
TTI2,TTI2,0.96132594
CD84,CD84,0.96132296
ISG15,ISG15,0.9613191
LYPD3,LYPD3,0.9613065
EPS8,EPS8,0.9612999
ARL3,ARL3,0.96127266
AUTS2,AUTS2,0.9612634
ZBTB25,ZBTB25,0.9612595
CD37,CD37,0.9612538
TAF7L,TAF7L,0.9612436
CFAP300,CFAP300,0.9612382
CCR10,CCR10,0.96123433
SP7,SP7,0.9612138
DDX5,DDX5,0.96121234
PYHIN1,MNDA,0.96120954
GAS2L3,GAS2L3,0.961207
SLC35E4,SLC35E4,0.9612056
SMPD2,SMPD2,0.9611871
PXDC1,PXDC1,0.9611773
CLDN6,CLDN6,0.96117485
PSMF1,PSMF1,0.9611592
PALS1,PALS1,0.96115637
DCBLD2,DCBLD2,0.96113306
EDDM3B,EDDM3B,0.96112764
QKI,QKI,0.96112406
REEP4,REEP4,0.9611206
LASP1,LASP1,0.96111804
POU2F3,POU2F3,0.96111476
USP39,USP39,0.96110994
JAML,JAML,0.9611047
MINK1,MINK1,0.9611021
UBOX5,UBOX5,0.9611002
SNRNP48,SNRNP48,0.961099
AP3B1,AP3B1,0.96109885
TWSG1,TWSG1,0.9610975
SERPINB8,SERPINB6,0.961097
ECRG4,ECRG4,0.9610733
NSD2,NSD2,0.96106946
ECI1,ECI1,0.9610439
OTUB2,OTUB2,0.9610385
NDUFA6,NDUFA6,0.96103513
JMJD4,JMJD4,0.96103114
TEAD3,TEAD3,0.96101993
SLC47A2,SLC47A2,0.96101826
TMPO,TMPO,0.9610092
RBBP6,RBBP6,0.9609937
NUDT21,NUDT21,0.9609745
C1orf54,C1orf54,0.9609738
MUS81,MUS81,0.9609319
ARHGAP29,ARHGAP29,0.9609099
DNAJC10,DNAJC10,0.96090925
SLC16A1,SLC16A7,0.9609067
ITIH1,ITIH1,0.9608991
EIF4B,EIF4B,0.9608946
TMC4,TMC4,0.96087086
TNKS,TNKS,0.96087086
ACAT2,ACAT2,0.96084476
EXOSC1,EXOSC1,0.96084094
GJB7,GJB7,0.960837
OOSP3,OOSP3,0.96083444
FAM98B,FAM98B,0.9608271
ZNF524,ZNF524,0.96082693
MYO19,MYO19,0.9608186
PLEKHJ1,PLEKHJ1,0.9608186
TOB1,TOB2,0.9608168
ZDHHC19,ZDHHC19,0.96080357
DENND6A,DENND6A,0.96079504
MEIOSIN,MEIOSIN,0.96079135
QRFPR,QRFPR,0.9607897
ACAD11,ACAD11,0.9607822
ILKAP,ILKAP,0.9607673
FOXK2,FOXK2,0.96075743
GRM5,GRM5,0.960739
ARFGAP1,ARFGAP1,0.9607354
GMDS,GMDS,0.9607349
PDE10A,PDE10A,0.96073467
WDR55,WDR55,0.96072376
COQ5,COQ5,0.9607118
ADD2,ADD2,0.9607076
FIBP,FIBP,0.9606909
HSPE1-MOB4,MOBKL3,0.9606756
ATP1A4,ATP1A4,0.96067446
MAPRE2,MAPRE2,0.9606739
CHCHD10,CHCHD10,0.96067
RAB3IL1,RAB3IL1,0.9606659
CPNE9,CPNE9,0.9606521
FOLR1,FOLR1,0.96064544
UNC93A,UNC93A,0.96063596
GFM2,GFM2,0.9606347
FOXN1,FOXN1,0.96062946
GNAQ,GNAQ,0.96062154
HRH4,HRH4,0.9606197
GRIFIN,GRIFIN,0.9606127
NUDT19,NUDT19,0.9606116
CRYBA1,CRYBA1,0.96061003
MAVS,MAVS,0.9605909
TMC5,TMC5,0.9605877
MRI1,MRI1,0.9605826
CCBE1,CCBE1,0.960578
ZNF665,ZFP62,0.96057796
SNCA,SNCA,0.96057606
ELK3,ELK3,0.9605613
ASB10,ASB10,0.96055895
DIP2C,DIP2C,0.9605584
RIPPLY1,RIPPLY1,0.9605545
ITGAD,ITGAM,0.96053815
HS2ST1,HS2ST1,0.96053743
SPRED1,SPRED1,0.9605144
PACRGL,PACRGL,0.9605125
ITPA,ITPA,0.96051097
THUMPD3,THUMPD3,0.96050745
TAPBPL,TAPBPL,0.960501
UNC5A,UNC5A,0.96049005
FXR1,FXR1,0.9604849
ANAPC4,ANAPC4,0.96047646
ANKS1B,ANKS1B,0.9604763
CLASRP,CLASRP,0.9604733
ENTPD8,ENTPD8,0.960466
NOL12,NOL12,0.96045583
GCNT2,GCNT2,0.96045274
ZW10,ZW10,0.9604084
RBFOX3,RBFOX3,0.9604042
KNCN,KNCN,0.96039885
CCDC51,CCDC51,0.96039516
GCC2,GCC2,0.960393
ATF7IP2,ATF7IP2,0.9603866
FAM78A,FAM78A,0.9603843
PDLIM7,PDLIM7,0.960381
PROM2,PROM2,0.96038085
KLHDC8A,KLHDC8A,0.9603654
FRYL,FRYL,0.9603587
RIOK3,RIOK3,0.96035486
PSD,PSD,0.9603391
GEMIN4,GEMIN4,0.9603269
SFRP1,SFRP1,0.96032643
PHF13,PHF13,0.96029824
ASH2L,ASH2L,0.96029735
MBLAC2,MBLAC2,0.9602944
ZNF18,ZNF18,0.9602934
MAGEA8,MAGEA10,0.96028775
PRR29,PRR29,0.9602875
MAGIX,MAGIX,0.9602784
IL18R1,IL18R1,0.9602721
HOXD12,HOXD12,0.9602655
TM7SF2,TM7SF2,0.9602648
MYBBP1A,MYBBP1A,0.9602642
AURKB,AURKB,0.9602588
CXorf58,CXorf58,0.9602545
DMPK,DMPK,0.96024054
KIAA1191,KIAA1191,0.96023625
MAG,MAG,0.96023417
DPP8,DPP8,0.96022856
DCLK3,DCLK3,0.9602236
CUTC,CUTC,0.96022046
BCLAF3,BCLAF3,0.9602191
LGI3,LGI3,0.9602084
GRTP1,GRTP1,0.96020716
POLE2,POLE2,0.960206
STIM2,STIM2,0.9601987
PER3,PER2,0.96019137
PLAT,PLAT,0.9601877
DFFA,DFFA,0.96018267
KCNRG,KCNRG,0.96017575
JPH3,JPH1,0.96016425
SELENOT,SELENOT,0.96016186
LAG3,LAG3,0.9601562
ARMC12,ARMC12,0.9601466
WTIP,WTIP,0.9601397
PITX2,PITX2,0.96013135
CAMP,PMAP-36,0.9601253
ICA1,ICA1,0.96011627
RAB23,RAB23,0.96011
GRK1,GRK1,0.960109
KCNIP4,KCNIP4,0.960106
VAX1,VAX1,0.96010464
CD207,CD207,0.96009034
SARS2,SARS2,0.96008885
STX1A,STX3,0.9600882
NADK2,NADK2,0.96007866
WAS,WAS,0.960054
ZNF608,ZNF609,0.9600517
CFAP58,CFAP58,0.9600507
MANBA,MANBA,0.96004975
CHRNB2,CHRNB2,0.96004707
C1orf198,C1orf198,0.9600442
KCNK4,KCNK4,0.9600203
C7orf50,C7orf50,0.9600193
CPLANE1,CPLANE1,0.95999
ZNF45,ZNF45,0.9599794
ELP5,ELP5,0.9599739
EMG1,EMG1,0.95997137
LRRC56,LRRC56,0.95997083
GRB10,GRB10,0.959942
PPP1R15B,PPP1R15B,0.9599395
SLAIN1,SLAIN1,0.9599367
EME1,EME1,0.9599354
SPP2,SPP2,0.9599338
DMC1,DMC1,0.95992815
MST1R,MST1R,0.9599256
PDAP1,PDAP1,0.95992416
HSPB9,HSPB9,0.95992106
GRIP1,GRIP1,0.9599171
GABRA6,GABRA6,0.9599169
QPCT,QPCT,0.9599103
DCC,DCC,0.9599098
ATG2A,ATG2A,0.9598858
TMEM25,TMEM25,0.95987576
GASK1B,GASK1B,0.9598547
HOXC11,HOXC11,0.9598546
MGARP,MGARP,0.95985174
CENATAC,CENATAC,0.9598489
PSMC1,PSMC1,0.95981914
HENMT1,HENMT1,0.95980793
ESRRA,ESRRA,0.9598074
BRPF3,BRPF3,0.9598023
NUDT16,NUDT16,0.9597973
DLEU7,DLEU7,0.959779
BLVRA,BLVRA,0.9597662
AMBP,AMBP,0.9597604
NKAIN2,NKAIN2,0.959744
PHYHIPL,PHYHIPL,0.9597386
CLPS,CLPS,0.9597362
CCDC78,CCDC78,0.9597336
NUDT5,NUDT5,0.9597256
GLE1,GLE1,0.9597141
FGF23,FGF23,0.95971096
IGF2R,IGF2R,0.95966864
MGAT5B,MGAT5B,0.95966005
FAM124B,FAM124B,0.9596486
ZFAT,ZFAT,0.95964134
USP15,USP15,0.959637
ZNF674,ZNF793,0.9596324
SHPRH,SHPRH,0.95963055
EIF4E,EIF4E,0.95962834
MMP25,MMP25,0.959625
USP40,USP40,0.95959723
TMUB1,TMUB1,0.9595917
COPB2,COPB2,0.9595738
TATDN3,TATDN3,0.95955896
DTD1,DTD1,0.9595584
SERPINA1,SERPINA1,0.95955145
TAS2R40,TAS2R40,0.9595422
ERI2,ERI2,0.9595386
P4HA3,P4HA3,0.9595149
SHISA8,SHISA8,0.95950747
KCNQ2,KCNQ2,0.95949596
BRSK1,BRSK1,0.9594857
FAM189A1,ENTREP2,0.95946956
SLC15A4,SLC15A4,0.95945567
AKR1B15,AKR1B1,0.95945424
PPIL6,PPIL6,0.95945424
SLC17A1,SLC17A1,0.9594499
CIB1,CIB1,0.95942634
FCRL4,FCRL4,0.9594211
SLC8A1,SLC8A1,0.9594151
ARMC5,ARMC5,0.95940363
NR1I3,NR1I3,0.9594015
PRKCB,PRKCA,0.95937926
CPNE4,CPNE4,0.9593626
TMEM272,TMEM272,0.95935947
CLK1,CLK1,0.95933944
SEC31A,SEC31A,0.95932955
DGKZ,DGKZ,0.95932186
CCL8,CCL2,0.9593218
NADSYN1,NADSYN1,0.9593202
PPP2CA,PPP2CA,0.95931196
MTG1,MTG1,0.959306
TMEM161B,TMEM161B,0.9592831
TRIM33,TRIM33,0.95928085
SLC66A3,SLC66A3,0.959277
DEFB116,DEFB116,0.9592616
TOGARAM1,TOGARAM1,0.95925695
KCTD15,KCTD15,0.9592492
GADD45A,GADD45A,0.95924896
PRCC,PRCC,0.95923686
EPB41L1,EPB41L3,0.959234
TMA16,TMA16,0.9592213
FTL,FTL,0.95922077
TBCD,TBCD,0.9592176
GSTCD,GSTCD,0.9592116
SLCO1B1,SLCO1C1,0.9592093
CHMP6,CHMP6,0.95920366
PLPP1,PLPP1,0.95917726
PARP2,PARP2,0.95917535
DEFB128,DEFB128,0.95916605
NIPAL3,NIPAL3,0.9591455
CCSER2,CCSER2,0.9591453
RAE1,RAE1,0.9591428
PIP5K1B,PIP5K1B,0.95914096
ARHGAP33,ARHGAP33,0.95913976
LMO7,LMO7,0.959139
VBP1,VBP1,0.95913756
STX16-NPEPL1,STX16,0.9591359
MAP3K15,MAP3K15,0.95912784
RAMP1,RAMP1,0.9591062
SHCBP1,SHCBP1,0.95910585
MED28,MED28,0.9590998
OLFM2,OLFM2,0.9590745
AKT1,AKT1,0.9590682
NFAM1,NFAM1,0.95906156
PHC1,PHC1,0.9590601
MAK16,MAK16,0.9590598
ZNF358,ZNF358,0.95905626
SPG21,SPG21,0.9590562
TSNAX,TSNAX,0.9590483
TRIM68,TRIM68,0.95904684
TCEANC,TCEANC,0.9590391
SLC26A1,SLC26A1,0.9590372
NOL7,NOL7,0.9589805
SORBS1,SORBS1,0.95897937
FAM229B,FAM229B,0.95895314
CLTRN,CLTRN,0.95894414
BCL2,BCL2,0.9589238
TRAF3IP3,TRAF3IP3,0.9589194
SACS,SACS,0.9589176
CYP2J2,CYP2J34,0.9589138
SS18L1,SS18L1,0.95889485
DRD4,DRD4,0.9588914
RTN4IP1,RTN4IP1,0.9588866
GPR137B,GPR137B,0.9588702
PGA3,PGA5,0.95886993
CTSL,CTSV,0.95886445
OCSTAMP,OCSTAMP,0.95886207
ARID2,ARID2,0.9588377
ATP6V0E2,ATP6V0E2,0.9588296
SKA1,SKA1,0.9588194
NPNT,NPNT,0.9588176
ZNF587B,ZNF177,0.9588056
COPS7B,COPS7B,0.95879143
ZNF34,ZFP69B,0.95878613
TFAM,TFAM,0.9587834
CASP10,CASP10,0.95878065
LGALS8,LGALS8,0.95877707
CBX7,CBX7,0.9587682
LELP1,LELP1,0.9587657
NOXA1,NOXA1,0.9587613
ST6GALNAC4,ST6GALNAC4,0.95875597
LRCH1,LRCH1,0.958742
HMBS,HMBS,0.95873654
ERAP2,ERAP2,0.95873076
RBM38,RBM38,0.95872986
IFNA6,IFNA1,0.95872176
IFT22,IFT22,0.95871973
TMEM88,TMEM88,0.95871794
C20orf141,C20orf141,0.9587168
ARHGEF40,ARHGEF40,0.958714
IFT27,IFT27,0.95871127
ZNF593,ZNF593,0.95868254
FAM3C,FAM3C,0.9586824
AGXT2,AGXT2,0.95867217
SLC35A4,SLC35A4,0.95866865
TRAPPC2,TRAPPC2,0.9586566
KIF15,KIF15,0.95864856
SMIM19,SMIM19,0.9586414
PSMC3IP,PSMC3IP,0.9586371
BRSK2,BRSK2,0.9586326
DCXR,DCXR,0.95863056
ISLR,ISLR,0.95862025
CSTF1,CSTF1,0.9586195
PLEKHG1,PLEKHG1,0.95861465
ENTR1,ENTR1,0.9586132
METTL23,METTL23,0.95859945
SYTL2,SYTL2,0.95857996
PPP1R7,PPP1R7,0.9585566
TMEM175,TMEM175,0.9585509
UBN1,UBN1,0.95853966
PGM3,PGM3,0.95853585
TM4SF4,TM4SF4,0.95853347
FLACC1,FLACC1,0.95853245
RBM6,RBM6,0.95853174
ZNRF1,ZNRF1,0.9585316
PCMTD1,PCMTD1,0.95852125
HAPLN3,HAPLN3,0.95851785
ZIM3,ZNF684,0.9585146
BCL2L2,BCL2L2,0.95850104
YJU2,YJU2,0.95849687
NRBP1,NRBP1,0.95849
HNRNPUL1,HNRNPUL1,0.95848846
EPRS1,EPRS1,0.9584782
CYP2C9,CYP2C42,0.9584652
TSEN2,TSEN2,0.95846415
YBX3,YBX3,0.9584637
HEBP1,HEBP1,0.9584514
PTX4,PTX4,0.9584432
NKIRAS2,NKIRAS2,0.958431
DNAAF8,DNAAF8,0.9584206
FAM53A,FAM53A,0.9584129
NR2C2AP,NR2C2AP,0.9584083
IMMP1L,IMMP1L,0.95840746
GALNTL6,GALNTL6,0.9583701
FBXO17,FBXO17,0.9583676
NAPB,NAPB,0.95835876
CHST9,CHST9,0.9583583
FANK1,FANK1,0.9583443
CDH19,CDH19,0.9583373
SMLR1,SMLR1,0.9583355
B3GNT3,B3GNT3,0.95832634
RUVBL1,RUVBL1,0.9583236
DEFB129,DEFB129,0.95831954
NKX3-1,NKX3-1,0.9583179
MORN5,MORN5,0.9583176
LXN,LXN,0.958302
SEPHS2,SEPHS1,0.9582927
HESX1,HESX1,0.9582898
IDI1,IDI1,0.95828635
DPEP1,DPEP1,0.9582847
WDR76,WDR76,0.95827997
NDUFB10,NDUFB10,0.95827717
EIF4G1,EIF4G1,0.9582742
CCDC9B,CCDC9B,0.95827365
C3orf14,CEP15,0.95825666
CLEC1B,CLEC1B,0.9582349
TMEM53,TMEM53,0.9582344
GRID2,GRID2,0.9582101
AGT,AGT,0.95818925
FGF22,FGF22,0.9581793
SLC45A4,SLC45A4,0.9581741
ZNF621,ZNF621,0.95814824
BDH1,BDH1,0.95813644
USP53,USP53,0.9581339
PKM,PKM,0.9581327
PDE11A,PDE11A,0.95813036
SSR4,SSR4,0.95812535
ZNF276,ZNF276,0.9581188
DBP,DBP,0.9581064
OOSP2,OOSP2,0.95810604
MRPL37,MRPL37,0.95809317
WDR88,WDR88,0.9580929
CYP2D6,CYP2D6,0.95809263
PPP2R3A,PPP2R3A,0.9580914
SLC35C1,SLC35C1,0.9580875
SIM2,SIM2,0.95806974
BARD1,BARD1,0.958068
GEM,GEM,0.9580634
MBD4,MBD4,0.95806026
YTHDF3,YTHDF3,0.9580574
GLI3,GLI3,0.9580502
MAP3K12,MAP3K12,0.95804566
LRRC14,LRRC14,0.95803124
NOSTRIN,NOSTRIN,0.9580296
ACOX3,ACOX3,0.958028
FCRL6,FCRL6,0.9580244
VARS1,VARS1,0.9580229
PANK3,PANK3,0.9580125
LGR6,LGR6,0.9580063
REXO1,REXO1,0.95800465
COX18,COX18,0.95800036
FPGS,FPGS,0.9579966
CARD19,CARD19,0.95799065
CST7,CST7,0.9579863
TSPAN31,TSPAN31,0.9579777
KCNS3,KCNS3,0.95797694
CLEC7A,CLEC7A,0.9579753
MPDZ,MPDZ,0.95795625
ATP6V0A2,ATP6V0A2,0.95794284
MYPN,MYPN,0.9579381
AIF1,AIF1,0.9579339
AGFG2,AGFG2,0.9579323
RO60,RO60,0.95793134
ING2,ING2,0.9579306
DNAJC8,DNAJC8,0.95793056
ADAMTS13,ADAMTS13,0.9579286
THAP5,THAP5,0.9578964
REPIN1,REPIN1,0.95788854
EVL,EVL,0.95788467
TP53INP2,TP53INP2,0.9578841
SMIM10L1,SMIM10L1,0.95788336
BRD8,BRD8,0.95786774
DPY19L3,DPY19L3,0.95786715
ILVBL,ILVBL,0.9578609
RER1,RER1,0.95785016
UBQLNL,UBQLNL,0.9578472
CERS4,CERS4,0.95783293
ESYT1,ESYT1,0.95781636
SIGLEC15,SIGLEC15,0.95779765
PXK,PXK,0.9577955
GUCA2A,GUCA2A,0.95779234
HSPB11,IFT25,0.9577652
GRHL1,GRHL1,0.9577623
CCDC59,CCDC59,0.9577598
CDK2AP1,CDK2AP1,0.9577543
INTS2,INTS2,0.9577403
FSCN1,FSCN1,0.9577368
KIF20A,KIF20A,0.9577349
SEPTIN11,SEPTIN11,0.9577329
EPX,EPX,0.95773107
DPYSL5,DPYSL5,0.9577104
SYT12,SYT12,0.95770276
BICDL1,BICDL1,0.9576921
DMAC1,DMAC1,0.9576918
NPC2,NPC2,0.9576809
VAMP8,VAMP8,0.9576779
BCL7C,BCL7C,0.9576419
RPS6KA2,RPS6KA2,0.9576357
NPHP4,NPHP4,0.9576136
ALMS1,ALMS1,0.95759016
ZMYM3,ZMYM3,0.9575842
OTOA,OTOA,0.9575784
ARRDC4,ARRDC4,0.9575751
MRPS18A,MRPS18A,0.95755357
CDKL5,CDKL5,0.95754415
PLA2G10,PLA2G10,0.95753855
UBE3A,UBE3A,0.9575385
LYRM1,LYRM1,0.9575342
RGS19,RGS19,0.95753384
ICAM5,ICAM5,0.9575235
CD274,CD274,0.9575172
STK19,STK19,0.95750344
PRTFDC1,PRTFDC1,0.9574927
PLAAT1,PLAAT1,0.95749164
FRMPD2,FRMPD2,0.95748687
SHF,SHF,0.9574769
LRRC9,LRRC9,0.9574728
TMEM185A,TMEM185A,0.9574259
RSPH9,RSPH9,0.9574235
ARHGAP5,ARHGAP5,0.9574004
RPP38,RPP38,0.95739245
VPS41,VPS41,0.95738375
EFHD1,EFHD1,0.95738274
KCNH1,KCNH1,0.9573718
CHKA,CHKA,0.95736706
NDUFS6,NDUFS6,0.9573668
ADH5,ADH5,0.9573657
ELAPOR2,ELAPOR2,0.9573616
MRPL43,MRPL43,0.9573597
CD1C,CD1E,0.95735824
TRIR,TRIR,0.9573512
SSX2IP,SSX2IP,0.9573462
ZNRD2,ZNRD2,0.95734173
MOSPD2,MOSPD2,0.95734066
ZNF197,ZNF197,0.95734066
CARD10,CARD10,0.95732844
RALY,RALY,0.95732826
SPINK1,SPINK1,0.95732325
DHX35,DHX35,0.9573174
TMEM209,TMEM209,0.9573158
HJV,HJV,0.9572952
BSND,BSND,0.957286
SLC30A2,SLC30A2,0.9572808
LAMB4,LAMB4,0.95727265
DDX46,DDX46,0.9572716
ADAMTS5,ADAMTS5,0.9572608
LARP7,LARP7,0.957248
MYO1A,MYO1A,0.95723426
