microcebus gene name,human gene name,correlation
GLIPR1L2,GLIPR1L2,0.96851933
ADGRB2,ADGRB2,0.9685119
GRB14,GRB14,0.96850985
RPL18A,RPL18A,0.96850985
TATDN1,TATDN1,0.96849835
SLC25A12,SLC25A13,0.96849626
KCNJ13,KCNJ13,0.96849483
ZSCAN16,ZSCAN9,0.9684938
BTAF1,BTAF1,0.9684919
SPMAP2L,THEGL,0.9684632
MLLT6,MLLT6,0.96845937
C6orf136,C6orf136,0.96844685
SRRT,SRRT,0.9684272
BRD1,BRD1,0.9684135
DLD,DLD,0.96840733
CNPY2,CNPY2,0.96840644
PIM2,PIM2,0.9683995
USP29,USP26,0.9683886
TACR2,TACR2,0.9683685
CYB5R1,CYB5R1,0.9683682
QSOX2,QSOX2,0.96835935
DENND6A,DENND6A,0.968356
ATP1A1,ATP1A1,0.96835357
MTRFR,MTRFR,0.96835196
CENPH,CENPH,0.96834964
ANKHD1,ANKHD1,0.96833605
IL22RA2,IL22RA2,0.9683282
TARS3,TARS3,0.9683012
LSS,LSS,0.9682778
C4orf17,C4orf17,0.96826845
RNF4,RNF4,0.96825325
TCF20,TCF20,0.96825135
COL16A1,COL16A1,0.96823865
DNAJB5,DNAJB5,0.9682379
GYG2,GYG2,0.9682353
CEP162,CEP162,0.9682343
MTUS1,MTUS1,0.96822476
DPYSL2,DPYSL2,0.968222
FBXL20,FBXL20,0.96821016
GFRA4,GFRA4,0.96820676
MTAP,MTAP,0.96820563
GRIA4,GRIA2,0.9681975
KLK5,KLK5,0.9681812
MGST2,MGST2,0.9681759
MAP2,MAP2,0.9681487
ZFP28,ZNF311,0.9681424
ZYX,ZYX,0.9681387
FUT10,FUT10,0.96813637
IL17F,IL17F,0.9681332
VLDLR,LDLR,0.9681318
SPHK2,SPHK2,0.96813047
PLAAT3,PLAAT2,0.968128
SIX5,SIX5,0.96812314
CASP6,CASP6,0.9681196
PDLIM3,PDLIM3,0.9681148
NLRP4,NLRP13,0.9681145
REEP4,REEP4,0.9681117
CEP192,CEP192,0.96810246
CCDC154,CCDC154,0.96810025
CPN1,CPN1,0.96809286
CYP8B1,CYP8B1,0.9680786
SLC12A6,SLC12A6,0.9680628
EPCAM,EPCAM,0.96806216
FAT4,FAT4,0.96801955
PC,PC,0.9680119
HARS1,HARS1,0.96800613
KLF3,KLF3,0.9680007
ZRSR2,ZRSR2,0.9679981
SLC16A5,SLC16A5,0.9679906
METTL26,METTL26,0.9679881
CTDP1,CTDP1,0.9679735
CTSV,CTSL,0.96797055
MELK,MELK,0.96796846
TMPRSS7,TMPRSS7,0.96793884
CMTM7,CMTM7,0.96792465
ZYG11A,ZYG11A,0.9679151
CD83,CD83,0.9679122
LAT,LAT,0.9679078
GSG1,GSG1,0.9678949
CMA1,CMA1,0.9678906
ZNF567,ZNF253,0.9678885
EP400,EP400,0.96788836
PPP1R9A,PPP1R9A,0.96787184
CYYR1,CYYR1,0.96787024
IL12A,IL12A,0.96785843
GNL1,GNL1,0.96785307
ADAM33,ADAM33,0.9678467
PLSCR3,PLSCR3,0.96783835
ZNF326,ZNF326,0.9678298
MCRIP1,MCRIP1,0.96781725
ROS1,ROS1,0.96781665
PUS7L,PUS7L,0.96781147
SIPA1L1,SIPA1L1,0.96779764
CRADD,CRADD,0.9677946
KHNYN,KHNYN,0.9677903
FGL2,FGL2,0.9677865
PCDHA12,PCDHA6,0.9677712
C2orf78,C2orf78,0.9677709
LIN7B,LIN7B,0.9677659
VIM,VIM,0.9677587
ARMC3,ARMC3,0.9677469
SERPINB10,SERPINB10,0.96774495
MVB12A,MVB12A,0.96772796
GPR50,GPR50,0.96772146
TMCO1,TMCO1,0.96771604
MAP3K15,MAP3K15,0.9677127
LGR6,LGR6,0.9676686
ARHGAP33,ARHGAP33,0.9676632
F13B,F13B,0.96765584
ADAM15,ADAM15,0.9676338
NOXRED1,NOXRED1,0.9676247
C1orf198,C1orf198,0.96762186
KCNJ11,KCNJ11,0.96762127
IVNS1ABP,IVNS1ABP,0.967616
CAPN2,CAPN2,0.9676126
MAP4K5,MAP4K5,0.9676113
GOLGA3,GOLGA3,0.9676099
MYL12A,MYL12A,0.96759063
ZNF518B,ZNF518A,0.9675896
GIP,GIP,0.96757644
KPNB1,KPNB1,0.9675722
ASGR2,ASGR2,0.96757215
HM13,HM13,0.96756124
RAE1,RAE1,0.9675597
CALHM4,CALHM4,0.967528
CDKL3,CDKL3,0.96752435
TEX13B,TEX13B,0.96750695
SPATA6,SPATA6,0.96750623
ZSCAN30,ZKSCAN8,0.9675052
CD109,CD109,0.9675039
MAZ,MAZ,0.967497
DEFB134,DEFB134,0.96749693
FAT2,FAT2,0.9674947
VNN2,VNN1,0.96748513
SPINK5,SPINK5,0.9674798
SPRTN,SPRTN,0.96747684
ADD2,ADD2,0.9674616
JPT2,JPT2,0.9674606
KIR3DL3,KIR2DS3,0.967458
MRPS18A,MRPS18A,0.96744263
PSMB5,PSMB5,0.967436
FAM47E,FAM47E,0.96743155
SLAMF8,SLAMF8,0.9674124
PLA2G2C,PLA2G2C,0.9674068
JUNB,JUNB,0.9673977
MLF2,MLF2,0.96738774
SLC25A26,SLC25A26,0.9673756
FAM162B,FAM162B,0.96737516
ARFGAP1,ARFGAP1,0.9673687
PSMC5,PSMC5,0.9673678
C1QTNF7,C1QTNF7,0.9673606
NUP214,AIF1L,0.96735054
TAF7L,TAF7L,0.9673454
TELO2,TELO2,0.9673428
SNRNP48,SNRNP48,0.96734035
DUOX1,DUOX1,0.96733564
ZNF3,ZNF3,0.96732885
LZTS1,LZTS1,0.9673015
CD99L2,CD99L2,0.96729815
VSIG4,VSIG4,0.9672912
KIF11,KIF11,0.9672764
SDR39U1,SDR39U1,0.96727574
ADAR,ADAR,0.96726805
RNPEP,RNPEP,0.9672677
VPS51,VPS51,0.9672606
IARS1,IARS1,0.96725506
APOC4,APOC4-APOC2,0.96725494
DNAI3,DNAI3,0.967254
METRNL,METRNL,0.9672527
AP5S1,AP5S1,0.9672346
APBA3,APBA3,0.96723187
TSC22D4,TSC22D4,0.9672263
CXXC4,CXXC4,0.96722436
MMP11,MMP11,0.9672215
LRP2,LRP2,0.9672017
TRIM60,TRIM75P,0.9672015
ENTPD5,ENTPD5,0.9671928
ABCC8,ABCC8,0.9671896
ZNF317,ZNF557,0.96716875
FARP1,FARP1,0.96715444
HORMAD2,HORMAD2,0.967146
SPMIP9,TEX37,0.9671359
TTC16,TTC16,0.9671304
SUMF2,SUMF2,0.96712434
RALY,RALY,0.9671189
SLC12A4,SLC12A7,0.96709317
IDH1,IDH1,0.9670856
MGMT,MGMT,0.9670854
ZFP90,ZNF684,0.9670802
ACADSB,ACADSB,0.9670651
ZNF382,ZNF334,0.96705896
ADAM10,ADAM10,0.9670588
NFKBIB,NFKBIB,0.96705675
NSD1,NSD1,0.96705174
ZNF10,ZNF37A,0.96704733
DENND4B,DENND4B,0.96704155
ING4,ING4,0.9670393
HAUS6,HAUS6,0.96703887
AAMDC,AAMDC,0.9670333
ARHGAP22,ARHGAP22,0.9670006
GUCA2A,GUCA2A,0.9670001
BCKDHB,BCKDHB,0.9669881
ZNF644,ZNF644,0.9669875
PP2D1,PP2D1,0.9669809
SFRP4,SFRP4,0.9669803
ANO8,ANO8,0.96698004
DYNC1H1,DYNC1H1,0.96697396
SFTPD,SFTPD,0.9669735
POP1,POP1,0.9669657
GADL1,GADL1,0.96695614
TMEM254,TMEM254,0.966954
NET1,NET1,0.96694964
OR14K1,OR14K1,0.9669353
DEAF1,DEAF1,0.96692425
ZNF750,ZNF750,0.9669209
OR9A1P,OR9A4,0.9669134
DHDH,DHDH,0.9669128
MYD88,MYD88,0.9668849
CFAP54,CFAP54,0.9668815
C11orf42,C11orf42,0.966876
HTR2A,HTR2A,0.9668685
BDKRB1,BDKRB1,0.96685624
DIPK2A,DIPK2A,0.9668401
PAX9,PAX9,0.9668343
CENPM,CENPM,0.966832
PCIF1,PCIF1,0.96683115
VNN1,VNN2,0.966829
STAM,STAM2,0.9668254
ZSCAN25,ZSCAN25,0.96682274
SORBS3,SORBS3,0.9668058
TEX264,TEX264,0.96680397
ZNF283,ZNF571,0.9667939
HTR2C,HTR2C,0.9667815
FGF22,FGF22,0.9667678
SLC35E3,SLC35E3,0.9667634
SLC17A4,SLC17A4,0.96673983
ZGLP1,ZGLP1,0.9667378
PVALEF,PVALEF,0.96673596
RDX,RDX,0.96672475
PDLIM5,PDLIM5,0.96669716
ACY3,ACY3,0.9666943
TEX46,TEX46,0.9666872
CEP68,CEP68,0.966681
OGG1,OGG1,0.9666753
MFSD11,MFSD11,0.9666749
PRPH,PRPH,0.9666727
LAYN,LAYN,0.96666735
GPR162,GPR162,0.9666554
DEFB118,DEFB118,0.9666326
IGFBP1,IGFBP1,0.9666144
GSTA4,GSTA4,0.9666066
SLC30A10,SLC30A10,0.96659726
KLHL8,KLHL8,0.96659595
FAM135A,FAM135A,0.966587
DGKE,DGKE,0.96658075
GLDN,GLDN,0.96656305
FANK1,FANK1,0.96655965
SLC30A6,SLC30A6,0.9665499
CD6,CD6,0.9665463
HDAC1,HDAC1,0.9665462
PLEKHG3,PLEKHG3,0.9665356
C11orf16,C11orf16,0.9665293
DNASE1L3,DNASE1L3,0.96652865
SLC14A1,SLC14A1,0.96652406
LCORL,LCORL,0.96650076
HAGHL,HAGHL,0.9664895
SIRT7,SIRT7,0.96647745
C17orf107,C17orf107,0.96647614
EXPH5,EXPH5,0.9664692
HOPX,HOPX,0.9664579
RICTOR,RICTOR,0.9664564
PRLH,PRLH,0.96645516
HSPB9,HSPB9,0.9664532
PHGR1,PHGR1,0.9664497
BMPR2,BMPR2,0.9664416
DUXA,DUXA,0.96643233
EPS15L1,EPS15L1,0.9664313
PEX5L,PEX5L,0.9664101
SLC13A5,SLC13A5,0.9664075
ASH2L,ASH2L,0.96639955
LAMB4,LAMB4,0.96637565
TMPRSS12,TMPRSS12,0.9663582
MST1R,MST1R,0.9663567
CD1B,CD1A,0.9663489
PLEKHJ1,PLEKHJ1,0.96634585
SGIP1,SGIP1,0.96631676
MRAS,MRAS,0.96631646
PHYH,PHYH,0.96631575
AGBL3,AGBL3,0.9663109
DAP3,DAP3,0.96630716
SEM1,SEM1,0.96627563
SDR42E1,SDR42E1,0.96627235
ZC3H18,ZC3H18,0.966265
SMARCA2,SMARCA4,0.966264
ABCE1,ABCE1,0.96626014
CYP2D8,CYP2D6,0.96625495
MEIS2,MEIS2,0.96623397
ELAVL3,ELAVL3,0.9662326
SLC25A30,SLC25A14,0.9662226
ZNF646,ZNF646,0.96620333
METTL23,METTL23,0.9661765
CCL27,CCL27,0.9661701
MRPL11,MRPL11,0.9661547
LMO7,LMO7,0.9661437
CIZ1,CIZ1,0.96614134
VPS45,VPS45,0.966141
GATA5,GATA5,0.9661405
MYO19,MYO19,0.9661306
SPIC,SPIC,0.96612984
GIMAP4,GIMAP4,0.9661295
CLDN15,CLDN15,0.96611816
SULT4A1,SULT4A1,0.9661176
SGTA,SGTA,0.9661158
VPREB1,VPREB1,0.9661115
TNFSF13B,TNFSF13B,0.9660982
SDC2,SDC2,0.96608907
NFATC2,NFATC2,0.9660889
SPDYA,SPDYA,0.9660874
GC,GC,0.9660772
ABCC12,ABCC12,0.9660654
PRPF8,PRPF8,0.96605974
PRRG1,PRRG1,0.9660579
C1orf141,C1orf141,0.9660551
MROH9,MROH9,0.96605194
COX7A2,COX7A2,0.96603113
PRDX4,PRDX4,0.96602106
MTR,MTR,0.9660124
TTC8,TTC8,0.9660074
SMLR1,SMLR1,0.9660026
ZSCAN9,ZSCAN16,0.9659809
ZNF514,ZNF41,0.96596843
CLASRP,CLASRP,0.9659518
ARRDC5,ARRDC5,0.9659469
EPRS1,EPRS1,0.96594393
PRDM9,PRDM9,0.9659405
KCNE4,KCNE4,0.9659042
MBP,MBP,0.9658896
CARD9,CARD9,0.9658735
CHP1,CHP1,0.965873
PRDM16,PRDM16,0.9658631
FOLR2,FOLR2,0.9658623
IL17A,IL17A,0.96586186
LRG1,LRG1,0.9658613
ITIH2,ITIH2,0.9658536
ND3,MT-ND3,0.96585274
LY6L,LY6L,0.96584177
CST8,CST8,0.96583664
NPAS3,NPAS3,0.965836
ADCYAP1,ADCYAP1,0.9658349
PRAP1,PRAP1,0.96582377
NDEL1,NDEL1,0.96582365
DOK7,DOK7,0.965815
IRF3,IRF3,0.9658015
FGFR1,FGFR1,0.965784
ITPR1,ITPR1,0.96578115
SETD4,SETD4,0.96577466
RNASE12,RNASE12,0.9657737
IFI6,IFI6,0.9657594
SYT4,SYT4,0.96575457
SPATA19,SPATA19,0.96574116
HMCN2,HMCN2,0.9657257
DERL3,DERL3,0.96572214
SSMEM1,SSMEM1,0.9657151
TRIM25,TRIM25,0.96571016
GBX2,GBX2,0.9656827
CRISP2,CRISP3,0.9656769
MTCL1,MTCL1,0.96567017
KHDC3L,KHDC3L,0.9656631
LIPJ,LIPJ,0.96565914
TMEM252,TMEM252,0.9656452
GIMAP1,GIMAP1,0.9656422
KCNRG,KCNRG,0.96563685
CLTC,CLTCL1,0.9656362
FREM1,FREM1,0.9656352
TMEM175,TMEM175,0.9656343
POGK,POGK,0.9656274
NXNL2,NXNL2,0.9656002
BCAS4,BCAS4,0.9655937
RNMT,RNMT,0.9655921
ASNS,ASNS,0.965574
ICAM2,ICAM2,0.96555823
AADACL4,AADACL4,0.9655552
MPI,MPI,0.96555054
FLT1,FLT1,0.9655418
MSH5,MSH5,0.965537
ZNF684,ZNF722P,0.96553004
PLEKHA7,PLEKHA7,0.9655147
NECAP2,NECAP2,0.9655138
ITGB1BP1,ITGB1BP1,0.9655134
CFAP70,CFAP70,0.96551114
EVC2,EVC2,0.9655081
NAT16,NAT16,0.96550304
DGCR8,DGCR8,0.9655001
TRIQK,TRIQK,0.96549726
RUFY2,RUFY2,0.96548676
STBD1,STBD1,0.9654825
ERI2,ERI2,0.9654807
MYOZ2,MYOZ2,0.9654795
KLF13,KLF13,0.9654718
SMIM10L3,SMIM10,0.9654715
PAFAH2,PAFAH2,0.9654529
ND2,MT-ND2,0.96544725
EIF2B2,EIF2B2,0.9654266
CCL5,CCL5,0.9654245
ST3GAL3,ST3GAL3,0.965424
DHCR7,DHCR7,0.9654212
BPIFA2,BPIFA2,0.96542096
GNRHR,GNRHR,0.9654208
E2F4,E2F4,0.9654203
ACSM1,ACSM1,0.9654104
CAMLG,CAMLG,0.96541
TANGO2,TANGO2,0.9653793
COL25A1,COL25A1,0.96537817
TMEM63B,TMEM63B,0.96537715
CCL24,CCL24,0.96536934
RAD9B,RAD9B,0.96536255
SPINK7,SPINK7,0.9653195
KIAA0586,KIAA0586,0.9653165
SH2D1A,SH2D1A,0.9653109
DMAC2L,DMAC2L,0.9652992
SIRPB2,SIRPB2,0.9652936
SPG11,SPG11,0.9652773
KDM6B,KDM6B,0.96527636
ZSCAN2,ZSCAN2,0.9652554
AEN,AEN,0.9652381
ABR,ABR,0.9652326
SLCO1C1,SLCO1B1,0.96516937
APOC3,APOC3,0.9651367
BMF,BMF,0.96513146
NDUFA10,NDUFA10,0.96513134
APOM,APOM,0.96512973
TFF1,TFF1,0.9651134
NDUFB10,NDUFB10,0.9651055
MMP25,MMP25,0.96510464
FBL,FBL,0.9650906
NAA40,NAA40,0.9650844
CACNA1A,CACNA1A,0.96507025
PGM2,PGM2L1,0.9650333
SFTPB,SFTPB,0.96501815
C16orf96,C16orf96,0.96500564
CYLC2,CYLC2,0.9649962
HRH4,HRH4,0.9649945
CCNI2,CCNI2,0.9649853
DHX32,DHX32,0.96497965
CDK12,CDK12,0.96497554
UBA5,UBA5,0.96496725
MTMR7,MTMR7,0.9649634
RUFY1,RUFY1,0.96495754
YBX2,YBX2,0.96495074
TMEM181,TMEM181,0.9649459
VSIG10L,VSIG10L,0.9649367
TBC1D7,TBC1D7,0.96493477
R3HCC1,R3HCC1,0.9649318
PRELID3A,PRELID3A,0.96491
UBE2Q2,UBE2Q2,0.9649073
EGLN3,EGLN3,0.96490204
TXNDC8,TXNDC8,0.9648899
CSDC2,CARHSP1,0.9648897
EMID1,EMID1,0.9648893
MORN3,MORN3,0.96488535
INTS15,C7orf26,0.9648731
NFKB2,NFKB2,0.9648707
ALDOB,ALDOB,0.9648598
VPREB3,VPREB3,0.964833
REM2,REM2,0.96479076
CREB3L4,CREB3L4,0.9647876
C20orf141,C20orf141,0.96478546
TNFRSF18,TNFRSF18,0.96478224
HIP1R,HIP1R,0.96476305
MIEF2,MIEF2,0.96475494
SPINT4,SPINT4,0.9647536
CES5A,CES5A,0.9647512
DEFB116,DEFB116,0.96475077
TRIP11,TRIP11,0.964737
WBP2NL,WBP2NL,0.96471155
NT5C3A,NT5C3A,0.9646949
BLOC1S1,BLOC1S1,0.96468157
CHD2,CHD2,0.9646765
PLEKHN1,PLEKHN1,0.96467435
DEFB128,DEFB128,0.96466434
PRKAG3,PRKAG3,0.9646631
OPTN,OPTN,0.9646593
ZNF660,ZNF501,0.9646566
PRCP,PRCP,0.9646409
E2F7,E2F7,0.96462685
SLC4A4,SLC4A4,0.9645903
PAXIP1,PAXIP1,0.9645814
RBBP7,RBBP7,0.9645758
ZNF770,ZNF770,0.9645707
FBXL12,FBXL12,0.9645566
CAMTA2,CAMTA2,0.964543
OR4Q2,OR4D5,0.9645258
GSTZ1,GSTZ1,0.9645197
RWDD4,RWDD4,0.9644967
BTLA,BTLA,0.9644858
FETUB,FETUB,0.9644817
RPL36,RPL36,0.96446943
CCDC201,CCDC201,0.9644488
TBCD,TBCD,0.96444756
NUDT18,NUDT18,0.96443933
OPHN1,OPHN1,0.96443254
TATDN2,TATDN2,0.96442854
PNLIPRP2,PNLIPRP2,0.96442205
ATP10A,ATP10A,0.96441734
NOLC1,NOLC1,0.9644023
GPSM1,GPSM1,0.96439743
TNKS,TNKS,0.9643965
C15orf61,C15orf61,0.964396
NNT,NNT,0.9643871
TMEM25,TMEM25,0.96438473
ALG5,ALG5,0.9643771
TMEM198,TMEM198,0.9643718
HELZ2,HELZ2,0.9643689
IDO2,IDO2,0.96436256
OSBPL2,OSBPL2,0.96435827
HOXD12,HOXD12,0.9643381
LY96,LY96,0.96433324
ERBB3,ERBB3,0.9643227
HMMR,HMMR,0.9643129
EMC2,EMC2,0.96428573
FBXO45,FBXO45,0.9642776
CD244,CD244,0.96427417
SHANK1,SHANK1,0.9642689
PLEKHO1,PLEKHO1,0.9642608
ESCO1,ESCO1,0.9642423
CRYBA1,CRYBA1,0.9642385
OXA1L,OXA1L,0.96422946
RPP40,RPP40,0.96422464
FGF20,FGF20,0.96421486
MS4A18,MS4A18,0.9642129
WNK1,WNK1,0.9642078
TMEM38B,TMEM38B,0.96419173
RPL8,RPL8,0.96416324
PEX14,PEX14,0.9641524
FAM210A,FAM210A,0.96415025
ZKSCAN8,ZSCAN12,0.9641433
SMARCAD1,SMARCAD1,0.9641419
FGF23,FGF23,0.96412337
POU2F3,POU2F3,0.96412075
NTMT1,NTMT1,0.9641135
DCAF12,DCAF12,0.9641106
PDCD6,PDCD6,0.9641071
DESI2,DESI2,0.96409595
ZNF875,ZNF337,0.9640947
ANAPC1,ANAPC1,0.96408486
ADCY3,ADCY3,0.9640819
DRD2,DRD2,0.9640656
APPBP2,APPBP2,0.9640574
THAP3,THAP3,0.9640518
HMX1,HMX1,0.9640477
GNAI1,GNAI1,0.9640326
HMGCL,HMGCL,0.9640238
SLC25A27,SLC25A27,0.96402276
FOXK2,FOXK2,0.96399826
TTC22,TTC22,0.9639804
ARPC4,ARPC4,0.9639768
ZIC4,ZIC4,0.96397585
NDUFA4,NDUFA4,0.96396923
RPS6KB1,RPS6KB1,0.9639662
AMFR,AMFR,0.963963
CLYBL,CLYBL,0.9639507
RO60,RO60,0.9639224
SLC25A22,SLC25A22,0.9638974
AKR1A1,AKR1A1,0.96389586
SSH3,SSH3,0.9638949
RCAN1,RCAN1,0.96388537
IL12RB2,IL12RB2,0.96386814
SLC30A7,SLC30A7,0.96385914
FBXO44,FBXO44,0.9638518
KANSL2,KANSL2,0.9638333
SCN7A,SCN7A,0.96382713
GALNT10,GALNT10,0.96381336
PSEN2,PSEN2,0.9638122
NKAIN2,NKAIN2,0.9638093
RNF170,RNF170,0.9638053
CST3,CST3,0.9638049
IQCE,IQCE,0.9638019
IL10,IL10,0.96379846
CTSC,CTSC,0.9637873
RBMS2,RBMS2,0.9637728
TTC21A,TTC21A,0.9637699
DZIP3,DZIP3,0.9637652
TRIOBP,TRIOBP,0.96376324
CNOT11,CNOT11,0.9637467
IL33,IL33,0.9637295
RNF135,RNF135,0.96372426
IL36G,IL36A,0.9637222
C1QTNF5,C1QTNF5,0.9637188
TAB2,TAB2,0.9637102
CD207,CD207,0.9637079
STXBP6,STXBP6,0.96370554
MCEMP1,MCEMP1,0.9637026
JCHAIN,JCHAIN,0.96369267
ITIH1,ITIH1,0.96369255
GSR,GSR,0.9636908
APC,APC,0.963667
PLEKHB1,PLEKHB1,0.9636657
KHDRBS3,KHDRBS3,0.96365047
UQCR10,UQCR10,0.96364945
INSYN1,INSYN1,0.9636482
MATN4,MATN4,0.96364546
DNASE2B,DNASE2B,0.9636331
SHISA8,SHISA8,0.9636315
ADGRG6,ADGRG6,0.9636034
OTOA,OTOA,0.96360177
TINCR,TINCR,0.9635999
DNAJC13,DNAJC13,0.9635925
LMTK3,LMTK3,0.96358925
SHARPIN,SHARPIN,0.9635837
CHN2,CHN2,0.96356755
IL17RB,IL17RB,0.9635645
LRRTM4,LRRTM4,0.96355593
MTMR1,MTMR1,0.9635515
SNRPA1,SNRPA1,0.96349734
RAD51B,RAD51B,0.9634936
ZNF658,ZNF92,0.96348935
PLPP1,PLPP1,0.963488
DDX31,DDX31,0.9634864
SLC51B,SLC51B,0.9634851
MED24,MED24,0.96346354
OS9,OS9,0.96345955
SH2B1,SH2B1,0.9634512
NLRP12,NLRP12,0.96344924
RETN,RETN,0.9634425
AFG1L,AFG1L,0.9634367
ZNF620,ZNF674,0.96341896
PLAU,PLAU,0.9634145
FBXO24,FBXO24,0.96341354
DDX56,DDX56,0.9634127
GAD1,GAD1,0.9633925
RAB40C,RAB40C,0.96339095
DNAJB2,DNAJB2,0.9633804
PSD,PSD,0.9633659
GREB1L,GREB1L,0.9633632
ENPP6,ENPP6,0.963349
ZNF800,ZNF800,0.9633414
GOSR2,GOSR2,0.96333915
SPMIP6,C9orf24,0.96333665
AR,AR,0.9633289
DTWD1,DTWD1,0.963328
GRXCR2,GRXCR2,0.9633193
HSD17B6,HSD17B6,0.9633103
VPS13A,VPS13A,0.96329725
COPA,COPA,0.96327347
UTP23,UTP23,0.9632672
CHD4,CHD4,0.9632606
PHOSPHO1,PHOSPHO1,0.96325356
CAMSAP2,CAMSAP2,0.9632247
NQO2,NQO2,0.9632182
DDO,DDO,0.96321255
FZR1,FZR1,0.96320486
GCLC,GCLC,0.9632031
LOXL1,LOXL1,0.9631993
GP1BB,GP1BB,0.96319765
SNED1,SNED1,0.9631797
PNPLA3,PNPLA3,0.9631745
TMEM68,TMEM68,0.96317333
KIAA0232,KIAA0232,0.9631716
CYRIA,CYRIA,0.9631655
NEK1,NEK1,0.9631645
PARP14,PARP14,0.9631365
SLC5A11,SLC5A11,0.96313554
SYVN1,SYVN1,0.9631218
IQCD,IQCD,0.96311927
TIMM50,TIMM50,0.96311384
USP5,USP5,0.96311206
DACT2,DACT2,0.9630972
SLC25A48,SLC25A48,0.96309173
CSF3,CSF3,0.963085
MUS81,MUS81,0.9630605
DCBLD2,DCBLD2,0.96305656
ATF6,ATF6,0.963055
DLST,DLST,0.96305245
NDRG2,NDRG2,0.9630476
BAIAP2,BAIAP2,0.9630419
CHI3L2,CHI3L2,0.9630323
SLMAP,SLMAP,0.9630317
FSCN1,FSCN1,0.96303165
TKT,TKT,0.9630292
CCNT2,CCNT2,0.9630226
SHPRH,SHPRH,0.9630105
KCNK4,KCNK4,0.9629764
TAPBPL,TAPBPL,0.96295
ENAH,ENAH,0.9629429
HOXD8,HOXD8,0.9629393
KDM5B,KDM5D,0.96293366
CLEC1B,CLEC1B,0.9629317
ABCC11,ABCC11,0.96292937
PFDN1,PFDN1,0.96292925
UCK1,UCK2,0.96292126
CPEB1,CPEB1,0.962917
CEP131,CEP131,0.9629116
SNX2,SNX2,0.96290326
SPATS2L,SPATS2L,0.9628918
PIK3CB,PIK3CB,0.962891
RAB31,RAB22A,0.9628847
PHYHIPL,PHYHIPL,0.9628841
CD200,CD200,0.9628707
SRCAP,SRCAP,0.9628671
SH3BGR,SH3BGR,0.9628632
JPH1,JPH3,0.9628596
VSIG1,VSIG1,0.96285653
TAF3,TAF3,0.96284485
IPO5,IPO5,0.9628434
ADAD2,ADAD2,0.9628361
UBR5,UBR5,0.9628285
MICAL1,MICAL1,0.96282536
RPL27,RPL27,0.9628176
ARHGEF1,ARHGEF1,0.9628143
LCT,LCT,0.96279585
RRH,RRH,0.9627884
DEFB136,DEFB136,0.9627818
KIF23,KIF23,0.9627783
MIB2,MIB2,0.96277285
C2orf66,C2orf66,0.9627587
CD160,CD160,0.9627545
ALDH3A1,ALDH3A1,0.96274775
TMED10,TMED10,0.9627335
SFXN5,SFXN5,0.9627331
GAD2,GAD2,0.96272826
EGFR,EGFR,0.96272093
RHOJ,RHOJ,0.9626855
CXCL16,CXCL16,0.96268487
DACT1,DACT1,0.9626842
MXD3,MXD3,0.9626749
CPNE5,CPNE5,0.9626745
NCOR1,NCOR2,0.9626639
TBCEL,TBCEL,0.96265054
FLOT1,FLOT1,0.96264637
KCNJ9,KCNJ9,0.9626375
VMA21,VMA21,0.96262395
JAM2,JAM2,0.9626176
ZNF502,ZNF502,0.96259797
ZNF41,ZNF727,0.96259755
PPIL6,PPIL6,0.96259445
TASP1,TASP1,0.96259
RAB40B,RAB40AL,0.96256024
KIF13A,KIF13A,0.9625488
GABRA6,GABRA6,0.9625371
NAAA,NAAA,0.96253014
TTC3,TTC3,0.9625239
ATRAID,ATRAID,0.9625226
TMTC2,TMTC2,0.96251065
PRSS55,PRSS55,0.96249866
GEM,GEM,0.9624964
SYMPK,SYMPK,0.96248794
SNX30,SNX30,0.9624834
SMIM19,SMIM19,0.96247953
DBI,DBI,0.9624674
ISLR,ISLR,0.9624648
CDKAL1,CDKAL1,0.9624619
DNAH2,DNAH2,0.96245074
CRYL1,CRYL1,0.962444
GRTP1,GRTP1,0.96244234
CBLN3,CBLN3,0.9624275
DEFB121,DEFB121,0.9623928
RREB1,RREB1,0.9623868
MREG,MREG,0.9623843
CALML4,CALML4,0.9623795
CD84,CD84,0.96237844
CFAP20,CFAP20,0.9623693
MYL4,MYL4,0.96236914
CNN2,CNN2,0.9623584
SS18L1,SS18L1,0.96235514
KLB,KLB,0.96235293
IGDCC3,IGDCC3,0.96235055
MYO1B,MYO1B,0.9623465
SYPL1,SYPL1,0.9623415
PXK,PXK,0.9623305
LDHC,LDHC,0.962329
TATDN3,TATDN3,0.9623097
DNAAF8,DNAAF8,0.9623087
NFS1,NFS1,0.96230817
PCYT2,PCYT2,0.96230567
TIGIT,TIGIT,0.9622974
DNAJC21,DNAJC21,0.96229005
BNIP5,BNIP5,0.9622853
ESM1,ESM1,0.96228135
NEDD4,NEDD4,0.96227664
ITGA2B,ITGA2B,0.9622727
TLX1,TLX1,0.96227133
LRRC56,LRRC56,0.9622659
NXPE4,NXPE4,0.96226555
NDST2,NDST2,0.962264
ASB9,ASB9,0.9622413
HPGD,HPGD,0.96222955
RAB8B,RAB8B,0.96222436
TCEA1,TCEA1,0.96221745
AP3B1,AP3B1,0.9621992
TTI2,TTI2,0.96219677
BRSK2,BRSK2,0.9621841
FOXN1,FOXN1,0.96217877
BRCA1,BRCA1,0.9621664
