Gene name,Chimpanzee gene name
OGT,OGT
RN7SL663P,Metazoa_SRP
SPINT2,SPINT2
RNU6-574P,U6
TAMALIN,TAMALIN
EHBP1,EHBP1
BORCS7,BORCS7
RPS6KA6,RPS6KA6
AIDA,AIDA
PMP2,PMP2
ZBED4,ZBED4
ECM2,ECM2
MAN2B2,MAN2B2
ALG12,ALG12
NR4A1,NR4A1
U6,U6
AS3MT,AS3MT
FABP9,FABP9
RNU6-761P,U6
ANKRD66,ANKRD66
FABP4,FABP4
PPP1R14A,PPP1R14A
HS3ST5,HS3ST5
BROX,BROX
H4C8,H4C3
RNF39,RNF39
NT5C2,NT5C2
LHX6,LHX6
IMPA1,IMPA1
OR2J1,OR2J1
OR2H1,OR2H1
SH3KBP1,SH3KBP1
Y_RNA,Y_RNA
YIF1B,YIF1B
MIR1260B,MIR1260B
OR2J2,OR2J2
CRELD2,CRELD2
CCDC82,CCDC82
SNORA7A,SNORA7A
UNC5B,UNC5B
DDR1,DDR1
GSK3B,GSK3B
DECR2,DECR2
SLC29A3,SLC29A3
STAB2,STAB2
S100P,S100P
MRFAP1L1,MRFAP1L1
BLOC1S4,BLOC1S4
KIAA0232,KIAA0232
ERMAP,ERMAP
VRK2,VRK2
RETREG1,RETREG1
NFKB2,NFKB2
NICOL1,NICOL1
NEK1,NEK1
ERP44,ERP44
U8,U8
KIF5A,KIF5A
C17orf67,C17H17orf67
DGKE,DGKE
ZNF691,ZNF691
TMEM45B,TMEM45B
MT1G,MT1G
TNPO1,TNPO1
TLE7,TLE7
PRDM10,PRDM10
RNU6-880P,U6
U6,U6
SLC10A5,SLC10A5
DISP1,DISP1
ZFAND1,ZFAND1
TRIM25,TRIM25
HPF1,HPF1
RN7SKP252,7SK
ZNF19,ZNF19
BRD1,BRD1
RDH5,RDH5
DDX60L,DDX60L
RAB6B,RAB6B
HSD3B1,HSD3B1
CD63,CD63
ZNF697,ZNF697
HMGCS2,HMGCS2
ZNF750,ZNF750
CHST4,CHST4
APOL3,APOL3
RNU6-1061P,U6
TAT,TAT
C19orf33,C19H19orf33
METRNL,METRNL
SLK,SLK
REG4,REG4
PTPN12,PTPN12
FUT1,FUT1
C3orf62,C3H3orf62
PDK2,PDK2
MARVELD3,MARVELD3
TRMT1,TRMT1
Y_RNA,Y_RNA
NUP214,NUP214
MIR4271,MIR4271
USP4,USP4
PHLPP2,PHLPP2
ADAM30,ADAM30
CCDC158,CCDC158
PHGDH,PHGDH
STON1,STON1
ATF4,ATF4
CERS6,CERS6
COL17A1,COL17A1
TIGD2,TIGD2
RNU6-907P,U6
RBPJ,RBPJ
UBE2F,UBE2F
CLIP3,CLIP3
SAMD14,SAMD14
RNU6-208P,U6
SNORA70D,SNORA70
AP1G1,AP1G1
CHMP4C,CHMP4C
THAP8,THAP8
PPP1R9B,PPP1R9B
GINS4,GINS4
POLR2I,POLR2I
COL1A1,COL1A1
ST14,ST14
SRA1,SRA1
TBCB,TBCB
FERD3L,FERD3L
CYREN,CYREN
TMEM44,TMEM44
GPAT4,GPAT4
JADE2,JADE2
TMEM140,TMEM140
MIR936,ptr-mir-936
STN1,STN1
WDR91,WDR91
ZBTB43,ZBTB43
CLP1,CLP1
SPRING1,SPRING1
CAPNS1,CAPNS1
Y_RNA,Y_RNA
AKIP1,AKIP1
ANGPTL2,ANGPTL2
WDR55,WDR55
GOLGA7,GOLGA7
RNU6-558P,U6
HRK,HRK
MIR4673,MIR4673
OR6C68,OR6C68
SCNN1A,SCNN1A
OR2Y1,OR2Y1
GPR151,GPR151
PCDHGA1,PCDHGA1
TMEM92,TMEM92
C4orf3,C4H4orf3
FABP2,FABP2
XYLT2,XYLT2
INSRR,INSRR
USP53,USP53
ECE2,ECE2
PDLIM1,PDLIM1
PCDHGA4,PCDHGA4
ACSM6,ACSM6
RN7SL831P,Metazoa_SRP
ARHGEF5,ARHGEF5
RN7SKP270,7SK
LRRC47,LRRC47
C11orf16,C11H11orf16
VSTM4,VSTM4
RN7SL574P,Metazoa_SRP
MRPL27,MRPL27
Y_RNA,Y_RNA
TMEM9B,TMEM9B
SNORD71,SNORD71
FAM170B,FAM170B
LRRC18,LRRC18
TBCE,TBCE
ZNF468,ZNF468
RFC1,RFC1
SLC6A2,SLC6A2
LTBR,LTBR
EME1,EME1
LPCAT4,LPCAT4
WDR62,WDR62
LRRC59,LRRC59
SCUBE2,SCUBE2
NOBOX,NOBOX
Y_RNA,Y_RNA
SGCA,SGCA
ARNT2,ARNT2
OR2A5,OR2A5
OR2A12,OR2A12
RBM33,RBM33
TAPBPL,TAPBPL
DYNC1I2,DYNC1I2
PCBP4,PCBP4
COL25A1,COL25A1
RN7SL68P,Metazoa_SRP
CD9,CD9
SHH,SHH
PCDHGC5,PCDHGA4
Y_RNA,Y_RNA
RNF32,RNF32
HDAC3,HDAC3
ARHGAP39,ARHGAP39
DENND5A,DENND5A
MCF2,MCF2
METTL2A,METTL2A
SPMIP5,SPMIP5
RNU6-1266P,U6
DLG5,DLG5
DMTN,DMTN
MRC2,MRC2
BRF1,BRF1
RASGEF1B,RASGEF1B
CLEC3A,CLEC3A
ERCC4,ERCC4
CYP1A1,CYP1A1
RELL2,RELL2
ABCC6,ABCC6
Y_RNA,Y_RNA
RNU6-446P,U6
LMBR1,LMBR1
ARAP2,ARAP2
AHRR,PDCD6
NKX2-4,NKX2-4
TLK2,TLK2
TGM5,TGM5
RN7SKP140,7SK
RNU6-343P,U6
ATP5F1B,ATP5F1B
NKX2-2,NKX2-2
PAM,PAM
RN7SL284P,Metazoa_SRP
POLR3A,POLR3A
SNORD59A,SNORD59A
ATP10A,ATP10A
ECT2,ECT2
SPATA2,SPATA2
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
ZNF131,ZNF131
RNF114,RNF114
AMBN,AMBN
RNU4-31P,U4
NOM1,NOM1
RNU6-147P,U6
SNAI1,SNAI1
MNX1,MNX1
PPL,PPL
KNSTRN,KNSTRN
GCK,GCK
GRSF1,GRSF1
NID2,NID2
MAGEB16,MAGEB16
TENT5D,TENT5D
ARHGEF28,ARHGEF28
RN7SL809P,Metazoa_SRP
TMEM41B,TMEM41B
HELLS,HELLS
MAFF,MAFF
CCDC134,CCDC134
SEC14L5,SEC14L5
TEX28,TEX28
SPANXN2,SPANXN2
ZFHX2,ZFHX2
ALG1,ALG1
NACA,NACA
MAGIX,MAGIX
CD93,CD93
IPO7,IPO7
JPH4,JPH4
BCL2L13,BCL2L13
DENND4B,DENND4B
RPS9,RPS9
Y_RNA,Y_RNA
LYSMD4,LYSMD4
CLNK,CLNK
CCDC78,CCDC78
CCDC88C,CCDC88C
SNORA23,SNORA23
CD5,CD5
MCTP2,MCTP2
VPS37C,VPS37C
IDO2,IDO2
CRTC2,CRTC2
RNU6-663P,U6
ANKRD17,ANKRD17
SLC4A1,SLC4A1
EXTL3,EXTL3
GMPR2,GMPR2
OR10C1,OR10C1
ZSCAN31,ZSCAN31
MTA3,MTA3
LILRB5,LILRB5
MAPK6,MAPK6
NR0B1,NR0B1
ERN2,ERN2
TXLNG,TXLNG
MIR6737,MIR6737
RNU6-1307P,U6
RNY1,Y_RNA
CREB3L4,CREB3L4
XRN1,XRN1
METTL24,METTL24
RBBP7,RBBP7
CARD9,CARD9
MAP7,MAP7
SHF,SHF
Y_RNA,Y_RNA
RNU6-519P,U6
DMXL1,DMXL1
Y_RNA,Y_RNA
DDB1,DDB1
RN7SL507P,Metazoa_SRP
U3,U3
RUNDC3A,RUNDC3A
FANCC,FANCC
MFSD5,MFSD5
CHP2,CHP2
RNU6-869P,U6
ESPL1,ESPL1
LRATD2,LRATD2
ZNF853,ZNF853
NR2E3,NR2E3
PRKCB,PRKCB
AGO2,AGO2
RNU12,U12
RNU4-6P,U4
Y_RNA,Y_RNA
REPS2,REPS2
CRTC3,CRTC3
JTB,JTB
RNU6-1146P,U6
RN7SL170P,Metazoa_SRP
SLC25A39,SLC25A39
LBP,LBP
PABIR3,PABIR3
MIR1273H,MIR1273H
CACNG3,CACNG3
MIR151A,ptr-mir-151
RN7SKP54,7SK
TRIM56,TRIM56
RNU7-24P,U7
RBBP6,RBBP6
RAB13,RAB13
FGF20,FGF20
CTHRC1,CTHRC1
IDH1,IDH1
TASOR2,TASOR2
PRELID2,PRELID2
RNU6-1011P,U6
PTK2,PTK2
MOSPD1,MOSPD1
RN7SKP24,7SK
ARID3C,ARID3C
RNU6-179P,U6
POPDC2,POPDC2
C1orf52,C1H1orf52
MIR196B,ptr-mir-196b
NEK6,NEK6
PYROXD2,PYROXD2
MYG1,MYG1
ARHGEF18,ARHGEF18
MCCC2,MCCC2
CEP104,CEP104
IL20RA,IL20RA
COX17,COX17
MAML3,MAML3
BEX2,BEX2
NSUN5,NSUN5
HPS1,HPS1
ZCCHC4,ZCCHC4
ARIH2,ARIH2
ARHGAP4,ARHGAP4
FAM171A2,FAM171A2
AAAS,AAAS
GNL1,GNL1
MARCHF2,MARCHF2
ITGA2B,ITGA2B
INTS12,INTS12
TRIM7,TRIM7
ZNF573,ZNF573
HAPSTR1,HAPSTR1
PMM2,PMM2
SNORA71,SNORA71
SNORA71A,SNORA71
SNORA71C,SNORA71
SNORA71,SNORA71
MANEA,MANEA
EIPR1,EIPR1
PSMB7,PSMB7
FKBP6,FKBP6
NT5E,NT5E
RN7SL258P,Metazoa_SRP
HNF1B,HNF1B
PFKP,PFKP
TRIM41,TRIM41
HERC6,HERC6
NR5A1,NR5A1
NMBR,NMBR
PGBD1,PGBD1
NUDT21,NUDT21
RTBDN,RTBDN
MIR4638,MIR4638
RACK1,RACK1
Y_RNA,Y_RNA
MYO3B,MYO3B
NRM,NRM
ERAL1,ERAL1
FANCG,FANCG
BBS2,BBS2
ENOPH1,ENOPH1
DFFB,DFFB
CASTOR2,CASTOR2
CDH24,CDH24
GBA3,GBA3
ISL2,ISL2
BTN1A1,BTN1A1
ANAPC13,ANAPC13
MIR451A,ptr-mir-451
MIR144,ptr-mir-144
DHRS13,DHRS13
HPN,HPN
AK9,AK9
CENPE,CENPE
MBIP,MBIP
OTUD7A,OTUD7A
Y_RNA,Y_RNA
ACP6,ACP6
AMOTL2,AMOTL2
SP7,SP7
PRPF18,PRPF18
THSD4,THSD4
NAA10,NAA10
SP1,SP1
PHF12,PHF12
Metazoa_SRP,Metazoa_SRP
FZD9,FZD9
PRR19,PRR19
ABCB5,ABCB5
TAAR1,TAAR1
C6orf52,C6H6orf52
AMHR2,AMHR2
ZNF559,ZNF559
ATXN3,ATXN3
TIAM2,TIAM2
MIR190A,ptr-mir-190a
SCG5,SCG5
Y_RNA,Y_RNA
RN7SL654P,Metazoa_SRP
C1orf21,C1H1orf21
IFNA17,IFNA17
IFNA14,IFNA14
TMEM108,TMEM108
IFNA5,IFNA5
IFNA2,IFNA2
Y_RNA,Y_RNA
IFNA8,IFNA8
MIR31,ptr-mir-31
IFNE,IFNE
CCDC180,CCDC180
RNU6-1090P,U6
PNLIP,PNLIP
PROK1,PROK1
PRR13,PRR13
KCNA10,KCNA10
Y_RNA,Y_RNA
LYAR,LYAR
INTS14,INTS14
SLC12A8,SLC12A8
SNRPD2,SNRPD2
PNLIPRP2,PNLIPRP2
MIR1302-8,ptr-mir-1302-8
RN7SL148P,Metazoa_SRP
MIR555,ptr-mir-555
HELT,HELT
SFXN3,SFXN3
RNU6-106P,U6
GFY,GFY
FDXR,FDXR
RNU6-1297P,U6
DAND5,DAND5
OR10H3,OR10H3
MEPE,MEPE
FDPS,FDPS
OR7A10,OR7A10
GPM6A,GPM6A
SCART1,SCART1
CBX5,CBX5
TIGD1,TIGD1
CFAP36,CFAP36
SNORD96A,SNORD96
LIPJ,LIPJ
SNORD95,SNORD95
TRIM52,TRIM52
DCANP1,DCANP1
RNU6-1082P,U6
NECTIN2,NECTIN2
TIFAB,TIFAB
RN7SL390P,Metazoa_SRP
RN7SL151P,Metazoa_SRP
NFE2,NFE2
NPM3,NPM3
ATP6V0E2,ATP6V0E2
TKFC,TKFC
NKX2-3,NKX2-3
COPZ1,COPZ1
RTF1,RTF1
ENTPD7,ENTPD7
TOMM40,TOMM40
TAX1BP1,TAX1BP1
CUTC,CUTC
OPA1,OPA1
VSX1,VSX1
RUSC2,RUSC2
MESP1,MESP1
COX15,COX15
PITX2,PITX2
SEMA4B,SEMA4B
CCDC150,CCDC150
CIMIP2B,CIMIP2B
CCDC6,CCDC6
GPSM2,GPSM2
Y_RNA,Y_RNA
CYB561A3,CYB561A3
CDK1,CDK1
FGFR4,FGFR4
SNORD62,SNORD62
MIR3621,MIR3621
APOE,APOE
RLN2,RLN2
ENTPD6,ENTPD6
SLC10A7,SLC10A7
RLN1,RLN1
PLGRKT,PLGRKT
GPR6,GPR6
RNU2-72P,U2
SLC25A28,SLC25A28
UFL1,UFL1
CD274,CD274
APOC4,APOC4
FHL5,FHL5
MMGT1,MMGT1
RNU4-70P,U4
ZC4H2,ZC4H2
SERAC1,SERAC1
NKX6-2,NKX6-2
GTF3C3,GTF3C3
PF4V1,PF4V1
CFAP46,CFAP46
CXCL1,CXCL1
CCDC9B,CCDC9B
CLPTM1,CLPTM1
RNU6-950P,U6
MIR148B,ptr-mir-148b
RN7SL744P,Metazoa_SRP
GPR84,GPR84
PF4,PF4
CPSF7,CPSF7
PDCD1LG2,PDCD1LG2
DMD,DMD
MRPL51,MRPL51
CXCL5,CXCL5
LCTL,LCTL
MOB3B,MOB3B
RN7SL218P,Metazoa_SRP
IFNK,IFNK
FADS6,FADS6
ATXN1L,ATXN1L
OR2F2,OR2F2
REELD1,REELD1
C9orf72,C9orf72
DTX2,DTX2
USH1G,USH1G
IST1,IST1
OTOP2,OTOP2
NCAPD2,NCAPD2
OTOP3,OTOP3
HID1,HID1
RN7SL173P,Metazoa_SRP
MFGE8,MFGE8
GTF2H5,GTF2H5
C2orf66,C2BH2orf66
PGAP1,PGAP1
KCNQ5,KCNQ5
DOK7,DOK7
FRMD4A,FRMD4A
MIR876,ptr-mir-876
MIR873,ptr-mir-873
RN7SKP247,7SK
DYNLT4,DYNLT4
RNU1-114P,U1
RNVU1-17,U1
CDR2L,CDR2L
RNVU1-23,U1
LINGO2,LINGO2
MRPL58,MRPL58
ZBTB34,ZBTB34
KCNK2,KCNK2
LRPAP1,LRPAP1
S1PR3,S1PR3
SHC3,SHC3
ATP5PD,ATP5PD
C8orf88,C8H8orf88
ZNF563,ZNF563
PIP4P2,PIP4P2
CKS2,CKS2
ZNF442,ZNF442
RN7SL573P,Metazoa_SRP
OR1D2,OR1D2
NACA2,NACA2
RN7SL794P,Metazoa_SRP
RAB24,RAB24
ALG2,ALG2
Y_RNA,Y_RNA
MTMR4,MTMR4
ZNF799,ZNF799
OTUD6B,OTUD6B
SEC61B,SEC61B
IPMK,IPMK
H2AC14,H2AC14
H2BC14,H2BC14
IL1R1,IL1R1
LY86,LY86
RN7SKP225,7SK
ZNF443,ZNF443
FAM120A,FAM120A
SCARNA10,SCARNA10
GAPDH,GAPDH
CISD1,CISD1
H3C10,H3C6
HLA-C,PATR-B
GATA3,GATA3
TNPO3,TNPO3
LRRC69,LRRC69
SYCE2,SYCE2
RNU6-165P,U6
MIR371A,ptr-mir-371
MIR372,ptr-mir-372
PRKCG,PRKCG
RO60,RO60
CIB1,CIB1
MIR4661,MIR4661
SLC26A7,SLC26A7
PRELID1,PRELID1
EHD4,EHD4
BRIP1,BRIP1
HK1,HK1
Y_RNA,Y_RNA
SAXO4,SAXO4
RN7SKP33,7SK
PLA2G4D,PLA2G4D
EYA2,EYA2
PLA2G4E,PLA2G4E
RGS14,RGS14
OR13C3,OR13C3
OR13D1,OR13D1
HLA-G,PATR-G
APBA1,APBA1
CACNG7,CACNG7
LACTB,LACTB
LRRC10B,LRRC10B
MIR6747,MIR6747
TUT1,TUT1
CACNG8,CACNG8
KIF25,KIF25
MIR935,ptr-mir-935
ZNF821,ZNF821
PTAR1,PTAR1
Y_RNA,Y_RNA
IL1RL2,IL1RL2
SYT6,SYT6
RNU6-861P,U6
MEX3B,MEX3B
ARHGAP18,ARHGAP18
TNRC18,TNRC18
RN7SKP191,7SK
SLC44A1,SLC44A1
RNU1-77P,U1
ZMYND8,ZMYND8
OR1E1,OR1E1
OR1E2,OR1E2
SPATA22,SPATA22
MIR3688-1,MIR3688-1
ELF2,ELF2
SCARNA11,SCARNA11
YAF2,YAF2
PDE10A,PDE10A
ARRDC2,ARRDC2
CFAP57,CFAP57
PPHLN1,PPHLN1
SLC9A4,SLC9A4
HLA-DPA1,HLA-DPA1
TICRR,TICRR
RNU1-61P,U1
NKD2,NKD2
HLA-DQA1,HLA-DQA1
LIPT1,LIPT1
MCM4,MCM4
FZR1,FZR1
MITD1,MITD1
CSN2,CSN2
ASPA,ASPA
EBNA1BP2,EBNA1BP2
DHODH,DHODH
ODAM,ODAM
SLC12A7,SLC12A7
HLA-DQB1,HLA-DQB1
ALOX12,ALOX12
KIF7,KIF7
MRPL30,MRPL30
WARS2,WARS2
DHX38,DHX38
PACC1,PACC1
LYG1,LYG1
RNASEK,RNASEK
UMAD1,UMAD1
TXNDC9,TXNDC9
FAM76A,FAM76A
SPAM1,SPAM1
MIR4635,MIR4635
FANCI,FANCI
C17orf49,C17H17orf49
FDCSP,FDCSP
LAMA2,LAMA2
CDX1,CDX1
CCDC7,CCDC7
CFAP97,CFAP97
FBXL17,FBXL17
RN7SL717P,Metazoa_SRP
AMZ1,AMZ1
C2orf69,C2orf69
SNX25,SNX25
TYW5,TYW5
MIR195,ptr-mir-195
MIR497,MIR497
BCL6B,BCL6B
ARL15,ARL15
HMG20B,HMG20B
DHX29,DHX29
ZNF679,ZNF679
CDH16,CDH16
SLC16A13,SLC16A13
ZNF736,ZNF736
GLRX2,GLRX2
Y_RNA,Y_RNA
TFCP2L1,TFCP2L1
CLEC10A,CLEC10A
TNFRSF25,TNFRSF25
GANAB,GANAB
GIPC3,GIPC3
SF3B1,SF3B1
CCDC124,CCDC124
REEP2,REEP2
ZNF775,ZNF775
ASGR1,ASGR1
CYP4V2,CYP4V2
TEKTIP1,TEKTIP1
ORM2,ORM2
FKBP8,FKBP8
PPP1R17,PPP1R17
AKNA,AKNA
RNU6-1085P,U6
FAM53A,FAM53A
ZMYND11,ZMYND11
CLK4,CLK4
ZCRB1,ZCRB1
MYO6,MYO6
RIPK2,RIPK2
MARCHF1,MARCHF1
RNU7-143P,U7
MIR324,ptr-mir-324
Y_RNA,Y_RNA
DVL2,DVL2
RNU6-1029P,U6
SNORA74,SNORA74
RNU6-249P,U6
Y_RNA,Y_RNA
IFFO1,IFFO1
CIAO2B,CIAO2B
RNU6-925P,U6
OSGIN2,OSGIN2
NEUROG2,NEUROG2
MOB4,MOB4
LARP7,LARP7
CES2,CES2
DENND1A,DENND1A
DECR1,DECR1
PHF23,PHF23
GPR156,GPR156
CGGBP1,CGGBP1
FOXP3,FOXP3
LCORL,LCORL
TOR1B,TOR1B
SOD3,SOD3
ZNF654,ZNF654
CCDC149,CCDC149
TOR1A,TOR1A
CES3,CES3
RNU6ATAC6P,RNU6ATAC6P
TMEM233,TMEM233
TP63,TP63
RN7SKP197,7SK
C9orf78,C9H9orf78
PRKAB1,PRKAB1
GABARAP,GABARAP
CFAP210,CFAP210
SCARB2,SCARB2
NBN,NBN
USP20,USP20
PHOSPHO2,PHOSPHO2
CRLF1,CRLF1
CTDNEP1,CTDNEP1
CBFB,CBFB
KLHL23,KLHL23
CCNJL,CCNJL
REX1BD,REX1BD
MLF2,MLF2
SSB,SSB
HSF4,HSF4
HSPA4,HSPA4
TMEM59L,TMEM59L
INTS5,INTS5
METTL5,METTL5
RCOR3,RCOR3
SNORA57,SNORA57
UBXN1,UBXN1
ZNF69,ZNF69
MIR6855,MIR6855
ZNF700,ZNF700
GSN,GSN
BDP1,BDP1
CLDN7,CLDN7
ZBTB33,ZBTB33
TMEM255A,TMEM255A
NME3,NME3
CFI,CFI
Y_RNA,Y_RNA
ZNF20,ZNF20
Y_RNA,Y_RNA
SLC2A4,SLC2A4
TMEM271,TMEM271
RNU6-1006P,U6
HSPD1,HSPD1
PHB2,PHB2
ZNF625,ZNF625
POGK,POGK
KLC3,KLC3
RNU6-1078P,U6
PIN4,PIN4
FER,FER
PAQR6,PAQR6
SPMIP8,SPMIP8
RN7SL388P,Metazoa_SRP
ERCC6L,ERCC6L
HNRNPUL2,HNRNPUL2
LVRN,LVRN
SOCS1,SOCS1
NFYB,NFYB
ATXN2L,ATXN2L
CHRM1,CHRM1
Y_RNA,Y_RNA
CITED1,CITED1
RN7SL259P,Metazoa_SRP
QRICH2,QRICH2
IFTAP,IFTAP
MDC1,MDC1
PPP1R13L,PPP1R13L
RNFT2,RNFT2
RHOV,RHOV
VPS18,VPS18
ATP5ME,ATP5ME
RASL10B,RASL10B
HUWE1,HUWE1
GAS2L2,GAS2L2
DLL4,DLL4
MMP28,MMP28
SLC49A3,SLC49A3
AGER,AGER
CHAC1,CHAC1
RGL1,RGL1
DIAPH1,DIAPH1
C17orf50,C17H17orf50
RN7SL497P,Metazoa_SRP
INO80,INO80
MASP1,MASP1
POLR1G,POLR1G
PIH1D2,PIH1D2
GFAP,GFAP
ERCC2,ERCC2
CPLX1,CPLX1
TP53AIP1,TP53AIP1
MYL5,MYL5
TCF7L2,TCF7L2
CNOT2,CNOT2
WDR74,WDR74
RNU6-1209P,U6
RNU6-665P,U6
CEBPD,CEBPD
PRKDC,PRKDC
KCNC4,KCNC4
RASSF6,RASSF6
UBR3,UBR3
MEAF6,MEAF6
FNIP1,FNIP1
RNU6-678P,U6
TF,TF
DEUP1,DEUP1
EVC,EVC
GCG,GCG
RCN2,RCN2
FUBP3,FUBP3
MRGPRX3,MRGPRX3
Y_RNA,Y_RNA
OR5AN1,OR5AN1
IFT70B,IFT70B
OR51L1,OR51L1
PPT1,PPT1
OR8J1,OR8J1
IFT70A,IFT70A
OR8D4,OR8D4
SLCO2A1,SLCO2A1
DPP4,DPP4
OR4S2,OR4S2
OR4C6,OR4C6
OR8H2,OR8H2
OR4D9,OR4D9
PSMC3,PSMC3
TLR10,TLR10
PTPDC1,PTPDC1
RN7SKP148,7SK
RNU6-226P,U6
ABHD15,ABHD15
HRH2,HRH2
RN7SL278P,Metazoa_SRP
BTF3,BTF3
TSPAN3,TSPAN3
TP53I13,TP53I13
FAM114A1,FAM114A1
MDFIC2,MDFIC2
CPB1,CPB1
SASH1,SASH1
MAST4,MAST4
IRF2,IRF2
EME2,EME2
MIRLET7A1,ptr-let-7a-1
MIRLET7F1,ptr-let-7f-1
MIRLET7D,ptr-let-7d
DAB2IP,DAB2IP
TEX44,TEX44
ZNF649,ZNF649
RN7SL499P,Metazoa_SRP
PSTPIP1,PSTPIP1
RCAN2,RCAN2
GIT1,GIT1
SPATA33,SPATA33
DDX1,DDX1
ZNF613,ZNF613
RREB1,RREB1
KCNG4,KCNG4
USP31,USP31
PHF24,PHF24
ZNF350,ZNF350
PALM2AKAP2,PALM2AKAP2
PKD1L3,PKD1L3
AGTR1,AGTR1
OR7G1,OR7G1
OR7G3,OR7G3
RNU6-144P,U6
ZNF317,ZNF317
PLEKHG5,PLEKHG5
TUSC3,TUSC3
DNASE1L3,DNASE1L3
OR7D2,OR7D2
OR7D4,OR7D4
CIC,CIC
ABHD6,ABHD6
BAZ1B,BAZ1B
VAMP1,VAMP1
OR52N5,OR52N5
OR56A4,OR56A4
OR52A5,OR52A5
OR8D1,OR8D1
OR5B3,OR5B3
MAP6,MAP6
RPP14,RPP14
OR52A1,OR52A1
OR5A2,OR5A2
CCPG1,CCPG1
OR10G7,OR10G7
OR52N1,OR52N1
OR5B2,OR5B2
RNU7-194P,U7
MAB21L2,MAB21L2
RNU6-1198P,U6
BCL7B,BCL7B
CASP4,CASP4
DBN1,DBN1
LRBA,LRBA
CCN6,CCN6
PXK,PXK
HNRNPA1,HNRPA1LK1
ANKRD13B,ANKRD13B
RNU6-607P,U6
ZNF703,ZNF703
ERLIN2,ERLIN2
CASP5,CASP5
PRL,PRL
TLR4,TLR4
MTMR1,MTMR1
RNU6-920P,U6
FAM163B,FAM163B
PLEKHF1,PLEKHF1
FAM222B,FAM222B
DBH,DBH
RAB27A,RAB27A
DMPK,DMPK
MYMK,MYMK
MCTP1,MCTP1
ADAMTS13,ADAMTS13
Y_RNA,Y_RNA
CENATAC,CENATAC
PIPOX,PIPOX
SIN3B,SIN3B
RPS25,RPS25
PLPBP,PLPBP
SEPTIN4,SEPTIN4
RNU6-383P,U6
TRAPPC4,TRAPPC4
FAM98B,FAM98B
USP9X,USP9X
RASGRP1,RASGRP1
ADGRA2,ADGRA2
F2RL3,F2RL3
C2CD2L,C2CD2L
LGALS8,LGALS8
RAB11FIP1,RAB11FIP1
Y_RNA,Y_RNA
RN7SL835P,Metazoa_SRP
RN7SL823P,Metazoa_SRP
HAUS8,HAUS8
PLEKHG4B,PLEKHG4B
NCL,NCL
PDE6A,PDE6A
RN7SL709P,Metazoa_SRP
GOT1L1,GOT1L1
BNC2,BNC2
HINFP,HINFP
ADRB3,ADRB3
KICS2,KICS2
RNU6-1009P,U6
RNU5A-7P,U5
C12orf56,C12H12orf56
RNU6-988P,U6
STAR,STAR
ATP5F1D,ATP5F1D
Y_RNA,Y_RNA
SLC26A2,SLC26A2
SLC22A5,SLC22A5
ABCG4,ABCG4
LSM1,LSM1
XPOT,XPOT
RNU6-323P,U6
BAG4,BAG4
DDHD2,DDHD2
BICD2,BICD2
SCN1B,SCN1B
RNU6-714P,U6
RNU6-183P,U6
Y_RNA,Y_RNA
GRIPAP1,GRIPAP1
DIRAS2,DIRAS2
MIR4786,MIR4786
NHERF4,NHERF4
COPS9,COPS9
TDRD7,TDRD7
SNCA,SNCA
OTOS,OTOS
KRT34,KRT34
U3,U3
SNORD83,SNORD83
MIR548Z,ptr-mir-548c
MXRA7,MXRA7
ANP32B,ANP32B
DCTN2,DCTN2
NDUFA10,NDUFA10
RNU6-918P,U6
NANS,NANS
SHISA7,SHISA7
PNMA8C,PNMA8C
FXYD3,FXYD3
PCDHB4,PCDHB4
TRIM14,TRIM14
PCDHB5,PCDHB5
PDHB,PDHB
PCDHB6,PCDHB6
BAIAP2,BAIAP2
PCDHB16,PCDHB16
PCDHB9,PCDHB9
PCDHB10,PCDHB10
PCDHB11,PCDHB11
CORO2A,CORO2A
GTF2E2,GTF2E2
TBC1D2,TBC1D2
RNU6-262P,U6
PCDHB14,PCDHB14
MCAM,MCAM
PCDHB15,PCDHB15
HELZ2,HELZ2
MROH8,MROH8
RNU5A-3P,U5
MIR6842,MIR6842
CHRNA2,CHRNA2
GNAS,GNAS
MYOT,MYOT
PIP5K1B,PIP5K1B
PEX5L,PEX5L
PKD2L2,PKD2L2
CLU,CLU
GRK2,GRK2
MRPL20,MRPL20
USP5,USP5
RN7SL657P,Metazoa_SRP
VWA1,VWA1
MDH2,MDH2
ATAD3C,ATAD3C
WDR37,WDR37
MMRN1,MMRN1
RNU6-1035P,U6
IK,IK
PODNL1,PODNL1
ABCB10,ABCB10
SPATA31D1,SPATA31D1
FNBP1,FNBP1
RN7SKP248,7SK
MTHFD2L,MTHFD2L
RNU4-21P,U4
URB2,URB2
MRPS24,MRPS24
C19orf85,C19orf85
ANKRD13D,ANKRD13D
RNF186,RNF186
EREG,EREG
RN7SL346P,Metazoa_SRP
OTUD3,OTUD3
TTLL13,TTLL13
SLC7A8,SLC7A8
URGCP,URGCP
AREG,AREG
PLA2G2E,PLA2G2E
THSD8,THSD8
RN7SL304P,Metazoa_SRP
MEX3D,MEX3D
OR2M7,OR2M7
OR14C36,OR14C36
KNCN,KNCN
CERS1,CERS1
RN7SL736P,Metazoa_SRP
SPPL2A,SPPL2A
MSMO1,MSMO1
