Gene name,White-tufted-ear marmoset gene name
FAM98C,FAM98C
CHCHD3,CHCHD3
ZDHHC24,ZDHHC24
ZXDC,ZXDC
REXO4,REXO4
LITAFD,LITAFD
PIAS1,PIAS1
XPA,XPA
ATG2B,ATG2B
LMCD1,LMCD1
F2RL2,F2RL2
ADAM23,ADAM23
FARP2,FARP2
CECR2,CECR2
SAP30BP,SAP30BP
TNFAIP2,TNFAIP2
PARN,PARN
ASCL2,ASCL2
SMYD5,SMYD5
SPTLC1,SPTLC1
ZC3H4,ZC3H4
SNORD115,SNORD115
BLM,BLM
MRPL45,MRPL45
F2R,F2R
CHD9,CHD9
U6,U6
KCTD13,KCTD13
OLA1,OLA1
ZNF280A,ZNF280A
U6,U6
USP34,USP34
CCL21,CCL21
TIGD5,TIGD5
PRR7,PRR7
U4,U4
ATG16L1,ATG16L1
STKLD1,STKLD1
ERO1A,ERO1A
RORC,RORC
HK2,HK2
XAGE2,XAGE2
GFUS,TSTA3
USP7,USP7
U6,U6
OSBPL1A,OSBPL1A
DBN1,DBN1
SNORA70,SNORA70
PJA2,PJA2
Metazoa_SRP,Metazoa_SRP
LDAH,LDAH
U1,U1
ST14,ST14
CAMK2G,CAMK2G
DPP3,DPP3
SSUH2,SSUH2
TENT5A,TENT5A
VXN,VXN
NCBP1,NCBP1
NADK2,NADK2
GPR179,GPR179
F2RL1,F2RL1
SLC35F2,SLC35F2
CDH5,CDH5
RASGRP4,RASGRP4
TSPAN32,TSPAN32
U8,U8
PRG3,PRG3
EML6,EML6
Metazoa_SRP,Metazoa_SRP
GYG2,GYG2
EXOC4,EXOC4
mml-mir-582,cja-mir-582
MMS22L,MMS22L
TMEM62,TMEM62
CAPN6,CAPN6
HSPA4L,HSPA4L
TICRR,TICRR
ABCA12,ABCA12
MSC,MSC
CLCN7,CLCN7
SHQ1,SHQ1
NTM,NTM
CCL19,CCL19
HS3ST2,HS3ST2
NTN5,NTN5
POMC,POMC
NXT1,NXT1
CHST8,CHST8
NOTO,NOTO
CEP72,CEP72
MAOA,MAOA
ASCL1,ASCL1
KRTAP29-1,KRTAP29-1
LIMS2,LIMS2
Metazoa_SRP,Metazoa_SRP
U4,U4
P2RX3,P2RX3
Metazoa_SRP,Metazoa_SRP
FAR1,FAR1
CRHBP,CRHBP
DDX60,DDX60
SEZ6L2,SEZ6L2
SLC22A3,SLC22A3
SLC15A3,SLC15A3
NPEPL1,NPEPL1
TRPA1,TRPA1
BEAN1,BEAN1
Metazoa_SRP,Metazoa_SRP
PDLIM7,PDLIM7
U6,U6
Metazoa_SRP,Metazoa_SRP
FOXS1,FOXS1
KANK1,KANK1
FUT2,FUT2
MCUB,MCUB
USP31,USP31
C11H12orf42,C12orf42
U6,U6
Metazoa_SRP,Metazoa_SRP
SAMD10,SAMD10
CD93,CD93
RAB11FIP5,RAB11FIP5
TMUB1,TMUB1
CCNDBP1,CCNDBP1
ACSL6,ACSL6
HS3ST3A1,HS3ST3A1
TDRKH,TDRKH
CLN6,CLN6
MAP4K4,MAP4K4
ADA2,ADA2
EFR3B,EFR3B
SUZ12,SUZ12
MAMSTR,MAMSTR
DKK3,DKK3
SURF4,SURF4
C1R,C1R
DEPDC1B,DEPDC1B
RAB2A,RAB2A
UNC93B1,UNC93B1
Metazoa_SRP,Metazoa_SRP
ARRDC3,ARRDC3
U3,U3
THBD,THBD
CFAP100,CFAP100
Vault,Vault
UBTF,UBTF
SOCS7,SOCS7
CAV3,CAV3
ZNF335,ZNF335
COL20A1,COL20A1
Metazoa_SRP,Metazoa_SRP
ZNF623,ZNF623
SENP3,SENP3
SMAD5,SMAD5
SSRP1,SSRP1
RASIP1,RASIP1
SAE1,SAE1
SNORA28,SNORA28
U6,U6
AGAP3,AGAP3
MUC15,MUC15
U5,U5
DCX,DCX
FURIN,FURIN
NR5A1,NR5A1
CALCOCO1,CALCOCO1
RANBP3L,RANBP3L
SNORD115,SNORD115
PRPF6,PRPF6
SLC22A2,SLC22A2
Metazoa_SRP,Metazoa_SRP
CRLF3,CRLF3
OXTR,OXTR
TMEM132A,TMEM132A
U7,U7
SP9,SP9
USP47,USP47
DOK3,DOK3
MYO15A,MYO15A
COX10,COX10
FOXA2,FOXA2
CASP6,CASP6
MAN2A1,MAN2A1
PTH,PTH
RPN2,RPN2
SFXN5,SFXN5
ZNF707,ZNF707
CEP164,CEP164
OPCML,OPCML
GXYLT2,GXYLT2
CDH23,CDH23
GBX1,GBX1
U6,U6
DUSP15,DUSP15
G3BP1,G3BP1
CIR1,CIR1
U6,U6
SCNN1G,SCNN1G
Y_RNA,Y_RNA
RASAL3,RASAL3
RAB39A,RAB39A
MARK3,MARK3
GALT,IL11RA
TSTD2,TSTD2
BTBD10,BTBD10
GDF7,GDF7
SRSF9,SRSF9
ZFP36L2,ZFP36L2
ASB10,ASB10
AGGF1,PDE8B
CDH6,CDH6
Metazoa_SRP,Metazoa_SRP
U6,U6
DDX41,DDX41
POLA1,POLA1
SMIM32,SMIM32
DDX60L,DDX60L
EIF3F,EIF3F
Y_RNA,Y_RNA
CUL5,CUL5
SURF2,SURF2
PRSS51,PRSS51
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
IZUMO1,IZUMO1
RAD18,RAD18
VCPIP1,VCPIP1
IQCA1L,IQCA1L
FEM1B,FEM1B
CD81,CD81
TRPC7,TRPC7
ICE1,ICE1
ADGRD2,ADGRD2
KLF15,KLF15
FOXN4,FOXN4
Y_RNA,Y_RNA
HS1BP3,HS1BP3
FES,FES
KCNB2,KCNB2
N4BP1,N4BP1
STK26,STK26
ALG13,ALG13
HDX,HDX
FAM83H,FAM83H
HDHD5,HDHD5
GRIK4,GRIK4
LRP4,LRP4
CCDC9,CCDC9
C6H5orf15,C5orf15
ARSD,ARSD
CD59,CD59
PAX1,PAX1
CDCA2,CDCA2
EPB42,EPB42
NLRP10,NLRP10
GEMIN4,GEMIN4
PPP4R2,PPP4R2
U6,U6
STAB2,STAB2
OR2K2,OR2K2
SCRN3,SCRN3
TMOD1,TMOD1
ALDH3B2,ALDH3B2
CHD7,CHD7
KLHL13,KLHL13
SPATA4,SPATA4
U6,U6
KRTAP16-1,KRTAP16-1
C10H20orf204,C20orf204
U6,U6
OR10A6,OR10A6
TMEM121B,TMEM121B
PLK4,PLK4
HS3ST3B1,HS3ST3B1
CMTM1,CMTM1
VDAC1,VDAC1
ITGA11,ITGA11
KIF7,KIF7
LRTOMT,LRTOMT
RBL2,RBL2
SAG,SAG
U6,U6
BRD9,BRD9
GLOD4,GLOD4
KIRREL2,KIRREL2
IL17RA,IL17RA
OAZ3,OAZ3
MYO1H,MYO1H
ATAD5,ATAD5
SCNN1B,SCNN1B
WDR38,WDR38
ITGB4,ITGB4
TERF1,TERF1
SOX18,SOX18
FUT1,FUT1
TMEM109,TMEM109
TNKS1BP1,TNKS1BP1
ZBTB44,ZBTB44
mml-mir-124a-2,cja-mir-124-2
RIPOR2,RIPOR2
CCT6B,CCT6B
CYRIB,CYRIB
ACY3,ACY3
CCDC166,CCDC166
NELFCD,NELFCD
RGS3,RGS3
APCDD1,APCDD1
H2BK1,H2BK1
FGF21,FGF21
TGM5,TGM5
Metazoa_SRP,Metazoa_SRP
BFAR,BFAR
IPP,IPP
MRPL9,MRPL9
CFI,CFI
SBSPON,SBSPON
CNMD,CNMD
TCEA2,TCEA2
CBLN1,CBLN1
Y_RNA,Y_RNA
U6,U6
CMTM2,CMTM2
MAOB,MAOB
STK25,STK25
NR3C1,NR3C1
ABCF2,ABCF2
SGK3,SGK3
SLC4A1,SLC4A1
HOXC13,HOXC13
PRPF19,PRPF19
HAAO,HAAO
Metazoa_SRP,Metazoa_SRP
MAPK15,MAPK15
DYTN,DYTN
TBX10,TBX10
CD99L2,CD99L2
TSSC4,TSSC4
ALDH1L1,ALDH1L1
BCAT2,BCAT2
COG7,COG7
C8orf89,C8orf89
U7,U7
GSKIP,GSKIP
APLP1,APLP1
ARSL,ARSL
GPR155,GPR155
NAPG,NAPG
SNORA48,SNORA48
CABYR,CABYR
SRGAP3,SRGAP3
HOXC12,HOXC12
FRMD7,FRMD7
SPOCK1,SPOCK1
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
SNORD10,SNORD10
STYX,STYX
OTOGL,OTOGL
CHPF2,CHPF2
SEMA4F,SEMA4F
IGF2R,IGF2R
SNORA67,SNORA67
KIAA1549L,KIAA1549L
SLC1A3,SLC1A3
CMTM3,CMTM3
HOXC11,HOXC11
TNKS,TNKS
OLFML2A,OLFML2A
NKX2-4,NKX2-4
MPHOSPH9,MPHOSPH9
CD68,CD68
C5AR1,C5AR1
PUM2,PUM2
mml-mir-759,cja-mir-759
XAGE3,XAGE3
CTSZ,CTSZ
C1RL,C1RL
PMP22,PMP22
HOXC10,HOXC10
GPT,GPT
U2,U2
TRPM5,TRPM5
Y_RNA,Y_RNA
DGKD,DGKD
LMAN2L,LMAN2L
mml-mir-196a-2,MIR196A2
DROSHA,DROSHA
CDIPT,CDIPT
U6,U6
C20H16orf78,C16orf78
mml-mir-671,MIR671
LSM14A,LSM14A
TRIP13,TRIP13
NBAS,NBAS
Metazoa_SRP,Metazoa_SRP
PSMB7,PSMB7
SURF1,SURF1
U6,U6
XRN2,XRN2
HOXC9,HOXC9
ZNF596,ZNF596
ELOVL7,ELOVL7
Metazoa_SRP,Metazoa_SRP
PLIN1,PLIN1
GPR17,GPR17
IARS1,IARS1
PCDH8,PCDH8
ANKRD44,ANKRD44
U6,U6
DYNC1LI2,DYNC1LI2
MDH1B,MDH1B
NFKBID,NFKBID
RIIAD1,RIIAD1
Y_RNA,Y_RNA
NR2F1,NR2F1
CYB5R2,CYB5R2
Y_RNA,Y_RNA
U6,U6
RGS19,RGS19
MRM3,MRM3
U7,U7
BCL11B,BCL11B
TTC39C,TTC39C
U3,U3
C5AR2,C5AR2
DIPK1C,DIPK1C
MFSD3,LRRC14
OXER1,OXER1
ZNF830,ZNF830
KCTD10,KCTD10
MUSK,MUSK
RDH10,RDH10
PLA2G10,PLA2G10
Metazoa_SRP,Metazoa_SRP
SMARCD3,SMARCD3
TUBB1,TUBB1
TCF7,TCF7
EMX1,EMX1
WIPF1,WIPF1
LRGUK,LRGUK
HOXC6,HOXC6
DHX34,DHX34
TGM7,TGM7
FAM193B,FAM193B
FOXI1,FOXI1
CHCT1,CHCT1
PDZRN3,PDZRN3
GLRA1,GLRA1
CELF3,CELF3
C18H18orf63,C18orf63
MAN2A2,MAN2A2
U7,U7
MYO7B,MYO7B
U6,U6
CORO2B,CORO2B
ADAMTS8,ADAMTS8
Metazoa_SRP,Metazoa_SRP
TEKT3,TEKT3
ASB5,ASB5
Metazoa_SRP,Metazoa_SRP
OLFM4,OLFM4
NR6A1,NR6A1
ECHDC3,ECHDC3
LIG3,LIG3
KRTAP17-1,KRTAP17-1
CYP4F22,CYP4F22
HOXC5,HOXC5
FOXN2,FOXN2
RUNDC3A,RUNDC3A
LIPG,LIPG
KLHL32,KLHL32
MPDU1,MPDU1
U6,U6
GHRH,GHRH
PSIP1,PSIP1
NKD2,NKD2
MVP,MVP
CNNM4,CNNM4
TMEM242,TMEM242
U5,U5
TRPC5,TRPC5
LKAAEAR1,LKAAEAR1
BOK,BOK
SPR,SPR
MMP9,MMP9
NDUFV1,NDUFV1
MIR99B,MIR99B
HOXC4,HOXC4
SPATA19,SPATA19
PEX11A,PEX11A
Metazoa_SRP,Metazoa_SRP
TTLL9,TTLL9
ZNF423,ZNF423
C9H10orf105,C10orf105
MED10,MED10
M1AP,M1AP
TMEM232,TMEM232
MBNL3,MBNL3
APPBP2,APPBP2
RNF10,RNF10
PALLD,PALLD
OPRL1,OPRL1
FBXO25,FBXO25
ERCC8,ERCC8
GALNT18,GALNT18
SCRIB,SCRIB
MMP17,MMP17
GGA2,GGA2
mml-mir-125a,MIR125A
NXN,NXN
ARB2A,FAM172A
YIPF5,YIPF5
PROSER2,PROSER2
WDR59,WDR59
Metazoa_SRP,Metazoa_SRP
HIPK3,HIPK3
CLSTN3,CLSTN3
Metazoa_SRP,Metazoa_SRP
TBC1D22B,TBC1D22B
TDRD7,TDRD7
HSD17B14,HSD17B14
NEK6,NEK6
Metazoa_SRP,Metazoa_SRP
ARHGAP23,ARHGAP23
ADAMTS15,ADAMTS15
SLC29A3,SLC29A3
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
CNTN5,CNTN5
KCNQ1,KCNQ1
FITM1,FITM1
TYROBP,TYROBP
GNPNAT1,GNPNAT1
SNX27,SNX27
DNAJC27,DNAJC27
MFSD8,MFSD8
EBF2,EBF2
TDRP,TDRP
SPTBN1,SPTBN1
PTGDR2,PTGDR2
MTA3,MTA3
ADAL,ADAL
NPBWR2,NPBWR2
PLEKHA4,PLEKHA4
Y_RNA,Y_RNA
DSCAML1,DSCAML1
THAP4,THAP4
UBE3B,UBE3B
ZDHHC14,ZDHHC14
PPFIBP2,PPFIBP2
mml-mir-181b-2,cja-mir-181b-2
UBE2QL1,UBE2QL1
EMC9,EMC9
CCDC86,CCDC86
LAMA3,LAMA3
EXOC6B,EXOC6B
IGSF9B,IGSF9B
SLCO1A2,SLCO1A2
U7,U7
HIPK4,HIPK4
Metazoa_SRP,Metazoa_SRP
GPR173,GPR173
NMUR2,NMUR2
CYP4F8,CYP4F2
U6,U6
LRRC55,LRRC55
Metazoa_SRP,Metazoa_SRP
RRN3,RRN3
SURF6,SURF6
MAP4K1,MAP4K1
SLC12A7,SLC12A7
TMED9,TMED9
UPF2,UPF2
Y_RNA,Y_RNA
ZNF831,ZNF831
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
PELI3,PELI3
PRX,PRX
ERICH1,ERICH1
PRRG1,TSPAN7
C15H9orf43,C9orf43
TBCEL,TECTA
ULK1,ULK1
GAR1,GAR1
TSPYL2,TSPYL2
KCTD16,KCTD16
ARSF,ARSF
Metazoa_SRP,Metazoa_SRP
CHRNA1,CHRNA1
MYT1,MYT1
SOX15,SOX15
TRPC5OS,TRPC5OS
SRC,SRC
ASB12,ASB12
ABR,ABR
TERB1,TERB1
YME1L1,YME1L1
MEIS3,MEIS3
TVP23B,TVP23C
IMPA2,IMPA2
CCDC154,CCDC154
HDDC3,HDDC3
NSUN2,NSUN2
SLC25A46,SLC25A46
MCCC2,MCCC2
ADCY3,ADCY3
SVEP1,SVEP1
DOK1,DOK1
LRRC24,LRRC24
KLHL3,KLHL3
Metazoa_SRP,Metazoa_SRP
UNC5B,UNC5B
ATG4B,ATG4B
CBX5,CBX5
SDC1,SDC1
DOCK8,DOCK8
PTPRQ,PTPRQ
MS4A10,MS4A10
FXR2,FXR2
MTMR8,MTMR8
U6,U6
RRH,RRH
Y_RNA,Y_RNA
SLC25A39,SLC25A39
LHFPL1,LHFPL1
SPESP1,SPESP1
Metazoa_SRP,Metazoa_SRP
ARHGAP42,ARHGAP42
PAGR1,PAGR1
POLE3,POLE3
UNC45A,UNC45A
PTX4,PTX4
SLC12A5,SLC12A5
C8H8orf82,C8orf82
Metazoa_SRP,Metazoa_SRP
PPM1D,PPM1D
EEF1A2,EEF1A2
DLGAP2,DLGAP2
CYB5A,CYB5A
U4,U4
TUFT1,TUFT1
B4GALT7,B4GALT7
SKP1,PPP2CA
NIPBL,NIPBL
NPAT,NPAT
Metazoa_SRP,Metazoa_SRP
PPP1R15A,PPP1R15A
U2,U2
Metazoa_SRP,Metazoa_SRP
MMAB,MMAB
MS4A15,MS4A15
U7,U7
FASTKD2,FASTKD2
TEFM,TEFM
GPR50,GPR50
HCST,HCST
PRRT2,PRRT2
BLVRB,BLVRB
NAE1,NAE1
FBXO11,FBXO11
ARHGAP39,ARHGAP39
LRIT3,LRIT3
CYP26B1,CYP26B1
ZNF711,ZNF711
LOXL3,LOXL3
BCLAF3,BCLAF3
CADPS2,CADPS2
CKB,CKB
TELO2,TELO2
U6,U6
PPP2R2A,PPP2R2A
OR5AR1,OR5AR1
GARRE1,GARRE1
SLAIN1,SLAIN1
MCMDC2,MCMDC2
SLC35B4,SLC35B4
CNTN3,CNTN3
NRG1,NRG1
SNORD115,SNORD115
U6,U6
Metazoa_SRP,Metazoa_SRP
SMIM15,SMIM15
SNORD58,SNORD58
MRPL11,MRPL11
KRT32,KRT32
U6,U6
ARID2,ARID2
GRXCR1,GRXCR1
ZC4H2,ZC4H2
CCDC180,CCDC180
EDN3,EDN3
SNORD58,SNORD58
MS4A18,MS4A18
FERMT2,FERMT2
WDR36,WDR36
LHX2,LHX2
FGD2,FGD2
PPP1R3B,PPP1R3B
SNORD58,SNORD58
SLC5A8,SLC5A8
AMOT,AMOT
U6,U6
PCDH17,PCDH17
ACTN4,ACTN4
HAPSTR1,C16orf72
U6,U6
BCAT1,BCAT1
FASN,FASN
EARS2,EARS2
LRFN3,LRFN3
ERI1,ERI1
EGF,EGF
ZSCAN29,ZSCAN29
DYM,DYM
FOLR2,FOLR2
MPPE1,MPPE1
CKAP5,CKAP5
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
HEATR3,HEATR3
U4,U4
U6,U6
NFE2,NFE2
Metazoa_SRP,Metazoa_SRP
SPCS3,SPCS3
MAZ,MAZ
ZSWIM6,ZSWIM6
PTK6,PTK6
PUF60,PUF60
CHN1,CHN1
EFHC2,EFHC2
CPO,CPO
KCTD8,KCTD8
NUCB1,NUCB1
SNORD115,SNORD115
MVK,MVK
NTAN1,NTAN1
GRN,GRN
HDHD3,HDHD3
MS4A8,MS4A8
SRD5A1,SRD5A1
Metazoa_SRP,Metazoa_SRP
CD9,CD9
OR8U1,OR8U1
SNAPC3,SNAPC3
RUFY4,RUFY4
KRT36,KRT36
TIMM21,TIMM21
ANKRD23,ANKRD23
WDR44,WDR44
TIMM23,TIMM23B
PEX5,PEX5
TUBGCP4,TUBGCP4
Metazoa_SRP,Metazoa_SRP
MYF6,MYF6
Metazoa_SRP,Metazoa_SRP
FAM171A2,FAM171A2
SAT2,SAT2
HTRA2,HTRA2
OR8J1,OR8J1
NPAS4,NPAS4
BSPRY,BSPRY
Metazoa_SRP,Metazoa_SRP
PRRG3,PRRG3
DPEP3,DPEP3
BCAS3,BCAS3
SDHAF1,SDHAF1
FN1,FN1
GNPDA2,GNPDA2
KDM5C,KDM5C
OCRL,OCRL
Y_RNA,Y_RNA
CLN8,CLN8
U6,U6
SRMS,SRMS
TENT4A,TENT4A
PGR,PGR
EDNRB,EDNRB
HS6ST2,HS6ST2
MYF5,MYF5
CARTPT,CARTPT
SYNE4,SYNE4
CABP2,CABP2
Metazoa_SRP,Metazoa_SRP
PAPOLA,PAPOLA
NRIP1,NRIP1
FAM222A,FAM222A
WDR31,WDR31
DNAJC6,DNAJC6
U6,U6
SLC8A2,SLC8A2
MAP7D2,MAP7D2
LIN7A,LIN7A
KRT13,KRT13
UTP20,UTP20
U3,U3
PHACTR3,PHACTR3
U7,U7
SEMA4C,SEMA4C
DHDH,DHDH
FATE1,FATE1
SCGB3A1,SCGB3A1
SRL,SRL
FBXO15,FBXO15
RNF135,RNF135
FNDC11,FNDC11
TCF24,TCF24
SLC29A2,SLC29A2
CDK2AP2,CDK2AP2
SNORD30,SNORD30
ZNF251,ZNF251
NASP,NASP
SMAD7,SMAD7
ZC3H12B,ZC3H12B
DENND1A,DENND1A
Y_RNA,Y_RNA
KIAA0825,KIAA0825
U6,U6
ITGA2B,ITGA2B
SNORA70,SNORA70
KIZ,KIZ
U2,U2
IWS1,IWS1
PPP1R42,PPP1R42
TRPV4,TRPV4
U7,U7
PLEKHG6,PLEKHG6
NKG2D,KLRK1
ITGA1,ITGA1
ZBED5,ZBED5
CLVS1,CLVS1
Metazoa_SRP,Metazoa_SRP
NUB1,NUB1
IFT140,IFT140
SHKBP1,SHKBP1
TENT4B,TENT4B
SHBG,SHBG
BLCAP,BLCAP
HTR2C,HTR2C
CDK2AP1,CDK2AP1
GPC4,GPC4
POF1B,POF1B
DTYMK,DTYMK
TRMT61A,TRMT61A
SNX9,SNX9
GMPR,GMPR
RNF183,RNF183
XK,XK
GRIN2A,GRIN2A
EIF4G2,EIF4G2
ASAP1,ASAP1
PCBD1,PCBD1
LAS1L,LAS1L
ZNF34,ZNF34
U6,U6
Metazoa_SRP,Metazoa_SRP
GPR84,GPR84
MS4A13,MS4A13
TP53BP1,TP53BP1
U3,U3
SNORA48B,SNORA48B
ALKBH6,ALKBH6
U6,U6
CGN,CGN
CXCR2,CXCR2
CAMK4,CAMK4
TOP3B,TOP3B
CNGA2,CNGA2
NDUFAF4,NDUFAF4
U6,U6
RHOT1,RHOT1
SF3B1,SF3B1
ARHGEF10,ARHGEF10
KRT16,KRT16
ZG16,ZG16
ACSS3,ACSS3
U2,U2
PDXDC1,PDXDC1
PDRG1,PDRG1
SNORA70,SNORA70
PALB2,PALB2
U7,U7
PITPNM1,PITPNM1
PRPF4,PRPF4
BNIP3L,BNIP3L
Metazoa_SRP,Metazoa_SRP
U7,U7
PUS1,PUS1
TTC39B,TTC39B
RPL8,RPL8
WDR86,WDR86
ZNF385A,ZNF385A
Y_RNA,Y_RNA
DPEP2,DPEP2
KIF2A,KIF2A
COPS5,COPS5
Metazoa_SRP,Metazoa_SRP
ATP1B2,ATP1B2
BAG5,BAG5
MAP1B,MAP1B
CHM,CHM
CXCR1,CXCR1
CTIF,CTIF
DOCK11,DOCK11
ING5,ING5
POC1B,POC1B
CYBB,CYBB
U6,U6
STAP1,STAP1
SYCP2,SYCP2
DYSF,DYSF
SNORA35,SNORA35
KCNG3,KCNG3
C20H16orf54,C16orf54
mml-mir-874,MIR874
TNFRSF1A,TNFRSF1A
SBNO1,SBNO1
Y_RNA,Y_RNA
PCMTD2,PCMTD2
Y_RNA,Y_RNA
IGFBPL1,IGFBPL1
TMPRSS13,TMPRSS13
VEGFC,VEGFC
TRPC6,TRPC6
GNAL,GNAL
MFHAS1,MFHAS1
PROP1,PROP1
NRBP2,NRBP2
C16orf95,C16orf95
FOLR1,FOLR1
SGPL1,SGPL1
ZNRF1,ZNRF1
ASPH,ASPH
NCAPD3,NCAPD3
CA7,CA7
B4GAT1,B4GAT1
CLIP3,CLIP3
MAGEA4,MAGEA4
CTNNBL1,CTNNBL1
QPRT,QPRT
CD163L1,CD163L1
POU4F1,POU4F1
SCAF11,SCAF11
TP53,TP53
ALDH1B1,ALDH1B1
NETO1,NETO1
KLC1,KLC1
SNORD97,SNORD97
FAM178B,FAM178B
GABRE,GABRE
U4,U4
Metazoa_SRP,Metazoa_SRP
KPTN,KPTN
FBXO31,FBXO31
mml-mir-448,cja-mir-448
SLC6A19,SLC6A19
OBI1,OBI1
SPACA6,SPACA6
PDP2,PDP2
SOCS1,SOCS1
Metazoa_SRP,Metazoa_SRP
FHL5,FHL5
RHEB,RHEB
DPYSL2,DPYSL2
PKD2L2,PKD2L2
DPEP2NB,DPEP2NB
BRMS1,BRMS1
IL13RA2,IL13RA2
NEIL3,NEIL3
CREB1,CREB1
SPN,SPN
U1,U1
SORL1,SORL1
ARPC2,ARPC2
CTR9,CTR9
NPC1,NPC1
Metazoa_SRP,Metazoa_SRP
ADCY7,ADCY7
HAS1,HAS1
ANGPTL5,ANGPTL5
ATP2B1,ATP2B1
SLF1,SLF1
TBATA,TBATA
MS4A1,MS4A1
RFFL,RFFL
CSPP1,CSPP1
MRPS27,MRPS27
CDH16,CDH16
XPNPEP2,XPNPEP2
WASHC1,WASHC1
U6,U6
GLTP,GLTP
UFL1,UFL1
LDHD,LDHD
ZNF7,ZNF7
SLC41A3,SLC41A3
N4BP3,N4BP3
Y_RNA,Y_RNA
mml-mir-361,cja-mir-361
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
DIMT1,DIMT1
THUMPD3,THUMPD3
D2HGDH,D2HGDH
FPR1,FPR1
GPATCH8,GPATCH8
CD2BP2,CD2BP2
Metazoa_SRP,Metazoa_SRP
DUS2,DUS2
FLT4,FLT4
MIR3661,MIR3661
MSN,MSN
INPPL1,INPPL1
ATF7IP2,ATF7IP2
U6,U6
AKR1B10,AKR1B10
TFAP4,TFAP4
EML4,EML4
IL10RA,IL10RA
Y_RNA,Y_RNA
FPR2,FPR2
CEP126,CEP126
FREM1,FREM1
LTBP4,LTBP4
CSTF3,CSTF3
IAPP,IAPP
GMEB2,GMEB2
GOT1L1,GOT1L1
U8,U8
PRAG1,PRAG1
VSTM2L,VSTM2L
FPR3,FPR3
THAP8,THAP8
MS4A5,MS4A5
RGMB,RGMB
SRCIN1,SRCIN1
SMIM35,SMIM35
OLFML1,OLFML1
AUP1,AUP1
RPGRIP1L,RPGRIP1L
MSH6,MSH6
SCNN1A,SCNN1A
SEC61A2,DHTKD1
RMND5B,RMND5B
SYTL5,SYTL5
UBE2B,UBE2B
CBLN2,CBLN2
COX5B,COX5B
SHB,SHB
U6,U6
U6,U6
PYROXD1,PYROXD1
Metazoa_SRP,Metazoa_SRP
ODF1,ODF1
IQSEC3,IQSEC3
Metazoa_SRP,Metazoa_SRP
RBM26,RBM26
Metazoa_SRP,Metazoa_SRP
EP400,EP400
METTL21A,METTL21A
DACH2,DACH2
MCTP1,MCTP1
RCCD1,RCCD1
MLPH,MLPH
GUF1,GUF1
LTBR,LTBR
U6,U6
ITGA5,ITGA5
TMPRSS4,TMPRSS4
Y_RNA,Y_RNA
U6,U6
CDC26,CDC26
GPC3,GPC3
ZNF577,ZNF577
U7,U7
SASH3,SASH3
SYNJ2,SYNJ2
ABO,ABO
SNORA84,SNORA84
TCHP,TCHP
DCAF10,DCAF10
WDR62,WDR62
ADRA1A,ADRA1A
ACTR1B,ACTR1B
PI16,PI16
TMEM204,TMEM204
ADAMTS14,ADAMTS14
HSD17B4,HSD17B4
mml-mir-224,cja-mir-224
U6,U6
ARX,ARX
PRKAG2,PRKAG2
CFAP300,CFAP300
TRIM16,TRIM16
ZFP1,ZFP1
RIN1,RIN1
GRXCR2,GRXCR2
SLC31A1,SLC31A1
5S_rRNA,5S_rRNA
SYT9,SYT9
BMPR1A,BMPR1A
MIR452,cja-mir-452
U6,U6
MASTL,MASTL
NFATC3,NFATC3
SLC6A18,SLC6A18
SETD5,SETD5
POGZ,POGZ
Y_RNA,Y_RNA
SCARNA18,SCARNA18
TTI1,TTI1
MAGEA10,MAGEA10
CBR4,CBR4
RECQL,RECQL
NOL8,NOL8
GPBAR1,GPBAR1
GPI,GPI
U6,U6
CENPO,CENPO
Metazoa_SRP,Metazoa_SRP
CTNNA1,CTNNA1
NAPA,NAPA
Metazoa_SRP,Metazoa_SRP
ACSM4,ACSM4
WRAP53,WRAP53
STMN3,STMN3
U6,U6
CENPC,CENPC
Y_RNA,Y_RNA
CRAMP1,CRAMP1L
LONRF1,LONRF1
SCN4B,SCN4B
TIMM22,TIMM22
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
GABRA3,GABRA3
PPFIA2,PPFIA2
PIEZO2,PIEZO2
ADCY2,ADCY2
KLRD1,KLRD1
FAM13B,FAM13B
PTCD2,PTCD2
Metazoa_SRP,Metazoa_SRP
XRCC4,XRCC4
Metazoa_SRP,Metazoa_SRP
mml-mir-92a-2,cja-mir-92a-1
TNP2,TNP2
STARD4,STARD4
CYP4F2,CYP4F12
COMMD5,COMMD5
CHD1,CHD1
MS4A14,MS4A14
SNORA35B,SNORA35B
Metazoa_SRP,Metazoa_SRP
DQX1,DQX1
mml-mir-223,cja-mir-223
MAP1LC3B,MAP1LC3B
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
ATF2,ATF2
U3,U3
KLHL4,KLHL4
U7,U7
RRAD,RRAD
VSIG4,VSIG4
GAL3ST2,GAL3ST2
KCNK12,KCNK12
