Gene name,Human gene name
MAZ,MAZ
ZSWIM6,ZSWIM6
PTK6,PTK6
PUF60,PUF60
CHN1,CHN1
OR5M9,OR5M9
EFHC2,EFHC2
CPO,CPO
KCTD8,KCTD8
NUCB1,NUCB1
SNORD115,SNORD115-11
MVK,MVK
NTAN1,NTAN1
GRN,GRN
HDHD3,HDHD3
MS4A8,MS4A8
SRD5A1,SRD5A1
Metazoa_SRP,RN7SL551P
CD9,CD9
U6,RNU6-697P
OR8U1,OR8U1
SNAPC3,SNAPC3
RUFY4,RUFY4
KRT36,KRT36
TIMM21,TIMM21
ANKRD23,ANKRD23
WDR44,WDR44
TIMM23,TIMM23
PEX5,PEX5
TUBGCP4,TUBGCP4
U6,RNU6-950P
Metazoa_SRP,RN7SL266P
UBFD1,UBFD1
MYF6,MYF6
FAM171A2,FAM171A2
SAT2,SAT2
HTRA2,HTRA2
OR8J1,OR8J1
KIF22,KIF22
NPAS4,NPAS4
BSPRY,BSPRY
PRRG3,PRRG3
DPEP3,DPEP3
BCAS3,BCAS3
SDHAF1,SDHAF1
FN1,FN1
GNPDA2,GNPDA2
KDM5C,KDM5C
OCRL,OCRL
Y_RNA,Y_RNA
CLN8,CLN8
U6,RNU6-768P
SRMS,SRMS
TENT4A,TENT4A
PGR,PGR
EDNRB,EDNRB
HS6ST2,HS6ST2
MYF5,MYF5
CARTPT,CARTPT
SYNE4,SYNE4
CABP2,CABP2
Metazoa_SRP,RN7SL865P
PAPOLA,PAPOLA
NRIP1,NRIP1
FAM222A,FAM222A
SNORD36,SNORD36C
WDR31,WDR31
DNAJC6,DNAJC6
U6,RNU6-399P
SLC8A2,SLC8A2
MAP7D2,MAP7D2
LIN7A,LIN7A
U1,RNU1-84P
SNORD36,SNORD36A
UTP20,UTP20
U3,U3
PHACTR3,PHACTR3
MAS1,MAS1
USP26,USP26
U7,RNU7-181P
SEMA4C,SEMA4C
DHDH,DHDH
FATE1,FATE1
SCGB3A1,SCGB3A1
SRL,SRL
SNORD87,SNORD87
FBXO15,FBXO15
U1,RNU1-57P
SNORD36,SNORD36B
Y_RNA,Y_RNA
RNF135,RNF135
FNDC11,FNDC11
TCF24,TCF24
SLC29A2,SLC29A2
CDK2AP2,CDK2AP2
SNORD30,SNORD30
SNORD24,SNORD24
LANCL3,LANCL3
ZNF251,ZNF251
NASP,NASP
SMAD7,SMAD7
ZC3H12B,ZC3H12B
DENND1A,DENND1A
Y_RNA,RNY4P3
KIAA0825,KIAA0825
U6,RNU6-913P
Metazoa_SRP,Metazoa_SRP
TFDP3,TFDP3
AKR1B1,AKR1B1
ITGA2B,ITGA2B
MTRFR,MTRFR
CAPN12,CAPN12
SNORA70,SNORA70
KIZ,KIZ
VPREB1,VPREB1
IWS1,IWS1
PPP1R42,PPP1R42
TRPV4,TRPV4
U7,RNU7-88P
U1,RNU1-115P
PLEKHG6,PLEKHG6
HELZ2,HELZ2
NKG2D,KLRK1
ITGA1,ITGA1
ZBED5,ZBED5
CLVS1,CLVS1
Metazoa_SRP,RN7SL487P
NUB1,NUB1
IFT140,IFT140
SHKBP1,SHKBP1
TENT4B,TENT4B
SHBG,SHBG
mml-mir-148b,MIR148B
mml-mir-554,MIR554
BLCAP,BLCAP
HTR2C,HTR2C
CDK2AP1,CDK2AP1
GPC4,GPC4
Metazoa_SRP,RN7SL744P
POF1B,POF1B
DTYMK,DTYMK
TRMT61A,TRMT61A
SNX9,SNX9
GMPR,GMPR
RNF183,RNF183
XK,XK
GRIN2A,GRIN2A
EIF4G2,EIF4G2
SC5D,SC5D
ASAP1,ASAP1
PCBD1,PCBD1
LAS1L,LAS1L
ZNF34,ZNF34
U6,RNU6-319P
Metazoa_SRP,RN7SL509P
GPR84,GPR84
MS4A13,MS4A13
TP53BP1,TP53BP1
SNORA48B,SNORA48B
ALKBH6,ALKBH6
U6,RNU6-137P
BAX,BAX
CXCR2,CXCR2
CAMK4,CAMK4
TOP3B,TOP3B
CNGA2,CNGA2
NDUFAF4,NDUFAF4
U6,RNU6-521P
RHOT1,RHOT1
SF3B1,SF3B1
ARHGEF10,ARHGEF10
KLF7,KLF7
Metazoa_SRP,RN7SL395P
KRT16,KRT16
ZG16,ZG16
ACSS3,ACSS3
PDXDC1,PDXDC1
PDRG1,PDRG1
SNORA70,SNORA70
PALB2,PALB2
U7,RNU7-141P
PITPNM1,PITPNM1
PRPF4,PRPF4
BNIP3L,BNIP3L
Metazoa_SRP,RN7SL246P
U7,RNU7-160P
PUS1,PUS1
TTC39B,TTC39B
RPL8,RPL8
WDR86,WDR86
ZNF385A,ZNF385A
DPEP2,DPEP2
KIF2A,KIF2A
PRELID2,PRELID2
COPS5,COPS5
Metazoa_SRP,RN7SL401P
RNU6ATAC,RNU6ATAC
ATP1B2,ATP1B2
BAG5,BAG5
MAP1B,MAP1B
CHM,CHM
CXCR1,CXCR1
CTIF,CTIF
DOCK11,DOCK11
ING5,ING5
POC1B,POC1B
CYBB,CYBB
U6,RNU6-365P
STAP1,STAP1
SYCP2,SYCP2
DYSF,DYSF
SNORA35,SNORA35
KCNG3,KCNG3
C20H16orf54,C16orf54
mml-mir-874,MIR874
TNFRSF1A,TNFRSF1A
SBNO1,SBNO1
Y_RNA,RNY3P3
PCMTD2,PCMTD2
Y_RNA,Y_RNA
IGFBPL1,IGFBPL1
TMPRSS13,TMPRSS13
VEGFC,VEGFC
TRPC6,TRPC6
GNAL,GNAL
WDR5,WDR5
MFHAS1,MFHAS1
PROP1,PROP1
NRBP2,NRBP2
C16orf95,C16orf95
FOLR1,FOLR1
SGPL1,SGPL1
ZNRF1,ZNRF1
ASPH,ASPH
NCAPD3,NCAPD3
CA7,CA7
B4GAT1,B4GAT1
CLIP3,CLIP3
MIR1264,MIR1264
GPR63,GPR63
CRYGN,CRYGN
MAGEA4,MAGEA4
CTNNBL1,CTNNBL1
QPRT,QPRT
CD163L1,CD163L1
POU4F1,POU4F1
SCAF11,SCAF11
TP53,TP53
PNMA2,PNMA2
ZNF517,ZNF775
ALDH1B1,ALDH1B1
NETO1,NETO1
KLC1,KLC1
SNORD97,SNORD97
FAM178B,FAM178B
GABRE,GABRE
U4,RNU4-70P
Metazoa_SRP,RN7SL76P
KPTN,KPTN
FBXO31,FBXO31
mml-mir-448,MIR448
SLC6A19,SLC6A19
OBI1,OBI1
SPACA6,SPACA6
PDP2,PDP2
SOCS1,SOCS1
FHL5,FHL5
RHEB,RHEB
DPYSL2,DPYSL2
PKD2L2,PKD2L2
DPEP2NB,DPEP2NB
BRMS1,BRMS1
IL13RA2,IL13RA2
NEIL3,NEIL3
CREB1,CREB1
SPN,SPN
U1,RNU1-30P
SORL1,SORL1
ARPC2,ARPC2
MSMB,MSMB
CTR9,CTR9
NPC1,NPC1
Metazoa_SRP,RN7SL493P
ADCY7,ADCY7
HAS1,HAS1
ANGPTL5,ANGPTL5
CLDN23,CLDN23
ATP2B1,ATP2B1
U6,RNU6-359P
SLF1,SLF1
TBATA,TBATA
MS4A1,MS4A1
RFFL,RFFL
CSPP1,CSPP1
MRPS27,MRPS27
CDH16,CDH16
RUVBL2,RUVBL2
DYNLT3,DYNLT3
DDX28,DDX28
XPNPEP2,XPNPEP2
WASHC1,WASHC1
U6,RNU6-1114P
GLTP,GLTP
UFL1,UFL1
LDHD,LDHD
ZNF7,ZNF7
SLC41A3,SLC41A3
N4BP3,N4BP3
Y_RNA,Y_RNA
mml-mir-361,MIR361
Metazoa_SRP,Metazoa_SRP
DIMT1,DIMT1
Metazoa_SRP,Metazoa_SRP
THUMPD3,THUMPD3
D2HGDH,D2HGDH
FPR1,FPR1
GPATCH8,GPATCH8
CD2BP2,CD2BP2
Metazoa_SRP,RN7SL178P
DUS2,DUS2
FLT4,FLT4
MTCH1,MTCH1
MIR3661,MIR3661
MSN,MSN
INPPL1,INPPL1
MYLIP,MYLIP
ATF7IP2,ATF7IP2
AKR1B10,AKR1B10
TFAP4,TFAP4
EML4,EML4
IL10RA,IL10RA
Y_RNA,Y_RNA
FPR2,FPR2
Metazoa_SRP,RN7SL455P
CEP126,CEP126
IRAG2,IRAG2
FREM1,FREM1
LTBP4,LTBP4
CSTF3,CSTF3
IAPP,IAPP
GMEB2,GMEB2
GOT1L1,GOT1L1
U8,U8
PRAG1,PRAG1
VSTM2L,VSTM2L
Metazoa_SRP,RN7SL291P
FPR3,FPR3
U4,RNU4-48P
THAP8,THAP8
MS4A5,MS4A5
RGMB,RGMB
SRCIN1,SRCIN1
SMIM35,SMIM35
OLFML1,OLFML1
AUP1,AUP1
RPGRIP1L,RPGRIP1L
XKR7,XKR7
MSH6,MSH6
DUSP21,DUSP21
SCNN1A,SCNN1A
SEC61A2,DHTKD1
RMND5B,RMND5B
SYTL5,SYTL5
UBE2B,UBE2B
CBLN2,CBLN2
COX5B,COX5B
PROC,PROC
SHB,SHB
U6,RNU6-701P
U6,RNU6-648P
PYROXD1,PYROXD1
ODF1,ODF1
IQSEC3,IQSEC3
Metazoa_SRP,RN7SL441P
RBM26,RBM26
Metazoa_SRP,RN7SL828P
EP400,EP400
METTL21A,METTL21A
DACH2,DACH2
MCTP1,MCTP1
RCCD1,RCCD1
MLPH,MLPH
GUF1,GUF1
LTBR,LTBR
LRCH2,LRCH2
U6,RNU6-203P
ITGA5,ITGA5
TMPRSS4,TMPRSS4
U6,RNU6-147P
CDC26,CDC26
GPC3,GPC3
ZNF577,ZNF577
U7,RNU7-124P
NCOA4,NCOA4
SASH3,SASH3
SYNJ2,SYNJ2
ABO,ABO
SNORA84,SNORA84
TCHP,TCHP
DCAF10,DCAF10
WDR62,WDR62
ADRA1A,ADRA1A
ACTR1B,ACTR1B
LGALS4,LGALS4
PI16,PI16
TMEM204,TMEM204
ADAMTS14,ADAMTS14
HSD17B4,HSD17B4
mml-mir-224,MIR224
U6,RNU6-663P
ARX,ARX
PRKAG2,PRKAG2
U6,RNU6-1336P
CFAP300,CFAP300
TRIM16,TRIM16
ZFP1,ZFP1
RIN1,RIN1
GRXCR2,GRXCR2
SLC31A1,SLC31A1
SYT9,SYT9
SLC25A51,SLC25A51
BMPR1A,BMPR1A
MIR452,MIR452
U6,RNU6-853P
TMEM167A,TMEM167A
MASTL,MASTL
NFATC3,NFATC3
SLC6A18,SLC6A18
SETD5,SETD5
POGZ,POGZ
SCARNA18,SCARNA18
ROPN1B,ROPN1B
TTI1,TTI1
MAGEA10,MAGEA10
CBR4,CBR4
RECQL,RECQL
NOL8,NOL8
GPBAR1,GPBAR1
GPI,GPI
U6,RNU6-763P
CENPO,CENPO
Metazoa_SRP,RN7SL606P
CTNNA1,CTNNA1
NAPA,NAPA
ACSM4,ACSM4
WRAP53,WRAP53
STMN3,STMN3
U6,RNU6-1290P
CENPC,CENPC
Y_RNA,Y_RNA
CRAMP1,CRAMP1
LONRF1,LONRF1
U6,RNU6-633P
SCN4B,SCN4B
TIMM22,TIMM22
Y_RNA,Y_RNA
Metazoa_SRP,RN7SL153P
GABRA3,GABRA3
EIF1AX,EIF1AX
SNORD115,SNORD115-14
PPFIA2,PPFIA2
MIR363,MIR363
PIEZO2,PIEZO2
ADCY2,ADCY2
KLRD1,KLRD1
FAM13B,FAM13B
PTCD2,PTCD2
Metazoa_SRP,RN7SL448P
XRCC4,XRCC4
Metazoa_SRP,RN7SL91P
mml-mir-92a-2,MIR92A2
TNP2,TNP2
STARD4,STARD4
CYP4F2,CYP4F12
COMMD5,COMMD5
CHD1,CHD1
mml-mir-19b-2,MIR19B2
MS4A14,MS4A14
SNORA35B,SNORA35B
DQX1,DQX1
mml-mir-223,MIR223
Y_RNA,Y_RNA
mml-mir-20b,MIR20B
ATF2,ATF2
KLHL4,KLHL4
U7,RNU7-20P
RRAD,RRAD
OR10H5,OR10H5
VSIG4,VSIG4
TBX2,TBX2
GAL3ST2,GAL3ST2
KCNK12,KCNK12
PRC1,PRC1
COQ7,COQ7
EMP2,EMP2
HNRNPA3,HNRNPA3
Metazoa_SRP,RN7SL569P
OR10H1,OR10H1
AIP,AIP
TERT,TERT
C4H6orf89,C6orf89
PELO,PELO
CCDC160,CCDC160
Metazoa_SRP,RN7SL797P
LSM11,LSM11
MS4A7,MS4A7
FAM217B,FAM217B
Metazoa_SRP,RN7SL680P
ZNF250,ZNF250
VRK1,VRK1
POP5,POP5
MIR3926-2,MIR3926-2
TRARG1,TRARG1
CD248,CD248
CIAO2B,CIAO2B
SNORD115,SNORD115-9
YAP1,YAP1
CRB2,CRB2
FUT9,FUT9
ZNF366,ZNF366
SH3RF1,SH3RF1
ZNF286A,ZNF286A
HNRNPL,HNRNPL
AKR1A1,AKR1A1
TMEM151A,TMEM151A
ZBTB1,ZBTB1
MAGEB18,MAGEB18
COQ10B,COQ10B
MAP3K2,MAP3K2
CD163,CD163
ANKRD29,ANKRD29
U6,RNU6-664P
TAS2R50,TAS2R50
Metazoa_SRP,RN7SL795P
AAMP,AAMP
PARG,PARG
PLEC,PLEC
MAGEB6B,MAGEB6B
RBMXL2,RBMXL2
PHF6,PHF6
NEU4,NEU4
C5H4orf17,C4orf17
Y_RNA,Y_RNA
TRMT9B,TRMT9B
GTSF1,GTSF1
U6,RNU6-1140P
GLCE,GLCE
YIF1A,YIF1A
TEKT5,TEKT5
ZDHHC9,ZDHHC9
SPRED1,SPRED1
PLS3,PLS3
NHP2,NHP2
MSTN,MSTN
MSH2,MSH2
NFE2L2,NFE2L2
CLINT1,CLINT1
NDST2,NDST2
PPP1R3D,PPP1R3D
FLII,FLII
SCN2B,SCN2B
PRLH,PRLH
RPRD1B,RPRD1B
Y_RNA,Y_RNA
CDKN2AIPNL,CDKN2AIPNL
PDCD2L,PDCD2L
TBX4,TBX4
ARL1,ARL1
CCNYL1,CCNYL1
STMN4,STMN4
VCAN,VCAN
GLIS2,GLIS2
TBC1D10B,TBC1D10B
OSBPL11,OSBPL11
FKBP15,FKBP15
NLRP14,NLRP14
Y_RNA,Y_RNA
ZCCHC14,ZCCHC14
GOLT1B,GOLT1B
C12H2orf88,C2orf88
RGS22,RGS22
GIT2,GIT2
CCL27,CCL27
MS4A6E,MS4A6E
Y_RNA,Y_RNA
CDH26,CDH26
TLX2,TLX2
IRAG1,IRAG1
PDIA4,PDIA4
CES2,CES2
SNUPN,SNUPN
MANEA,MANEA
RPS6KA3,RPS6KA3
ELOVL6,ELOVL6
Metazoa_SRP,RN7SL258P
PAQR5,PAQR5
RTEL1,RTEL1
U6,RNU6-764P
U6,RNU6-456P
SOCS6,SOCS6
ARSB,ARSB
ADRB3,ADRB3
OGDH,OGDH
RAB17,RAB17
U6,RNU6-604P
ABCA3,ABCA3
ESRP2,ESRP2
PDCD1,PDCD1
TCP11L1,TCP11L1
CABP1,CABP1
EIF4EBP1,EIF4EBP1
IL13RA1,IL13RA1
Metazoa_SRP,RN7SL184P
PUDP,PUDP
PRDX1,PRDX1
SIM1,SIM1
U6,RNU6-840P
mml-mir-105-1,MIR105-1
PCGF1,PCGF1
MAGEB5,MAGEB5
TNPO1,TNPO1
GALNTL5,GALNTL5
ZNF16,ZNF16
JADE2,JADE2
U1,RNU1-138P
Vault,Vault
RNF180,RNF180
SIGMAR1,SIGMAR1
FZD2,FZD2
mml-mir-767,MIR767
NUBP1,NUBP1
HEPH,HEPH
IPO11,IPO11
CCM2L,CCM2L
CORO7,CORO7
HIBCH,HIBCH
ATM,ATM
ASH2L,ASH2L
NREP,NREP
STS,STS
FNDC8,FNDC8
MS4A4A,MS4A4A
U6,RNU6-1260P
SRPX,SRPX
SNORD115,SNORD115-6
TAS2R16,TAS2R16
U1,RNU1-142P
FMN1,FMN1
Metazoa_SRP,RN7SL334P
mml-mir-105-2,MIR105-2
UBA2,UBA2
CRK,CRK
SKIC3,SKIC3
Metazoa_SRP,RN7SL690P
PTRHD1,PTRHD1
CER1,CER1
U6,RNU6-1068P
RGS7BP,RGS7BP
GMCL2,GMCL2
Y_RNA,Y_RNA
RHBDL3,RHBDL3
U5,RNU5E-5P
GABRQ,GABRQ
CNIH2,CNIH2
NCKAP1L,NCKAP1L
DEPDC7,DEPDC7
JAML,JAML
ZBED3,ZBED3
RALGDS,RALGDS
Y_RNA,Y_RNA
HNRNPAB,HNRNPAB
MEIOC,MEIOC
U4,RNU4-8P
GMNN,GMNN
Metazoa_SRP,Metazoa_SRP
CLPTM1L,CLPTM1L
HPRT1,HPRT1
U6,RNU6-260P
SNORD115,SNORD115-7
ACBD5,ACBD5
BCAR1,BCAR1
MS4A6A,MS4A6A
U6,RNU6-949P
C13H2orf92,C2orf92
RTTN,RTTN
BRD7,BRD7
TRIM35,TRIM35
Y_RNA,Y_RNA
NLE1,NLE1
ZNF613,ZNF613
ZDHHC21,ZDHHC21
U6,RNU6-205P
DDHD1,DDHD1
POLR2I,POLR2I
SNORA47,SNORA47
AGPS,AGPS
TRMT10A,TRMT10A
TGM2,TGM2
KMT5A,KMT5A
NUMBL,NUMBL
C8H8orf33,C8orf33
ZCCHC12,ZCCHC12
FZD5,FZD5
ARFGEF1,ARFGEF1
STRBP,STRBP
MAP1A,MAP1A
MMACHC,MMACHC
ZSWIM8,ZSWIM8
PPIL1,PPIL1
PLA2G15,PLA2G15
GALK1,GALK1
SPX,SPX
RAD51C,RAD51C
GALNT11,GALNT11
HSPE1,MOB4
SNORD115,SNORD115-4
OSGIN1,OSGIN1
KRT19,KRT19
U2,RNU2-48P
IMP3,IMP3
NCOA1,NCOA1
CCDC43,CCDC43
RMC1,RMC1
Metazoa_SRP,RN7SL712P
JPT2,JPT2
FAM98B,FAM98B
U1,RNU1-19P
U6,RNU6-1147P
KIF23,KIF23
SNX4,SNX4
WDR41,WDR41
AGTR2,AGTR2
LBX2,LBX2
TMEM134,TMEM134
ANKRD62,ANKRD62
ARID3C,ARID3C
PLEKHG3,PLEKHG3
SNX33,SNX33
DCAF8L1,DCAF8L2
Metazoa_SRP,RN7SL32P
ZAP70,ZAP70
RTP5,RTP5
ENPEP,ENPEP
TVP23A,TVP23A
MYO1C,MYO1C
APOBEC1,APOBEC1
PLEKHM3,PLEKHM3
U6,RNU6-154P
U6,RNU6-650P
SNORD115,SNORD115-31
RILPL2,RILPL2
UBE2N,UBE2N
MAGEB10,MAGEB10
Metazoa_SRP,RN7SL174P
WTIP,WTIP
NKAIN3,NKAIN3
UTP14A,UTP14A
CPNE5,CPNE5
SLC6A14,SLC6A14
SAR1B,SAR1B
IFT81,IFT81
BPGM,BPGM
U1,RNU1-52P
LONRF3,LONRF3
MYBPC1,MYBPC1
MS4A2,MS4A2
LRRFIP1,LRRFIP1
OR2Y1,OR2Y1
LDB3,LDB3
CSPG4,CSPG4
BRIP1,BRIP1
LYVE1,LYVE1
GDF3,GDF3
PRM2,PRM2
ZNF786,ZNF786
GYS2,GYS2
IGBP1C,IGBP1C
DCTN3,DCTN3
ERCC3,ERCC3
TTC31,TTC31
Metazoa_SRP,RN7SL607P
Metazoa_SRP,RN7SL811P
TESK2,TESK2
MLEC,MLEC
MGAT1,MGAT1
ATP5MC3,ATP5MC3
NECAB2,NECAB2
XDH,XDH
NEK1,NEK1
EPHA7,EPHA7
PNKD,PNKD
U1,RNU1-108P
DCTN5,DCTN5
KRT9,KRT9
Y_RNA,Y_RNA
RASGRP1,RASGRP1
U7,RNU7-12P
U6,RNU6-1116P
INPP1,INPP1
DBF4B,DBF4B
RMI2,RMI2
OVOL3,OVOL3
SNORA13,SNORA13
TEX14,TEX14
mml-mir-450b,MIR450B
MCHR2,MCHR2
Y_RNA,Y_RNA
FAM240C,FAM240C
DMGDH,DMGDH
PRKG1,PRKG1
SNORD115,SNORD115-2
TAS2R20,TAS2R20
PRF1,PRF1
Y_RNA,Y_RNA
PTK2B,PTK2B
MTTP,MTTP
ZNF350,ZNF350
IL1RAPL1,IL1RAPL1
MRPL42,MRPL42
mml-mir-450a-1,MIR450A1
TBCB,TBCB
RNF141,RNF141
C16H17orf75,C17orf75
Y_RNA,Y_RNA
Metazoa_SRP,RN7SL169P
PLK1,PLK1
TMEM92,TMEM92
EPB41L4A,EPB41L4A
mml-mir-450a-2,MIR450A2
MIR4743,MIR4743
SLC38A1,SLC38A1
GABARAPL1,GABARAPL1
ZNF425,ZNF425
U6,RNU6-952P
ZNF214,ZNF214
ZNF541,ZNF541
mml-mir-542,MIR542
C4H6orf62,C6orf62
PRR16,PRR16
U6,RNU6-294P
NFIB,NFIB
SNRNP35,SNRNP35
CT83,CT83
ZBTB7C,ZBTB7C
QSER1,QSER1
Metazoa_SRP,RN7SL521P
PALD1,PALD1
BCORL1,BCORL1
U1,RNU1-63P
ZFP62,ZFP62
UNC45B,UNC45B
BIRC3,BIRC3
U6,RNU6-758P
SHISAL2B,SHISAL2B
EFNB3,EFNB3
ZNF398,ZNF398
CLEC4C,CLEC4C
KDM6A,KDM6A
ARMH3,ARMH3
UNC119B,UNC119B
U6,RNU6-324P
RPS15A,RPS15A
CABP4,CABP4
U4,RNU4-69P
IFT70B,IFT70B
GAST,GAST
KIAA1755,KIAA1755
OOSP4B,OOSP4B
CIMAP1C,CIMAP1C
GGH,GGH
CIDEA,CIDEA
CALD1,CALD1
KLC2,KLC2
ADAM11,ADAM11
ZNF148,ZNF148
ST3GAL1,ST3GAL1
BTNL8,BTNL8
RPP25L,RPP25L
CFDP1,CFDP1
ACOT13,ACOT13
DNAI7,DNAI7
RILPL1,RILPL1
TMBIM1,TMBIM1
MAPK8IP3,MAPK8IP3
ZNF615,ZNF615
Metazoa_SRP,RN7SL399P
COQ8B,COQ8B
U6,RNU6-699P
SLC6A12,SLC6A12
MIR424,MIR424
TOE1,TOE1
SREK1IP1,SREK1IP1
U6,RNU6-708P
U4,RNU4-68P
OTP,OTP
Metazoa_SRP,RN7SL322P
SH3RF2,SH3RF2
FCHO2,FCHO2
TGIF2LX,TGIF2LX
IFT70A,IFT70A
U6,RNU6-148P
LNPK,LNPK
TMEM52B,TMEM52B
U6,RNU6-170P
UNK,UNK
INTS2,INTS2
JUP,JUP
ZNF614,ZNF614
PLAC1,PLAC1
NSDHL,NSDHL
ZNF287,ZNF287
ATP2A2,ATP2A2
CD3E,CD3E
ZNF181,ZNF181
TUBB6,TUBB6
COX7A1,COX7A1
PLAC8L1,PLAC8L1
U3,U3
MFSD6,MFSD6
XRCC3,XRCC3
ACADS,ACADS
U2,RNU2-40P
SOCS2,SOCS2
TMEM131,TMEM131
OOSP4A,OOSP4A
AMPD3,AMPD3
Y_RNA,Y_RNA
mml-mir-125b-1,MIR125B1
BICRA,BICRA
U4,RNU4-44P
RFTN2,RFTN2
SMAD2,SMAD2
FTMT,FTMT
PHOX2A,PHOX2A
PDE11A,PDE11A
GPR152,GPR152
ZNF212,ZNF282
OR2D3,OR2D3
MYT1L,MYT1L
ITGA2,ITGA2
OLR1,OLR1
AFG3L2,AFG3L2
DNAH2,DNAH2
TDP2,TDP2
C5H4orf54,C4orf54
MAGEB3,MAGEB3
NCOA5,NCOA5
CNTFR,CNTFR
EHD3,EHD3
SLC38A8,SLC38A8
ERN2,ERN2
LARS1,LARS1
U6,RNU6-360P
SEPTIN4,SEPTIN4
OOSP1,OOSP1
BMERB1,BMERB1
ZNF432,ZNF432
CT47C1,CT47C1
mml-let-7a-2,MIRLET7A2
CORO1B,CORO1B
USP40,USP40
SRFBP1,SRFBP1
U6,RNU6-931P
MBP,MBP
MUTYH,MUTYH
Y_RNA,Y_RNA
BHMT2,BHMT
EPHA5,EPHA5
OR2D2,OR2D2
NDFIP2,NDFIP2
CENPP,CENPP
CCER1,CCER1
LRRTM2,LRRTM2
PABIR2,PABIR2
MAGEB1,MAGEB1
CIITA,CIITA
mml-mir-100,MIR100
RHOBTB1,RHOBTB1
PRDM13,PRDM13
EBF1,EBF1
U6,RNU6-195P
NKD1,NKD1
U6,RNU6-988P
U6,RNU6-1311P
JPH3,JPH3
EPYC,EPYC
KIAA1210,KIAA1210
OR10A4,OR10A4
SLC7A6,SLC7A6
ITPKC,ITPKC
U6,RNU6-88P
MYL11,MYL11
ZNF841,ZNF841
AP3B1,AP3B1
MIEF2,MIEF2
CWC27,CWC27
GABRG1,GABRG1
DGKA,DGKA
ZNF565,ZNF565
BMP4,BMP4
STAR,STAR
KIAA1671,KIAA1671
DAPP1,DAPP1
DYRK2,DYRK2
EPCAM,EPCAM
SLFN5,SLFN5
CLEC7A,CLEC7A
SPATC1,SPATC1
IDH3B,IDH3B
VCF1,VCF1
ZNF605,ZNF605
DCTN2,DCTN2
U6,RNU6-269P
CLPB,CLPB
CRYGD,CRYGD
PPM1F,PPM1F
SEC24A,SEC24A
U6,RNU6-1110P
NUDT5,NUDT5
EHD2,EHD2
UBE2W,UBE2W
MPZL2,MPZL2
BPI,BPI
SIL1,SIL1
RALGAPA2,RALGAPA2
Metazoa_SRP,RN7SL714P
CCNC,CCNC
ZFYVE21,ZFYVE21
RNF145,RNF145
MTNAP1,MTNAP1
ACTMAP,ACTMAP
OGN,OGN
CAPN14,CAPN14
ZNF207,ZNF207
OR2AG2,OR2AG1
ZNF599,ZNF599
Y_RNA,Y_RNA
TCN1,TCN1
TOP3A,TOP3A
OPLAH,OPLAH
NR0B1,NR0B1
HCK,HCK
CRYGC,CRYGC
MBTPS1,MBTPS1
ZFHX3,ZFHX3
CCDC142,CCDC142
TTPA,TTPA
CDKN3,CDKN3
IFNG,IFNG
CHP2,CHP2
NEMP2,NEMP2
OGDHL,OGDHL
ZNF185,ZNF185
PGRMC1,PGRMC1
ZNF48,ZNF48
CPSF4L,CPSF4L
BIRC2,BIRC2
KERA,KERA
TRIM7,TRIM7
TAS2R46,TAS2R30
Metazoa_SRP,RN7SL592P
GYS1,GYS1
CD3D,CD3D
OPN4,OPN4
BAG4,BAG4
Y_RNA,Y_RNA
PTPRCAP,PTPRCAP
MRPL17,MRPL17
ZNF616,ZNF616
SKOR2,SKOR2
SLFN13,SLFN13
TASL,TASL
FSCB,FSCB
MAPK1,MAPK1
LBP,LBP
CATIP,CATIP
ELF4,ELF4
ZNF146,ZNF146
CHPT1,CHPT1
MARS2,MARS2
U7,RNU7-129P
ZNF771,ZNF771
KLHDC4,KLHDC4
CRYBB3,CRYBB3
NOP53,NOP53
STX3,STX3
SNX20,SNX20
CHST6,CHST6
CYP27C1,CYP27C1
PDE1B,PDE1B
Metazoa_SRP,RN7SL760P
PRELID3A,PRELID3A
CDC42EP4,CDC42EP4
DNAI1,DNAI1
RPS6KB2,RPS6KB2
TAS2R14,TAS2R14
LAMTOR3,LAMTOR3
LUM,LUM
DCHS1,DCHS1
YTHDF3,YTHDF3
OMD,OMD
CRYGB,CRYGB
LRRC75A,LRRC75A
THBS1,THBS1
SPRY2,SPRY2
TMED2,TMED2
PITX2,PITX2
DDHD2,DDHD2
TAS2R42,TAS2R42
ZNF30,ZNF30
BOLL,BOLL
SNORA74,SNORA74A
HAPLN1,HAPLN1
SNORA80C,SNORA80C
NODAL,NODAL
CLEC1A,CLEC1A
CD3G,CD3G
ZFAT,ZFAT
SLC25A43,SLC25A43
RABGAP1,RABGAP1
ZNF236,ZNF236
KIAA0319,KIAA0319
U6,RNU6-1262P
ASPN,ASPN
TRIM41,TRIM41
JMY,JMY
TMEM231,TMEM231
IL26,IL26
DCTPP1,DCTPP1
U6,RNU6-1131P
CDS2,CDS2
MAL,MAL
ELOC,ELOC
ZNF836,ZNF836
PPP1R13B,PPP1R13B
NUDCD1,NUDCD1
SLC7A6OS,SLC7A6OS
ZNF792,ZNF792
NAB1,NAB1
IER3IP1,IER3IP1
MRPL53,MRPL53
CPA6,CPA6
DCN,DCN
CRYBB2,CRYBB2
SPPL3,SPPL3
P3H4,P3H4
RAB44,RAB44
INPP5K,INPP5K
NOD2,NOD2
SNORD67,SNORD67
RIOK3,RIOK3
CNIH1,CNIH1
