Gene name	Chimpanzee gene name	Chimpanzee homology type	%id. target Chimpanzee gene identical to query gene	%id. query gene identical to target Chimpanzee gene	Chimpanzee Gene-order conservation score	Chimpanzee Whole-genome alignment coverage	Chimpanzee orthology confidence [0 low, 1 high]
							
NDUFS1							
							
							
MIR4512							
							
RPL4	RPL4	ortholog_one2one	100	100	100	100.00	1
MUC20-OT1							
							
							
							
							
							
							
							
LINC01644							
MACROD2-AS1							
MIR6892							
MIR135A1	ptr-mir-135a-1	ortholog_one2one	100	100		100.00	1
EPHA1	EPHA1	ortholog_one2many	99.2828	99.2828	100	100.00	1
EPHA1	EPHA1	ortholog_one2many	99.2828	99.2828	100	100.00	1
PPP2R5CP							
BAP1	BAP1	ortholog_one2one	99.7257	99.7257	100	100.00	1
RNU6-1155P	U6	ortholog_one2one	99.0654	99.0654		100.00	1
							
							
RN7SL143P	Metazoa_SRP	ortholog_one2one	98.9899	98.9899		100.00	1
GEMIN8P2							
							
							
LINC00851							
RPL12P36							
RBL2	RBL2	ortholog_one2one	99.8244	99.8244	100	100.00	1
							
MIR6834	MIR6834	ortholog_one2one	100	100		100.00	1
							
							
							
							
RGL2	RGL2	ortholog_one2one	99.3565	99.3565	100	100.00	1
							
							
							
							
LINC00652							
							
RNF157	RNF157	ortholog_one2one	98.0854	97.2263	100	100.00	1
							
							
							
							
							
							
							
							
RN7SL760P	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
							
GYG1P1							
							
ELOC	TCEB1	ortholog_one2many	100	100	0	0.00	0
ELOC		ortholog_one2many	89.2857	86.9565	0	0.00	0
							
							
							
LCDR							
							
							
							
							
							
LARGE1-AS1							
							
							
SDCBP2-AS1							
							
							
							
CORO1C	CORO1C	ortholog_one2one	99.789	89.7533	100	100.00	1
PIP5K1C	PIP5K1C	ortholog_one2one	97.4551	91.9492	100	100.00	1
SNX17	SNX17	ortholog_one2one	99.7872	99.7872	100	100.00	1
							
							
RN7SL75P	Metazoa_SRP	ortholog_one2one	97.5089	97.5089		100.00	1
							
RPS2P35							
							
DPPA3P10							
RPGRIP1L	RPGRIP1L	ortholog_one2one	95.8175	99.2908	100	100.00	1
NANOGP5							
TAS2R62P							
							
							
TAS2R60	TAS2R60	ortholog_one2many	97.4843	97.4843	75	100.00	1
TAS2R60	TAS2R60	ortholog_one2many	97.4843	97.4843	75	100.00	1
TAS2R41	TAS2R41	ortholog_one2many	98.3713	98.3713	50	100.00	1
TAS2R41	TAS2R41	ortholog_one2many	98.3713	98.3713	50	100.00	1
CDK5RAP2	CDK5RAP2	ortholog_one2one	97.0417	96.5318	100	100.00	1
OR2R1P							
							
PAICSP5							
CTAGE15		ortholog_one2many	87.2587	87.3711	0	0.00	0
RNU6-162P	U6	ortholog_one2many	98.0583	96.1905		100.00	1
TAS2R1	TAS2R1	ortholog_one2one	93.311	97.5524	100	100.00	1
							
							
TCAF2C	TCAF2	ortholog_one2many	97.6124	85.3808	100	99.00	1
LINC01713							
DOK3	DOK3	ortholog_one2one	99.3182	88.1048	100	100.00	1
ATP5MGP6							
							
ATF4P3							
UBALD2	UBALD2	ortholog_one2one	100	100	100	100.00	1
AKAP9	AKAP9	ortholog_one2many	98.2851	98.5626	100	100.00	1
AKAP9	AKAP9	ortholog_one2many	99.3857	99.3603	100	100.00	1
							
							
RIPOR3-AS1							
TMEM70	TMEM70	ortholog_one2one	97.6923	97.6923	100	100.00	1
							
							
							
							
TSEN34							
RPS20P14							
							
							
KDM6B	KDM6B	ortholog_one2one	99.3914	97.2603	100	100.00	1
RPL29P9							
RPL39L	RPL39L	ortholog_one2one	98.0392	98.0392	100	100.00	1
							
							
							
							
							
LINC01733							
DGCR5							
							
							
							
							
							
BTBD3-AS1							
ST6GAL1	ST6GAL1	ortholog_one2one	99.5074	99.5074	100	100.00	1
							
ADNP-AS1							
RPS20P21							
DSTNP3							
LY96	LY96	ortholog_one2one	99.375	99.375	100	100.00	1
							
RPS9							
							
SLCO4A1-AS1							
							
RNU6-1300P	U6	ortholog_one2one	97.2222	97.2222		100.00	1
RPS3AP32							
RNU6-1197P	U6	ortholog_one2one	100	100		100.00	1
PPP1R42	PPP1R42	ortholog_one2one	91.5129	71.4697	100	100.00	0
							
MUC20							
SNORD18C	SNORD18	ortholog_one2one	98.5507	98.5507		100.00	1
							
KRTAP17-1	KRTAP17-1	ortholog_one2one	100	100	100	100.00	1
		ortholog_one2one	100	100		100.00	1
							
SNORD18B	SNORD18	ortholog_one2one	100	100		100.00	1
							
SNORD16	SNORD16	ortholog_one2one	100	100		100.00	1
ZNF513	ZNF513	ortholog_one2one	99.6303	99.6303	100	100.00	1
SNORD18A	SNORD18	ortholog_one2one	100	100		100.00	1
RPS23		ortholog_one2one	81.1189	88.5496	0	0.00	0
							
ZWILCH	ZWILCH	ortholog_one2one	94.9239	95.5707	100	100.00	1
TBC1D3P7							
							
							
KRT33A	KRT33A	ortholog_one2one	84.1584	83.9506	100	100.00	1
							
							
							
							
							
							
							
AKAP8	AKAP8	ortholog_one2one	99.422	99.422	100	100.00	1
KRT33B	KRT33B	ortholog_one2one	98.7624	93.007	100	100.00	1
PPM1G	PPM1G	ortholog_one2one	100	100	100	100.00	1
							
CABP7-DT							
							
							
							
LINC01310							
SMIM40							
MYL12BP3							
OR14J1	OR14J1	ortholog_one2one	99.3769	99.3769	100	100.00	1
RBM12B	RBM12B	ortholog_one2one	87.3127	99.2055	100	100.00	1
MUC4							
KRT31	KRT31	ortholog_one2one	99.7596	92.0177	100	100.00	1
TMCO2	TMCO2	ortholog_one2one	98.3516	98.3516	100	100.00	1
SLC22A7	SLC22A7	ortholog_one2one	99.635	99.635	100	100.00	1
FAM230I							
							
DCP2	DCP2	ortholog_one2one	99.7619	99.7619	100	100.00	1
							
Y_RNA	Y_RNA	ortholog_one2one	95.8333	96.8421		100.00	1
ELOBP4							
EIF2S2P6							
RPL37P18							
							
ZMPSTE24	ZMPSTE24	ortholog_one2one	90.7368	89.7917	100	100.00	1
RPS12P16							
SS18L2P1							
ZNF7	ZNF7	ortholog_one2one	98.9796	97.4175	100	100.00	1
RNU6-847P	U6	ortholog_one2many	85.1852	92		0.00	0
RNU6-847P	U6	ortholog_one2many	85.1852	92		100.00	1
RNU6-193P	U6	ortholog_one2many	99.0654	99.0654		100.00	1
RNU6-193P	U6	ortholog_one2many	99.0654	99.0654		0.00	0
MED13L	MED13L	ortholog_one2one	99.8643	99.8643	100	100.00	1
SNORD81	SNORD81	ortholog_one2one	98.6842	98.6842		100.00	1
PRDX2P2							
DDIAS	DDIAS	ortholog_one2one	98.0962	98.0962	100	100.00	1
							
							
ANKRD30A	ANKRD30A	ortholog_one2one	88.6185	84.2177	100	99.94	1
							
LINC03083							
KLF15	KLF15	ortholog_one2one	98.7981	98.7981	100	100.00	1
							
							
CEBPB-AS1							
							
RPL6P19							
CREB3L2-AS1							
							
KRT41P							
							
KRT37	KRT37	ortholog_one2one	97.9955	97.9955	100	100.00	1
							
FTH1P3							
CFAP100	CFAP100	ortholog_one2one	98.6907	98.6907	100	100.00	1
							
							
HYCC1	HYCC1	ortholog_one2one	99.8081	99.8081	100	100.00	1
NRBP1	NRBP1	ortholog_one2one	100	98.5267	100	100.00	1
							
							
							
							
							
LINC01721							
FAM20A	FAM20A	ortholog_one2one	99.0758	99.0758	100	100.00	1
							
							
COL9A2	COL9A2	ortholog_one2one	98.984	98.984	100	100.00	1
							
							
							
							
							
							
CNNM1	CNNM1	ortholog_one2one	99.6845	99.6845	100	100.00	1
AK3P3							
GPR85		ortholog_one2one	30.5405	92.6229	100	100.00	0
							
							
							
KLHL5	KLHL5	ortholog_one2one	97.6023	91.4135	100	100.00	1
							
							
							
							
							
							
							
ZXDC	ZXDC	ortholog_one2one	99.4173	99.4173	100	100.00	1
LILRB3							
							
GRAMD1A	GRAMD1A	ortholog_one2one	97.7901	87.1921	100	100.00	1
CRIP3	CRIP3	ortholog_one2one	99.5098	99.5098	100	100.00	1
RPL7AP54							
							
							
							
ZNF608	ZNF608	ortholog_one2one	99.6032	99.6032	100	100.00	1
							
RAB30	RAB30	ortholog_one2one	100	100	100	100.00	1
							
							
							
STK4-DT							
NUDT1	NUDT1	ortholog_one2one	99.359	81.5789	100	100.00	1
							
							
							
POM121L15P							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
GOT1	GOT1	ortholog_one2one	100	100	100	100.00	1
							
							
RPL12P47							
RPL34P14							
							
RPS2P28							
							
							
							
ENPP1	ENPP1	ortholog_one2one	99.3513	99.3513	100	100.00	1
MUC20-OT1							
CEP250-AS1							
C22orf46P							
UROC1	UROC1	ortholog_one2one	99.1124	91.0326	100	100.00	1
TUBB3	TUBB3	ortholog_one2one	96.4444	54.4542	100	100.00	0
							
							
LINC00659							
							
							
							
ARSG	ARSG	ortholog_one2one	99.619	99.619	100	100.00	1
							
SDHAP2							
FAM230H							
							
							
PPP4R2P6							
OGFR-AS1							
MUC20-OT1							
							
HM13-AS1							
AFAP1L2	AFAP1L2	ortholog_one2one	99.3888	99.3888	100	100.00	1
LINC01524							
RCHY1	RCHY1	ortholog_one2one	99.6169	99.6169	100	100.00	1
							
							
GAPDHP40							
Y_RNA	Y_RNA	ortholog_one2one	99.0196	99.0196		100.00	1
TTC1	TTC1	ortholog_one2one	99.3151	99.3151	100	100.00	1
PURG	PURG	ortholog_one2one	85.879	92.5466	100	100.00	1
EEF1B2							
							
							
RPL34P17							
ALKAL1	ALKAL1	ortholog_one2one	99.2248	99.2248	100	100.00	1
							
							
							
C3orf22	C3H3orf22	ortholog_one2one	97.8723	97.8723	100	100.00	1
							
EIF4H	EIF4H	ortholog_one2one	100	100	100	100.00	1
HMGB1P19							
KRTCAP3	KRTCAP3	ortholog_one2one	99.1667	99.1667	100	100.00	1
U3	U3	ortholog_one2one	99.0741	99.0741		100.00	1
AMZ2	AMZ2	ortholog_one2one	98.3333	98.3333	100	100.00	1
FAM83A-AS2							
							
RPL21P20							
							
MIR4663							
							
C8orf76	C8H8orf76	ortholog_one2one	98.6842	98.6842	100	100.00	1
RNA5SP138							
							
							
METTL5P2							
							
SF3A2P1							
							
TMEM191A							
RCC2P4							
ZFP69B	ZFP69B	ortholog_one2one	98.8764	98.8764	100	100.00	1
NRROS	NRROS	ortholog_one2one	97.6879	97.6879	75	100.00	1
RNU6-646P	U6	ortholog_one2one	98.1132	98.1132		100.00	1
PAK2	PAK2	ortholog_one2one	80.1527	88.2353	75	100.00	1
							
							
LILRA6							
							
							
ADAT1	ADAT1	ortholog_one2one	98.8048	98.8048	100	100.00	1
							
SNORA70E	SNORA70	ortholog_one2one	97.037	97.037		100.00	1
LINC02951							
							
							
COX5BP4							
AUNIP	AUNIP	ortholog_one2one	96.9188	93.2615	100	100.00	1
							
RN7SL286P	Metazoa_SRP	ortholog_many2many	64.6048	79.3249		100.00	0
RN7SL286P	Metazoa_SRP	ortholog_many2many	60.8247	74.6835		0.00	0
RN7SL286P	Metazoa_SRP	ortholog_many2many	64.6048	78.9916		0.00	0
RN7SL286P	Metazoa_SRP	ortholog_many2many	64.6048	79.3249		0.00	0
RN7SL286P	Metazoa_SRP	ortholog_many2many	64.6048	79.3249		0.00	0
WBP1LP10							
ARHGAP11A	ARHGAP11A	ortholog_one2one	99.3157	99.3157	50	100.00	1
OR4F2P							
CICP23							
RNU6-447P	U6	ortholog_one2one	100	100		0.00	0
SCGB1C1		ortholog_one2many	95.7895	95.7895	50	100.00	1
							
RNU6-986P	U6	ortholog_one2one	100	100		100.00	1
FNDC4	FNDC4	ortholog_one2one	99.5726	99.5726	100	100.00	1
PAQR7	PAQR7	ortholog_one2one	99.711	99.711	100	100.00	1
ZHX1-C8orf76							
RNU4-89P	U4	ortholog_one2one	71.4286	77.2358		100.00	0
RNU6-42P							
LYPLA2P1							
CEP19	CEP19	ortholog_one2one	100	97.6048	100	100.00	1
CMKLR2							
MIR6743	MIR6743	ortholog_one2one	100	100		100.00	1
RPL35AP4							
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
SNRPFP2							
KIFC1	KIFC1	ortholog_one2one	98.8113	90.9713	100	100.00	1
SIRT3	SIRT3	ortholog_one2one	98.4962	98.4962	100	100.00	1
							
MIR3917	MIR3917	ortholog_one2one	100	100		100.00	1
RNU6-369P	U6	ortholog_one2one	98.0392	98.0392		100.00	1
UBA52P5							
MIR5584	MIR5584	ortholog_one2one	100	100		100.00	1
							
TMEM53	TMEM53	ortholog_one2one	99.639	99.639	100	100.00	1
ADAMTS19	ADAMTS19	ortholog_one2one	99.5878	99.5878	100	100.00	1
ZHX1	ZHX1	ortholog_one2one	97.48	99.6487	100	100.00	1
RFX2	RFX2	ortholog_one2one	98.0636	97.7931	100	100.00	1
ELMO1	ELMO1	ortholog_one2one	95.3232	90.117	100	100.00	1
							
FAM83C-AS1							
LINC02025							
							
CADM2	CADM2	ortholog_one2one	95.7921	88.5583	100	100.00	1
							
							
							
RN7SL384P	Metazoa_SRP	ortholog_one2one	98.9933	98.9933		100.00	1
							
							
RPL5P25							
							
OPTN	OPTN	ortholog_one2one	99.1334	99.1334	100	100.00	1
							
							
TMX4-AS1							
							
ZDBF2							
RNU6-628P	U6	ortholog_one2one	98.1308	98.1308		100.00	1
							
FAM83A	FAM83A	ortholog_one2one	99.0783	99.0783	100	100.00	1
ARMH1	ARMH1	ortholog_one2one	99.7727	99.7727	100	100.00	1
							
							
							
IFT172	IFT172	ortholog_one2one	98.7421	97.7363	100	100.00	1
CNGB1							
							
							
							
MUC20							
PLK2	PLK2	ortholog_one2one	100	100	100	100.00	1
LINC01589							
RPL12P1							
PHF1	PHF1	ortholog_one2one	99.1182	99.1182	100	100.00	1
							
							
NLRP6	NLRP6	ortholog_one2one	98.541	98.4305	100	100.00	1
							
LINC02909							
							
							
							
							
							
							
MIRLET7BHG							
							
							
							
CENPUP2							
							
							
							
LINC01275							
							
MUC4							
MUC4							
PGGHG	PGGHG	ortholog_one2one	98.9145	98.9145	100	100.00	1
DNAI7	DNAI7	ortholog_one2one	95.5679	82.5359	100	100.00	1
MIR548V							
RNA5SP256							
MTUS1	MTUS1	ortholog_one2one	98.189	98.189	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	98.9796	95.098		100.00	1
MIR6785							
							
LINC01273							
CASKIN2	CASKIN2	ortholog_one2one	99.8336	99.8336	100	100.00	1
							
							
							
							
							
							
							
LINC01718							
							
							
MIR5688							
CADM2-AS2							
MBNL3	MBNL3	ortholog_one2one	98.8701	94.851	100	100.00	1
ZNF337-AS1							
CADM2-AS1							
KIF2C	KIF2C	ortholog_one2one	99.4483	99.4483	100	100.00	1
THAP12P2							
		ortholog_one2one	98.6111	97.2603		100.00	1
COPB2	COPB2	ortholog_one2one	99.6689	99.6689	100	100.00	1
IFITM5	IFITM5	ortholog_one2one	99.2424	99.2424	100	100.00	1
							
							
							
C4orf54	C4h4orf54	ortholog_one2one	99.1634	99.1634	100	100.00	1
B4GALNT4	B4GALNT4	ortholog_one2one	99.1338	99.2293	100	100.00	1
UGT2B29P							
							
GREM1-AS1							
LINC01639							
UGT2B17		ortholog_one2one	78.4906	97.4239	100	100.00	0
							
GREM1							
							
LAMP5-AS1							
							
							
							
							
RPL32P37							
TAMM41							
LINC02939							
							
TSEN54	TSEN54	ortholog_one2one	96.3878	96.2049	100	100.00	1
							
							
							
							
							
							
							
UGT2B15		ortholog_one2one	49.6226	72.6519	100	100.00	0
							
							
							
							
ACER1	ACER1	ortholog_one2many	98.4848	98.4848	100	100.00	1
ACER1		ortholog_one2many	90.1515	90.8397	0	0.00	0
							
							
GOLGA8H		ortholog_one2many	53.0063	89.8123	50	0.00	0
							
							
							
							
							
							
							
TACC3	TACC3	ortholog_one2one	98.8067	98.8067	100	100.00	1
ZNRF3-AS1							
KLHDC7B-DT							
ANO9	ANO9	ortholog_one2one	92.8389	95.5263	100	100.00	1
							
							
CLDN4	CLDN4	ortholog_one2many	100	100	100	100.00	1
CLDN4	CLDN4	ortholog_one2many	100	100	100	100.00	1
MIR548AE2							
LINC02108							
ALKBH7	ALKBH7	ortholog_one2one	100	100	100	100.00	1
LINC00492							
							
							
							
EIF3KP1							
							
							
							
LILRB5							
GIN1	GIN1	ortholog_one2one	98.8506	96.2687	100	100.00	1
							
							
LINC01399							
							
							
SLC24A5	SLC24A5	ortholog_one2one	99.4	99.4	100	100.00	1
OR9A4		ortholog_one2many	98.0892	98.0892	100	100.00	1
OR9A4		ortholog_one2many	98.0892	98.0892	50	100.00	1
							
							
OR2F1	OR2F1	ortholog_one2one	98.4227	98.4227	100	100.00	1
							
							
							
							
CUTA	CUTA	ortholog_one2one	86.0335	98.7179	100	100.00	1
GTF2F1	GTF2F1	ortholog_one2one	99.4197	99.4197	100	100.00	1
							
							
LRRD1	LRRD1	ortholog_one2many	98.6047	98.6047	100	100.00	1
LRRD1	LRRD1	ortholog_one2many	98.6047	98.6047	100	100.00	1
RPL7P46							
LINC02885							
							
							
SNRPGP5							
							
RN7SL182P	Metazoa_SRP	ortholog_one2one	98.6667	98.6667		100.00	1
							
ATXN7L1	ATXN7L1	ortholog_one2many	99.5354	88.9927	100	100.00	1
ATXN7L1	ATXN7L1	ortholog_one2many	99.5354	99.6512	100	100.00	1
							
							
RSPRY1	RSPRY1	ortholog_one2one	100	100	100	100.00	1
BTBD7P1							
RPL36AP36							
MARK2P14							
MCM10	MCM10	ortholog_one2one	98.9703	98.7443	100	100.00	1
NUP210P2							
							
							
							
LINC01634							
Metazoa_SRP							
							
							
							
							
MIR663AHG							
LLGL2	LLGL2	ortholog_one2one	96.3726	94.4284	100	100.00	1
OR2V1	OR2V1	ortholog_one2one	97.4603	97.4603	100	100.00	1
QARS1	QARS1	ortholog_one2one	99.3548	98.2143	100	100.00	1
							
RNU7-175P	U7	ortholog_one2one	100	100		100.00	1
SUMO2P5							
							
CTXN2	CTXN2	ortholog_one2one	100	100	100	100.00	1
							
RN7SL838P	Metazoa_SRP	ortholog_one2one	82.7119	82.7119		100.00	1
							
CERT1	CERT1	ortholog_one2one	100	82.9787	100	100.00	1
P2RY2	P2RY2	ortholog_one2one	99.7347	99.7347	100	100.00	1
SLC12A1	SLC12A1	ortholog_one2one	98.4531	98.4531	100	100.00	1
LINC01643							
U6							
							
							
OR8R1P							
P2RY6	P2RY6	ortholog_one2one	99.3902	99.3902	100	100.00	1
LINC01290							
EMP2	EMP2	ortholog_one2one	98.8024	98.8024	100	100.00	1
NAPEPLD	NAPEPLD	ortholog_one2one	98.9822	98.9822	100	100.00	1
							
							
							
TRABD-AS1							
							
							
C16orf82	C16H16orf82	ortholog_one2one	98.0519	69.5853	100	100.00	0
ZNF319	ZNF319	ortholog_one2one	100	100	100	100.00	1
							
							
							
MIR6885							
ZNF688	ZNF688	ortholog_one2one	100	100	100	100.00	1
MIR6790							
MIR3940							
SLC25A41	SLC25A41	ortholog_one2one	98.3784	98.3784	100	100.00	1
							
							
LINC01311							
CXCL13	CXCL13	ortholog_one2one	99.0826	99.0826	100	100.00	1
LINC01638							
ETFRF1	ETFRF1	ortholog_one2one	100	100	100	100.00	1
CENPN	CENPN	ortholog_one2one	92.3304	88.6686	100	100.00	1
WAS	WAS	ortholog_one2many	99.4024	99.4024	100	100.00	1
WAS	WAS	ortholog_one2many	99.4024	99.4024	25	18.34	0
							
TRIML2	TRIML2	ortholog_one2one	98.3982	98.6239	75	100.00	1
SLC25A23	SLC25A23	ortholog_one2one	99.7863	99.7863	100	100.00	1
							
NCF4-AS1							
DHX36							
RPS8		ortholog_one2one	82.6923	82.2967	0	0.00	0
							
LANCL2	LANCL2	ortholog_one2one	99.7778	99.7778	100	100.00	1
							
							
							
EEF1D	EEF1D	ortholog_one2one	98.2998	91.9075	100	100.00	1
							
EPIC1							
IFITM1	IFITM1	ortholog_one2one	99.2	99.2	100	100.00	1
							
							
RNU4-67P	U4	ortholog_one2one	99.2908	99.2908		100.00	1
							
							
FAM133GP							
TUBB4BP1							
OR7E55P							
MANSC4	MANSC4	ortholog_one2one	99.1176	99.1176	100	100.00	1
SYNGAP1	SYNGAP1	ortholog_one2one	99.1809	99.0335	100	100.00	1
RNU6-6P							
EVA1CP5							
UCMA	UCMA	ortholog_one2one	98.5507	98.5507	100	92.86	1
							
FAHD2P1							
LSP1P2							
							
FOXN4	FOXN4	ortholog_one2one	99.6132	99.6132	100	100.00	1
ALG1L6P							
SNORD55	SNORD39	ortholog_one2one	100	100		100.00	1
SNORD46	SNORD46	ortholog_one2one	100	100		100.00	1
SNORD38A	SNORD38A	ortholog_one2one	100	100		100.00	1
SNORD38B							
ARHGEF26							
SNORD38B	SNORD38B	ortholog_one2one	98.5507	98.5507		100.00	1
							
RPS15AP11							
							
							
RNU5E-6P	U5	ortholog_one2one	89.5652	88.7931		100.00	1
							
EIF2B3	EIF2B3	ortholog_one2one	99.7788	99.7788	100	100.00	1
PHYH	PHYH	ortholog_one2one	98.5207	94.3343	100	100.00	1
SF3A3P2							
SCN3B	SCN3B	ortholog_one2one	100	100	100	100.00	1
							
							
FAM86DP							
Y_RNA	Y_RNA	ortholog_one2one	98.0392	98.0392		100.00	1
							
TUBB4BP3							
RPL12P43							
							
SAGE4P							
ZBTB46-AS1							
ADGRL3	ADGRL3	ortholog_one2one	99.6111	97.2785	100	100.00	1
SAGE3P							
SAGE2P							
LINC00494							
							
CT45A1		ortholog_one2many	94.709	94.709	25	100.00	1
KMT2C	KMT2C	ortholog_one2many	97.7805	98.442	100	99.90	1
KMT2C	KMT2C	ortholog_one2many	97.7601	97.8398	75	99.90	1
							
KCTD10	KCTD10	ortholog_one2many	100	99.3651	100	100.00	1
KCTD10		ortholog_one2many	92.9712	95.4098	0	0.00	0
ZBTB46-AS2							
							
							
							
							
LINC02018							
							
MGAT2P1							
CT45A5		ortholog_one2many	95.7672	95.7672	75	100.00	1
ARHGEF26-AS1							
							
							
							
FBN3	FBN3	ortholog_one2one	98.1488	98.1488	100	100.00	1
ACE2	ACE2	ortholog_one2one	99.0062	99.0062	100	100.00	1
LINC02967							
							
CNEP1R1	CNEP1R1	ortholog_one2one	100	88.0282	100	100.00	1
							
RNA5SP47							
							
CCNB1IP1P1							
							
PPIAP35							
							
MRPS17P1							
							
							
ZNF202	ZNF202	ortholog_one2one	99.2284	99.2284	100	100.00	1
HECTD3	HECTD3	ortholog_one2one	99.8839	99.8839	100	100.00	1
							
RBISP1							
ENPP7P2							
							
SNRPCP10							
ZNF438	ZNF438	ortholog_one2one	97.2222	97.1049	100	100.00	1
RPS3AP15							
TBC1D25	TBC1D25	ortholog_one2one	99.4186	99.4186	100	100.00	1
							
							
							
UBE3B	UBE3B	ortholog_one2one	99.5318	99.5318	100	100.00	1
							
RNA5SP302							
SUV39H2	SUV39H2	ortholog_one2one	99.7561	99.7561	75	100.00	1
STAT5A	STAT5A	ortholog_one2one	93.9547	95.2746	100	100.00	1
							
UROD	UROD	ortholog_one2one	99.7275	99.7275	100	100.00	1
TFE3	TFE3	ortholog_one2one	61.3913	86.9458	100	100.00	0
YTHDF3P1							
							
RNU1-21P	U1	ortholog_one2one	98.773	98.773		100.00	1
RPS24P9							
OR6M3P							
							
		ortholog_one2one	100	100		100.00	1
DLG2-AS2							
MYLKP2							
ITPRIPL2	ITPRIPL2	ortholog_one2one	100	100	100	100.00	1
							
PRDM7		ortholog_one2one	63.0081	96.5732	50	84.71	0
							
							
LDHAL6DP							
HNRNPA1P72							
PSLNR							
							
							
							
							
							
HNRNPCP6							
							
							
LINC00898							
RNU6-1292P	U6	ortholog_one2one	98.1308	98.1308		100.00	1
PLEKHG4	PLEKHG4	ortholog_one2one	98.7406	93.3333	100	100.00	1
TMEM126B	TMEM126B	ortholog_one2one	98.6957	98.6957	100	100.00	1
HDAC6							
							
							
HSFY1P1							
MEIG1	MEIG1	ortholog_one2one	97.7273	97.7273	0	86.01	1
							
OR7E110P							
OR7E115P							
FAS	FAS	ortholog_one2one	91.3433	90.8012	100	100.00	1
							
							
							
							
LINC00895							
							
							
							
							
LINC01839							
LINC02054							
MIR4789							
RNU6-1233P							
							
TMEM126A	TMEM126A	ortholog_one2one	100	100	100	100.00	1
RPS17P7							
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
RPL12P15							
							
NPM1P32							
UBAP1L	UBAP1L	ortholog_one2one	99.7375	99.7375	100	100.00	1
NIFK	NIFK	ortholog_one2one	98.9761	98.9761	100	100.00	1
							
							
							
RPL41P2							
GOLGA8F		ortholog_one2many	34.1195	93.5345	75	80.94	0
CCDC89	CCDC89	ortholog_one2one	98.6631	98.6631	100	100.00	1
LINC00029							
							
IFITM3							
							
OSTCP5							
TSN	TSN	ortholog_one2one	100	100	100	100.00	1
MIR5004							
ZBTB9	ZBTB9	ortholog_one2one	99.5772	99.5772	100	100.00	1
NOL9	NOL9	ortholog_one2one	98.5755	98.5755	100	100.00	1
							
ABCB10P3							
MTCYBP4							
							
							
							
							
							
							
HSPE1P21							
							
							
							
ABCB10P4							
LINC01315							
NUP43	NUP43	ortholog_one2one	99.7368	99.7368	100	100.00	1
							
HERC2		ortholog_one2many	2.08937	84.8739	0	0.00	0
HERC2		ortholog_one2many	9.28837	85.8509	100	82.45	0
RNU6-126P	U6	ortholog_one2one	91.2621	91.2621		100.00	1
							
							
							
RPL21P95							
							
							
LINC02925							
							
KCTD14	KCTD14	ortholog_one2one	100	100	75	100.00	1
							
							
							
							
							
NXT1-AS1							
TAS1R1	TAS1R1	ortholog_one2one	98.9298	98.9298	100	100.00	1
NDUFC2-KCTD14							
HDHD5-AS1							
							
							
							
							
GNPTG	GNPTG	ortholog_one2one	95.7377	94.8052	100	100.00	1
NUP50-DT							
							
RNU6-823P							
EEFSEC							
							
ACVR2A	ACVR2A	ortholog_one2one	100	100	100	100.00	1
THRSP	THRSP	ortholog_one2one	99.3151	99.3151	100	100.00	1
PPP4R2P6							
							
							
SDHAP2							
CRYBB2P1							
NDUFC2	NDUFC2	ortholog_one2one	87.395	77.6119	100	100.00	0
							
							
							
ZBTB48	ZBTB48	ortholog_one2one	99.8547	99.8547	100	100.00	1
							
							
							
							
							
							
LINC01620							
BTBD10P2							
							
							
RRP8	RRP8	ortholog_one2one	99.1228	99.1228	100	100.00	1
							
							
INAVAP1							
TBILA							
LRP11	LRP11	ortholog_one2one	99.6	99.6	75	100.00	1
GCSAM							
LINC01747							
CCT7P1							
RAET1E-AS1							
							
RAET1G		ortholog_one2one	64.3713	87.3984	25	100.00	0
							
							
							
KCTD11	KCTD11	ortholog_one2one	85.2399	99.569	100	100.00	1
							
SMG8	SMG8	ortholog_one2one	99.7982	99.7982	100	100.00	1
MIR1-1HG							
							
ILK	ILK	ortholog_one2one	99.5575	84.4278	100	100.00	1
SMIM5	SMIM5	ortholog_one2one	98.7013	98.7013	100	100.00	1
ULBP2	RAET1G	ortholog_one2one	85.3659	62.6866	25	100.00	0
							
LRRC8C	LRRC8C	ortholog_one2one	99.8755	99.8755	100	100.00	1
RNF227	RNF227	ortholog_one2one	98.4211	98.4211	100	100.00	1
							
							
OR4D2							
							
							
							
ZBTB40-IT1							
RNU6-1275P	U6	ortholog_one2one	100	100		100.00	1
							
EPHA8	EPHA8	ortholog_one2one	96.8159	97.5928	100	100.00	1
SNX14	SNX14	ortholog_one2one	99.0486	100	100	100.00	1
SEPTIN9	SEPTIN9	ortholog_one2one	99.1468	99.1468	100	100.00	1
ORC4	ORC4	ortholog_one2one	99.5413	99.5413	100	100.00	1
SLC9C1							
RNU6-241P	U6	ortholog_one2one	100	100		100.00	1
CICP20							
ACSM2B	ACSM2B	ortholog_one2one	97.747	97.747	100	100.00	1
							
							
RNU6-326P	U6	ortholog_one2many	99.0654	99.0654		0.00	0
